date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2001-08-09,0.9321,0.9321,0.9321,0.9321,0.6662,0.0,0.0,1.0
2001-08-10,0.9228,0.9694,0.9042,0.9228,0.6596,19441320.0,0.0,1.0
2001-08-13,0.9321,0.9321,0.8669,0.8948,0.6396,3632290.0,0.0,1.0
2001-08-14,0.8948,0.9135,0.8948,0.8948,0.6396,1460647.0,0.0,1.0
2001-08-15,0.8948,0.9042,0.8762,0.8762,0.6262,1932543.0,0.0,1.0
2001-08-16,0.8669,0.8762,0.8575,0.8575,0.6129,6983856.0,0.0,1.0
2001-08-17,0.8575,0.8762,0.8482,0.8669,0.6196,2012457.0,0.0,1.0
2001-08-20,0.8669,0.8855,0.8575,0.8669,0.6196,3193370.0,0.0,1.0
2001-08-21,0.8669,0.8762,0.8669,0.8669,0.6196,777731.0,0.0,1.0
2001-08-22,0.8669,0.8762,0.8669,0.8669,0.6196,1759310.0,0.0,1.0
2001-08-23,0.8669,0.8762,0.8203,0.8203,0.5863,7010014.0,0.0,1.0
2001-08-24,0.8016,0.8203,0.7643,0.8203,0.5863,1493076.0,0.0,1.0
2001-08-27,0.8296,0.8575,0.8203,0.8389,0.5996,614786.0,0.0,1.0
2001-08-28,0.8482,0.8855,0.8482,0.8762,0.6262,575277.0,0.0,1.0
2001-08-29,0.8762,0.8855,0.8575,0.8669,0.6196,207593.0,0.0,1.0
2001-08-30,0.8669,0.8669,0.8389,0.8669,0.6196,252804.0,0.0,1.0
2001-08-31,0.8575,0.8575,0.8296,0.8296,0.5929,438090.0,0.0,1.0
2001-09-03,0.8389,0.8389,0.8296,0.8296,0.5929,123907.0,0.0,1.0
2001-09-04,0.8296,0.8389,0.8296,0.8296,0.5929,182596.0,0.0,1.0
2001-09-05,0.8389,0.8389,0.8109,0.8109,0.5796,318962.0,0.0,1.0
2001-09-06,0.8296,0.8296,0.8016,0.8109,0.5796,324265.0,0.0,1.0
2001-09-07,0.81,0.8203,0.783,0.783,0.5596,662721.0,0.0,1.0
2001-09-10,0.783,0.783,0.755,0.7643,0.5463,424798.0,0.0,1.0
2001-09-11,0.783,0.8389,0.783,0.7923,0.5663,1630815.0,0.0,1.0
2001-09-12,0.7643,0.7923,0.7457,0.783,0.5596,590792.0,0.0,1.0
2001-09-13,0.783,0.783,0.7364,0.7643,0.5463,683233.0,0.0,1.0
2001-09-14,0.7643,0.7643,0.7084,0.7084,0.5063,343721.0,0.0,1.0
2001-09-17,0.7177,0.7177,0.6711,0.6711,0.4797,497299.0,0.0,1.0
2001-09-18,0.6991,0.7457,0.6898,0.6898,0.493,457884.0,0.0,1.0
2001-09-19,0.6991,0.7177,0.6991,0.7177,0.513,192097.0,0.0,1.0
2001-09-20,0.7177,0.7177,0.6991,0.6991,0.4997,274216.0,0.0,1.0
2001-09-21,0.6991,0.7233,0.6711,0.7233,0.517,508683.0,0.0,1.0
2001-09-24,0.7196,0.7196,0.6711,0.6804,0.4863,202014.0,0.0,1.0
2001-09-25,0.6982,0.6991,0.6711,0.6991,0.4997,164964.0,0.0,1.0
2001-09-26,0.7084,0.7364,0.6991,0.7177,0.513,193968.0,0.0,1.0
2001-09-27,0.7177,0.7364,0.7084,0.7177,0.513,59381.0,0.0,1.0
2001-09-28,0.7373,0.7373,0.7177,0.7364,0.5263,188391.0,0.0,1.0
2001-10-01,0.7364,0.7364,0.727,0.7364,0.5263,92032.0,0.0,1.0
2001-10-02,0.727,0.7364,0.6804,0.6804,0.4863,211237.0,0.0,1.0
2001-10-03,0.6991,0.6991,0.6898,0.6898,0.493,265604.0,0.0,1.0
2001-10-04,0.6898,0.6991,0.6804,0.6898,0.493,158487.0,0.0,1.0
2001-10-05,0.6898,0.6991,0.6898,0.6991,0.4997,143277.0,0.0,1.0
2001-10-08,0.6898,0.7084,0.6898,0.7084,0.5063,127309.0,0.0,1.0
2001-10-09,0.6991,0.6991,0.6898,0.6898,0.493,88927.0,0.0,1.0
2001-10-10,0.6898,0.7177,0.6898,0.7084,0.5063,417888.0,0.0,1.0
2001-10-11,0.7261,0.7261,0.6991,0.7084,0.5063,126916.0,0.0,1.0
2001-10-12,0.7177,0.7364,0.6898,0.6991,0.4997,386743.0,0.0,1.0
2001-10-15,0.6991,0.6991,0.6898,0.6898,0.493,309153.0,0.0,1.0
2001-10-16,0.6898,0.7084,0.6898,0.6991,0.4997,268648.0,0.0,1.0
2001-10-17,0.7084,0.7177,0.6991,0.6991,0.4997,237025.0,0.0,1.0
2001-10-18,0.6991,0.6991,0.6804,0.6898,0.493,268547.0,0.0,1.0
2001-10-19,0.6898,0.6991,0.6804,0.6804,0.4863,215950.0,0.0,1.0
2001-10-22,0.6898,0.6991,0.6804,0.6898,0.493,120586.0,0.0,1.0
2001-10-23,0.6991,0.6991,0.6804,0.6804,0.4863,119728.0,0.0,1.0
2001-10-24,0.6898,0.6991,0.6804,0.6898,0.493,141453.0,0.0,1.0
2001-10-25,0.6898,0.6991,0.6898,0.6898,0.493,199010.0,0.0,1.0
2001-10-26,0.6991,0.6991,0.6804,0.6991,0.4997,318856.0,0.0,1.0
2001-10-29,0.6991,0.7364,0.6991,0.7084,0.5063,723458.0,0.0,1.0
2001-10-30,0.7084,0.7177,0.6991,0.7084,0.5063,316581.0,0.0,1.0
2001-10-31,0.7177,0.7643,0.7084,0.755,0.5396,769485.0,0.0,1.0
2001-11-01,0.7643,0.8203,0.7643,0.8016,0.5729,1391824.0,0.0,1.0
2001-11-02,0.8016,0.8016,0.7736,0.7923,0.5663,629990.0,0.0,1.0
2001-11-05,0.783,0.7923,0.7736,0.783,0.5596,198077.0,0.0,1.0
2001-11-06,0.783,0.8016,0.783,0.8016,0.5729,231082.0,0.0,1.0
2001-11-07,0.8016,0.8016,0.7736,0.7736,0.553,175983.0,0.0,1.0
2001-11-08,0.7736,0.7736,0.7457,0.7457,0.533,231505.0,0.0,1.0
2001-11-09,0.7457,0.7643,0.7457,0.7643,0.5463,144614.0,0.0,1.0
2001-11-12,0.7643,0.7643,0.727,0.755,0.5396,229690.0,0.0,1.0
2001-11-13,0.755,0.7643,0.7457,0.755,0.5396,233330.0,0.0,1.0
2001-11-14,0.755,0.7736,0.755,0.7643,0.5463,148086.0,0.0,1.0
2001-11-15,0.7736,0.783,0.7643,0.7736,0.553,131336.0,0.0,1.0
2001-11-16,0.7736,0.7736,0.7457,0.7457,0.533,339962.0,0.0,1.0
2001-11-19,0.755,0.783,0.755,0.783,0.5596,227604.0,0.0,1.0
2001-11-20,0.783,0.783,0.7643,0.7643,0.5463,215124.0,0.0,1.0
2001-11-21,0.7643,0.7736,0.755,0.7736,0.553,89903.0,0.0,1.0
2001-11-22,0.7736,0.7736,0.7643,0.7643,0.5463,315520.0,0.0,1.0
2001-11-23,0.7755,0.7923,0.7643,0.783,0.5596,76117.0,0.0,1.0
2001-11-26,0.783,0.7923,0.7643,0.7774,0.5556,260387.0,0.0,1.0
2001-11-27,0.7736,0.783,0.7643,0.783,0.5596,213225.0,0.0,1.0
2001-11-28,0.7736,0.783,0.7643,0.7643,0.5463,148914.0,0.0,1.0
2001-11-29,0.7709,0.8016,0.7709,0.8016,0.5729,383601.0,0.0,1.0
2001-11-30,0.8016,0.8203,0.7923,0.8109,0.5796,364950.0,0.0,1.0
2001-12-03,0.8109,0.8389,0.8016,0.8296,0.5929,494618.0,0.0,1.0
2001-12-04,0.8296,0.8389,0.8203,0.8296,0.5929,243109.0,0.0,1.0
2001-12-05,0.8296,0.8389,0.8203,0.8296,0.5929,287193.0,0.0,1.0
2001-12-06,0.8389,0.8389,0.8296,0.8296,0.5929,304414.0,0.0,1.0
2001-12-07,0.8389,0.8389,0.8016,0.8109,0.5796,197637.0,0.0,1.0
2001-12-10,0.8109,0.8296,0.8109,0.8203,0.5863,82485.0,0.0,1.0
2001-12-11,0.8203,0.8203,0.8109,0.8109,0.5796,124604.0,0.0,1.0
2001-12-12,0.8072,0.8203,0.8072,0.8109,0.5796,154970.0,0.0,1.0
2001-12-13,0.8109,0.8203,0.8016,0.8109,0.5796,119052.0,0.0,1.0
2001-12-14,0.8016,0.8109,0.8016,0.8109,0.5796,40188.0,0.0,1.0
2001-12-17,0.8109,0.8482,0.8109,0.8389,0.5996,479570.0,0.0,1.0
2001-12-18,0.8389,0.8482,0.8203,0.8389,0.5996,239715.0,0.0,1.0
2001-12-19,0.8389,0.8482,0.8389,0.8389,0.5996,127965.0,0.0,1.0
2001-12-20,0.8669,0.8762,0.8575,0.8669,0.6196,276311.0,0.0,1.0
2001-12-21,0.8669,0.9042,0.8669,0.8855,0.6329,512871.0,0.0,1.0
