date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-04,3.5813,3.5813,3.5813,3.5813,1.1247,1440.0,0.0,1.0
2000-01-05,3.5315,3.5315,3.4818,3.4818,1.0935,14823.0,0.0,1.0
2000-01-06,3.5499,3.5499,3.4099,3.4099,1.0709,0.0,0.0,1.0
2000-01-07,3.5315,3.5315,3.5315,3.5315,1.1091,858.0,0.0,1.0
2000-01-10,3.6012,3.6012,3.6012,3.6012,1.131,603.0,0.0,1.0
2000-01-11,3.5365,3.5813,3.5365,3.5813,1.1247,8189.0,0.0,1.0
2000-01-12,3.5315,3.5315,3.5315,3.5315,1.1091,343.0,0.0,1.0
2000-01-13,3.5813,3.5813,3.5813,3.5813,1.1247,5026.0,0.0,1.0
2000-01-14,3.5813,3.6012,3.5813,3.6012,1.131,1608.0,0.0,1.0
2000-01-17,3.5999,3.5999,3.5599,3.5599,1.118,0.0,0.0,1.0
2000-01-18,3.5999,3.5999,3.5599,3.5599,1.118,0.0,0.0,1.0
2000-01-19,3.5999,3.5999,3.5599,3.5599,1.118,0.0,0.0,1.0
2000-01-20,3.5415,3.5813,3.5415,3.5813,1.1247,2247.0,0.0,1.0
2000-01-21,3.5415,3.5415,3.5415,3.5415,1.1122,1122.0,0.0,1.0
2000-01-24,3.6199,3.6199,3.5999,3.5999,1.1306,0.0,0.0,1.0
2000-01-25,3.5813,3.5813,3.5813,3.5813,1.1247,3016.0,0.0,1.0
2000-01-26,3.5999,3.5999,3.5999,3.5999,1.1306,0.0,0.0,1.0
2000-01-27,3.5813,3.5813,3.5514,3.5813,1.1247,2915.0,0.0,1.0
2000-01-28,3.5813,3.5813,3.5813,3.5813,1.1247,5127.0,0.0,1.0
2000-01-31,3.5415,3.5415,3.5415,3.5415,1.1122,5570.0,0.0,1.0
2000-02-01,3.5415,3.6012,3.5415,3.6012,1.131,7145.0,0.0,1.0
2000-02-02,3.5315,3.5315,3.5315,3.5315,1.1091,4382.0,0.0,1.0
2000-02-03,3.4818,3.4818,3.3823,3.3823,1.0623,3116.0,0.0,1.0
2000-02-04,3.4818,3.4818,3.3823,3.4818,1.0935,1655.0,0.0,1.0
2000-02-07,3.3923,3.3923,3.3823,3.3823,1.0623,12158.0,0.0,1.0
2000-02-08,3.3823,3.3823,3.3823,3.3823,1.0623,7368.0,0.0,1.0
2000-02-09,3.3823,3.3823,3.3326,3.3326,1.0466,2504.0,0.0,1.0
2000-02-10,3.3823,3.3823,3.3823,3.3823,1.0623,4825.0,0.0,1.0
2000-02-11,3.3326,3.3326,3.3326,3.3326,1.0466,2094.0,0.0,1.0
2000-02-14,3.3326,3.3823,3.3326,3.3823,1.0623,1508.0,0.0,1.0
2000-02-15,3.3823,3.4818,3.3823,3.4818,1.0935,21346.0,0.0,1.0
2000-02-16,3.4818,3.4818,3.3823,3.3823,1.0623,10227.0,0.0,1.0
2000-02-17,3.3923,3.3923,3.3923,3.3923,1.0654,2016.0,0.0,1.0
2000-02-18,3.4899,3.4899,3.4499,3.4499,1.0835,0.0,0.0,1.0
2000-02-21,3.4899,3.4899,3.4499,3.4499,1.0835,0.0,0.0,1.0
2000-02-22,3.4718,3.5315,3.4718,3.5315,1.1091,6203.0,0.0,1.0
2000-02-23,3.6012,3.6012,3.4619,3.4619,1.0872,16113.0,0.0,1.0
2000-02-24,3.4619,3.4619,3.4619,3.4619,1.1229,0.0,0.0,1.0
2000-02-25,3.4619,3.4619,3.4619,3.4619,1.1229,0.0,0.0,1.0
2000-02-28,3.4699,3.4699,3.3999,3.3999,1.1028,0.0,0.0,1.0
2000-02-29,3.4499,3.4499,3.3999,3.3999,1.1028,0.0,0.0,1.0
2000-03-01,3.4499,3.4499,3.3999,3.3999,1.1028,0.0,0.0,1.0
2000-03-02,3.3823,3.3823,3.3823,3.3823,1.0971,1759.0,0.0,1.0
2000-03-03,3.3823,3.3823,3.3823,3.3823,1.0971,2010.0,0.0,1.0
2000-03-06,3.3823,3.3823,3.3823,3.3823,1.0971,7288.0,0.0,1.0
2000-03-07,3.4321,3.4321,3.4321,3.4321,1.1132,6031.0,0.0,1.0
2000-03-08,3.4699,3.4699,3.4499,3.4499,1.119,0.0,0.0,1.0
2000-03-09,3.4321,3.4321,3.4321,3.4321,1.1132,1106.0,0.0,1.0
2000-03-10,3.4699,3.4699,3.4499,3.4499,1.119,0.0,0.0,1.0
2000-03-13,3.4818,3.4818,3.4818,3.4818,1.1294,2513.0,0.0,1.0
2000-03-14,3.4999,3.4999,3.4499,3.4499,1.119,0.0,0.0,1.0
2000-03-15,3.4321,3.4321,3.3823,3.3823,1.0971,4172.0,0.0,1.0
2000-03-16,3.2828,3.2928,3.2828,3.2928,1.0681,5794.0,0.0,1.0
2000-03-17,3.4999,3.4999,3.3799,3.3799,1.0963,0.0,0.0,1.0
2000-03-20,3.4999,3.4999,3.3799,3.3799,1.0963,0.0,0.0,1.0
2000-03-21,3.3624,3.3624,3.3624,3.3624,1.0907,3217.0,0.0,1.0
2000-03-22,3.3624,3.3624,3.3624,3.3624,1.0907,5026.0,0.0,1.0
2000-03-23,3.3525,3.3525,3.3525,3.3525,1.0874,2471.0,0.0,1.0
2000-03-24,3.4999,3.4999,3.3799,3.3799,1.0963,0.0,0.0,1.0
2000-03-27,3.4999,3.4999,3.3999,3.3999,1.1028,0.0,0.0,1.0
2000-03-28,3.4999,3.4999,3.3999,3.3999,1.1028,0.0,0.0,1.0
2000-03-29,3.4321,3.4321,3.3823,3.3823,1.0971,5107.0,0.0,1.0
2000-03-30,3.3823,3.3823,3.3525,3.3525,1.0874,6956.0,0.0,1.0
2000-03-31,3.4999,3.4999,3.3999,3.3999,1.1028,0.0,0.0,1.0
2000-04-03,3.3823,3.3823,3.3326,3.3326,1.081,7439.0,0.0,1.0
2000-04-04,3.3823,3.4321,3.3823,3.4321,1.1132,3307.0,0.0,1.0
2000-04-05,3.3326,3.3326,3.3326,3.3326,1.081,826.0,0.0,1.0
2000-04-06,3.3326,3.3326,3.3326,3.3326,1.081,179.0,0.0,1.0
2000-04-07,3.4997,3.4997,3.3823,3.3823,1.0971,6836.0,0.0,1.0
2000-04-10,3.3823,3.3823,3.3823,3.3823,1.0971,639.0,0.0,1.0
2000-04-11,3.4999,3.4999,3.3999,3.3999,1.1028,0.0,0.0,1.0
2000-04-12,3.4999,3.4999,3.4199,3.4199,1.1093,0.0,0.0,1.0
2000-04-13,3.4999,3.4999,3.4199,3.4199,1.1093,0.0,0.0,1.0
2000-04-14,3.4022,3.4022,3.3823,3.3823,1.0971,2513.0,0.0,1.0
