date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-04,0.7104,0.7104,0.6807,0.6807,0.2784,121466.0,0.0,1.0
2000-01-05,0.6807,0.7005,0.6807,0.7005,0.2865,150276.0,0.0,1.0
2000-01-06,0.6807,0.6906,0.6709,0.6807,0.2784,303203.0,0.0,1.0
2000-01-07,0.6807,0.6807,0.6709,0.6709,0.2744,358754.0,0.0,1.0
2000-01-10,0.661,0.6709,0.661,0.6709,0.2744,265345.0,0.0,1.0
2000-01-11,0.6906,0.6906,0.6709,0.6709,0.2744,76312.0,0.0,1.0
2000-01-12,0.6709,0.6807,0.6709,0.6709,0.2744,166240.0,0.0,1.0
2000-01-13,0.6709,0.6709,0.6709,0.6709,0.2744,27459.0,0.0,1.0
2000-01-14,0.6709,0.6916,0.6709,0.6916,0.2828,68667.0,0.0,1.0
2000-01-17,0.6709,0.6807,0.6709,0.6807,0.2784,410622.0,0.0,1.0
2000-01-18,0.6807,0.6906,0.6709,0.6906,0.2824,189665.0,0.0,1.0
2000-01-19,0.6906,0.6906,0.6709,0.6709,0.2744,68088.0,0.0,1.0
2000-01-20,0.6709,0.6807,0.6709,0.6709,0.2744,440988.0,0.0,1.0
2000-01-21,0.6807,0.6906,0.6709,0.6906,0.2824,413038.0,0.0,1.0
2000-01-24,0.6709,0.6709,0.6709,0.6709,0.2744,45206.0,0.0,1.0
2000-01-25,0.6709,0.6709,0.6709,0.6709,0.2744,53814.0,0.0,1.0
2000-01-26,0.6872,0.6872,0.6872,0.6872,0.281,0.0,0.0,1.0
2000-01-27,0.6709,0.6709,0.6709,0.6709,0.2744,24262.0,0.0,1.0
2000-01-28,0.6709,0.6906,0.6709,0.6906,0.2824,93071.0,0.0,1.0
2000-01-31,0.6709,0.6906,0.6709,0.6807,0.2784,84626.0,0.0,1.0
2000-02-01,0.6807,0.6906,0.6807,0.6807,0.2784,64352.0,0.0,1.0
2000-02-02,0.6807,0.6807,0.6807,0.6807,0.2784,170988.0,0.0,1.0
2000-02-03,0.6807,0.6906,0.6807,0.6807,0.2784,203404.0,0.0,1.0
2000-02-04,0.666,0.6807,0.666,0.6807,0.2784,183641.0,0.0,1.0
2000-02-07,0.6807,0.6906,0.6709,0.6906,0.2824,143539.0,0.0,1.0
2000-02-08,0.6807,0.6807,0.6512,0.6512,0.2663,46617.0,0.0,1.0
