date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2002-11-12,5.3734,5.3734,5.3734,5.3734,2.5624,0.0,0.0,1.0
2002-11-13,5.3734,5.3734,5.3734,5.3734,2.5624,0.0,0.0,1.0
2002-11-14,5.8619,5.8619,5.4711,5.5688,2.6556,351631.0,0.0,1.0
2002-11-15,5.3734,5.4223,5.1292,5.3734,2.5624,242775.0,0.0,1.0
2002-11-18,5.3734,5.4711,5.3734,5.3734,2.5624,69700.0,0.0,1.0
2002-11-19,5.4223,5.4223,5.3734,5.3734,2.5624,87952.0,0.0,1.0
2002-11-20,5.4223,5.4223,5.3734,5.3734,2.5624,140287.0,0.0,1.0
2002-11-21,5.4223,5.4223,5.3734,5.3734,2.5624,20370.0,0.0,1.0
2002-11-22,5.3246,5.3734,5.2757,5.3734,2.5624,25919.0,0.0,1.0
2002-11-25,5.3734,5.3734,5.3734,5.3734,2.5624,5208.0,0.0,1.0
2002-11-26,5.4711,5.5688,5.4711,5.52,2.6323,33239.0,0.0,1.0
2002-11-27,5.5688,5.5688,5.4711,5.52,2.6323,21115.0,0.0,1.0
2002-11-28,5.4711,5.4711,5.4711,5.4711,2.609,18611.0,0.0,1.0
2002-11-29,5.4711,5.4711,5.4711,5.4711,2.609,70411.0,0.0,1.0
2002-12-02,5.4711,5.4711,5.4223,5.4711,2.609,26625.0,0.0,1.0
2002-12-03,5.4711,5.4711,5.4223,5.4711,2.609,83311.0,0.0,1.0
2002-12-04,5.4223,5.4711,5.4223,5.4223,2.5857,26812.0,0.0,1.0
2002-12-05,5.4711,5.4711,5.4223,5.4223,2.5857,57204.0,0.0,1.0
2002-12-06,5.4223,5.4711,5.4223,5.4223,2.5857,399031.0,0.0,1.0
2002-12-09,5.4223,5.4223,5.4223,5.4223,2.5857,81608.0,0.0,1.0
2002-12-10,5.4223,5.4711,5.4223,5.4223,2.5857,74709.0,0.0,1.0
2002-12-11,5.4711,5.5688,5.4223,5.4223,2.5857,86396.0,0.0,1.0
2002-12-12,5.4223,5.4711,5.3734,5.4223,2.5857,57954.0,0.0,1.0
2002-12-13,5.4711,5.52,5.4223,5.4711,2.609,64437.0,0.0,1.0
2002-12-16,5.4711,5.4711,5.3734,5.4711,2.609,66851.0,0.0,1.0
2002-12-17,5.4711,5.4711,5.3734,5.3734,2.5624,33780.0,0.0,1.0
2002-12-18,5.4223,5.4223,5.3734,5.3734,2.5624,30807.0,0.0,1.0
2002-12-19,5.4223,5.4223,5.3734,5.3734,2.5624,43160.0,0.0,1.0
2002-12-20,5.4223,5.4223,5.3734,5.4223,2.5857,26269.0,0.0,1.0
2002-12-23,5.3734,5.4223,5.3734,5.4223,2.5857,26158.0,0.0,1.0
2002-12-24,5.3734,5.3734,5.3734,5.3734,2.5624,1759.0,0.0,1.0
2002-12-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2002-12-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
