date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2019-06-05,0.625,0.63,0.625,0.625,0.625,70192.0,0.0,1.0
2019-06-06,0.63,0.63,0.62,0.62,0.62,22571.0,0.0,1.0
2019-06-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2019-06-11,0.615,0.62,0.6,0.605,0.605,184199.0,0.0,1.0
2019-06-12,0.605,0.605,0.585,0.6,0.6,114003.0,0.0,1.0
2019-06-13,0.585,0.595,0.57,0.595,0.595,172086.0,0.0,1.0
2019-06-14,0.585,0.59,0.57,0.57,0.57,131963.0,0.0,1.0
2019-06-17,0.58,0.58,0.54,0.545,0.545,256978.0,0.0,1.0
2019-06-18,0.55,0.56,0.54,0.54,0.54,229601.0,0.0,1.0
2019-06-19,0.54,0.565,0.54,0.555,0.555,272006.0,0.0,1.0
2019-06-20,0.56,0.68,0.56,0.68,0.68,435672.0,0.0,1.0
2019-06-21,0.635,0.68,0.6,0.635,0.635,260127.0,0.0,1.0
2019-06-24,0.625,0.645,0.615,0.62,0.62,108480.0,0.0,1.0
2019-06-25,0.62,0.63,0.62,0.62,0.62,91899.0,0.0,1.0
2019-06-26,0.62,0.63,0.595,0.595,0.595,210072.0,0.0,1.0
2019-06-27,0.595,0.595,0.595,0.595,0.595,0.0,0.0,1.0
2019-06-28,0.595,0.595,0.595,0.595,0.595,0.0,0.0,1.0
2019-07-01,0.5,0.5,0.38,0.405,0.405,3040080.0,0.0,1.0
2019-07-02,0.41,0.435,0.395,0.395,0.395,735254.0,0.0,1.0
2019-07-03,0.4,0.41,0.375,0.41,0.41,362694.0,0.0,1.0
2019-07-04,0.41,0.445,0.41,0.43,0.43,254498.0,0.0,1.0
2019-07-05,0.43,0.43,0.42,0.42,0.42,168122.0,0.0,1.0
2019-07-08,0.425,0.43,0.415,0.425,0.425,128683.0,0.0,1.0
2019-07-09,0.425,0.43,0.42,0.42,0.42,69914.0,0.0,1.0
2019-07-10,0.425,0.44,0.42,0.435,0.435,54471.0,0.0,1.0
2019-07-11,0.43,0.43,0.42,0.43,0.43,145392.0,0.0,1.0
2019-07-12,0.425,0.435,0.425,0.43,0.43,80559.0,0.0,1.0
2019-07-15,0.43,0.435,0.42,0.42,0.42,36431.0,0.0,1.0
2019-07-16,0.425,0.44,0.425,0.44,0.44,50942.0,0.0,1.0
2019-07-17,0.445,0.445,0.43,0.445,0.445,59608.0,0.0,1.0
2019-07-18,0.445,0.445,0.44,0.44,0.44,4903.0,0.0,1.0
2019-07-19,0.435,0.445,0.435,0.445,0.445,36278.0,0.0,1.0
2019-07-22,0.445,0.45,0.43,0.45,0.45,45658.0,0.0,1.0
2019-07-23,0.45,0.45,0.435,0.44,0.44,24084.0,0.0,1.0
2019-07-24,0.45,0.45,0.44,0.45,0.45,57316.0,0.0,1.0
2019-07-25,0.45,0.5,0.45,0.49,0.49,180924.0,0.0,1.0
2019-07-26,0.48,0.48,0.48,0.48,0.48,23708.0,0.0,1.0
2019-07-29,0.48,0.48,0.465,0.47,0.47,61092.0,0.0,1.0
2019-07-30,0.47,0.47,0.46,0.465,0.465,53779.0,0.0,1.0
2019-07-31,0.465,0.475,0.465,0.475,0.475,25596.0,0.0,1.0
2019-08-01,0.465,0.48,0.465,0.48,0.48,65538.0,0.0,1.0
2019-08-02,0.48,0.48,0.46,0.46,0.46,41341.0,0.0,1.0
2019-08-05,0.465,0.465,0.465,0.465,0.465,380.0,0.0,1.0
2019-08-06,0.46,0.475,0.425,0.46,0.46,222496.0,0.0,1.0
2019-08-07,0.465,0.475,0.465,0.475,0.475,42360.0,0.0,1.0
