date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2015-06-17,2.6,2.68,2.57,2.65,2.055,31891247.0,0.0,1.0
2015-06-18,2.63,2.74,2.63,2.7,2.0938,1581471.0,0.0,1.0
2015-06-19,2.75,2.8,2.72,2.79,2.1636,1862272.0,0.0,1.0
2015-06-22,2.79,2.79,2.74,2.77,2.1481,1663223.0,0.0,1.0
2015-06-23,2.75,2.77,2.74,2.75,2.1326,895029.0,0.0,1.0
2015-06-24,2.75,2.82,2.74,2.81,2.1791,634406.0,0.0,1.0
2015-06-25,2.78,2.8,2.78,2.78,2.1559,155512.0,0.0,1.0
2015-06-26,2.77,2.79,2.75,2.78,2.1559,101775.0,0.0,1.0
2015-06-29,2.77,2.77,2.64,2.64,2.0473,225419.0,0.0,1.0
2015-06-30,2.64,2.73,2.61,2.66,2.0628,2212786.0,0.0,1.0
2015-07-01,2.73,2.73,2.66,2.68,2.0783,79983.0,0.0,1.0
2015-07-02,2.66,2.69,2.64,2.68,2.0783,151726.0,0.0,1.0
2015-07-03,2.65,2.72,2.64,2.7,2.0938,577761.0,0.0,1.0
2015-07-06,2.65,2.68,2.65,2.68,2.0783,30451.0,0.0,1.0
2015-07-07,2.68,2.77,2.66,2.75,2.1326,695140.0,0.0,1.0
2015-07-08,2.75,2.75,2.69,2.71,2.1016,406829.0,0.0,1.0
2015-07-09,2.68,2.73,2.64,2.7,2.0938,170457.0,0.0,1.0
2015-07-10,2.71,2.75,2.71,2.73,2.1171,186530.0,0.0,1.0
2015-07-13,2.73,2.75,2.7,2.74,2.1248,107510.0,0.0,1.0
2015-07-14,2.74,2.85,2.73,2.85,2.2101,460410.0,0.0,1.0
2015-07-15,2.81,2.91,2.81,2.84,2.2024,809810.0,0.0,1.0
2015-07-16,2.84,2.88,2.81,2.85,2.2101,233161.0,0.0,1.0
2015-07-17,2.84,2.84,2.81,2.82,2.1869,173686.0,0.0,1.0
2015-07-20,2.83,2.89,2.81,2.89,2.2412,224619.0,0.0,1.0
2015-07-21,2.9,2.905,2.88,2.9,2.2489,197546.0,0.0,1.0
2015-07-22,2.9,2.9,2.84,2.9,2.2489,124278.0,0.0,1.0
2015-07-23,2.9,2.92,2.87,2.9,2.2489,157520.0,0.0,1.0
2015-07-24,2.89,2.89,2.81,2.85,2.2101,90885.0,0.0,1.0
2015-07-27,2.9,2.9,2.81,2.9,2.2489,180861.0,0.0,1.0
2015-07-28,2.85,2.89,2.81,2.83,2.1946,179048.0,0.0,1.0
2015-07-29,2.85,2.87,2.75,2.8,2.1714,132021.0,0.0,1.0
2015-07-30,2.81,2.88,2.76,2.77,2.1481,212910.0,0.0,1.0
2015-07-31,2.8,2.83,2.77,2.79,2.1636,90764.0,0.0,1.0
2015-08-03,2.79,2.83,2.79,2.8,2.1714,157090.0,0.0,1.0
2015-08-04,2.81,2.83,2.79,2.83,2.1946,134267.0,0.0,1.0
2015-08-05,2.83,2.85,2.81,2.82,2.1869,195224.0,0.0,1.0
2015-08-06,2.82,2.89,2.79,2.88,2.2334,641386.0,0.0,1.0
2015-08-07,2.86,2.91,2.85,2.89,2.2412,217203.0,0.0,1.0
2015-08-10,2.89,2.9,2.8,2.84,2.2024,27509.0,0.0,1.0
2015-08-11,2.84,2.89,2.83,2.85,2.2101,113282.0,0.0,1.0
2015-08-12,2.88,2.88,2.82,2.85,2.2101,203494.0,0.0,1.0
