date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2015-05-22,1.19,1.205,1.17,1.205,0.9263,6617420.0,0.0,1.0
2015-05-25,1.21,1.21,1.185,1.205,0.9263,653536.0,0.0,1.0
2015-05-26,1.205,1.205,1.185,1.205,0.9263,852377.0,0.0,1.0
2015-05-27,1.2,1.205,1.192,1.195,0.9186,1589494.0,0.0,1.0
2015-05-28,1.19,1.19,1.13,1.17,0.8994,317398.0,0.0,1.0
2015-05-29,1.15,1.185,1.15,1.17,0.8994,1130857.0,0.0,1.0
2015-06-01,1.175,1.175,1.165,1.17,0.8994,927676.0,0.0,1.0
2015-06-02,1.17,1.175,1.16,1.17,0.8994,1485600.0,0.0,1.0
2015-06-03,1.17,1.17,1.16,1.17,0.8994,1118230.0,0.0,1.0
2015-06-04,1.165,1.165,1.1,1.13,0.8687,176637.0,0.0,1.0
2015-06-05,1.125,1.13,1.095,1.13,0.8687,130658.0,0.0,1.0
2015-06-09,1.13,1.13,1.1,1.13,0.8687,144836.0,0.0,1.0
2015-06-10,1.13,1.13,1.1,1.11,0.8533,286943.0,0.0,1.0
2015-06-11,1.1,1.11,1.06,1.08,0.8302,322255.0,0.0,1.0
2015-06-12,1.08,1.1,1.07,1.1,0.8456,220869.0,0.0,1.0
2015-06-15,1.09,1.1,1.09,1.1,0.8456,19167.0,0.0,1.0
2015-06-16,1.11,1.11,1.09,1.09,0.8379,65709.0,0.0,1.0
2015-06-17,1.09,1.09,1.09,1.09,0.8379,2143455.0,0.0,1.0
2015-06-18,1.09,1.09,1.09,1.09,0.8379,89059.0,0.0,1.0
2015-06-19,1.09,1.12,1.09,1.09,0.8379,135343.0,0.0,1.0
2015-06-22,1.08,1.09,1.07,1.07,0.8225,47816.0,0.0,1.0
2015-06-23,1.08,1.09,1.075,1.09,0.8379,168203.0,0.0,1.0
2015-06-24,1.09,1.11,1.065,1.09,0.8379,357582.0,0.0,1.0
2015-06-25,1.08,1.09,1.05,1.06,0.8148,205776.0,0.0,1.0
2015-06-26,1.07,1.07,1.01,1.06,0.8148,404493.0,0.0,1.0
2015-06-29,1.05,1.05,0.995,1.0,0.7687,190670.0,0.0,1.0
2015-06-30,1.02,1.02,0.99,1.0,0.7687,330074.0,0.0,1.0
2015-07-01,1.06,1.06,1.06,1.06,0.8148,10000.0,0.0,1.0
2015-07-02,1.08,1.11,1.08,1.11,0.8533,106191.0,0.0,1.0
2015-07-03,1.105,1.13,1.105,1.12,0.861,73569.0,0.0,1.0
2015-07-06,1.11,1.11,1.095,1.1,0.8456,78310.0,0.0,1.0
2015-07-07,1.15,1.15,1.12,1.12,0.861,99010.0,0.0,1.0
2015-07-08,1.12,1.12,1.09,1.1,0.8456,62069.0,0.0,1.0
2015-07-09,1.07,1.1,1.07,1.08,0.8302,58857.0,0.0,1.0
2015-07-10,1.08,1.1,1.07,1.07,0.8225,60124.0,0.0,1.0
2015-07-13,1.07,1.07,1.07,1.07,0.8225,0.0,0.0,1.0
2015-07-14,1.07,1.08,1.06,1.07,0.8225,44166.0,0.0,1.0
2015-07-15,1.08,1.095,1.06,1.095,0.8417,224308.0,0.0,1.0
2015-07-16,1.1,1.105,1.075,1.1,0.8456,91545.0,0.0,1.0
2015-07-17,1.075,1.1,1.06,1.075,0.8264,609566.0,0.0,1.0
2015-07-20,1.1,1.1,1.075,1.085,0.8341,24224.0,0.0,1.0
2015-07-21,1.09,1.1,1.08,1.09,0.8379,296474.0,0.0,1.0
2015-07-22,1.12,1.12,1.1,1.12,0.861,124820.0,0.0,1.0
2015-07-23,1.12,1.13,1.115,1.12,0.861,13346.0,0.0,1.0
2015-07-24,1.13,1.15,1.12,1.15,0.884,65386.0,0.0,1.0
2015-07-27,1.13,1.18,1.13,1.17,0.8994,118886.0,0.0,1.0
2015-07-28,1.17,1.17,1.12,1.15,0.884,84492.0,0.0,1.0
2015-07-29,1.17,1.175,1.125,1.125,0.8648,71430.0,0.0,1.0
2015-07-30,1.175,1.175,1.16,1.17,0.8994,107874.0,0.0,1.0
2015-07-31,1.17,1.18,1.17,1.175,0.9032,246657.0,0.0,1.0
2015-08-03,1.175,1.18,1.16,1.18,0.9071,109552.0,0.0,1.0
2015-08-04,1.18,1.19,1.17,1.185,0.9109,54740.0,0.0,1.0
2015-08-05,1.185,1.2,1.175,1.2,0.9225,104333.0,0.0,1.0
2015-08-06,1.2,1.2,1.18,1.2,0.9225,90492.0,0.0,1.0
2015-08-07,1.19,1.19,1.15,1.175,0.9032,60065.0,0.0,1.0
2015-08-10,1.175,1.175,1.15,1.16,0.8917,61675.0,0.0,1.0
2015-08-11,1.16,1.17,1.12,1.16,0.8917,18429.0,0.0,1.0
2015-08-12,1.16,1.16,1.12,1.15,0.884,33609.0,0.0,1.0
2015-08-13,1.15,1.15,1.135,1.14,0.8763,9812.0,0.0,1.0
2015-08-14,1.14,1.14,1.09,1.125,0.8648,35123.0,0.0,1.0
2015-08-17,1.12,1.125,1.1,1.125,0.8648,26261.0,0.0,1.0
2015-08-18,1.125,1.125,1.125,1.125,0.8648,27624.0,0.0,1.0
2015-08-19,1.125,1.14,1.11,1.11,0.8533,150953.0,0.0,1.0
2015-08-20,1.11,1.13,1.1,1.11,0.8533,101691.0,0.0,1.0
2015-08-21,1.11,1.125,1.105,1.105,0.8494,35429.0,0.0,1.0
2015-08-24,1.095,1.095,1.07,1.07,0.8225,120294.0,0.0,1.0
2015-08-25,1.052,1.085,1.03,1.07,0.8225,196631.0,0.0,1.0
2015-08-26,1.075,1.085,1.07,1.075,0.8264,310171.0,0.0,1.0
2015-08-27,1.09,1.125,1.07,1.08,0.8302,148997.0,0.0,1.0
2015-08-28,1.08,1.1,1.06,1.095,0.8417,111028.0,0.0,1.0
2015-08-31,1.095,1.1,1.08,1.1,0.8456,35534.0,0.0,1.0
2015-09-01,1.08,1.09,1.05,1.08,0.8302,67845.0,0.0,1.0
2015-09-02,1.04,1.1,1.025,1.05,0.8072,115536.0,0.0,1.0
2015-09-03,1.09,1.09,1.025,1.035,0.7956,241839.0,0.0,1.0
