date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2001-12-14,0.9228,0.9228,0.9228,0.9228,0.7898,0.0,0.0,1.0
2001-12-17,1.1074,1.1443,1.0704,1.0981,0.9399,13051614.0,0.0,1.0
2001-12-18,1.1074,1.1166,1.0797,1.0889,0.932,2460383.0,0.0,1.0
2001-12-19,1.0981,1.0981,0.9966,1.0058,0.8609,2115186.0,0.0,1.0
2001-12-20,1.0151,1.0151,0.9228,0.9874,0.8451,992556.0,0.0,1.0
2001-12-21,0.9874,0.9874,0.9413,0.9413,0.8056,518556.0,0.0,1.0
2001-12-24,0.9505,1.0428,0.9413,1.0428,0.8925,874469.0,0.0,1.0
2001-12-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2001-12-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2001-12-27,1.0797,1.0981,1.0612,1.0704,0.9162,1357367.0,0.0,1.0
2001-12-28,1.0889,1.0889,1.0612,1.0797,0.9241,1190198.0,0.0,1.0
2001-12-31,1.0889,1.0889,1.0704,1.0797,0.9241,316843.0,0.0,1.0
2002-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2002-01-02,1.0797,1.0889,1.0612,1.0612,0.9083,287170.0,0.0,1.0
2002-01-03,1.0732,1.0732,1.0612,1.0704,0.9162,223641.0,0.0,1.0
2002-01-04,1.0797,1.0797,1.0335,1.0428,0.8925,371663.0,0.0,1.0
2002-01-07,1.052,1.0704,1.0428,1.0704,0.9162,383313.0,0.0,1.0
2002-01-08,1.0797,1.0797,1.052,1.0612,0.9083,595633.0,0.0,1.0
2002-01-09,1.0612,1.0704,1.052,1.052,0.9004,258533.0,0.0,1.0
2002-01-10,1.0612,1.0612,1.0428,1.052,0.9004,504813.0,0.0,1.0
2002-01-11,1.052,1.0612,1.0335,1.0335,0.8846,340947.0,0.0,1.0
2002-01-14,1.0446,1.052,1.0428,1.0428,0.8925,351635.0,0.0,1.0
2002-01-15,1.1166,1.1258,1.0704,1.1074,0.9478,8913988.0,0.0,1.0
2002-01-16,1.1258,1.1258,1.1074,1.1074,0.9478,3027754.0,0.0,1.0
2002-01-17,1.1074,1.1166,1.1074,1.1074,0.9478,1914767.0,0.0,1.0
2002-01-18,1.1258,1.1443,1.1166,1.1258,0.9636,1344527.0,0.0,1.0
2002-01-21,1.1443,1.172,1.135,1.1627,0.9952,1286855.0,0.0,1.0
2002-01-22,1.172,1.2273,1.1627,1.172,1.0031,1825380.0,0.0,1.0
2002-01-23,1.1996,1.1996,1.1812,1.1996,1.0268,794995.0,0.0,1.0
2002-01-24,1.1996,1.1996,1.1812,1.1996,1.0268,656123.0,0.0,1.0
2002-01-25,1.1996,1.1996,1.172,1.1904,1.0189,634107.0,0.0,1.0
2002-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2002-01-29,1.1904,1.1996,1.1627,1.1627,0.9952,409339.0,0.0,1.0
2002-01-30,1.1747,1.1812,1.1627,1.1812,1.011,166580.0,0.0,1.0
2002-01-31,1.1812,1.1812,1.1627,1.1627,0.9952,308496.0,0.0,1.0
2002-02-01,1.1793,1.1793,1.1535,1.1535,0.9873,359733.0,0.0,1.0
2002-02-04,1.1535,1.172,1.1535,1.1627,0.9952,258601.0,0.0,1.0
2002-02-05,1.1627,1.172,1.1535,1.1535,0.9873,196317.0,0.0,1.0
2002-02-06,1.1627,1.172,1.1535,1.1535,0.9873,180840.0,0.0,1.0
2002-02-07,1.1535,1.1627,1.1443,1.1535,0.9873,253158.0,0.0,1.0
2002-02-08,1.1535,1.1627,1.1443,1.1535,0.9873,214694.0,0.0,1.0
2002-02-11,1.1535,1.1535,1.1258,1.135,0.9715,419625.0,0.0,1.0
2002-02-12,1.135,1.1443,1.1074,1.1074,0.9478,463597.0,0.0,1.0
2002-02-13,1.1074,1.135,1.1074,1.135,0.9715,343777.0,0.0,1.0
2002-02-14,1.135,1.2366,1.135,1.2273,1.0504,1151275.0,0.0,1.0
2002-02-15,1.2642,1.3011,1.255,1.2642,1.082,2245299.0,0.0,1.0
2002-02-18,1.2827,1.2919,1.2642,1.2735,1.0899,797535.0,0.0,1.0
2002-02-19,1.2827,1.2827,1.255,1.255,1.0741,526508.0,0.0,1.0
2002-02-20,1.2642,1.2827,1.255,1.2642,1.082,284678.0,0.0,1.0
2002-02-21,1.2735,1.2735,1.255,1.255,1.0741,303046.0,0.0,1.0
2002-02-22,1.2642,1.2735,1.255,1.2642,1.082,158626.0,0.0,1.0
2002-02-25,1.2642,1.2735,1.255,1.255,1.0741,200169.0,0.0,1.0
2002-02-26,1.255,1.255,1.2366,1.2366,1.0583,460273.0,0.0,1.0
2002-02-27,1.2458,1.2458,1.2273,1.2273,1.0504,288603.0,0.0,1.0
2002-02-28,1.2366,1.2458,1.2273,1.2458,1.0662,187981.0,0.0,1.0
2002-03-01,1.2366,1.255,1.2366,1.255,1.0741,159061.0,0.0,1.0
2002-03-04,1.2273,1.2366,1.2181,1.2181,1.0425,240360.0,0.0,1.0
2002-03-05,1.2366,1.2366,1.2181,1.2273,1.0504,218259.0,0.0,1.0
2002-03-06,1.2181,1.2458,1.1996,1.2273,1.0504,1507806.0,0.0,1.0
2002-03-07,1.2458,1.255,1.2273,1.2273,1.0504,740278.0,0.0,1.0
2002-03-08,1.2366,1.2366,1.2181,1.2273,1.0504,734127.0,0.0,1.0
2002-03-11,1.2273,1.2273,1.2089,1.2273,1.0504,1197478.0,0.0,1.0
2002-03-12,1.2366,1.2735,1.2366,1.255,1.0741,605112.0,0.0,1.0
2002-03-13,1.2642,1.2642,1.255,1.255,1.0741,394946.0,0.0,1.0
2002-03-14,1.255,1.2642,1.2458,1.255,1.0741,173682.0,0.0,1.0
2002-03-15,1.255,1.255,1.2366,1.2458,1.0662,379693.0,0.0,1.0
2002-03-18,1.2458,1.2458,1.2366,1.2458,1.0662,158269.0,0.0,1.0
2002-03-19,1.2458,1.2458,1.2366,1.2366,1.0583,383474.0,0.0,1.0
2002-03-20,1.2458,1.2458,1.2366,1.2366,1.0583,292774.0,0.0,1.0
2002-03-21,1.2458,1.2458,1.2366,1.2458,1.0662,147538.0,0.0,1.0
2002-03-22,1.2458,1.2458,1.2366,1.2458,1.0662,216255.0,0.0,1.0
2002-03-25,1.2458,1.2458,1.2273,1.2273,1.0504,740189.0,0.0,1.0
2002-03-26,1.2273,1.2273,1.2181,1.2181,1.0425,226829.0,0.0,1.0
2002-03-27,1.2181,1.2181,1.1812,1.1904,1.0189,2816796.0,0.0,1.0
2002-03-28,1.1996,1.1996,1.0612,1.1166,0.9557,4075753.0,0.0,1.0
2002-03-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2002-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2002-04-02,1.1627,1.1812,1.1443,1.1535,0.9873,2617183.0,0.0,1.0
2002-04-03,1.1812,1.1812,1.1627,1.1627,0.9952,1416745.0,0.0,1.0
2002-04-04,1.172,1.1812,1.1627,1.1812,1.011,379056.0,0.0,1.0
2002-04-05,1.1812,1.1904,1.1627,1.1627,0.9952,539894.0,0.0,1.0
2002-04-08,1.1812,1.1812,1.1627,1.1627,0.9952,189992.0,0.0,1.0
2002-04-09,1.172,1.172,1.1627,1.1627,0.9952,297615.0,0.0,1.0
2002-04-10,1.172,1.172,1.1535,1.1627,0.9952,212109.0,0.0,1.0
2002-04-11,1.172,1.172,1.1627,1.1627,0.9952,138635.0,0.0,1.0
2002-04-12,1.172,1.172,1.1627,1.172,1.0031,216733.0,0.0,1.0
2002-04-15,1.172,1.172,1.1627,1.172,1.0031,117715.0,0.0,1.0
2002-04-16,1.1627,1.172,1.1535,1.1627,0.9952,334544.0,0.0,1.0
2002-04-17,1.1627,1.172,1.1627,1.1627,0.9952,220746.0,0.0,1.0
2002-04-18,1.1627,1.172,1.1535,1.1627,0.9952,121435.0,0.0,1.0
2002-04-19,1.1627,1.172,1.1535,1.1627,0.9952,202623.0,0.0,1.0
2002-04-22,1.1627,1.172,1.1627,1.1627,0.9952,143048.0,0.0,1.0
