date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-04,8.3492,8.3956,8.3214,8.3492,4.7749,413500.0,0.0,1.0
2000-01-05,8.313,8.3214,8.1637,8.2444,4.715,412099.0,0.0,1.0
2000-01-06,8.3492,8.3492,8.1173,8.1173,4.6423,310772.0,0.0,1.0
2000-01-07,8.1637,8.3307,8.0987,8.3307,4.7643,414363.0,0.0,1.0
2000-01-10,8.3956,8.5162,8.3956,8.4605,4.8386,685466.0,0.0,1.0
2000-01-11,8.5292,8.5347,8.3585,8.3585,4.7802,434520.0,0.0,1.0
2000-01-12,8.3585,8.3956,8.275,8.3307,4.7643,218715.0,0.0,1.0
2000-01-13,8.3297,8.3399,8.1266,8.2119,4.6964,296974.0,0.0,1.0
2000-01-14,8.3121,8.3492,8.1729,8.2564,4.7219,533476.0,0.0,1.0
2000-01-17,8.4049,8.4049,8.3028,8.3492,4.7749,444545.0,0.0,1.0
2000-01-18,8.377,8.4884,8.3307,8.4141,4.812,770516.0,0.0,1.0
2000-01-19,8.4355,8.442,8.3307,8.3307,4.7643,390217.0,0.0,1.0
2000-01-20,8.3492,8.4884,8.3492,8.4114,4.8105,581768.0,0.0,1.0
2000-01-21,8.4652,8.5069,8.442,8.4754,4.8471,327804.0,0.0,1.0
2000-01-24,8.4049,8.5347,8.3956,8.5162,4.8704,288027.0,0.0,1.0
2000-01-25,8.4884,8.5255,8.3956,8.4967,4.8593,253857.0,0.0,1.0
2000-01-26,8.4967,8.4967,8.4967,8.4967,4.8593,0.0,0.0,1.0
2000-01-27,8.5264,8.5264,8.3446,8.3446,4.7723,606453.0,0.0,1.0
2000-01-28,8.442,8.442,8.275,8.2843,4.7378,557083.0,0.0,1.0
2000-01-31,8.3028,8.442,8.275,8.442,4.828,367580.0,0.0,1.0
2000-02-01,8.5255,8.5255,8.2564,8.2657,4.7272,566030.0,0.0,1.0
2000-02-02,8.3492,8.3492,8.2101,8.2564,4.7219,429023.0,0.0,1.0
2000-02-03,8.3557,8.3585,8.2008,8.275,4.7325,507713.0,0.0,1.0
2000-02-04,8.3028,8.3028,8.2193,8.2564,4.7219,386228.0,0.0,1.0
2000-02-07,8.3492,8.3492,8.2564,8.2796,4.7351,201576.0,0.0,1.0
2000-02-08,8.2434,8.3492,8.2286,8.2434,4.7144,810293.0,0.0,1.0
2000-02-09,8.2564,8.3307,8.2379,8.2935,4.7431,538542.0,0.0,1.0
2000-02-10,8.2564,8.275,8.0802,8.0987,4.6317,2890407.0,0.0,1.0
2000-02-11,8.0894,8.0894,7.941,7.9596,4.5521,911620.0,0.0,1.0
2000-02-14,7.9234,7.9234,7.6998,7.7462,4.4301,1339133.0,0.0,1.0
2000-02-15,7.7926,7.8111,7.672,7.6998,4.4035,719098.0,0.0,1.0
2000-02-16,7.7926,7.7926,7.6998,7.6998,4.4035,462439.0,0.0,1.0
2000-02-17,7.7091,7.7833,7.5607,7.5607,4.3239,641055.0,0.0,1.0
2000-02-18,7.5421,7.6998,7.5328,7.595,4.3436,569803.0,0.0,1.0
2000-02-21,7.5885,7.7184,7.5328,7.6998,4.4035,267439.0,0.0,1.0
2000-02-22,7.7462,7.9132,7.7462,7.762,4.4391,276386.0,0.0,1.0
2000-02-23,7.788,7.8111,7.6442,7.6442,4.3717,452414.0,0.0,1.0
2000-02-24,7.6998,7.6998,7.5328,7.5514,4.3186,427083.0,0.0,1.0
2000-02-25,7.6367,7.6367,7.5236,7.5236,4.3027,455001.0,0.0,1.0
2000-02-28,7.5143,7.5143,7.4215,7.4679,4.2709,328774.0,0.0,1.0
2000-02-29,7.4679,7.4957,7.4401,7.4679,4.2709,624670.0,0.0,1.0
2000-03-01,7.4679,7.5421,7.4679,7.5134,4.2969,418782.0,0.0,1.0
2000-03-02,7.6534,7.8854,7.4679,7.5059,4.2926,880251.0,0.0,1.0
2000-03-03,7.5607,7.5607,7.4493,7.4679,4.2709,829480.0,0.0,1.0
