date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2014-07-02,1.71,1.74,1.705,1.74,1.3979,5896630.0,0.0,1.0
2014-07-03,1.735,1.75,1.72,1.74,1.3979,3494071.0,0.0,1.0
2014-07-04,1.74,1.75,1.73,1.74,1.3979,2619130.0,0.0,1.0
2014-07-07,1.74,1.77,1.74,1.75,1.4059,4271918.0,0.0,1.0
2014-07-08,1.76,1.77,1.755,1.76,1.4139,2952638.0,0.0,1.0
2014-07-09,1.75,1.77,1.745,1.77,1.422,2094461.0,0.0,1.0
2014-07-10,1.765,1.81,1.76,1.79,1.438,2910551.0,0.0,1.0
2014-07-11,1.78,1.795,1.75,1.785,1.434,3571412.0,0.0,1.0
2014-07-14,1.79,1.8,1.785,1.785,1.434,1223810.0,0.0,1.0
2014-07-15,1.78,1.79,1.745,1.75,1.4059,1146759.0,0.0,1.0
2014-07-16,1.735,1.76,1.72,1.75,1.4059,686280.0,0.0,1.0
2014-07-17,1.75,1.755,1.74,1.745,1.4019,974858.0,0.0,1.0
2014-07-18,1.745,1.765,1.74,1.755,1.4099,369561.0,0.0,1.0
2014-07-21,1.755,1.765,1.745,1.76,1.4139,1258565.0,0.0,1.0
2014-07-22,1.75,1.76,1.745,1.755,1.4099,4494151.0,0.0,1.0
2014-07-23,1.76,1.785,1.74,1.78,1.43,905017.0,0.0,1.0
2014-07-24,1.785,1.785,1.76,1.77,1.422,1901562.0,0.0,1.0
2014-07-25,1.78,1.78,1.75,1.78,1.43,219620.0,0.0,1.0
2014-07-28,1.78,1.78,1.77,1.775,1.426,230870.0,0.0,1.0
2014-07-29,1.775,1.785,1.76,1.78,1.43,705633.0,0.0,1.0
2014-07-30,1.78,1.79,1.775,1.79,1.438,2199019.0,0.0,1.0
2014-07-31,1.79,1.79,1.75,1.79,1.438,525687.0,0.0,1.0
2014-08-01,1.755,1.79,1.755,1.785,1.434,2346665.0,0.0,1.0
2014-08-04,1.78,1.79,1.77,1.77,1.422,1094203.0,0.0,1.0
2014-08-05,1.785,1.79,1.76,1.79,1.438,1913868.0,0.0,1.0
2014-08-06,1.785,1.79,1.765,1.78,1.43,4521488.0,0.0,1.0
2014-08-07,1.78,1.8,1.78,1.8,1.4461,2614612.0,0.0,1.0
2014-08-08,1.8,1.8,1.795,1.8,1.4461,6919493.0,0.0,1.0
2014-08-11,1.8,1.805,1.775,1.8,1.4461,2696083.0,0.0,1.0
2014-08-12,1.8,1.925,1.8,1.9,1.5264,6290348.0,0.0,1.0
2014-08-13,1.89,1.915,1.87,1.88,1.5104,1185566.0,0.0,1.0
2014-08-14,1.88,1.89,1.855,1.86,1.4943,1266308.0,0.0,1.0
2014-08-15,1.86,1.89,1.86,1.875,1.5063,557917.0,0.0,1.0
2014-08-18,1.88,1.88,1.85,1.875,1.5063,534337.0,0.0,1.0
2014-08-19,1.875,1.91,1.875,1.9,1.5264,671810.0,0.0,1.0
2014-08-20,1.91,1.92,1.9,1.91,1.5345,2782595.0,0.0,1.0
2014-08-21,1.92,1.93,1.89,1.905,1.5304,742172.0,0.0,1.0
2014-08-22,1.9,1.95,1.89,1.935,1.5545,1334107.0,0.0,1.0
2014-08-25,1.93,1.94,1.925,1.93,1.5505,1469165.0,0.0,1.0
2014-08-26,1.95,1.96,1.93,1.955,1.5706,1426466.0,0.0,1.0
2014-08-27,1.96,2.1,1.952,2.05,1.6469,3136000.0,0.0,1.0
2014-08-28,2.01,2.04,2.0,2.03,1.6309,2829127.0,0.0,1.0
2014-08-29,2.01,2.04,2.0,2.03,1.6309,1801199.0,0.0,1.0
2014-09-01,2.03,2.05,2.0,2.03,1.6309,286942.0,0.0,1.0
2014-09-02,2.03,2.09,2.03,2.07,1.663,3453698.0,0.0,1.0
2014-09-03,2.08,2.13,2.04,2.07,1.663,3680198.0,0.0,1.0
2014-09-04,2.07,2.1,2.07,2.09,1.6791,2950763.0,0.0,1.0
2014-09-05,2.07,2.09,2.02,2.03,1.6309,2409183.0,0.0,1.0
2014-09-08,2.04,2.07,2.01,2.03,1.6309,2352536.0,0.0,1.0
2014-09-09,2.01,2.03,1.99,2.03,1.6309,1505850.0,0.0,1.0
2014-09-10,2.03,2.055,2.01,2.04,1.6389,1479844.0,0.0,1.0
2014-09-11,2.04,2.06,2.01,2.06,1.655,5604308.0,0.0,1.0
2014-09-12,2.04,2.07,2.02,2.07,1.663,1028774.0,0.0,1.0
2014-09-15,2.05,2.07,2.04,2.07,1.663,582762.0,0.0,1.0
2014-09-16,2.07,2.07,2.03,2.04,1.6389,2737214.0,0.0,1.0
2014-09-17,2.07,2.07,2.04,2.04,1.6389,1072032.0,0.0,1.0
2014-09-18,2.07,2.07,2.05,2.06,1.655,679495.0,0.0,1.0
2014-09-19,2.07,2.105,2.06,2.08,1.671,29531649.0,0.0,1.0
2014-09-22,2.05,2.08,2.01,2.03,1.6309,1100141.0,0.0,1.0
2014-09-23,2.03,2.04,2.02,2.03,1.6309,1350926.0,0.0,1.0
2014-09-24,2.0,2.03,1.97,1.985,1.5947,3113722.0,0.0,1.0
2014-09-25,1.98,1.985,1.925,1.945,1.5626,1685071.0,0.0,1.0
2014-09-26,1.9,1.92,1.895,1.9,1.5264,3452239.0,0.0,1.0
2014-09-29,1.895,1.96,1.895,1.94,1.5586,1915710.0,0.0,1.0
