date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-04,4.5046,4.5284,4.4281,4.4532,1.4791,1261992.0,0.0,1.0
2000-01-05,4.3905,4.4218,4.3591,4.3905,1.4583,1105049.0,0.0,1.0
2000-01-06,4.3905,4.4218,4.3277,4.3528,1.4458,1052634.0,0.0,1.0
2000-01-07,4.3647,4.4532,4.3591,4.4218,1.4687,852100.0,0.0,1.0
2000-01-10,4.4896,4.5786,4.4896,4.5473,1.5104,1373318.0,0.0,1.0
2000-01-11,4.5842,4.61,4.472,4.472,1.4854,1622162.0,0.0,1.0
2000-01-12,4.4482,4.4532,4.3967,4.4218,1.4687,3843641.0,0.0,1.0
2000-01-13,4.3842,4.4845,4.3842,4.4218,1.4687,1590697.0,0.0,1.0
2000-01-14,4.4218,4.4218,4.3591,4.403,1.4625,1584012.0,0.0,1.0
2000-01-17,4.3917,4.4218,4.3716,4.403,1.4625,1097393.0,0.0,1.0
2000-01-18,4.3729,4.4218,4.3716,4.3967,1.4604,1955234.0,0.0,1.0
2000-01-19,4.3905,4.3905,4.3152,4.3353,1.44,803083.0,0.0,1.0
2000-01-20,4.3152,4.3152,4.265,4.2989,1.4279,2927820.0,0.0,1.0
2000-01-21,4.2525,4.265,4.2274,4.2462,1.4104,1089560.0,0.0,1.0
2000-01-24,4.2587,4.2587,4.2148,4.2211,1.402,1755345.0,0.0,1.0
2000-01-25,4.1897,4.2211,4.1646,4.2211,1.402,2143094.0,0.0,1.0
2000-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000-01-27,4.2211,4.2211,4.0455,4.0856,1.357,4696500.0,0.0,1.0
2000-01-28,4.0819,4.0894,4.0204,4.0655,1.3504,5185340.0,0.0,1.0
2000-01-31,4.0455,4.1396,4.0141,4.1082,1.3645,1173227.0,0.0,1.0
2000-02-01,4.122,4.1709,4.0768,4.144,1.3764,1628364.0,0.0,1.0
2000-02-02,4.1483,4.1709,4.0768,4.0894,1.3583,2248597.0,0.0,1.0
2000-02-03,4.0768,4.1082,4.0267,4.1082,1.3645,4089878.0,0.0,1.0
2000-02-04,4.0888,4.1082,4.0204,4.0706,1.352,4720817.0,0.0,1.0
2000-02-07,4.0768,4.1396,4.058,4.127,1.3708,2709112.0,0.0,1.0
2000-02-08,4.0963,4.0963,3.9859,3.9859,1.3239,1861031.0,0.0,1.0
2000-02-09,3.9941,4.0141,3.9075,3.9514,1.3125,2748810.0,0.0,1.0
2000-02-10,3.9138,3.9138,3.7193,3.7507,1.2458,7900520.0,0.0,1.0
2000-02-11,3.7764,3.7946,3.7131,3.7131,1.2333,2553983.0,0.0,1.0
2000-02-14,3.7131,3.7507,3.6942,3.7131,1.2333,1356065.0,0.0,1.0
2000-02-15,3.772,3.7758,3.7319,3.757,1.2479,2764545.0,0.0,1.0
