date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-04,10.9,10.9,10.75,10.8,7.1416,369619.0,0.0,1.0
2000-01-05,10.75,10.75,10.55,10.65,7.0424,451044.0,0.0,1.0
2000-01-06,10.58,10.7,10.35,10.35,6.844,330305.0,0.0,1.0
2000-01-07,10.4,10.45,10.3,10.3,6.8109,356542.0,0.0,1.0
2000-01-10,10.6,10.6,10.45,10.5,6.9432,260557.0,0.0,1.0
2000-01-11,10.5,10.55,10.25,10.35,6.844,267402.0,0.0,1.0
2000-01-12,10.25,10.45,10.15,10.2,6.7448,448977.0,0.0,1.0
2000-01-13,10.2,10.4,10.2,10.3,6.8109,165050.0,0.0,1.0
2000-01-14,10.3,10.4,10.15,10.2,6.7448,364287.0,0.0,1.0
2000-01-17,10.3,10.3,10.05,10.05,6.6456,590634.0,0.0,1.0
2000-01-18,10.05,10.2,10.0,10.05,6.6456,548846.0,0.0,1.0
2000-01-19,10.1,10.1,9.9,9.95,6.5795,577783.0,0.0,1.0
2000-01-20,9.95,10.1,9.75,9.9,6.5464,1085153.0,0.0,1.0
2000-01-21,9.9,10.0,9.9,9.9,6.5464,340480.0,0.0,1.0
2000-01-24,10.0,10.1,9.9,9.95,6.5795,345525.0,0.0,1.0
2000-01-25,9.85,10.0,9.8,9.9,6.5464,293231.0,0.0,1.0
2000-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000-01-27,9.9,9.95,9.6,9.6,6.3481,653060.0,0.0,1.0
2000-01-28,9.6,10.05,9.6,9.95,6.5795,902959.0,0.0,1.0
2000-01-31,9.75,9.95,9.75,9.8,6.4803,225351.0,0.0,1.0
2000-02-01,9.9,9.95,9.7,9.7,6.4142,289149.0,0.0,1.0
2000-02-02,9.8,9.8,9.15,9.25,6.1166,1064491.0,0.0,1.0
2000-02-03,9.25,9.25,8.6,8.7,5.7529,1277350.0,0.0,1.0
2000-02-04,8.785,9.05,8.75,9.0,5.9513,1089160.0,0.0,1.0
2000-02-07,9.1,9.25,9.0,9.1,6.0174,474359.0,0.0,1.0
2000-02-08,9.1,9.15,8.75,8.8,5.8191,833963.0,0.0,1.0
2000-02-09,8.9,9.1,8.8,8.95,5.9183,511907.0,0.0,1.0
2000-02-10,9.0,9.0,8.6,8.85,5.8521,924388.0,0.0,1.0
2000-02-11,8.9,8.9,8.4,8.45,5.5876,784434.0,0.0,1.0
2000-02-14,8.4,8.45,7.7,8.0,5.2901,1338351.0,0.0,1.0
2000-02-15,8.0,8.25,7.9,8.0,5.2901,1171686.0,0.0,1.0
2000-02-16,8.25,8.4,8.0,8.09,5.3496,416280.0,0.0,1.0
2000-02-17,8.05,8.15,7.9,7.9,5.2239,842687.0,0.0,1.0
2000-02-18,8.1,8.615,8.1,8.615,5.6967,474092.0,0.0,1.0
2000-02-21,8.6,8.95,8.55,8.8,5.8191,303299.0,0.0,1.0
2000-02-22,8.8,8.8,8.35,8.4,5.5546,437967.0,0.0,1.0
2000-02-23,8.35,9.2,8.3,8.65,5.7199,808408.0,0.0,1.0
2000-02-24,8.95,8.95,8.25,8.25,5.4554,387823.0,0.0,1.0
2000-02-25,8.4,8.4,8.1,8.1,5.3562,890678.0,0.0,1.0
2000-02-28,8.2,8.5,7.9,8.0,5.2901,327044.0,0.0,1.0
2000-02-29,8.1,8.3,7.9,8.05,5.3231,359925.0,0.0,1.0
2000-03-01,8.2,8.2,7.9,7.9,5.2239,271408.0,0.0,1.0
2000-03-02,8.15,8.2,8.05,8.2,5.4223,178194.0,0.0,1.0
2000-03-03,8.2,8.35,8.0,8.15,5.3892,332480.0,0.0,1.0
2000-03-06,8.25,8.25,7.95,7.95,5.257,315790.0,0.0,1.0
2000-03-07,7.9,7.95,7.55,7.6,5.0256,555340.0,0.0,1.0
2000-03-08,7.6,7.65,7.45,7.5,4.9594,359512.0,0.0,1.0
2000-03-09,7.55,7.7,7.45,7.45,4.9264,359930.0,0.0,1.0
2000-03-10,7.5,7.6,7.45,7.5,4.9594,381773.0,0.0,1.0
2000-03-13,7.55,7.85,7.55,7.85,5.1909,175839.0,0.0,1.0
2000-03-14,7.9,8.2,7.9,8.1,5.3562,220187.0,0.0,1.0
2000-03-15,8.2,8.2,8.05,8.1,5.3562,259892.0,0.0,1.0
2000-03-16,8.25,8.55,8.25,8.3,5.4884,485941.0,0.0,1.0
2000-03-17,8.6,8.6,8.25,8.3,5.4884,618752.0,0.0,1.0
2000-03-20,8.3,8.35,8.05,8.15,5.3892,338808.0,0.0,1.0
2000-03-21,8.2,8.3,8.1,8.1,5.3562,454852.0,0.0,1.0
2000-03-22,8.25,8.5,8.25,8.4,5.5546,447722.0,0.0,1.0
2000-03-23,8.5,8.5,8.25,8.3,5.4884,536225.0,0.0,1.0
2000-03-24,8.5,8.75,8.3,8.45,5.5876,865223.0,0.0,1.0
2000-03-27,8.5,8.65,8.3,8.3,5.4884,174985.0,0.0,1.0
