date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-04,10.3947,10.5572,10.2037,10.2037,3.4353,3310623.0,0.0,1.0
2000-01-05,9.9839,10.0126,9.7928,9.9266,3.342,6209608.0,0.0,1.0
2000-01-06,9.9839,9.9839,9.6304,9.6792,3.2587,6683860.0,0.0,1.0
2000-01-07,9.7451,9.9362,9.7069,9.812,3.3034,3479905.0,0.0,1.0
2000-01-10,9.9362,10.003,9.8788,9.9247,3.3414,4841285.0,0.0,1.0
2000-01-11,9.9648,9.9648,9.6495,9.6495,3.2487,8210699.0,0.0,1.0
2000-01-12,9.6782,9.9935,9.6686,9.9839,3.3613,3980658.0,0.0,1.0
2000-01-13,9.9935,10.175,9.9935,10.0413,3.3806,3110200.0,0.0,1.0
2000-01-14,10.1272,10.2419,10.1272,10.1941,3.4321,2899367.0,0.0,1.0
2000-01-17,10.2534,10.433,10.2228,10.4167,3.507,3612992.0,0.0,1.0
2000-01-18,10.433,10.6527,10.347,10.5858,3.564,3753369.0,0.0,1.0
2000-01-19,10.4893,10.4999,10.3661,10.3852,3.4964,3583812.0,0.0,1.0
2000-01-20,10.3919,10.4712,10.2228,10.433,3.5125,5821604.0,0.0,1.0
2000-01-21,10.3957,10.3957,10.2228,10.2725,3.4585,2357150.0,0.0,1.0
2000-01-24,10.2772,10.3661,10.2419,10.2514,3.4514,2004365.0,0.0,1.0
2000-01-25,10.0795,10.1177,9.9553,10.0499,3.3835,5271049.0,0.0,1.0
2000-01-26,12.8501,12.8501,12.8501,12.8501,4.3263,151455.0,0.0,1.0
2000-01-27,10.0556,10.1368,10.003,10.0413,3.3806,3852331.0,0.0,1.0
2000-01-28,10.0795,10.3852,10.0795,10.3374,3.4803,7518145.0,0.0,1.0
2000-01-31,10.197,10.2228,10.0222,10.0795,3.3935,3448251.0,0.0,1.0
2000-02-01,10.0795,10.1081,9.8597,9.9839,3.3613,5275728.0,0.0,1.0
2000-02-02,9.9266,10.2037,9.917,9.9362,3.3452,4928576.0,0.0,1.0
2000-02-03,9.9772,10.0317,9.8215,9.8502,3.3163,5305181.0,0.0,1.0
2000-02-04,9.8884,10.0222,9.8884,9.9362,3.3452,3571596.0,0.0,1.0
2000-02-07,9.9553,10.0699,9.9553,10.0222,3.3742,2330750.0,0.0,1.0
2000-02-08,10.0222,10.175,10.0222,10.1081,3.4031,2069078.0,0.0,1.0
2000-02-09,10.1272,10.2705,10.1177,10.2323,3.4449,3643265.0,0.0,1.0
2000-02-10,10.1721,10.2132,10.0795,10.2132,3.4385,6374527.0,0.0,1.0
2000-02-11,10.1091,10.1272,9.8979,9.9362,3.3452,2943213.0,0.0,1.0
2000-02-14,9.8406,9.8788,9.7642,9.8406,3.3131,5380998.0,0.0,1.0
2000-02-15,9.8406,9.8597,9.7451,9.7928,3.297,6235389.0,0.0,1.0
2000-02-16,9.8406,9.8979,9.7642,9.8406,3.3131,6465690.0,0.0,1.0
2000-02-17,9.8215,9.8311,9.7737,9.7737,3.2906,2748954.0,0.0,1.0
2000-02-18,9.7451,9.7928,9.6304,9.6591,3.252,4077768.0,0.0,1.0
2000-02-21,9.5597,9.6495,9.5597,9.64,3.2455,3427968.0,0.0,1.0
2000-02-22,9.6304,9.64,9.4489,9.5158,3.2037,11280769.0,0.0,1.0
2000-02-23,9.5444,9.554,9.4393,9.4585,3.1844,11631564.0,0.0,1.0
2000-02-24,9.5444,9.5444,9.296,9.3343,3.1426,6500895.0,0.0,1.0
2000-02-25,9.3438,9.6973,9.3056,9.6773,3.2581,8181139.0,0.0,1.0
2000-02-28,9.6228,9.6495,9.4393,9.4489,3.1812,5083204.0,0.0,1.0
2000-02-29,9.5301,9.5922,9.4776,9.5635,3.2198,6152243.0,0.0,1.0
2000-03-01,9.6352,9.8406,9.6209,9.8225,3.307,8631456.0,0.0,1.0
2000-03-02,9.9362,10.0222,9.6591,9.7288,3.2754,3574527.0,0.0,1.0
2000-03-03,9.7518,9.7928,9.6018,9.7833,3.2938,3688980.0,0.0,1.0
2000-03-06,9.8406,9.8693,9.6591,9.726,3.2745,2301079.0,0.0,1.0
2000-03-07,9.6018,9.7928,9.5444,9.726,3.2745,4514862.0,0.0,1.0
2000-03-08,9.6973,9.8979,9.6591,9.812,3.3034,2698736.0,0.0,1.0
2000-03-09,9.8406,10.0317,9.7737,9.9792,3.3597,3613639.0,0.0,1.0
2000-03-10,9.9839,10.1941,9.8597,9.8922,3.3304,3327286.0,0.0,1.0
2000-03-13,9.833,10.0126,9.8215,9.8951,3.3314,2793317.0,0.0,1.0
2000-03-14,9.8406,10.0126,9.8406,10.0126,3.371,3703429.0,0.0,1.0
2000-03-15,10.0059,10.2514,9.9362,10.2323,3.4449,4811809.0,0.0,1.0
2000-03-16,10.347,10.5572,10.324,10.324,3.4758,3642901.0,0.0,1.0
2000-03-17,10.5094,10.6145,10.261,10.261,3.4546,3728048.0,0.0,1.0
2000-03-20,10.3183,10.3947,10.1272,10.1979,3.4334,1638258.0,0.0,1.0
2000-03-21,10.175,10.2323,10.0317,10.175,3.4256,1398433.0,0.0,1.0
2000-03-22,10.3183,10.4807,10.2419,10.3183,3.4739,2500404.0,0.0,1.0
2000-03-23,10.3661,10.4043,10.2228,10.2992,3.4675,2634309.0,0.0,1.0
2000-03-24,10.3183,10.3661,10.2514,10.3088,3.4707,1904511.0,0.0,1.0
2000-03-27,10.2285,10.4234,10.2285,10.3374,3.4803,2927734.0,0.0,1.0
2000-03-28,10.3279,10.4712,10.2801,10.347,3.4836,2925224.0,0.0,1.0
2000-03-29,10.3374,10.347,10.0508,10.2276,3.4434,2569249.0,0.0,1.0
2000-03-30,10.2228,10.2228,10.0508,10.1119,3.4044,2859188.0,0.0,1.0
2000-03-31,10.0097,10.1081,9.9362,9.9362,3.3452,6556619.0,0.0,1.0
2000-04-03,9.9362,10.0508,9.8884,10.0222,3.3742,2866871.0,0.0,1.0
2000-04-04,10.2276,10.4903,10.1846,10.4616,3.5221,2631189.0,0.0,1.0
2000-04-05,10.2323,10.7674,10.2323,10.6479,3.5849,4015724.0,0.0,1.0
2000-04-06,10.5094,10.6336,10.3661,10.4616,3.5221,3568520.0,0.0,1.0
2000-04-07,10.6049,10.7387,10.4616,10.4616,3.5221,3613833.0,0.0,1.0
