date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2016-07-26,2.2146,2.2246,2.1647,2.1647,1.7574,80955.0,0.0,1.0
2016-07-27,2.2146,2.2146,2.1647,2.1647,1.7574,78739.0,0.0,1.0
2016-07-28,2.1847,2.1947,2.1647,2.1847,1.7735,50284.0,0.0,1.0
2016-07-29,2.1647,2.1947,2.1647,2.1947,1.7816,119411.0,0.0,1.0
2016-08-01,2.1947,2.2146,2.1747,2.2146,1.7978,65685.0,0.0,1.0
2016-08-02,2.2146,2.2146,2.1747,2.1847,1.7735,32687.0,0.0,1.0
2016-08-03,2.1947,2.1947,2.1747,2.1847,1.7735,200222.0,0.0,1.0
2016-08-04,2.1947,2.1947,2.1647,2.1747,1.7654,120497.0,0.0,1.0
2016-08-05,2.1847,2.1947,2.1647,2.1947,1.7816,241956.0,0.0,1.0
2016-08-08,2.1947,2.1947,2.1747,2.1747,1.7654,131390.0,0.0,1.0
2016-08-09,2.1747,2.1847,2.1547,2.1847,1.7735,63503.0,0.0,1.0
2016-08-10,2.1947,2.1947,2.1547,2.1847,1.7735,343489.0,0.0,1.0
2016-08-11,2.1847,2.1847,2.1547,2.1747,1.7654,76203.0,0.0,1.0
2016-08-12,2.1747,2.1747,2.1647,2.1747,1.7654,326802.0,0.0,1.0
2016-08-15,2.1747,2.1797,2.1647,2.1647,1.7574,147962.0,0.0,1.0
2016-08-16,2.1647,2.1797,2.1647,2.1647,1.7574,145555.0,0.0,1.0
2016-08-17,2.1747,2.1747,2.1547,2.1647,1.7574,34064.0,0.0,1.0
2016-08-18,2.1647,2.1647,2.1448,2.1547,1.7493,265209.0,0.0,1.0
2016-08-19,2.1647,2.1647,2.1448,2.1547,1.7493,33197.0,0.0,1.0
2016-08-22,2.1547,2.1847,2.1348,2.1847,1.7735,154276.0,0.0,1.0
2016-08-23,2.1797,2.1947,2.1747,2.1947,1.7816,470479.0,0.0,1.0
2016-08-24,2.1547,2.1947,2.1547,2.1747,1.7654,95862.0,0.0,1.0
2016-08-25,2.1747,2.1847,2.1448,2.1847,1.7735,145542.0,0.0,1.0
2016-08-26,2.1747,2.1847,2.1547,2.1747,1.7654,411910.0,0.0,1.0
2016-08-29,2.1647,2.1947,2.1647,2.1747,1.7654,182182.0,0.0,1.0
2016-08-30,2.1647,2.1947,2.1547,2.1847,1.7735,71048.0,0.0,1.0
2016-08-31,2.1647,2.1747,2.1547,2.1747,1.7654,146768.0,0.0,1.0
2016-09-01,2.1647,2.1747,2.1647,2.1747,1.7654,220798.0,0.0,1.0
2016-09-02,2.1547,2.1647,2.1248,2.1248,1.725,120687.0,0.0,1.0
2016-09-05,2.1448,2.1448,2.1348,2.1348,1.7331,111621.0,0.0,1.0
2016-09-06,2.1348,2.1448,2.1248,2.1448,1.7412,81742.0,0.0,1.0
2016-09-07,2.1248,2.1448,2.1149,2.1448,1.7412,205807.0,0.0,1.0
2016-09-08,2.1298,2.1348,2.1149,2.1248,1.725,417708.0,0.0,1.0
2016-09-09,2.1348,2.1448,2.1248,2.1248,1.725,119112.0,0.0,1.0
2016-09-12,2.1149,2.1248,2.0949,2.1149,1.7169,96371.0,0.0,1.0
2016-09-13,2.1149,2.1149,2.0949,2.1049,1.7088,76763.0,0.0,1.0
2016-09-14,2.1049,2.1248,2.1049,2.1099,1.7128,104696.0,0.0,1.0
2016-09-15,2.1049,2.1448,2.0949,2.1448,1.7412,229517.0,0.0,1.0
2016-09-16,2.1049,2.1448,2.1049,2.1149,1.7169,117384.0,0.0,1.0
2016-09-19,2.1149,2.1448,2.1149,2.1448,1.7412,15875.0,0.0,1.0
2016-09-20,2.1149,2.1248,2.1149,2.1149,1.7169,35989.0,0.0,1.0
2016-09-21,2.1149,2.1348,2.1149,2.1348,1.7331,195371.0,0.0,1.0
2016-09-22,2.1248,2.1248,2.1149,2.1149,1.7169,77793.0,0.0,1.0
2016-09-23,2.1248,2.1647,2.1248,2.1647,1.7574,43121.0,0.0,1.0
2016-09-26,2.1647,2.1647,2.1348,2.1348,1.7331,22651.0,0.0,1.0
2016-09-27,2.1348,2.1747,2.1248,2.1747,1.7654,420079.0,0.0,1.0
2016-09-28,2.1348,2.1547,2.1248,2.1248,1.725,64061.0,0.0,1.0
2016-09-29,2.1049,2.1149,2.0999,2.1049,1.739,28430.0,0.0,1.0
2016-09-30,2.1049,2.1248,2.1049,2.1149,1.7473,91100.0,0.0,1.0
2016-10-03,2.1348,2.1348,2.1248,2.1348,1.7638,10044.0,0.0,1.0
2016-10-04,2.1348,2.1348,2.1149,2.1248,1.7555,103204.0,0.0,1.0
2016-10-05,2.1149,2.1348,2.1049,2.1149,1.7473,48714.0,0.0,1.0
2016-10-06,2.1049,2.1448,2.0949,2.1348,1.7638,83494.0,0.0,1.0
2016-10-07,2.1149,2.1149,2.1149,2.1149,1.7473,20265.0,0.0,1.0
2016-10-10,2.1099,2.1149,2.0749,2.1149,1.7473,233209.0,0.0,1.0
2016-10-11,2.1248,2.1248,2.1149,2.1248,1.7555,68983.0,0.0,1.0
2016-10-12,2.1248,2.1248,2.1248,2.1248,1.7555,425430.0,0.0,1.0
2016-10-13,2.1149,2.1248,2.1099,2.1248,1.7555,59089.0,0.0,1.0
2016-10-14,2.1248,2.1248,2.1049,2.1248,1.7555,20148.0,0.0,1.0
2016-10-17,2.1149,2.1248,2.1099,2.1248,1.7555,17275.0,0.0,1.0
2016-10-18,2.1149,2.1149,2.1149,2.1149,1.7473,11069.0,0.0,1.0
2016-10-19,2.0949,2.1149,2.0949,2.1149,1.7473,2723.0,0.0,1.0
2016-10-20,2.1149,2.1348,2.0949,2.1348,1.7638,59856.0,0.0,1.0
2016-10-21,2.0949,2.1149,2.0799,2.0949,1.7308,115367.0,0.0,1.0
2016-10-24,2.1049,2.1099,2.0949,2.1049,1.739,250768.0,0.0,1.0
2016-10-25,2.1049,2.1149,2.0849,2.1149,1.7473,28703.0,0.0,1.0
2016-10-26,2.0849,2.0849,2.055,2.0849,1.7226,18505.0,0.0,1.0
2016-10-27,2.0949,2.0949,2.055,2.0849,1.7226,91500.0,0.0,1.0
2016-10-28,2.065,2.0849,2.045,2.0849,1.7226,61236.0,0.0,1.0
2016-10-31,2.0849,2.1049,2.055,2.0949,1.7308,25988.0,0.0,1.0
2016-11-01,2.055,2.0949,2.055,2.065,1.7061,40092.0,0.0,1.0
2016-11-02,2.055,2.0949,2.055,2.0949,1.7308,61798.0,0.0,1.0
2016-11-03,2.055,2.065,2.055,2.055,1.6978,33696.0,0.0,1.0
2016-11-04,2.065,2.1049,2.055,2.1049,1.739,30554.0,0.0,1.0
2016-11-07,2.065,2.0849,2.065,2.0749,1.7143,56232.0,0.0,1.0
2016-11-08,2.0749,2.0749,2.0749,2.0749,1.7143,3997.0,0.0,1.0
2016-11-09,2.0749,2.0749,2.065,2.065,1.7061,40973.0,0.0,1.0
2016-11-10,2.065,2.0749,2.0151,2.065,1.7061,20477.0,0.0,1.0
2016-11-11,2.055,2.065,2.045,2.05,1.6937,54964.0,0.0,1.0
2016-11-14,2.045,2.055,2.0251,2.055,1.6978,100647.0,0.0,1.0
2016-11-15,2.035,2.0749,2.035,2.0749,1.7143,36225.0,0.0,1.0
2016-11-16,2.065,2.065,2.0251,2.055,1.6978,50264.0,0.0,1.0
2016-11-17,2.055,2.06,2.055,2.06,1.702,26209.0,0.0,1.0
2016-11-18,2.035,2.0749,1.9852,2.0051,1.6566,134027.0,0.0,1.0
2016-11-21,2.0051,2.055,1.9951,2.0251,1.6731,59966.0,0.0,1.0
2016-11-22,2.0151,2.04,1.9652,2.0151,1.6649,325565.0,0.0,1.0
2016-11-23,2.0151,2.065,2.0101,2.0251,1.6731,133867.0,0.0,1.0
