date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-06-12,1.8308,1.8308,1.8308,1.8308,0.4906,0.0,0.0,1.0
2000-06-13,1.9607,1.9607,1.8582,1.904,0.5103,666916.0,0.0,1.0
2000-06-14,1.9131,1.9314,1.8857,1.9223,0.5152,829718.0,0.0,1.0
2000-06-15,1.9406,1.9498,1.9223,1.9314,0.5176,657756.0,0.0,1.0
2000-06-16,1.9223,1.9223,1.8948,1.904,0.5103,360752.0,0.0,1.0
2000-06-19,1.904,1.9314,1.8765,1.9223,0.5152,446390.0,0.0,1.0
2000-06-20,1.9223,1.9406,1.9131,1.9223,0.5152,444260.0,0.0,1.0
2000-06-21,1.9223,1.9406,1.9223,1.9314,0.5176,342563.0,0.0,1.0
2000-06-22,1.9406,1.9589,1.9406,1.9498,0.5225,321708.0,0.0,1.0
2000-06-23,1.9589,1.9864,1.9589,1.9864,0.5324,263699.0,0.0,1.0
2000-06-26,2.0047,2.023,1.9772,2.0138,0.5397,336112.0,0.0,1.0
2000-06-27,2.023,2.0871,2.023,2.0871,0.5593,484951.0,0.0,1.0
2000-06-28,2.0962,2.142,2.0871,2.1054,0.5642,401193.0,0.0,1.0
2000-06-29,2.1328,2.142,2.1237,2.1328,0.5716,161700.0,0.0,1.0
2000-06-30,2.142,2.142,2.0688,2.0962,0.5618,245766.0,0.0,1.0
2000-07-03,2.0779,2.0962,2.0505,2.0871,0.5593,315591.0,0.0,1.0
2000-07-04,2.1054,2.1054,2.0596,2.0596,0.552,334716.0,0.0,1.0
2000-07-05,2.0596,2.0688,2.0413,2.0596,0.552,231385.0,0.0,1.0
2000-07-06,2.0413,2.0505,2.023,2.0505,0.5495,263765.0,0.0,1.0
2000-07-07,2.0413,2.0596,2.0413,2.0596,0.552,212355.0,0.0,1.0
2000-07-10,2.0688,2.0688,2.0138,2.0138,0.5397,174768.0,0.0,1.0
2000-07-11,2.0413,2.0596,2.023,2.0596,0.552,212065.0,0.0,1.0
2000-07-12,2.0596,2.0688,2.0596,2.0688,0.5544,241709.0,0.0,1.0
2000-07-13,2.0688,2.0871,2.0596,2.0596,0.552,188652.0,0.0,1.0
2000-07-14,2.0596,2.0688,2.0413,2.0596,0.552,135162.0,0.0,1.0
2000-07-17,2.0596,2.0596,2.0138,2.0321,0.5446,200994.0,0.0,1.0
2000-07-18,2.0413,2.0413,2.0047,2.0047,0.5373,383658.0,0.0,1.0
2000-07-19,2.0047,2.0138,1.9864,1.9955,0.5348,332292.0,0.0,1.0
2000-07-20,2.0047,2.0047,1.9772,1.9955,0.5348,264304.0,0.0,1.0
2000-07-21,1.9864,2.0047,1.9864,1.9864,0.5324,185267.0,0.0,1.0
2000-07-24,1.9845,1.9864,1.9772,1.9772,0.5299,216096.0,0.0,1.0
2000-07-25,1.9772,2.0047,1.9681,2.0047,0.5373,160887.0,0.0,1.0
2000-07-26,2.0047,2.023,2.0047,2.023,0.5422,213556.0,0.0,1.0
2000-07-27,2.0047,2.0321,2.0047,2.0321,0.5446,220479.0,0.0,1.0
2000-07-28,2.0221,2.0413,2.0138,2.0413,0.5471,149932.0,0.0,1.0
2000-07-31,2.0257,2.0257,1.9955,1.9955,0.5348,236392.0,0.0,1.0
2000-08-01,2.0093,2.0138,1.9955,2.0047,0.5373,102373.0,0.0,1.0
2000-08-02,2.0047,2.0047,1.9864,1.9864,0.5324,172808.0,0.0,1.0
2000-08-03,1.9736,2.0047,1.9736,1.9864,0.5324,174452.0,0.0,1.0
2000-08-04,1.9864,1.9864,1.9772,1.9864,0.5324,210858.0,0.0,1.0
2000-08-07,1.9772,1.9864,1.9681,1.9864,0.5324,157399.0,0.0,1.0
2000-08-08,1.9864,1.9864,1.9681,1.9681,0.5274,126811.0,0.0,1.0
2000-08-09,1.9681,1.9955,1.9681,1.9955,0.5348,90534.0,0.0,1.0
2000-08-10,1.9955,2.0138,1.9955,1.9955,0.5348,110366.0,0.0,1.0
2000-08-11,2.0047,2.0138,1.9955,2.0047,0.5373,75597.0,0.0,1.0
2000-08-14,2.0047,2.0138,1.9955,2.0047,0.5373,194673.0,0.0,1.0
2000-08-15,2.0047,2.0047,1.9955,2.0047,0.5373,124757.0,0.0,1.0
2000-08-16,2.0047,2.0138,1.9864,2.0047,0.5373,124047.0,0.0,1.0
2000-08-17,2.0047,2.0138,1.9955,2.0047,0.5373,296936.0,0.0,1.0
2000-08-18,1.9955,2.0138,1.9955,2.0138,0.5397,54294.0,0.0,1.0
2000-08-21,1.9955,2.0138,1.9955,2.0138,0.5397,152560.0,0.0,1.0
2000-08-22,1.9955,2.0138,1.9955,2.0138,0.5397,69152.0,0.0,1.0
2000-08-23,2.0138,2.0138,1.9955,2.0047,0.5373,104328.0,0.0,1.0
2000-08-24,2.0047,2.0047,1.9772,1.9772,0.5299,154728.0,0.0,1.0
2000-08-25,1.9864,2.0779,1.9864,2.0779,0.5569,1035567.0,0.0,1.0
2000-08-28,2.0779,2.1237,2.0688,2.0871,0.5593,1287842.0,0.0,1.0
2000-08-29,2.0962,2.2152,2.0871,2.1585,0.5785,2016803.0,0.0,1.0
2000-08-30,2.1511,2.1603,2.1054,2.1054,0.5642,888860.0,0.0,1.0
2000-08-31,2.1054,2.1328,2.1054,2.1054,0.5642,233269.0,0.0,1.0
2000-09-01,2.1145,2.1603,2.1145,2.142,0.5741,187400.0,0.0,1.0
2000-09-04,2.1511,2.1969,2.1511,2.1969,0.5888,234146.0,0.0,1.0
2000-09-05,2.1841,2.1878,2.1694,2.1786,0.5839,161403.0,0.0,1.0
2000-09-06,2.1786,2.1786,2.1145,2.1145,0.5667,64922.0,0.0,1.0
2000-09-07,2.1237,2.1603,2.1237,2.1328,0.5716,108336.0,0.0,1.0
2000-09-08,2.1237,2.1603,2.1237,2.1511,0.5765,100320.0,0.0,1.0
2000-09-11,2.1511,2.1694,2.1511,2.1694,0.5814,168809.0,0.0,1.0
2000-09-12,2.1511,2.1694,2.142,2.142,0.5741,165707.0,0.0,1.0
2000-09-13,2.1511,2.1511,2.0962,2.1145,0.5667,191915.0,0.0,1.0
2000-09-14,2.1054,2.1237,2.0962,2.1145,0.5667,161089.0,0.0,1.0
2000-09-15,2.0779,2.1054,2.0596,2.0779,0.5569,45778.0,0.0,1.0
2000-09-18,2.0779,2.0962,2.0596,2.0871,0.5593,74662.0,0.0,1.0
2000-09-19,2.0779,2.0871,2.0596,2.0596,0.552,132547.0,0.0,1.0
2000-09-20,2.0596,2.0779,2.0505,2.0779,0.5569,71649.0,0.0,1.0
2000-09-21,2.0752,2.1054,2.0752,2.1054,0.5642,87093.0,0.0,1.0
2000-09-22,2.0779,2.0871,2.0779,2.0779,0.5569,25363.0,0.0,1.0
2000-09-25,2.0761,2.1054,2.0761,2.1054,0.5642,48396.0,0.0,1.0
2000-09-26,2.0871,2.1145,2.0871,2.1145,0.5667,135519.0,0.0,1.0
2000-09-27,2.0962,2.0962,2.0871,2.0871,0.5593,220979.0,0.0,1.0
2000-09-28,2.1054,2.1145,2.1054,2.1054,0.5642,96735.0,0.0,1.0
2000-09-29,2.1054,2.1145,2.0962,2.1054,0.5642,197814.0,0.0,1.0
2000-10-02,2.0871,2.0871,2.0871,2.0871,0.5593,57899.0,0.0,1.0
2000-10-03,2.0962,2.1145,2.0871,2.1054,0.5642,221849.0,0.0,1.0
2000-10-04,2.1054,2.1054,2.0871,2.0871,0.5593,92866.0,0.0,1.0
2000-10-05,2.0871,2.0962,2.0779,2.0871,0.5593,105966.0,0.0,1.0
2000-10-06,2.0779,2.0871,2.0596,2.0596,0.552,81427.0,0.0,1.0
2000-10-09,2.0596,2.0871,2.0596,2.0871,0.5593,87474.0,0.0,1.0
2000-10-10,2.0871,2.0962,2.0596,2.0779,0.5569,359137.0,0.0,1.0
2000-10-11,2.0779,2.1145,2.0779,2.1054,0.5642,367556.0,0.0,1.0
2000-10-12,2.1173,2.1694,2.0779,2.1694,0.5814,378805.0,0.0,1.0
2000-10-13,2.142,2.1786,2.1054,2.1603,0.579,218156.0,0.0,1.0
2000-10-16,2.1603,2.1694,2.1511,2.1603,0.579,94422.0,0.0,1.0
2000-10-17,2.1511,2.1603,2.1328,2.1511,0.5765,74059.0,0.0,1.0
2000-10-18,2.1511,2.1878,2.1511,2.1694,0.5814,103878.0,0.0,1.0
2000-10-19,2.1694,2.2152,2.1694,2.2152,0.5937,171294.0,0.0,1.0
2000-10-20,2.2061,2.2885,2.2061,2.2885,0.6133,241465.0,0.0,1.0
2000-10-23,2.2701,2.2976,2.2518,2.2885,0.6133,278489.0,0.0,1.0
2000-10-24,2.2701,2.2976,2.2701,2.2784,0.6106,119951.0,0.0,1.0
2000-10-25,2.2885,2.2976,2.2793,2.2885,0.6133,236739.0,0.0,1.0
2000-10-26,2.2885,2.3159,2.261,2.2701,0.6084,303971.0,0.0,1.0
2000-10-27,2.2637,2.2885,2.2518,2.2793,0.6109,133110.0,0.0,1.0
2000-10-30,2.2885,2.2885,2.261,2.261,0.6059,155496.0,0.0,1.0
2000-10-31,2.2701,2.2885,2.2701,2.2885,0.6133,172083.0,0.0,1.0
2000-11-01,2.2885,2.2885,2.2793,2.2875,0.6131,199668.0,0.0,1.0
2000-11-02,2.2885,2.3251,2.2885,2.3251,0.6231,151334.0,0.0,1.0
2000-11-03,2.3296,2.4074,2.3251,2.38,0.6378,165071.0,0.0,1.0
2000-11-06,2.38,2.38,2.3068,2.3342,0.6256,138413.0,0.0,1.0
2000-11-07,2.3617,2.3708,2.3434,2.3617,0.6329,62117.0,0.0,1.0
2000-11-08,2.3617,2.3708,2.3251,2.3342,0.6256,138678.0,0.0,1.0
2000-11-09,2.3434,2.38,2.3342,2.3525,0.6305,132508.0,0.0,1.0
2000-11-10,2.3525,2.3983,2.3342,2.3708,0.6354,197563.0,0.0,1.0
2000-11-13,2.38,2.4166,2.3708,2.3983,0.6427,106554.0,0.0,1.0
2000-11-14,2.3983,2.4532,2.3983,2.4532,0.6575,160884.0,0.0,1.0
2000-11-15,2.4532,2.5081,2.4532,2.4715,0.6624,256645.0,0.0,1.0
2000-11-16,2.4807,2.4898,2.4532,2.4532,0.6575,57142.0,0.0,1.0
2000-11-17,2.4624,2.4715,2.38,2.38,0.6378,48904.0,0.0,1.0
2000-11-20,2.38,2.3891,2.3342,2.3617,0.6329,41043.0,0.0,1.0
2000-11-21,2.3342,2.3617,2.3342,2.3434,0.628,65907.0,0.0,1.0
2000-11-22,2.3525,2.3617,2.3342,2.3525,0.6305,96469.0,0.0,1.0
2000-11-23,2.3525,2.3617,2.3159,2.3159,0.6207,195252.0,0.0,1.0
2000-11-24,2.3068,2.3068,2.2793,2.2885,0.6133,107491.0,0.0,1.0
2000-11-27,2.2885,2.2885,2.2518,2.2885,0.6133,176581.0,0.0,1.0
2000-11-28,2.2839,2.2839,2.1054,2.1511,0.5765,478662.0,0.0,1.0
2000-11-29,2.1182,2.1969,2.1182,2.1511,0.5765,91488.0,0.0,1.0
2000-11-30,2.1969,2.2244,2.1969,2.2244,0.5961,52103.0,0.0,1.0
2000-12-01,2.2244,2.2885,2.2244,2.2793,0.6109,147593.0,0.0,1.0
2000-12-04,2.2152,2.2427,2.1786,2.2244,0.6123,51435.0,0.0,1.0
2000-12-05,2.2216,2.2701,2.2216,2.2326,0.6145,148084.0,0.0,1.0
2000-12-06,2.2427,2.2976,2.2427,2.2885,0.6299,158766.0,0.0,1.0
2000-12-07,2.261,2.3434,2.261,2.3159,0.6374,173649.0,0.0,1.0
2000-12-08,2.3388,2.3617,2.2518,2.2518,0.6198,108470.0,0.0,1.0
2000-12-11,2.2427,2.3708,2.2427,2.2885,0.6299,130690.0,0.0,1.0
2000-12-12,2.3434,2.4166,2.3159,2.3159,0.6374,121294.0,0.0,1.0
2000-12-13,2.3251,2.3983,2.3251,2.3891,0.6576,223818.0,0.0,1.0
2000-12-14,2.38,2.4294,2.38,2.4294,0.6687,99916.0,0.0,1.0
2000-12-15,2.4349,2.4349,2.4166,2.4258,0.6677,100240.0,0.0,1.0
2000-12-18,2.4285,2.4441,2.38,2.4258,0.6677,68409.0,0.0,1.0
2000-12-19,2.4441,2.4532,2.4258,2.4532,0.6752,260810.0,0.0,1.0
2000-12-20,2.38,2.38,2.2427,2.3525,0.6475,392109.0,0.0,1.0
2000-12-21,2.2518,2.2885,2.2335,2.2518,0.6198,259178.0,0.0,1.0
2000-12-22,2.2701,2.2885,2.1969,2.1969,0.6047,166762.0,0.0,1.0
2000-12-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000-12-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000-12-27,2.2106,2.2885,2.2106,2.2518,0.6198,72769.0,0.0,1.0
2000-12-28,2.2793,2.2885,2.2518,2.2518,0.6198,80928.0,0.0,1.0
2000-12-29,2.2701,2.3068,2.2518,2.2848,0.6289,341140.0,0.0,1.0
2001-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2001-01-02,2.2976,2.3159,2.261,2.3159,0.6374,31927.0,0.0,1.0
2001-01-03,2.2427,2.2885,2.2427,2.2885,0.6299,43097.0,0.0,1.0
2001-01-04,2.3425,2.3525,2.2701,2.2885,0.6299,68484.0,0.0,1.0
2001-01-05,2.2793,2.3251,2.261,2.261,0.6223,76627.0,0.0,1.0
2001-01-08,2.261,2.3068,2.261,2.2701,0.6248,24580.0,0.0,1.0
2001-01-09,2.2701,2.2793,2.2701,2.2701,0.6248,36774.0,0.0,1.0
2001-01-10,2.2701,2.3251,2.2701,2.3159,0.6374,54959.0,0.0,1.0
2001-01-11,2.3342,2.38,2.3342,2.3708,0.6526,127216.0,0.0,1.0
2001-01-12,2.38,2.38,2.3617,2.3617,0.65,35040.0,0.0,1.0
2001-01-15,2.3617,2.3708,2.3342,2.3434,0.645,64943.0,0.0,1.0
2001-01-16,2.3434,2.3434,2.2976,2.3251,0.64,50674.0,0.0,1.0
2001-01-17,2.3068,2.3434,2.3068,2.3434,0.645,120526.0,0.0,1.0
2001-01-18,2.3525,2.4258,2.3434,2.4166,0.6652,250336.0,0.0,1.0
2001-01-19,2.4258,2.4258,2.2885,2.2885,0.6299,147287.0,0.0,1.0
2001-01-22,2.2885,2.38,2.2885,2.3342,0.6425,103940.0,0.0,1.0
2001-01-23,2.3342,2.3525,2.3251,2.3351,0.6427,43584.0,0.0,1.0
2001-01-24,2.2885,2.3068,2.2793,2.2885,0.6299,145990.0,0.0,1.0
2001-01-25,2.2885,2.2976,2.2701,2.2885,0.6299,267930.0,0.0,1.0
2001-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2001-01-29,2.2885,2.2885,2.2701,2.2701,0.6248,150504.0,0.0,1.0
2001-01-30,2.2885,2.2976,2.261,2.2793,0.6274,186490.0,0.0,1.0
2001-01-31,2.2885,2.2885,2.2701,2.2701,0.6248,255920.0,0.0,1.0
2001-02-01,2.2701,2.2885,2.2701,2.2701,0.6248,187297.0,0.0,1.0
2001-02-02,2.2701,2.2885,2.2701,2.2885,0.6299,56545.0,0.0,1.0
2001-02-05,2.2885,2.2885,2.2701,2.2885,0.6299,64163.0,0.0,1.0
2001-02-06,2.2793,2.2885,2.2427,2.2427,0.6173,130349.0,0.0,1.0
2001-02-07,2.2701,2.2701,2.2518,2.261,0.6223,103590.0,0.0,1.0
2001-02-08,2.261,2.2701,2.2518,2.2518,0.6198,148050.0,0.0,1.0
2001-02-09,2.2518,2.2518,2.2427,2.2518,0.6198,103641.0,0.0,1.0
2001-02-12,2.2427,2.2701,2.2244,2.2701,0.6248,57355.0,0.0,1.0
