date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2015-01-07,0.5,0.525,0.48,0.525,0.4926,1465449.0,0.0,1.0
2015-01-08,0.54,0.625,0.54,0.615,0.5771,714685.0,0.0,1.0
2015-01-09,0.645,0.675,0.6,0.63,0.5912,472647.0,0.0,1.0
2015-01-12,0.61,0.61,0.585,0.585,0.5489,216815.0,0.0,1.0
2015-01-13,0.59,0.595,0.55,0.565,0.5302,287947.0,0.0,1.0
2015-01-14,0.575,0.58,0.565,0.58,0.5442,37074.0,0.0,1.0
2015-01-15,0.58,0.59,0.58,0.59,0.5536,65539.0,0.0,1.0
2015-01-16,0.6,0.6,0.56,0.56,0.5255,235974.0,0.0,1.0
2015-01-19,0.57,0.59,0.57,0.58,0.5442,24760.0,0.0,1.0
2015-01-20,0.58,0.58,0.58,0.58,0.5442,865.0,0.0,1.0
2015-01-21,0.58,0.585,0.57,0.57,0.5349,101295.0,0.0,1.0
2015-01-22,0.58,0.58,0.57,0.57,0.5349,17000.0,0.0,1.0
2015-01-23,0.57,0.595,0.57,0.595,0.5583,2801.0,0.0,1.0
2015-01-27,0.595,0.6,0.57,0.57,0.5349,125918.0,0.0,1.0
2015-01-28,0.57,0.57,0.55,0.55,0.5161,65421.0,0.0,1.0
2015-01-29,0.555,0.565,0.555,0.565,0.5302,168000.0,0.0,1.0
2015-01-30,0.56,0.56,0.56,0.56,0.5255,62392.0,0.0,1.0
2015-02-02,0.55,0.565,0.55,0.565,0.5302,989743.0,0.0,1.0
2015-02-03,0.565,0.565,0.56,0.56,0.5255,60000.0,0.0,1.0
2015-02-04,0.565,0.595,0.565,0.585,0.5489,148500.0,0.0,1.0
2015-02-05,0.6,0.645,0.595,0.61,0.5724,660189.0,0.0,1.0
2015-02-06,0.605,0.605,0.605,0.605,0.5677,2140.0,0.0,1.0
2015-02-09,0.61,0.625,0.61,0.61,0.5724,88300.0,0.0,1.0
2015-02-10,0.625,0.63,0.62,0.62,0.5818,90000.0,0.0,1.0
2015-02-11,0.62,0.62,0.62,0.62,0.5818,0.0,0.0,1.0
2015-02-12,0.62,0.62,0.6,0.615,0.5771,186300.0,0.0,1.0
2015-02-13,0.605,0.605,0.605,0.605,0.5677,85017.0,0.0,1.0
2015-02-16,0.605,0.62,0.605,0.62,0.5818,35000.0,0.0,1.0
2015-02-17,0.62,0.655,0.62,0.65,0.6099,64984.0,0.0,1.0
2015-02-18,0.685,0.705,0.675,0.705,0.6615,176532.0,0.0,1.0
2015-02-19,0.71,0.74,0.66,0.66,0.6193,206206.0,0.0,1.0
2015-02-20,0.665,0.68,0.665,0.68,0.6381,35000.0,0.0,1.0
2015-02-23,0.68,0.68,0.68,0.68,0.6381,5000.0,0.0,1.0
2015-02-24,0.68,0.68,0.67,0.67,0.6287,31830.0,0.0,1.0
2015-02-25,0.7,0.7,0.68,0.68,0.6381,62714.0,0.0,1.0
2015-02-26,0.68,0.68,0.68,0.68,0.6381,32700.0,0.0,1.0
2015-02-27,0.68,0.7,0.59,0.62,0.5818,418679.0,0.0,1.0
2015-03-02,0.68,0.695,0.68,0.69,0.6475,9144.0,0.0,1.0
2015-03-03,0.68,0.68,0.665,0.67,0.6287,44125.0,0.0,1.0
2015-03-04,0.68,0.68,0.64,0.64,0.6005,54735.0,0.0,1.0
2015-03-05,0.65,0.67,0.65,0.655,0.6146,24400.0,0.0,1.0
2015-03-06,0.67,0.67,0.655,0.655,0.6146,15992.0,0.0,1.0
2015-03-09,0.655,0.655,0.655,0.655,0.6146,0.0,0.0,1.0
2015-03-10,0.65,0.65,0.64,0.64,0.6005,23500.0,0.0,1.0
2015-03-11,0.63,0.63,0.63,0.63,0.5912,11700.0,0.0,1.0
2015-03-12,0.63,0.63,0.63,0.63,0.5912,0.0,0.0,1.0
2015-03-13,0.635,0.635,0.635,0.635,0.5959,800.0,0.0,1.0
2015-03-16,0.635,0.635,0.6,0.6,0.563,31252.0,0.0,1.0
2015-03-17,0.605,0.62,0.6,0.62,0.5818,51261.0,0.0,1.0
2015-03-18,0.625,0.625,0.625,0.625,0.5865,12500.0,0.0,1.0
2015-03-19,0.63,0.64,0.63,0.64,0.6005,12530.0,0.0,1.0
2015-03-20,0.64,0.64,0.64,0.64,0.6005,0.0,0.0,1.0
2015-03-23,0.65,0.66,0.65,0.66,0.6193,20192.0,0.0,1.0
2015-03-24,0.66,0.66,0.65,0.65,0.6099,18800.0,0.0,1.0
2015-03-25,0.65,0.65,0.64,0.64,0.6005,87287.0,0.0,1.0
2015-03-26,0.64,0.64,0.61,0.61,0.5724,54572.0,0.0,1.0
2015-03-27,0.62,0.645,0.6,0.645,0.6052,184632.0,0.0,1.0
2015-03-30,0.645,0.65,0.64,0.64,0.6005,38063.0,0.0,1.0
2015-03-31,0.65,0.65,0.63,0.65,0.6099,59452.0,0.0,1.0
2015-04-01,0.71,0.71,0.665,0.665,0.624,961576.0,0.0,1.0
2015-04-02,0.68,0.715,0.68,0.715,0.6709,1242345.0,0.0,1.0
2015-04-07,0.72,0.735,0.72,0.735,0.6897,429461.0,0.0,1.0
2015-04-08,0.74,0.76,0.71,0.72,0.6756,381590.0,0.0,1.0
2015-04-09,0.725,0.735,0.715,0.72,0.6756,348279.0,0.0,1.0
2015-04-10,0.725,0.73,0.71,0.715,0.6709,196406.0,0.0,1.0
2015-04-13,0.73,0.73,0.71,0.71,0.6662,197368.0,0.0,1.0
2015-04-14,0.715,0.725,0.715,0.725,0.6803,53924.0,0.0,1.0
2015-04-15,0.725,0.725,0.7,0.72,0.6756,110711.0,0.0,1.0
