date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2011-02-21,9.01,9.1,8.33,8.4,8.3391,1309109.0,0.0,1.0
2011-02-22,8.46,9.04,8.46,8.9,8.8355,1677380.0,0.0,1.0
2011-02-23,8.79,9.03,8.74,9.0,8.9348,915791.0,0.0,1.0
2011-02-24,8.99,9.02,8.65,8.9,8.8355,337956.0,0.0,1.0
2011-02-25,8.9,8.99,8.9,8.92,8.8554,511635.0,0.0,1.0
2011-02-28,9.05,9.24,9.05,9.17,9.1036,315071.0,0.0,1.0
2011-03-01,9.35,9.44,9.31,9.35,9.2823,733050.0,0.0,1.0
2011-03-02,9.29,9.4,9.21,9.4,9.3319,323362.0,0.0,1.0
2011-03-03,9.48,9.5,9.42,9.49,9.4212,297424.0,0.0,1.0
2011-03-04,9.3,9.35,9.13,9.2,9.1333,413092.0,0.0,1.0
2011-03-07,9.25,9.38,9.24,9.37,9.3021,516776.0,0.0,1.0
2011-03-08,9.4,9.42,9.16,9.21,9.1433,349255.0,0.0,1.0
2011-03-09,8.99,9.17,8.85,9.07,9.0043,563473.0,0.0,1.0
2011-03-10,8.9,8.98,8.88,8.93,8.8653,423671.0,0.0,1.0
2011-03-11,8.75,8.9,8.72,8.86,8.7958,294220.0,0.0,1.0
2011-03-15,8.54,8.59,8.18,8.3,8.2399,213869.0,0.0,1.0
2011-03-16,8.0,8.26,7.95,8.1,8.0413,488775.0,0.0,1.0
2011-03-17,8.1,8.49,7.83,8.1,8.0413,745630.0,0.0,1.0
2011-03-18,8.25,8.25,8.02,8.19,8.1307,1068865.0,0.0,1.0
2011-03-21,8.47,8.47,8.01,8.26,8.2002,223670.0,0.0,1.0
2011-03-22,8.41,8.49,8.31,8.36,8.2994,317022.0,0.0,1.0
2011-03-23,8.21,8.37,8.14,8.21,8.1505,221278.0,0.0,1.0
2011-03-24,8.51,8.6,8.4,8.42,8.359,711962.0,0.0,1.0
2011-03-25,8.5,8.68,8.45,8.65,8.5873,339826.0,0.0,1.0
2011-03-28,8.3,8.4,8.22,8.34,8.2796,122000.0,0.0,1.0
2011-03-29,8.59,8.6,8.52,8.54,8.4781,250529.0,0.0,1.0
2011-03-30,8.75,8.79,8.63,8.78,8.7164,216571.0,0.0,1.0
2011-03-31,8.79,8.86,8.74,8.77,8.7065,1455951.0,0.0,1.0
2011-04-01,8.86,9.04,8.82,9.0,8.9348,772629.0,0.0,1.0
2011-04-04,8.8,8.95,8.73,8.89,8.8256,424682.0,0.0,1.0
2011-04-05,9.03,9.09,9.02,9.08,9.0142,604258.0,0.0,1.0
