date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-04,1.25,1.25,1.25,1.25,0.4405,0.0,0.0,1.0
2000-01-05,1.25,1.25,1.25,1.25,0.4405,0.0,0.0,1.0
2000-01-06,1.25,1.25,1.25,1.25,0.4405,0.0,0.0,1.0
2000-01-07,1.25,1.25,1.25,1.25,0.4405,0.0,0.0,1.0
2000-01-10,1.18,1.18,1.18,1.18,0.4159,4000.0,0.0,1.0
2000-01-11,1.18,1.18,1.16,1.16,0.4088,10355.0,0.0,1.0
2000-01-12,1.17,1.17,1.17,1.17,0.4123,1980.0,0.0,1.0
2000-01-13,1.17,1.17,1.17,1.17,0.4123,0.0,0.0,1.0
2000-01-14,1.17,1.17,1.17,1.17,0.4123,0.0,0.0,1.0
2000-01-17,1.17,1.18,1.17,1.17,0.4123,8500.0,0.0,1.0
2000-01-18,1.17,1.17,1.14,1.14,0.4018,2000.0,0.0,1.0
2000-01-19,1.14,1.14,1.14,1.14,0.4018,0.0,0.0,1.0
2000-01-20,1.14,1.14,1.14,1.14,0.4018,0.0,0.0,1.0
2000-01-21,1.18,1.25,1.16,1.25,0.4405,23950.0,0.0,1.0
2000-01-24,1.25,1.25,1.25,1.25,0.4405,0.0,0.0,1.0
2000-01-25,1.25,1.25,1.25,1.25,0.4405,0.0,0.0,1.0
2000-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000-01-27,1.25,1.25,1.25,1.25,0.4405,0.0,0.0,1.0
2000-01-28,1.25,1.25,1.25,1.25,0.4405,0.0,0.0,1.0
2000-01-31,1.25,1.25,1.25,1.25,0.4405,0.0,0.0,1.0
2000-02-01,1.216,1.216,1.216,1.216,0.4285,1500.0,0.0,1.0
2000-02-02,1.21,1.21,1.21,1.21,0.4264,1400.0,0.0,1.0
2000-02-03,1.21,1.21,1.21,1.21,0.4264,0.0,0.0,1.0
2000-02-04,1.21,1.21,1.21,1.21,0.4264,0.0,0.0,1.0
2000-02-07,1.16,1.16,1.16,1.16,0.4088,2500.0,0.0,1.0
2000-02-08,1.16,1.16,1.16,1.16,0.4088,11325.0,0.0,1.0
2000-02-09,1.16,1.16,1.16,1.16,0.4088,0.0,0.0,1.0
2000-02-10,1.16,1.16,1.16,1.16,0.4088,0.0,0.0,1.0
2000-02-11,1.16,1.16,1.16,1.16,0.4088,25000.0,0.0,1.0
2000-02-14,1.16,1.16,1.16,1.16,0.4088,0.0,0.0,1.0
2000-02-15,1.16,1.16,1.14,1.16,0.4088,55550.0,0.0,1.0
2000-02-16,1.16,1.16,1.16,1.16,0.4088,45000.0,0.0,1.0
2000-02-17,1.15,1.15,1.15,1.15,0.4053,20000.0,0.0,1.0
2000-02-18,1.15,1.15,1.15,1.15,0.4053,0.0,0.0,1.0
2000-02-21,1.15,1.15,1.15,1.15,0.4053,27290.0,0.0,1.0
2000-02-22,1.15,1.15,1.15,1.15,0.4053,0.0,0.0,1.0
2000-02-23,1.15,1.15,1.15,1.15,0.4053,410.0,0.0,1.0
2000-02-24,1.15,1.15,1.15,1.15,0.4053,0.0,0.0,1.0
2000-02-25,1.15,1.15,1.15,1.15,0.4053,0.0,0.0,1.0
2000-02-28,1.138,1.138,1.138,1.138,0.4011,20000.0,0.0,1.0
2000-02-29,1.09,1.11,1.09,1.11,0.3912,40000.0,0.0,1.0
2000-03-01,1.12,1.13,1.12,1.13,0.3982,3250.0,0.0,1.0
2000-03-02,1.13,1.13,1.11,1.11,0.3912,27590.0,0.0,1.0
2000-03-03,1.11,1.11,1.11,1.11,0.3912,25000.0,0.0,1.0
2000-03-06,1.11,1.11,1.11,1.11,0.3912,42975.0,0.0,1.0
2000-03-07,1.1,1.1,1.1,1.1,0.3877,5450.0,0.0,1.0
2000-03-08,1.1,1.1,1.1,1.1,0.3877,20000.0,0.0,1.0
2000-03-09,1.1,1.1,1.1,1.1,0.3877,55000.0,0.0,1.0
2000-03-10,1.09,1.11,1.09,1.09,0.3841,11450.0,0.0,1.0
2000-03-13,1.1,1.1,1.1,1.1,0.3877,10000.0,0.0,1.0
2000-03-14,1.11,1.11,1.11,1.11,0.3912,600.0,0.0,1.0
2000-03-15,1.11,1.11,1.11,1.11,0.3912,10000.0,0.0,1.0
2000-03-16,1.1,1.1,1.1,1.1,0.3877,58420.0,0.0,1.0
2000-03-17,1.09,1.15,1.09,1.15,0.4053,2950.0,0.0,1.0
2000-03-20,1.15,1.15,1.15,1.15,0.4053,4135.0,0.0,1.0
2000-03-21,1.15,1.15,1.15,1.15,0.4053,0.0,0.0,1.0
2000-03-22,1.11,1.11,1.11,1.11,0.3912,1625.0,0.0,1.0
2000-03-23,1.11,1.11,1.11,1.11,0.3912,6500.0,0.0,1.0
2000-03-24,1.11,1.11,1.11,1.11,0.3912,0.0,0.0,1.0
2000-03-27,1.11,1.11,1.11,1.11,0.3912,0.0,0.0,1.0
2000-03-28,1.11,1.11,1.1,1.1,0.3877,21430.0,0.0,1.0
2000-03-29,1.15,1.15,1.15,1.15,0.4053,15000.0,0.0,1.0
2000-03-30,1.15,1.15,1.15,1.15,0.4053,0.0,0.0,1.0
2000-03-31,1.15,1.15,1.15,1.15,0.4053,0.0,0.0,1.0
2000-04-03,1.13,1.13,1.13,1.13,0.3982,5000.0,0.0,1.0
2000-04-04,1.104,1.104,1.104,1.104,0.3891,5000.0,0.0,1.0
2000-04-05,1.104,1.104,1.104,1.104,0.3891,0.0,0.0,1.0
2000-04-06,1.104,1.104,1.104,1.104,0.3891,0.0,0.0,1.0
2000-04-07,1.104,1.104,1.104,1.104,0.3891,0.0,0.0,1.0
2000-04-10,1.104,1.104,1.104,1.104,0.4154,0.0,0.0,1.0
2000-04-11,1.104,1.104,1.1,1.1,0.4139,20000.0,0.0,1.0
2000-04-12,1.1,1.1,1.1,1.1,0.4139,0.0,0.0,1.0
2000-04-13,1.1,1.1,1.1,1.1,0.4139,0.0,0.0,1.0
2000-04-14,1.1,1.1,1.1,1.1,0.4139,0.0,0.0,1.0
2000-04-17,1.06,1.06,1.06,1.06,0.3989,10000.0,0.0,1.0
2000-04-18,1.06,1.06,1.06,1.06,0.3989,2500.0,0.0,1.0
2000-04-19,1.06,1.06,1.06,1.06,0.3989,4135.0,0.0,1.0
2000-04-20,1.06,1.06,1.06,1.06,0.3989,0.0,0.0,1.0
2000-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000-04-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000-04-26,1.06,1.06,1.06,1.06,0.3989,0.0,0.0,1.0
2000-04-27,1.06,1.06,1.06,1.06,0.3989,5000.0,0.0,1.0
2000-04-28,1.06,1.06,1.06,1.06,0.3989,5000.0,0.0,1.0
