date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2013-06-13,1.05,1.05,1.02,1.05,0.7114,11844473.0,0.0,1.0
2013-06-14,1.05,1.06,1.05,1.05,0.7114,5038297.0,0.0,1.0
2013-06-17,1.055,1.06,1.05,1.055,0.7148,2188801.0,0.0,1.0
2013-06-18,1.055,1.06,1.045,1.045,0.708,949634.0,0.0,1.0
2013-06-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2013-06-20,1.045,1.045,1.035,1.035,0.7013,883522.0,0.0,1.0
2013-06-21,1.03,1.035,1.03,1.035,0.7013,1602852.0,0.0,1.0
2013-06-24,1.025,1.04,1.025,1.025,0.6945,133379.0,0.0,1.0
2013-06-25,1.025,1.03,1.02,1.02,0.6911,274156.0,0.0,1.0
2013-06-26,1.025,1.03,1.02,1.025,0.6945,209222.0,0.0,1.0
2013-06-27,1.025,1.025,1.02,1.02,0.6911,137823.0,0.0,1.0
2013-06-28,1.02,1.025,1.02,1.02,0.6911,388943.0,0.0,1.0
2013-07-01,1.02,1.03,1.02,1.02,0.6911,333525.0,0.0,1.0
2013-07-02,1.025,1.025,1.02,1.025,0.6945,374262.0,0.0,1.0
2013-07-03,1.03,1.03,1.02,1.02,0.6911,463545.0,0.0,1.0
2013-07-04,1.02,1.025,1.02,1.02,0.6911,312580.0,0.0,1.0
2013-07-05,1.02,1.03,1.02,1.03,0.6979,2148648.0,0.0,1.0
2013-07-08,1.02,1.02,1.02,1.02,0.6911,146090.0,0.0,1.0
2013-07-09,1.02,1.025,1.02,1.02,0.6911,680580.0,0.0,1.0
2013-07-10,1.025,1.03,1.025,1.025,0.6945,93809.0,0.0,1.0
2013-07-11,1.03,1.035,1.025,1.035,0.7013,230375.0,0.0,1.0
2013-07-12,1.03,1.04,1.025,1.04,0.7046,636256.0,0.0,1.0
2013-07-15,1.04,1.04,1.03,1.035,0.7013,415737.0,0.0,1.0
2013-07-16,1.035,1.045,1.03,1.04,0.7046,209315.0,0.0,1.0
2013-07-17,1.04,1.04,1.025,1.035,0.7013,813934.0,0.0,1.0
2013-07-18,1.03,1.04,1.03,1.035,0.7013,149768.0,0.0,1.0
2013-07-19,1.035,1.035,1.03,1.03,0.6979,143688.0,0.0,1.0
2013-07-22,1.03,1.035,1.03,1.03,0.6979,234054.0,0.0,1.0
2013-07-23,1.03,1.04,1.03,1.03,0.6979,993281.0,0.0,1.0
2013-07-24,1.03,1.035,1.03,1.03,0.6979,827383.0,0.0,1.0
2013-07-25,1.03,1.035,1.03,1.035,0.7013,60449.0,0.0,1.0
2013-07-26,1.03,1.04,1.025,1.04,0.7046,617406.0,0.0,1.0
2013-07-29,1.04,1.04,1.03,1.04,0.7046,92575.0,0.0,1.0
2013-07-30,1.04,1.04,1.03,1.04,0.7046,211415.0,0.0,1.0
2013-07-31,1.04,1.065,1.035,1.065,0.7216,465118.0,0.0,1.0
2013-08-01,1.04,1.05,1.04,1.05,0.7114,104695.0,0.0,1.0
2013-08-02,1.05,1.05,1.04,1.04,0.7046,349841.0,0.0,1.0
2013-08-05,1.04,1.045,1.04,1.045,0.708,179806.0,0.0,1.0
2013-08-06,1.04,1.05,1.04,1.05,0.7114,203468.0,0.0,1.0
2013-08-07,1.045,1.045,1.04,1.04,0.7046,380071.0,0.0,1.0
2013-08-08,1.04,1.05,1.04,1.05,0.7114,274049.0,0.0,1.0
2013-08-09,1.05,1.06,1.045,1.06,0.7182,664778.0,0.0,1.0
2013-08-12,1.05,1.06,1.05,1.06,0.7182,396102.0,0.0,1.0
2013-08-13,1.05,1.06,1.05,1.06,0.7182,690921.0,0.0,1.0
2013-08-14,1.06,1.06,1.05,1.05,0.7114,205546.0,0.0,1.0
2013-08-15,1.05,1.055,1.05,1.055,0.7148,206593.0,0.0,1.0
2013-08-16,1.055,1.06,1.05,1.05,0.7114,86100.0,0.0,1.0
2013-08-19,1.05,1.06,1.05,1.06,0.7182,115423.0,0.0,1.0
2013-08-20,1.06,1.06,1.05,1.055,0.7148,97020.0,0.0,1.0
2013-08-21,1.055,1.055,1.045,1.055,0.7148,194143.0,0.0,1.0
2013-08-22,1.055,1.06,1.045,1.045,0.708,364991.0,0.0,1.0
2013-08-23,1.06,1.06,1.05,1.055,0.7148,85622.0,0.0,1.0
2013-08-26,1.045,1.055,1.045,1.045,0.708,315194.0,0.0,1.0
2013-08-27,1.055,1.06,1.045,1.055,0.7148,221444.0,0.0,1.0
2013-08-28,1.055,1.06,1.05,1.06,0.7182,207344.0,0.0,1.0
2013-08-29,1.06,1.065,1.05,1.065,0.7216,214870.0,0.0,1.0
2013-08-30,1.065,1.07,1.06,1.07,0.725,214963.0,0.0,1.0
2013-09-02,1.07,1.07,1.06,1.065,0.7216,105074.0,0.0,1.0
2013-09-03,1.065,1.08,1.06,1.08,0.7317,370810.0,0.0,1.0
2013-09-04,1.08,1.1,1.08,1.09,0.7385,446725.0,0.0,1.0
2013-09-05,1.095,1.11,1.085,1.11,0.7521,327770.0,0.0,1.0
2013-09-06,1.11,1.13,1.1,1.125,0.7622,368420.0,0.0,1.0
2013-09-09,1.115,1.15,1.115,1.125,0.7622,370743.0,0.0,1.0
2013-09-10,1.14,1.14,1.12,1.14,0.7724,242416.0,0.0,1.0
2013-09-11,1.12,1.135,1.11,1.135,0.769,189303.0,0.0,1.0
2013-09-12,1.12,1.12,1.09,1.105,0.7487,233809.0,0.0,1.0
2013-09-13,1.105,1.12,1.105,1.105,0.7487,143222.0,0.0,1.0
2013-09-16,1.11,1.14,1.11,1.14,0.7724,499518.0,0.0,1.0
2013-09-17,1.105,1.145,1.105,1.14,0.7724,3313175.0,0.0,1.0
2013-09-18,1.125,1.145,1.12,1.14,0.7724,309162.0,0.0,1.0
2013-09-19,1.12,1.14,1.115,1.14,0.7724,813099.0,0.0,1.0
2013-09-20,1.135,1.25,1.13,1.18,0.7995,12573084.0,0.0,1.0
2013-09-23,1.19,1.19,1.14,1.18,0.7995,146354.0,0.0,1.0
2013-09-24,1.15,1.165,1.13,1.15,0.7929,175154.0,0.0,1.0
2013-09-25,1.15,1.15,1.15,1.15,0.7929,80000.0,0.0,1.0
2013-09-26,1.15,1.19,1.145,1.185,0.8171,218695.0,0.0,1.0
2013-09-27,1.16,1.17,1.15,1.17,0.8067,85753.0,0.0,1.0
2013-09-30,1.16,1.185,1.16,1.17,0.8067,73200.0,0.0,1.0
2013-10-01,1.17,1.17,1.17,1.17,0.8067,21369.0,0.0,1.0
2013-10-02,1.17,1.2,1.165,1.2,0.8274,138977.0,0.0,1.0
2013-10-03,1.2,1.2,1.17,1.175,0.8102,166115.0,0.0,1.0
2013-10-04,1.185,1.2,1.18,1.2,0.8274,231635.0,0.0,1.0
2013-10-07,1.195,1.2,1.19,1.19,0.8205,88872.0,0.0,1.0
2013-10-08,1.17,1.19,1.15,1.19,0.8205,120881.0,0.0,1.0
2013-10-09,1.19,1.19,1.15,1.17,0.8067,199522.0,0.0,1.0
2013-10-10,1.15,1.17,1.15,1.16,0.7998,91474.0,0.0,1.0
2013-10-11,1.17,1.175,1.15,1.15,0.7929,141447.0,0.0,1.0
2013-10-14,1.15,1.16,1.15,1.16,0.7998,199007.0,0.0,1.0
2013-10-15,1.15,1.175,1.15,1.15,0.7929,70330.0,0.0,1.0
2013-10-16,1.15,1.17,1.15,1.15,0.7929,82861.0,0.0,1.0
2013-10-17,1.155,1.17,1.15,1.17,0.8067,109165.0,0.0,1.0
2013-10-18,1.17,1.17,1.155,1.155,0.7964,10320.0,0.0,1.0
2013-10-21,1.17,1.17,1.155,1.155,0.7964,189566.0,0.0,1.0
2013-10-22,1.16,1.17,1.14,1.16,0.7998,255074.0,0.0,1.0
2013-10-23,1.15,1.165,1.12,1.16,0.7998,187975.0,0.0,1.0
2013-10-24,1.16,1.16,1.13,1.16,0.7998,182142.0,0.0,1.0
2013-10-25,1.15,1.17,1.15,1.17,0.8067,130229.0,0.0,1.0
