date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-04,8.6259,8.8243,8.575,8.7076,2.8353,317353.0,0.0,1.0
2000-01-05,7.9768,7.9768,7.7773,7.907,2.5746,849148.0,0.0,1.0
2000-01-06,7.877,8.1762,7.877,7.877,2.5649,353573.0,0.0,1.0
2000-01-07,7.6776,7.6776,7.2289,7.5081,2.4447,489678.0,0.0,1.0
2000-01-10,8.0266,8.0266,7.6776,7.6776,2.4999,264642.0,0.0,1.0
2000-01-11,7.9768,7.9768,7.4483,7.4483,2.4253,164473.0,0.0,1.0
2000-01-12,7.3286,7.5779,7.0295,7.2987,2.3766,218626.0,0.0,1.0
2000-01-13,7.3286,7.5779,7.0794,7.0794,2.3051,291145.0,0.0,1.0
2000-01-14,7.1103,7.1791,6.87,6.9797,2.2727,417627.0,0.0,1.0
2000-01-17,7.1791,7.2788,7.1392,7.199,2.3441,148365.0,0.0,1.0
2000-01-18,7.196,7.209,7.0395,7.0893,2.3084,141228.0,0.0,1.0
2000-01-19,7.0953,7.0953,6.9398,6.9398,2.2597,143223.0,0.0,1.0
2000-01-20,6.9198,7.0794,6.87,7.0794,2.3051,275504.0,0.0,1.0
2000-01-21,7.217,7.6677,7.217,7.5281,2.4512,642267.0,0.0,1.0
2000-01-24,7.7275,8.0765,7.6776,8.0765,2.6298,591678.0,0.0,1.0
2000-01-25,7.7773,7.9768,7.7674,7.9269,2.5811,404372.0,0.0,1.0
2000-01-26,7.9269,7.9269,7.9269,7.9269,2.5811,0.0,0.0,1.0
2000-01-27,7.9269,7.9269,7.8172,7.877,2.5649,239319.0,0.0,1.0
2000-01-28,7.872,7.9169,7.872,7.877,2.5649,87321.0,0.0,1.0
2000-01-31,7.7773,7.7773,7.4483,7.5779,2.4675,251353.0,0.0,1.0
2000-02-01,7.6786,7.7275,7.3286,7.4563,2.4279,89480.0,0.0,1.0
2000-02-02,7.2289,7.4583,7.0295,7.4284,2.4188,238633.0,0.0,1.0
2000-02-03,7.2638,7.5779,7.2638,7.5779,2.4675,159672.0,0.0,1.0
2000-02-04,7.5779,7.6577,7.4782,7.5779,2.4675,183844.0,0.0,1.0
2000-02-07,7.1521,7.6776,7.1521,7.5779,2.4675,103982.0,0.0,1.0
2000-02-08,7.5779,7.8272,7.5779,7.7973,2.5389,168200.0,0.0,1.0
2000-02-09,7.907,8.216,7.907,8.1762,2.6623,434119.0,0.0,1.0
2000-02-10,8.3257,8.9738,8.3257,8.6847,2.8278,557070.0,0.0,1.0
2000-02-11,8.9938,10.0706,8.9938,9.9909,3.2532,752534.0,0.0,1.0
2000-02-14,9.959,12.4537,9.951,12.2244,3.9804,754185.0,0.0,1.0
2000-02-15,12.4706,13.4109,12.4706,12.9124,4.2045,702375.0,0.0,1.0
2000-02-16,12.9124,12.9124,11.3669,11.7657,3.8311,769096.0,0.0,1.0
2000-02-17,11.7657,12.4637,11.7657,12.4637,4.0583,677399.0,0.0,1.0
2000-02-18,12.4637,12.7628,11.4766,11.8156,3.8473,106668.0,0.0,1.0
2000-02-21,11.3838,11.8156,11.3669,11.8156,3.8473,96332.0,0.0,1.0
2000-02-22,11.8604,12.2642,11.7657,11.9651,3.896,275323.0,0.0,1.0
2000-02-23,11.8674,11.9651,10.7786,11.1674,3.6363,241961.0,0.0,1.0
2000-02-24,11.8654,12.015,11.5663,11.9651,3.896,385921.0,0.0,1.0
2000-02-25,11.7049,11.9751,11.666,11.9751,3.8993,155056.0,0.0,1.0
