date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-04,2.6591,2.6591,2.6098,2.6393,1.6866,44474.0,0.0,1.0
2000-01-05,2.5606,2.5606,2.4128,2.4621,1.5733,26188.0,0.0,1.0
2000-01-06,2.5606,2.5606,2.5606,2.5606,1.6363,5991.0,0.0,1.0
2000-01-07,2.5113,2.5606,2.4818,2.5409,1.6237,17719.0,0.0,1.0
2000-01-10,2.5704,2.5704,2.5606,2.5606,1.6363,25730.0,0.0,1.0
2000-01-11,2.5606,2.5606,2.5409,2.5606,1.6363,5910.0,0.0,1.0
2000-01-12,2.5606,2.5901,2.5606,2.5901,1.6551,16754.0,0.0,1.0
2000-01-13,2.5704,2.5803,2.5507,2.5507,1.63,5077.0,0.0,1.0
2000-01-14,2.5507,2.5606,2.5409,2.5606,1.6363,13099.0,0.0,1.0
2000-01-17,2.5606,2.5606,2.5409,2.5409,1.6237,50212.0,0.0,1.0
2000-01-18,2.5409,2.5409,2.531,2.531,1.6174,3046.0,0.0,1.0
2000-01-19,2.5113,2.5113,2.4621,2.5113,1.6048,42753.0,0.0,1.0
2000-01-20,2.4621,2.4621,2.4621,2.4621,1.5733,25060.0,0.0,1.0
2000-01-21,2.3636,2.4621,2.3636,2.4621,1.5733,13606.0,0.0,1.0
2000-01-24,2.5113,2.5113,2.4621,2.4621,1.5733,23100.0,0.0,1.0
2000-01-25,2.4621,2.4621,2.4621,2.4621,1.5733,17973.0,0.0,1.0
2000-01-26,2.5,2.5,2.5,2.5,1.5975,0.0,0.0,1.0
2000-01-27,2.4522,2.4621,2.3439,2.3537,1.5041,28244.0,0.0,1.0
2000-01-28,2.3636,2.3636,2.3636,2.3636,1.5104,20308.0,0.0,1.0
2000-01-31,2.3636,2.4128,2.3636,2.4128,1.5418,13708.0,0.0,1.0
2000-02-01,2.3636,2.3636,2.3242,2.3242,1.4852,37570.0,0.0,1.0
2000-02-02,2.8708,2.8708,2.3242,2.3439,1.4978,202209.0,0.0,1.0
2000-02-03,2.3439,2.3439,2.3439,2.3439,1.4978,1523.0,0.0,1.0
2000-02-04,2.3537,2.3636,2.3537,2.3636,1.5104,30411.0,0.0,1.0
2000-02-07,2.3636,2.4128,2.3636,2.3636,1.5104,91386.0,0.0,1.0
2000-02-08,2.4128,2.4128,2.4128,2.4128,1.5418,815.0,0.0,1.0
2000-02-09,2.4128,2.4128,2.4128,2.4128,1.5418,4620.0,0.0,1.0
2000-02-10,2.4128,2.4325,2.3931,2.3931,1.5293,17655.0,0.0,1.0
2000-02-11,2.3931,2.3931,2.3144,2.3144,1.4789,33115.0,0.0,1.0
2000-02-14,2.3636,2.3735,2.3636,2.3735,1.5167,45781.0,0.0,1.0
2000-02-15,2.3242,2.3735,2.2848,2.3735,1.5167,28588.0,0.0,1.0
2000-02-16,2.3045,2.3439,2.3045,2.3439,1.4978,42545.0,0.0,1.0
2000-02-17,2.3045,2.3439,2.3045,2.3045,1.4726,17711.0,0.0,1.0
2000-02-18,2.3163,2.3163,2.2848,2.2848,1.46,24674.0,0.0,1.0
2000-02-21,2.2651,2.3144,2.2651,2.3144,1.4789,57979.0,0.0,1.0
2000-02-22,2.3144,2.3439,2.275,2.275,1.4537,25791.0,0.0,1.0
2000-02-23,2.2947,2.3144,2.2947,2.3144,1.4789,19090.0,0.0,1.0
2000-02-24,2.3242,2.3242,2.3144,2.3144,1.4789,353359.0,0.0,1.0
2000-02-25,2.3439,2.3636,2.3045,2.3636,1.5104,50872.0,0.0,1.0
2000-02-28,2.3735,2.4128,2.3735,2.4128,1.5418,12693.0,0.0,1.0
2000-02-29,2.4089,2.4621,2.4089,2.4621,1.5733,51480.0,0.0,1.0
2000-03-01,2.3636,2.3636,2.2257,2.2651,1.4475,114233.0,0.0,1.0
2000-03-02,2.2651,2.3144,2.2651,2.2651,1.4475,25893.0,0.0,1.0
2000-03-03,2.3144,2.3144,2.2651,2.2651,1.4475,24011.0,0.0,1.0
2000-03-06,2.2454,2.2454,2.2257,2.2257,1.4223,21628.0,0.0,1.0
2000-03-07,2.2159,2.2159,2.0288,2.2159,1.416,30462.0,0.0,1.0
2000-03-08,2.1174,2.1666,2.1174,2.1666,1.3845,11050.0,0.0,1.0
2000-03-09,2.1666,2.1666,2.1174,2.1568,1.3782,18633.0,0.0,1.0
2000-03-10,2.1272,2.2159,2.1272,2.2159,1.416,2032069.0,0.0,1.0
2000-03-13,2.1666,2.2159,2.1666,2.1765,1.3908,17059.0,0.0,1.0
2000-03-14,2.1765,2.1765,2.1765,2.1765,1.3908,508.0,0.0,1.0
2000-03-15,2.1765,2.2159,2.1765,2.2159,1.416,21983.0,0.0,1.0
2000-03-16,2.1765,2.2159,2.1765,2.2159,1.416,2640.0,0.0,1.0
2000-03-17,2.1765,2.206,2.1765,2.206,1.4097,3046.0,0.0,1.0
2000-03-20,2.206,2.206,2.206,2.206,1.4097,2031.0,0.0,1.0
2000-03-21,2.1765,2.1765,2.1666,2.1666,1.3845,9139.0,0.0,1.0
2000-03-22,2.1666,2.1962,2.1174,2.1962,1.4034,18480.0,0.0,1.0
2000-03-23,2.1962,2.1962,2.1962,2.1962,1.4034,0.0,0.0,1.0
2000-03-24,2.1469,2.1469,2.1075,2.1174,1.3531,26063.0,0.0,1.0
2000-03-27,2.1174,2.1174,2.1174,2.1174,1.3531,8123.0,0.0,1.0
2000-03-28,2.1075,2.1174,2.0682,2.1174,1.3531,9418.0,0.0,1.0
2000-03-29,2.1174,2.1174,2.0682,2.1174,1.3531,61635.0,0.0,1.0
2000-03-30,2.0682,2.1272,2.0682,2.1174,1.3531,19427.0,0.0,1.0
2000-03-31,2.1272,2.1666,2.1174,2.1666,1.3845,16384.0,0.0,1.0
2000-04-03,2.1666,2.1666,2.1174,2.1666,1.3845,22720.0,0.0,1.0
2000-04-04,2.1174,2.1174,2.1174,2.1174,1.3531,33305.0,0.0,1.0
2000-04-05,2.1174,2.1174,2.0682,2.1174,1.3531,100525.0,0.0,1.0
2000-04-06,2.0878,2.1174,2.0682,2.1174,1.3531,15739.0,0.0,1.0
2000-04-07,2.1174,2.1666,2.1174,2.1469,1.3719,9139.0,0.0,1.0
2000-04-10,2.1568,2.1666,2.1174,2.1666,1.3845,37062.0,0.0,1.0
2000-04-11,2.1174,2.1272,2.1174,2.1174,1.3531,29568.0,0.0,1.0
2000-04-12,2.1174,2.1174,2.1174,2.1174,1.3531,0.0,0.0,1.0
2000-04-13,2.078,2.1174,2.0682,2.0682,1.3216,24471.0,0.0,1.0
2000-04-14,2.0682,2.1174,2.0682,2.1174,1.3531,13916.0,0.0,1.0
2000-04-17,2.0288,2.0288,1.9697,1.9795,1.2649,544503.0,0.0,1.0
2000-04-18,2.0189,2.0189,2.0189,2.0189,1.2901,13099.0,0.0,1.0
2000-04-19,2.0189,2.0189,1.9697,1.9697,1.2587,3229.0,0.0,1.0
2000-04-20,1.9697,1.9697,1.9697,1.9697,1.2587,5077.0,0.0,1.0
2000-04-21,2.0,2.0,2.0,2.0,1.278,0.0,0.0,1.0
2000-04-24,2.0,2.0,2.0,2.0,1.278,0.0,0.0,1.0
2000-04-25,2.0,2.0,2.0,2.0,1.278,0.0,0.0,1.0
2000-04-26,2.0682,2.0682,1.9795,2.0682,1.3216,26400.0,0.0,1.0
2000-04-27,2.0682,2.0682,2.0682,2.0682,1.3216,508.0,0.0,1.0
2000-04-28,1.9795,2.0682,1.9795,2.0682,1.3216,23180.0,0.0,1.0
2000-05-01,2.0682,2.0682,2.0189,2.0189,1.2901,6519.0,0.0,1.0
2000-05-02,2.0189,2.0682,1.9697,2.0682,1.3216,20897.0,0.0,1.0
2000-05-03,2.0682,2.0682,2.0682,2.0682,1.3216,4062.0,0.0,1.0
2000-05-04,2.1174,2.1174,2.1174,2.1174,1.3531,113908.0,0.0,1.0
2000-05-05,2.1243,2.2159,2.0682,2.0682,1.3216,16856.0,0.0,1.0
2000-05-08,2.1174,2.1863,2.1174,2.1666,1.3845,6448.0,0.0,1.0
2000-05-09,2.1863,2.2159,2.1666,2.1765,1.3908,449285.0,0.0,1.0
2000-05-10,2.2257,2.2553,2.1666,2.1666,1.3845,40327.0,0.0,1.0
2000-05-11,2.2346,2.2651,2.1666,2.1666,1.3845,3239.0,0.0,1.0
2000-05-12,2.1272,2.1272,2.1272,2.1272,1.3593,1023523.0,0.0,1.0
2000-05-15,2.1272,2.1666,2.1174,2.1174,1.3531,4624.0,0.0,1.0
2000-05-16,2.0189,2.0189,1.9697,1.9697,1.2587,1523.0,0.0,1.0
2000-05-17,2.0189,2.0189,1.9894,1.9894,1.2712,40616.0,0.0,1.0
2000-05-18,2.0682,2.0682,2.0288,2.0288,1.2964,9139.0,0.0,1.0
2000-05-19,2.1174,2.1174,2.1174,2.1174,1.3531,15231.0,0.0,1.0
2000-05-22,2.1174,2.1174,2.0682,2.0682,1.3216,11576.0,0.0,1.0
2000-05-23,2.0682,2.0682,2.0583,2.0682,1.3216,6092.0,0.0,1.0
2000-05-24,2.0878,2.1174,2.0878,2.0878,1.3342,51484.0,0.0,1.0
2000-05-25,2.0682,2.0682,2.0682,2.0682,1.3216,1015.0,0.0,1.0
2000-05-26,2.1174,2.1174,2.1174,2.1174,1.3531,914.0,0.0,1.0
2000-05-29,2.1174,2.1174,2.1174,2.1174,1.3531,0.0,0.0,1.0
2000-05-30,2.1174,2.1469,2.1174,2.1469,1.3719,14236.0,0.0,1.0
2000-05-31,2.1469,2.1666,2.1469,2.1666,1.3845,35539.0,0.0,1.0
2000-06-01,2.1972,2.2159,2.1666,2.1863,1.3971,36224.0,0.0,1.0
2000-06-02,2.2159,2.2159,2.1666,2.2159,1.416,24090.0,0.0,1.0
2000-06-05,2.2553,2.2651,2.2553,2.2651,1.4475,104992.0,0.0,1.0
2000-06-06,2.4109,2.4128,2.2159,2.2257,1.4223,36554.0,0.0,1.0
2000-06-07,2.2651,2.2651,2.2651,2.2651,1.4475,1015.0,0.0,1.0
2000-06-08,2.2651,2.2651,2.2651,2.2651,1.4475,0.0,0.0,1.0
2000-06-09,2.3144,2.3144,2.3144,2.3144,1.4789,2031.0,0.0,1.0
2000-06-12,2.35,2.35,2.35,2.35,1.5017,0.0,0.0,1.0
2000-06-13,2.2651,2.2651,2.2159,2.2651,1.4475,37570.0,0.0,1.0
2000-06-14,2.2651,2.2651,2.2651,2.2651,1.4475,0.0,0.0,1.0
2000-06-15,2.273,2.275,2.273,2.275,1.4537,20308.0,0.0,1.0
2000-06-16,2.275,2.275,2.275,2.275,1.4537,0.0,0.0,1.0
2000-06-19,2.206,2.206,2.1666,2.1863,1.3971,27111.0,0.0,1.0
2000-06-20,2.2159,2.2356,2.2159,2.2356,1.4286,255881.0,0.0,1.0
2000-06-21,2.2159,2.2159,2.2159,2.2159,1.416,4062.0,0.0,1.0
2000-06-22,2.206,2.2159,2.1469,2.2159,1.416,41626.0,0.0,1.0
2000-06-23,2.1863,2.2159,2.1863,2.2159,1.416,10662.0,0.0,1.0
2000-06-26,2.1174,2.1863,2.1174,2.1863,1.3971,10814.0,0.0,1.0
2000-06-27,2.1666,2.2159,2.1174,2.2159,1.416,55847.0,0.0,1.0
2000-06-28,2.1666,2.2159,2.1666,2.2159,1.416,13200.0,0.0,1.0
2000-06-29,2.0682,2.2159,2.0682,2.2159,1.416,58893.0,0.0,1.0
2000-06-30,2.1666,2.2651,2.1666,2.2651,1.4475,69618.0,0.0,1.0
2000-07-03,2.2159,2.2159,2.1272,2.1469,1.3719,22669.0,0.0,1.0
2000-07-04,2.1469,2.1666,2.1469,2.1666,1.3845,7108.0,0.0,1.0
2000-07-05,2.1272,2.1272,2.1174,2.1174,1.3531,146421.0,0.0,1.0
