date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2016-11-16,2.65,2.66,2.45,2.47,2.2037,22372546.0,0.0,1.0
2016-11-17,2.4,2.49,2.35,2.49,2.2215,2519756.0,0.0,1.0
2016-11-18,2.49,2.54,2.46,2.5,2.2305,1341965.0,0.0,1.0
2016-11-21,2.5,2.5,2.44,2.46,2.1948,829119.0,0.0,1.0
2016-11-22,2.42,2.42,2.37,2.38,2.1234,803227.0,0.0,1.0
2016-11-23,2.35,2.4,2.25,2.3,2.052,382977.0,0.0,1.0
2016-11-24,2.29,2.41,2.29,2.36,2.1056,538034.0,0.0,1.0
2016-11-25,2.37,2.42,2.37,2.39,2.1323,2002800.0,0.0,1.0
2016-11-28,2.4,2.41,2.4,2.4,2.1412,817907.0,0.0,1.0
2016-11-29,2.39,2.4,2.38,2.39,2.1323,29355.0,0.0,1.0
2016-11-30,2.4,2.41,2.32,2.35,2.0966,1457201.0,0.0,1.0
2016-12-01,2.36,2.4,2.35,2.38,2.1234,69354.0,0.0,1.0
2016-12-02,2.35,2.4,2.35,2.38,2.1234,171024.0,0.0,1.0
2016-12-05,2.38,2.45,2.38,2.45,2.1858,762619.0,0.0,1.0
2016-12-06,2.45,2.45,2.35,2.36,2.1056,223265.0,0.0,1.0
2016-12-07,2.35,2.35,2.3,2.35,2.0966,104854.0,0.0,1.0
2016-12-08,2.35,2.39,2.3,2.31,2.0609,151946.0,0.0,1.0
2016-12-09,2.38,2.38,2.34,2.34,2.0877,15594.0,0.0,1.0
2016-12-12,2.36,2.4,2.35,2.38,2.1234,442734.0,0.0,1.0
2016-12-13,2.39,2.42,2.36,2.42,2.1591,649469.0,0.0,1.0
2016-12-14,2.365,2.41,2.365,2.41,2.1502,557053.0,0.0,1.0
2016-12-15,2.4,2.4,2.36,2.38,2.1234,97588.0,0.0,1.0
2016-12-16,2.39,2.42,2.39,2.4,2.1412,338452.0,0.0,1.0
2016-12-19,2.36,2.41,2.36,2.41,2.1502,456381.0,0.0,1.0
2016-12-20,2.41,2.47,2.41,2.47,2.2037,506077.0,0.0,1.0
2016-12-21,2.42,2.5,2.42,2.5,2.2305,1520224.0,0.0,1.0
2016-12-22,2.51,2.52,2.5,2.5,2.2305,248143.0,0.0,1.0
2016-12-23,2.5,2.52,2.5,2.5,2.2305,39724.0,0.0,1.0
2016-12-28,2.51,2.52,2.5,2.5,2.2305,1512694.0,0.0,1.0
2016-12-29,2.52,2.52,2.42,2.52,2.2483,1862.0,0.0,1.0
2016-12-30,2.52,2.52,2.51,2.51,2.2394,518.0,0.0,1.0
2017-01-03,2.51,2.52,2.5,2.5,2.2305,13417.0,0.0,1.0
2017-01-04,2.51,2.52,2.5,2.5,2.2305,18197.0,0.0,1.0
2017-01-05,2.5,2.52,2.49,2.49,2.2215,177720.0,0.0,1.0
2017-01-06,2.52,2.64,2.52,2.63,2.3464,251633.0,0.0,1.0
2017-01-09,2.58,2.64,2.55,2.59,2.3108,656357.0,0.0,1.0
2017-01-10,2.6,2.6,2.5,2.59,2.3108,337703.0,0.0,1.0
2017-01-11,2.59,2.59,2.59,2.59,2.3108,0.0,0.0,1.0
2017-01-12,2.54,2.55,2.5,2.51,2.2394,28203.0,0.0,1.0
2017-01-13,2.55,2.55,2.51,2.51,2.2394,28504.0,0.0,1.0
2017-01-16,2.5,2.55,2.5,2.5,2.2305,37083.0,0.0,1.0
2017-01-17,2.5,2.55,2.5,2.5,2.2305,25103.0,0.0,1.0
2017-01-18,2.55,2.55,2.5,2.55,2.2751,701775.0,0.0,1.0
2017-01-19,2.58,2.58,2.5,2.55,2.2751,241226.0,0.0,1.0
2017-01-20,2.5,2.58,2.5,2.57,2.2929,101003.0,0.0,1.0
2017-01-23,2.58,2.59,2.55,2.57,2.2929,149191.0,0.0,1.0
2017-01-24,2.58,2.58,2.55,2.57,2.2929,79669.0,0.0,1.0
2017-01-25,2.57,2.65,2.57,2.63,2.3464,147003.0,0.0,1.0
2017-01-27,2.62,2.63,2.56,2.62,2.3375,28350.0,0.0,1.0
2017-01-30,2.6,2.63,2.52,2.57,2.2929,78137.0,0.0,1.0
2017-01-31,2.5,2.61,2.5,2.55,2.2751,10452.0,0.0,1.0
2017-02-01,2.55,2.61,2.55,2.59,2.3108,38298.0,0.0,1.0
2017-02-02,2.61,2.62,2.56,2.62,2.3375,144135.0,0.0,1.0
2017-02-03,2.62,2.62,2.56,2.61,2.3286,13054.0,0.0,1.0
2017-02-06,2.6,2.6,2.56,2.6,2.3197,3319.0,0.0,1.0
2017-02-07,2.56,2.6,2.56,2.6,2.3197,1222951.0,0.0,1.0
2017-02-08,2.6,2.62,2.58,2.62,2.3375,70878.0,0.0,1.0
2017-02-09,2.63,2.63,2.58,2.61,2.3286,8080.0,0.0,1.0
2017-02-10,2.61,2.61,2.58,2.58,2.3018,100654.0,0.0,1.0
2017-02-13,2.6,2.6,2.58,2.6,2.3197,31609.0,0.0,1.0
2017-02-14,2.6,2.6,2.58,2.6,2.3197,3668.0,0.0,1.0
2017-02-15,2.6,2.6,2.57,2.6,2.3197,29641.0,0.0,1.0
2017-02-16,2.6,2.61,2.55,2.6,2.3197,37970.0,0.0,1.0
2017-02-17,2.59,2.6,2.55,2.59,2.3108,18566.0,0.0,1.0
2017-02-20,2.59,2.6,2.54,2.6,2.3197,11843.0,0.0,1.0
2017-02-21,2.5,2.56,2.45,2.5,2.2305,196360.0,0.0,1.0
2017-02-22,2.59,2.59,2.55,2.58,2.3018,11641.0,0.0,1.0
2017-02-23,2.6,2.62,2.58,2.6,2.3197,240690.0,0.0,1.0
2017-02-24,2.62,2.64,2.61,2.64,2.3554,53244.0,0.0,1.0
2017-02-27,2.64,2.64,2.6,2.63,2.3464,95268.0,0.0,1.0
2017-02-28,2.64,2.64,2.6,2.6,2.3197,37253.0,0.0,1.0
2017-03-01,2.63,2.63,2.6,2.63,2.3464,39420.0,0.0,1.0
2017-03-02,2.6,2.63,2.6,2.62,2.3375,40190.0,0.0,1.0
2017-03-03,2.61,2.63,2.6,2.63,2.3464,60240.0,0.0,1.0
2017-03-06,2.61,2.61,2.58,2.6,2.3197,644625.0,0.0,1.0
2017-03-07,2.61,2.61,2.45,2.6,2.3197,210973.0,0.0,1.0
2017-03-08,2.6,2.6,2.52,2.52,2.2483,56000.0,0.0,1.0
2017-03-09,2.55,2.55,2.47,2.47,2.2037,13023.0,0.0,1.0
2017-03-10,2.55,2.57,2.45,2.5,2.2305,337841.0,0.0,1.0
2017-03-13,2.45,2.5,2.45,2.5,2.2305,30006.0,0.0,1.0
2017-03-14,2.5,2.5,2.4,2.4,2.1412,79035.0,0.0,1.0
2017-03-15,2.41,2.48,2.41,2.46,2.1948,939.0,0.0,1.0
2017-03-16,2.45,2.49,2.4,2.45,2.1858,55316.0,0.0,1.0
2017-03-17,2.45,2.45,2.4,2.4,2.1412,1032388.0,0.0,1.0
2017-03-20,2.4,2.43,2.35,2.35,2.0966,3901.0,0.0,1.0
2017-03-21,2.39,2.39,2.3,2.39,2.1323,208396.0,0.0,1.0
2017-03-22,2.37,2.38,2.3,2.37,2.1145,39206.0,0.0,1.0
2017-03-23,2.37,2.4,2.3,2.4,2.1412,37233.0,0.0,1.0
2017-03-24,2.45,2.5,2.39,2.42,2.1591,40651.0,0.0,1.0
2017-03-27,2.49,2.52,2.45,2.52,2.2483,84594.0,0.0,1.0
2017-03-28,2.52,2.53,2.38,2.52,2.2483,1070350.0,0.0,1.0
2017-03-29,2.54,2.54,2.41,2.51,2.2394,1379717.0,0.0,1.0
2017-03-30,2.45,2.54,2.45,2.49,2.2215,316428.0,0.0,1.0
2017-03-31,2.52,2.54,2.52,2.54,2.2661,35307.0,0.0,1.0
2017-04-03,2.54,2.54,2.45,2.49,2.2215,266140.0,0.0,1.0
