date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2005-12-14,1.2483,1.2675,1.2098,1.2483,0.4511,58031680.0,0.0,1.0
2005-12-15,1.2387,1.2578,1.2387,1.2483,0.4511,41530061.0,0.0,1.0
2005-12-16,1.2387,1.2483,1.2387,1.2387,0.4477,11914000.0,0.0,1.0
2005-12-19,1.2387,1.2578,1.2387,1.2578,0.4546,3264489.0,0.0,1.0
2005-12-20,1.2578,1.2771,1.2578,1.2675,0.4581,3149992.0,0.0,1.0
2005-12-21,1.2675,1.3059,1.2675,1.2963,0.4685,4396049.0,0.0,1.0
2005-12-22,1.2867,1.3059,1.2867,1.3059,0.472,3702038.0,0.0,1.0
2005-12-23,1.3059,1.3251,1.3059,1.3251,0.4789,3068427.0,0.0,1.0
2005-12-28,1.3251,1.3251,1.3155,1.3155,0.4754,668214.0,0.0,1.0
2005-12-29,1.3155,1.3155,1.2867,1.2867,0.465,3428535.0,0.0,1.0
2005-12-30,1.2867,1.2963,1.2771,1.2771,0.4616,3772469.0,0.0,1.0
2006-01-03,1.2867,1.2963,1.2771,1.2963,0.4685,204793.0,0.0,1.0
2006-01-04,1.2963,1.2963,1.2675,1.2771,0.4616,3552927.0,0.0,1.0
2006-01-05,1.2675,1.2867,1.2675,1.2771,0.4616,3661763.0,0.0,1.0
2006-01-06,1.2771,1.2771,1.2675,1.2675,0.4581,3492964.0,0.0,1.0
2006-01-09,1.2675,1.2675,1.2387,1.2483,0.4511,8007694.0,0.0,1.0
2006-01-10,1.2483,1.2578,1.2387,1.2578,0.4546,2587083.0,0.0,1.0
2006-01-11,1.2578,1.2675,1.2483,1.2675,0.4581,3585515.0,0.0,1.0
2006-01-12,1.2675,1.2771,1.2578,1.2578,0.4546,1474388.0,0.0,1.0
2006-01-13,1.2771,1.2771,1.2483,1.2483,0.4511,2526633.0,0.0,1.0
2006-01-16,1.2483,1.2578,1.2483,1.2578,0.4546,1823695.0,0.0,1.0
2006-01-17,1.2578,1.2578,1.2387,1.2387,0.4477,4628500.0,0.0,1.0
2006-01-18,1.2387,1.2483,1.2387,1.2483,0.4511,7250872.0,0.0,1.0
2006-01-19,1.2483,1.2578,1.2483,1.2578,0.4546,3823696.0,0.0,1.0
2006-01-20,1.2578,1.2578,1.2578,1.2578,0.4546,1436932.0,0.0,1.0
2006-01-23,1.2578,1.2578,1.2483,1.2578,0.4546,831083.0,0.0,1.0
2006-01-24,1.2483,1.2578,1.2483,1.2483,0.4511,2816298.0,0.0,1.0
2006-01-25,1.2483,1.2483,1.2387,1.2387,0.4477,2359380.0,0.0,1.0
2006-01-27,1.2387,1.2483,1.2387,1.2387,0.4477,10127407.0,0.0,1.0
2006-01-30,1.2578,1.2578,1.2483,1.2483,0.4511,10192322.0,0.0,1.0
2006-01-31,1.2578,1.2578,1.2483,1.2483,0.4511,1078748.0,0.0,1.0
2006-02-01,1.2578,1.2578,1.2387,1.2483,0.4511,9768514.0,0.0,1.0
2006-02-02,1.2387,1.2483,1.2387,1.2387,0.4477,715637.0,0.0,1.0
2006-02-03,1.2483,1.2675,1.2483,1.2578,0.4546,5568367.0,0.0,1.0
2006-02-06,1.2483,1.2578,1.2483,1.2578,0.4546,1526226.0,0.0,1.0
2006-02-07,1.2578,1.2675,1.2578,1.2578,0.4546,1213504.0,0.0,1.0
2006-02-08,1.2578,1.2771,1.2578,1.2771,0.4616,2375907.0,0.0,1.0
2006-02-09,1.2675,1.2867,1.2675,1.2771,0.4616,2670375.0,0.0,1.0
2006-02-10,1.2675,1.2771,1.2675,1.2675,0.4581,4064000.0,0.0,1.0
2006-02-13,1.2578,1.2675,1.2483,1.2675,0.4581,2750779.0,0.0,1.0
2006-02-14,1.2578,1.2675,1.2578,1.2578,0.4546,9916818.0,0.0,1.0
2006-02-15,1.2578,1.2675,1.2578,1.2578,0.4546,1122353.0,0.0,1.0
