date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-04,11.6063,11.7451,11.5974,11.6663,4.9741,235786.0,0.0,1.0
2000-01-05,11.3217,11.3217,11.0855,11.2233,4.7852,315513.0,0.0,1.0
2000-01-06,11.5187,11.6171,11.4202,11.5187,4.9112,242098.0,0.0,1.0
2000-01-07,11.5187,11.6959,11.5187,11.5777,4.9364,260708.0,0.0,1.0
2000-01-10,11.6437,11.9026,11.6368,11.814,5.0371,352205.0,0.0,1.0
2000-01-11,11.8632,12.0109,11.8632,11.8632,5.0581,321623.0,0.0,1.0
2000-01-12,11.814,12.0011,11.7549,11.9912,5.1127,166534.0,0.0,1.0
2000-01-13,11.9223,11.9715,11.814,11.9715,5.1043,187458.0,0.0,1.0
2000-01-14,11.9617,12.1094,11.9124,12.1094,5.1631,203152.0,0.0,1.0
2000-01-17,12.2019,12.5918,12.198,12.5721,5.3603,342854.0,0.0,1.0
2000-01-18,12.6449,13.1431,12.6449,12.7985,5.4569,478138.0,0.0,1.0
2000-01-19,12.7985,12.7985,12.4933,12.6134,5.3779,214224.0,0.0,1.0
2000-01-20,12.6095,12.7985,12.6095,12.7985,5.4569,189132.0,0.0,1.0
2000-01-21,12.7985,12.7985,12.6213,12.641,5.3897,70821.0,0.0,1.0
2000-01-24,12.6105,12.6902,12.5524,12.6016,5.3729,162299.0,0.0,1.0
2000-01-25,12.5455,12.6016,12.3161,12.4825,5.3221,120439.0,0.0,1.0
2000-01-26,12.4825,12.4825,12.4825,12.4825,5.3221,0.0,0.0,1.0
2000-01-27,12.5406,12.6508,12.4835,12.6016,5.3729,99198.0,0.0,1.0
2000-01-28,12.6016,12.7296,12.6016,12.7296,5.4275,95051.0,0.0,1.0
2000-01-31,12.4835,12.6016,12.4539,12.5031,5.3309,82278.0,0.0,1.0
2000-02-01,12.7414,12.7985,12.5031,12.6508,5.3939,167320.0,0.0,1.0
2000-02-02,12.7493,12.8477,12.6705,12.7493,5.4359,180060.0,0.0,1.0
2000-02-03,12.8054,12.8477,12.6016,12.706,5.4174,370285.0,0.0,1.0
2000-02-04,12.7434,12.7985,12.6508,12.7887,5.4527,170646.0,0.0,1.0
2000-02-07,12.7148,12.8182,12.7001,12.8083,5.461,150302.0,0.0,1.0
2000-02-08,12.7001,13.0643,12.7001,12.9954,5.5408,170651.0,0.0,1.0
2000-02-09,13.0003,13.2711,13.0003,13.0939,5.5828,221829.0,0.0,1.0
2000-02-10,13.0456,13.1726,12.8576,12.9954,5.5408,121764.0,0.0,1.0
2000-02-11,12.9954,13.4187,12.9954,13.3597,5.6961,241375.0,0.0,1.0
2000-02-14,13.2917,13.7338,13.0939,13.6353,5.8136,465543.0,0.0,1.0
2000-02-15,13.6973,13.9799,13.6846,13.6846,5.8347,358593.0,0.0,1.0
2000-02-16,13.7899,13.9799,13.783,13.9799,5.9606,280354.0,0.0,1.0
2000-02-17,13.7899,13.9799,13.783,13.9799,5.9606,207386.0,0.0,1.0
2000-02-18,13.9307,14.1276,13.9307,13.9799,5.9606,257176.0,0.0,1.0
2000-02-21,13.6846,13.9799,13.4876,13.9307,5.9396,316011.0,0.0,1.0
2000-02-22,13.9307,14.098,13.783,14.0784,6.0026,207032.0,0.0,1.0
2000-02-23,14.0784,14.2753,13.9799,14.2162,6.0613,411094.0,0.0,1.0
2000-02-24,14.1817,14.4229,14.0291,14.4229,6.1494,403283.0,0.0,1.0
2000-02-25,14.4721,14.5214,14.3048,14.4721,6.1704,388364.0,0.0,1.0
2000-02-28,14.4328,14.6887,14.3737,14.6198,6.2334,332897.0,0.0,1.0
2000-02-29,14.7006,14.9644,14.6691,14.9526,6.3753,465077.0,0.0,1.0
2000-03-01,14.9811,15.4566,14.9811,15.2598,6.5063,335032.0,0.0,1.0
2000-03-02,15.3503,15.3503,14.3245,14.6691,6.2544,390562.0,0.0,1.0
2000-03-03,14.4032,14.7675,14.4032,14.7675,6.2964,251275.0,0.0,1.0
2000-03-06,14.7675,14.8659,14.6198,14.6691,6.2544,255162.0,0.0,1.0
2000-03-07,14.6691,14.8659,14.6691,14.7872,6.3048,215699.0,0.0,1.0
2000-03-08,14.7409,14.8758,14.5509,14.6533,6.2477,778391.0,0.0,1.0
2000-03-09,14.7193,14.7193,14.1276,14.2703,6.0844,380240.0,0.0,1.0
2000-03-10,14.2753,14.7183,14.2753,14.6887,6.2628,328826.0,0.0,1.0
2000-03-13,14.6631,14.7675,14.6395,14.7675,6.2964,166282.0,0.0,1.0
2000-03-14,14.7183,14.8659,14.7183,14.7774,6.3006,589227.0,0.0,1.0
2000-03-15,14.7281,14.7577,14.3737,14.3737,6.1285,98333.0,0.0,1.0
2000-03-16,14.5785,14.8758,14.5785,14.7774,6.3006,214384.0,0.0,1.0
2000-03-17,14.9152,15.0136,14.7774,14.9349,6.3678,204730.0,0.0,1.0
2000-03-20,14.8148,14.8955,14.7183,14.8512,6.3321,103333.0,0.0,1.0
2000-03-21,14.2753,14.3737,14.0291,14.226,6.1066,276218.0,0.0,1.0
2000-03-22,14.226,14.4623,14.0291,14.4229,6.1911,149652.0,0.0,1.0
2000-03-23,14.4229,14.4328,14.0587,14.0587,6.0348,238521.0,0.0,1.0
2000-03-24,14.0784,14.2753,13.9799,14.226,6.1066,157725.0,0.0,1.0
2000-03-27,14.0784,14.1867,13.783,14.0587,6.0348,95918.0,0.0,1.0
2000-03-28,13.9071,13.9307,13.5861,13.8322,5.9376,307953.0,0.0,1.0
2000-03-29,13.5861,13.7338,13.2907,13.2907,5.7051,262192.0,0.0,1.0
2000-03-30,13.2829,13.6156,13.2809,13.6156,5.8446,379633.0,0.0,1.0
2000-03-31,13.3892,13.5861,13.3892,13.5861,5.8319,201720.0,0.0,1.0
2000-04-03,13.6176,13.7338,13.5861,13.7249,5.8915,384398.0,0.0,1.0
2000-04-04,13.6846,13.783,13.6846,13.7535,5.9038,342319.0,0.0,1.0
2000-04-05,13.7279,13.7279,12.5228,13.3892,5.7474,779449.0,0.0,1.0
2000-04-06,13.4384,13.4384,12.7099,13.1234,5.6333,136913.0,0.0,1.0
2000-04-07,13.2907,13.2907,12.7001,12.7001,5.4516,138183.0,0.0,1.0
2000-04-10,12.7325,13.0939,12.7325,13.0939,5.6207,105071.0,0.0,1.0
2000-04-11,13.0722,13.0722,12.6213,12.7493,5.4727,194469.0,0.0,1.0
2000-04-12,12.7493,12.8969,12.6016,12.7985,5.4939,217249.0,0.0,1.0
2000-04-13,12.5031,12.8182,12.3062,12.8182,5.5023,491901.0,0.0,1.0
2000-04-14,12.6902,12.7001,12.5622,12.6922,5.4482,239535.0,0.0,1.0
2000-04-17,11.3217,11.6663,10.8295,11.0264,4.7332,818263.0,0.0,1.0
2000-04-18,11.8081,11.814,11.3316,11.7156,5.029,386179.0,0.0,1.0
2000-04-19,11.8199,11.9912,11.7648,11.8642,5.0928,356793.0,0.0,1.0
2000-04-20,11.814,11.9617,11.7156,11.9617,5.1347,146637.0,0.0,1.0
2000-04-21,11.9617,11.9617,11.9617,11.9617,5.1347,0.0,0.0,1.0
2000-04-24,11.9617,11.9617,11.9617,11.9617,5.1347,0.0,0.0,1.0
2000-04-25,11.9617,11.9617,11.9617,11.9617,5.1347,0.0,0.0,1.0
2000-04-26,12.0375,12.6804,12.0375,12.5031,5.3671,190409.0,0.0,1.0
2000-04-27,12.5524,12.5524,12.2767,12.4539,5.3459,168713.0,0.0,1.0
2000-04-28,12.4392,12.5819,12.2669,12.5031,5.3671,79455.0,0.0,1.0
2000-05-01,12.2738,12.3456,12.1586,12.2078,5.2403,98436.0,0.0,1.0
2000-05-02,12.2078,12.3161,12.0995,12.1094,5.1981,69274.0,0.0,1.0
2000-05-03,12.1025,12.1025,11.6466,11.6466,4.9994,93764.0,0.0,1.0
2000-05-04,11.626,11.6368,11.4005,11.6368,4.9952,116626.0,0.0,1.0
2000-05-05,11.6437,12.2669,11.6437,12.1094,5.1981,80392.0,0.0,1.0
2000-05-08,12.1261,12.1586,11.6073,11.6171,4.9867,68650.0,0.0,1.0
2000-05-09,11.5679,11.6171,10.9772,10.9772,4.712,197570.0,0.0,1.0
2000-05-10,10.9181,10.9181,10.4357,10.5834,4.543,257359.0,0.0,1.0
2000-05-11,10.3097,10.5637,9.9927,10.2811,4.4132,281085.0,0.0,1.0
2000-05-12,10.5223,10.6621,10.288,10.3274,4.4331,439278.0,0.0,1.0
2000-05-15,10.477,10.6425,10.3865,10.6425,4.5684,304317.0,0.0,1.0
2000-05-16,10.8295,11.1741,10.731,11.0264,4.7332,181492.0,0.0,1.0
2000-05-17,11.0264,11.0855,10.8295,10.9516,4.7011,70997.0,0.0,1.0
2000-05-18,10.8295,10.8295,10.6326,10.6917,4.5895,172639.0,0.0,1.0
2000-05-19,10.6986,10.7212,10.5834,10.5834,4.543,483503.0,0.0,1.0
2000-05-22,10.5342,10.5342,10.3274,10.3372,4.4373,128833.0,0.0,1.0
2000-05-23,10.3372,10.4849,10.2683,10.288,4.4162,299227.0,0.0,1.0
2000-05-24,10.1404,10.1404,9.845,9.845,4.226,505550.0,0.0,1.0
2000-05-25,10.1463,10.16,9.8549,9.8549,4.2303,97583.0,0.0,1.0
2000-05-26,9.8844,9.9631,9.5989,9.6973,4.1627,326830.0,0.0,1.0
2000-05-29,9.6973,9.6973,9.5201,9.5989,4.1204,304583.0,0.0,1.0
2000-05-30,9.5841,9.6875,9.5103,9.6875,4.1584,153751.0,0.0,1.0
2000-05-31,9.8942,9.9041,9.7465,9.7465,4.1838,789137.0,0.0,1.0
2000-06-01,9.7288,9.845,9.6875,9.7731,4.1952,213816.0,0.0,1.0
2000-06-02,9.8942,10.2191,9.8942,10.1896,4.374,170569.0,0.0,1.0
2000-06-05,10.4928,10.6818,10.4259,10.5243,4.5176,242476.0,0.0,1.0
2000-06-06,10.5913,10.6326,10.1994,10.3372,4.4373,132557.0,0.0,1.0
2000-06-07,10.3284,10.3372,10.0833,10.0833,4.3283,154466.0,0.0,1.0
2000-06-08,10.0518,10.2388,10.0419,10.0813,4.3275,181245.0,0.0,1.0
2000-06-09,10.2969,10.2969,10.0714,10.1404,4.3528,169247.0,0.0,1.0
2000-06-12,10.1404,10.1404,10.1404,10.1404,4.3528,0.0,0.0,1.0
2000-06-13,10.1404,10.1896,10.0419,10.0419,4.3106,127272.0,0.0,1.0
2000-06-14,10.101,10.1404,9.91,9.91,4.2539,323210.0,0.0,1.0
2000-06-15,10.0419,10.0419,9.8844,9.8942,4.2472,301669.0,0.0,1.0
2000-06-16,9.9435,10.1896,9.845,10.0419,4.3106,149526.0,0.0,1.0
2000-06-19,10.1325,10.4357,10.0518,10.3569,4.4458,133736.0,0.0,1.0
2000-06-20,10.6326,10.6326,10.2486,10.3372,4.4373,226217.0,0.0,1.0
2000-06-21,10.288,10.3176,10.1502,10.1896,4.374,433714.0,0.0,1.0
2000-06-22,10.288,10.3668,10.2191,10.2979,4.4205,356719.0,0.0,1.0
2000-06-23,10.3451,10.4613,10.3372,10.4613,4.4906,117261.0,0.0,1.0
2000-06-26,10.4554,10.731,10.4554,10.731,4.6064,144691.0,0.0,1.0
2000-06-27,10.7901,11.1052,10.731,11.1052,4.767,312115.0,0.0,1.0
2000-06-28,11.1249,11.3808,10.6917,10.8098,4.6402,295431.0,0.0,1.0
2000-06-29,10.9969,11.1642,10.8886,10.9339,4.6935,437851.0,0.0,1.0
2000-06-30,11.0166,11.3119,10.9279,11.2725,4.8388,592924.0,0.0,1.0
2000-07-03,11.3217,11.5777,11.2233,11.4694,4.9233,254647.0,0.0,1.0
2000-07-04,11.4763,11.6171,11.3021,11.499,4.936,385847.0,0.0,1.0
2000-07-05,11.4222,11.4694,11.3414,11.4497,4.9149,204352.0,0.0,1.0
2000-07-06,11.369,11.4202,11.2135,11.2233,4.8177,306672.0,0.0,1.0
2000-07-07,11.2233,11.7037,11.2233,11.7037,5.0239,176015.0,0.0,1.0
2000-07-10,11.814,12.1586,11.814,12.1094,5.1981,277426.0,0.0,1.0
2000-07-11,12.1094,12.1094,11.9223,11.9617,5.1347,264567.0,0.0,1.0
2000-07-12,11.9617,12.0601,11.6663,11.9026,5.1093,115751.0,0.0,1.0
2000-07-13,12.0109,12.0109,11.6073,11.6073,4.9825,114099.0,0.0,1.0
2000-07-14,11.6181,12.0503,11.6171,12.0109,5.1558,151506.0,0.0,1.0
2000-07-17,12.0109,12.0503,11.9124,11.9912,5.1473,136829.0,0.0,1.0
2000-07-18,11.8416,11.8416,11.4694,11.499,4.936,114080.0,0.0,1.0
2000-07-19,11.4694,11.7057,11.4005,11.6762,5.0121,132984.0,0.0,1.0
2000-07-20,11.6663,11.7057,11.5187,11.7057,5.0248,160538.0,0.0,1.0
2000-07-21,11.7264,11.9617,11.7264,11.9617,5.1347,139437.0,0.0,1.0
2000-07-24,11.7648,11.814,11.627,11.814,5.0712,85512.0,0.0,1.0
2000-07-25,11.6594,11.8632,11.5679,11.5777,4.9698,75255.0,0.0,1.0
2000-07-26,11.4291,11.5679,11.3217,11.3513,4.8726,102600.0,0.0,1.0
2000-07-27,11.1957,11.1957,10.9476,11.0756,4.7543,157235.0,0.0,1.0
2000-07-28,10.9663,11.0658,10.8393,11.0264,4.7332,90524.0,0.0,1.0
2000-07-31,10.8423,10.8492,10.731,10.7803,4.6275,117916.0,0.0,1.0
2000-08-01,10.8364,11.0264,10.7507,10.7803,4.6275,158934.0,0.0,1.0
2000-08-02,10.8,10.9083,10.7803,10.7803,4.6275,116040.0,0.0,1.0
2000-08-03,10.8098,10.8295,10.6326,10.6425,4.5684,150472.0,0.0,1.0
2000-08-04,10.7448,10.7803,10.4455,10.5834,4.543,178061.0,0.0,1.0
2000-08-07,10.5893,10.7803,10.5893,10.731,4.6064,129506.0,0.0,1.0
2000-08-08,10.7517,11.0166,10.7517,10.7803,4.6275,92378.0,0.0,1.0
2000-08-09,10.7803,11.0461,10.545,10.545,4.5265,35825.0,0.0,1.0
2000-08-10,11.0825,11.0953,10.9575,10.987,4.7163,117166.0,0.0,1.0
2000-08-11,10.9476,11.0264,10.8984,10.9673,4.7078,543639.0,0.0,1.0
2000-08-14,11.0264,11.3217,11.0264,11.1741,4.7966,109142.0,0.0,1.0
2000-08-15,11.2292,11.2725,11.1052,11.1741,4.7966,296197.0,0.0,1.0
2000-08-16,11.2233,11.3119,11.0756,11.2725,4.8388,111851.0,0.0,1.0
2000-08-17,11.1741,11.371,11.1741,11.371,4.8811,99621.0,0.0,1.0
2000-08-18,11.43,11.7845,11.43,11.7845,5.0586,258694.0,0.0,1.0
2000-08-21,11.7943,11.7943,11.6663,11.6663,5.0078,148002.0,0.0,1.0
2000-08-22,11.6663,11.7845,11.6663,11.6663,5.0078,155649.0,0.0,1.0
2000-08-23,11.7943,11.9124,11.686,11.8534,5.0882,390907.0,0.0,1.0
2000-08-24,11.9124,12.0503,11.9124,12.0109,5.1558,360641.0,0.0,1.0
2000-08-25,12.0178,12.198,12.0178,12.0503,5.1727,184232.0,0.0,1.0
2000-08-28,12.1153,12.2177,12.0109,12.0109,5.1558,612413.0,0.0,1.0
2000-08-29,12.0394,12.3062,12.0394,12.2964,5.2783,179070.0,0.0,1.0
2000-08-30,12.259,12.4047,12.2078,12.2669,5.2657,231220.0,0.0,1.0
2000-08-31,12.1881,12.2177,12.0109,12.0208,5.16,206286.0,0.0,1.0
2000-09-01,12.0109,12.1586,12.0109,12.1586,5.2192,184288.0,0.0,1.0
2000-09-04,12.1881,12.1881,12.0109,12.1586,5.2192,494405.0,0.0,1.0
2000-09-05,12.2029,12.2029,12.0208,12.0296,5.1638,42022.0,0.0,1.0
2000-09-06,12.067,12.1094,11.9814,12.0897,5.1896,134971.0,0.0,1.0
2000-09-07,12.0798,12.0798,12.0109,12.0208,5.16,186204.0,0.0,1.0
2000-09-08,12.0109,12.0897,12.0109,12.0601,5.1769,140978.0,0.0,1.0
2000-09-11,11.814,11.814,11.4202,11.6171,5.1222,289907.0,0.0,1.0
2000-09-12,11.6171,11.6663,11.6171,11.6171,5.1222,200327.0,0.0,1.0
2000-09-13,11.6171,11.6171,11.371,11.5009,5.071,125230.0,0.0,1.0
2000-09-14,11.43,11.5679,11.43,11.5187,5.0788,118272.0,0.0,1.0
2000-09-15,11.5187,11.5187,11.2725,11.3217,4.992,220076.0,0.0,1.0
2000-09-18,11.2656,11.2656,10.7803,11.0067,4.8531,203383.0,0.0,1.0
2000-09-19,10.8689,10.8689,10.6326,10.7704,4.7489,172277.0,0.0,1.0
2000-09-20,10.7192,10.7704,10.6326,10.7212,4.7272,232269.0,0.0,1.0
2000-09-21,10.731,10.731,10.5932,10.6326,4.6881,118913.0,0.0,1.0
2000-09-22,10.6946,10.7015,10.2979,10.3372,4.5579,235635.0,0.0,1.0
2000-09-25,10.3441,10.5342,10.3441,10.3766,4.5753,281167.0,0.0,1.0
2000-09-26,10.4446,10.4849,10.3924,10.3924,4.5822,710813.0,0.0,1.0
2000-09-27,10.4062,10.4062,10.288,10.3176,4.5492,154088.0,0.0,1.0
2000-09-28,10.3372,10.4849,10.3372,10.3865,4.5796,143444.0,0.0,1.0
2000-09-29,10.4357,10.4948,10.3963,10.4062,4.5883,339309.0,0.0,1.0
2000-10-02,10.4268,10.4357,10.3865,10.4357,4.6013,65108.0,0.0,1.0
2000-10-03,10.4357,10.8295,10.4357,10.8295,4.7749,167106.0,0.0,1.0
2000-10-04,10.8472,11.0756,10.8472,10.9969,4.8488,193394.0,0.0,1.0
2000-10-05,11.0264,11.2036,11.0264,11.115,4.9008,288956.0,0.0,1.0
2000-10-06,11.1347,11.1741,11.0264,11.0855,4.8878,105272.0,0.0,1.0
2000-10-09,10.9279,10.9279,10.7606,10.7803,4.7533,172652.0,0.0,1.0
2000-10-10,10.7901,11.7156,10.7901,11.4202,5.0354,395848.0,0.0,1.0
2000-10-11,11.4202,11.4202,11.1445,11.2922,4.979,475751.0,0.0,1.0
2000-10-12,11.2233,11.499,11.2233,11.3808,5.018,127510.0,0.0,1.0
2000-10-13,11.0756,11.2331,11.0264,11.2233,4.9486,829015.0,0.0,1.0
2000-10-16,11.2459,11.5679,11.2459,11.557,5.0957,149791.0,0.0,1.0
2000-10-17,11.5679,11.5679,11.3808,11.499,5.0701,71125.0,0.0,1.0
2000-10-18,11.4625,11.558,11.3217,11.499,5.0701,89642.0,0.0,1.0
2000-10-19,11.499,11.5679,11.3217,11.5541,5.0944,98217.0,0.0,1.0
2000-10-20,11.6348,11.814,11.6348,11.7746,5.1917,490055.0,0.0,1.0
2000-10-23,11.814,11.814,11.7451,11.7943,5.2003,273520.0,0.0,1.0
2000-10-24,11.814,11.814,11.7156,11.7156,5.1656,140658.0,0.0,1.0
2000-10-25,11.6171,11.7943,11.4202,11.7156,5.1656,167447.0,0.0,1.0
2000-10-26,11.7156,11.7845,11.627,11.7451,5.1787,164225.0,0.0,1.0
2000-10-27,11.7451,11.8042,11.7156,11.7451,5.1787,64439.0,0.0,1.0
