date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2016-11-04,1.2626,1.3112,1.214,1.2869,1.1991,11004364.0,0.0,1.0
2016-11-07,1.2917,1.3063,1.282,1.2917,1.2036,2196928.0,0.0,1.0
2016-11-08,1.2917,1.35,1.2917,1.3451,1.2534,1345919.0,0.0,1.0
2016-11-09,1.3451,1.3743,1.282,1.3306,1.2398,1181278.0,0.0,1.0
2016-11-10,1.3597,1.384,1.3403,1.3549,1.2624,421517.0,0.0,1.0
2016-11-11,1.3597,1.3743,1.35,1.35,1.2579,534589.0,0.0,1.0
2016-11-14,1.3549,1.3549,1.3014,1.3014,1.2127,310248.0,0.0,1.0
2016-11-15,1.3014,1.3209,1.2772,1.3112,1.2217,376467.0,0.0,1.0
2016-11-16,1.3014,1.3112,1.282,1.3014,1.2127,290161.0,0.0,1.0
2016-11-17,1.3014,1.3063,1.282,1.2966,1.2081,492223.0,0.0,1.0
2016-11-18,1.282,1.2869,1.248,1.2529,1.1674,306396.0,0.0,1.0
2016-11-21,1.2432,1.2626,1.214,1.214,1.1312,1512009.0,0.0,1.0
2016-11-22,1.2432,1.2432,1.214,1.214,1.1312,488659.0,0.0,1.0
2016-11-23,1.2383,1.3014,1.214,1.2626,1.1765,538878.0,0.0,1.0
2016-11-24,1.2723,1.3014,1.2626,1.2626,1.1765,267301.0,0.0,1.0
2016-11-25,1.2626,1.2723,1.248,1.2723,1.1855,183069.0,0.0,1.0
2016-11-28,1.2723,1.3451,1.2723,1.3112,1.2217,240510.0,0.0,1.0
2016-11-29,1.282,1.3306,1.282,1.3112,1.2217,282000.0,0.0,1.0
2016-11-30,1.3112,1.3257,1.2966,1.3112,1.2217,235618.0,0.0,1.0
2016-12-01,1.2869,1.3306,1.2869,1.3014,1.2127,233554.0,0.0,1.0
2016-12-02,1.282,1.3014,1.2237,1.2383,1.1538,658188.0,0.0,1.0
2016-12-05,1.2237,1.2286,1.18,1.1995,1.1176,270596.0,0.0,1.0
2016-12-06,1.1995,1.2334,1.1849,1.2043,1.1222,217186.0,0.0,1.0
2016-12-07,1.214,1.2189,1.1946,1.2189,1.1357,99288.0,0.0,1.0
2016-12-08,1.2189,1.2334,1.2043,1.214,1.1312,108937.0,0.0,1.0
2016-12-09,1.214,1.2432,1.214,1.2334,1.1493,150559.0,0.0,1.0
2016-12-12,1.2237,1.2286,1.2189,1.2237,1.1403,359574.0,0.0,1.0
2016-12-13,1.2237,1.2529,1.2237,1.2383,1.1538,122423.0,0.0,1.0
2016-12-14,1.2432,1.2529,1.2237,1.2334,1.1493,109006.0,0.0,1.0
2016-12-15,1.2189,1.2432,1.214,1.2383,1.1538,150944.0,0.0,1.0
2016-12-16,1.2383,1.2383,1.2237,1.2286,1.1448,132333.0,0.0,1.0
2016-12-19,1.2334,1.2334,1.214,1.2237,1.1403,165457.0,0.0,1.0
2016-12-20,1.2237,1.2529,1.2237,1.2432,1.1584,129541.0,0.0,1.0
2016-12-21,1.2432,1.2626,1.2432,1.2529,1.1674,282812.0,0.0,1.0
2016-12-22,1.2432,1.2723,1.2432,1.2723,1.1855,75735.0,0.0,1.0
