date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2016-07-25,0.255,0.285,0.25,0.255,0.255,5605072.0,0.0,1.0
2016-07-26,0.26,0.265,0.255,0.26,0.26,1080260.0,0.0,1.0
2016-07-27,0.26,0.26,0.257,0.257,0.257,181640.0,0.0,1.0
2016-07-28,0.26,0.26,0.25,0.255,0.255,1097319.0,0.0,1.0
2016-07-29,0.25,0.25,0.25,0.25,0.25,433280.0,0.0,1.0
2016-08-01,0.25,0.25,0.24,0.25,0.25,410000.0,0.0,1.0
2016-08-02,0.25,0.25,0.25,0.25,0.25,0.0,0.0,1.0
2016-08-03,0.245,0.25,0.24,0.25,0.25,225000.0,0.0,1.0
2016-08-04,0.245,0.25,0.245,0.25,0.25,1041900.0,0.0,1.0
2016-08-05,0.245,0.25,0.245,0.25,0.25,44000.0,0.0,1.0
2016-08-08,0.25,0.25,0.25,0.25,0.25,83050.0,0.0,1.0
2016-08-09,0.247,0.25,0.245,0.25,0.25,469948.0,0.0,1.0
2016-08-10,0.252,0.252,0.25,0.25,0.25,205985.0,0.0,1.0
2016-08-11,0.245,0.25,0.245,0.25,0.25,345000.0,0.0,1.0
2016-08-12,0.25,0.25,0.245,0.245,0.245,60377.0,0.0,1.0
2016-08-15,0.25,0.25,0.25,0.25,0.25,675323.0,0.0,1.0
2016-08-16,0.255,0.255,0.25,0.25,0.25,418009.0,0.0,1.0
2016-08-17,0.25,0.25,0.25,0.25,0.25,135987.0,0.0,1.0
2016-08-18,0.25,0.255,0.25,0.25,0.25,406968.0,0.0,1.0
2016-08-19,0.25,0.25,0.245,0.25,0.25,301464.0,0.0,1.0
2016-08-22,0.25,0.25,0.25,0.25,0.25,130000.0,0.0,1.0
2016-08-23,0.25,0.25,0.25,0.25,0.25,216054.0,0.0,1.0
2016-08-24,0.25,0.25,0.25,0.25,0.25,67482.0,0.0,1.0
2016-08-25,0.245,0.245,0.245,0.245,0.245,406244.0,0.0,1.0
2016-08-26,0.245,0.245,0.245,0.245,0.245,25086.0,0.0,1.0
2016-08-29,0.245,0.245,0.245,0.245,0.245,0.0,0.0,1.0
2016-08-30,0.245,0.245,0.245,0.245,0.245,100000.0,0.0,1.0
2016-08-31,0.24,0.24,0.24,0.24,0.24,22889.0,0.0,1.0
2016-09-01,0.24,0.24,0.24,0.24,0.24,598385.0,0.0,1.0
2016-09-02,0.245,0.255,0.245,0.25,0.25,9076147.0,0.0,1.0
2016-09-05,0.255,0.255,0.255,0.255,0.255,2050.0,0.0,1.0
2016-09-06,0.25,0.25,0.245,0.245,0.245,100363.0,0.0,1.0
2016-09-07,0.245,0.245,0.245,0.245,0.245,0.0,0.0,1.0
2016-09-08,0.245,0.245,0.245,0.245,0.245,0.0,0.0,1.0
2016-09-09,0.245,0.245,0.245,0.245,0.245,0.0,0.0,1.0
2016-09-12,0.25,0.25,0.25,0.25,0.25,3450.0,0.0,1.0
2016-09-13,0.25,0.25,0.235,0.24,0.24,137355.0,0.0,1.0
2016-09-14,0.24,0.24,0.24,0.24,0.24,0.0,0.0,1.0
2016-09-15,0.24,0.24,0.24,0.24,0.24,0.0,0.0,1.0
2016-09-16,0.24,0.24,0.24,0.24,0.24,0.0,0.0,1.0
2016-09-19,0.24,0.24,0.24,0.24,0.24,0.0,0.0,1.0
2016-09-20,0.24,0.24,0.24,0.24,0.24,10947.0,0.0,1.0
2016-09-21,0.235,0.235,0.235,0.235,0.235,21.0,0.0,1.0
2016-09-22,0.235,0.235,0.235,0.235,0.235,21.0,0.0,1.0
2016-09-23,0.235,0.235,0.235,0.235,0.235,20202.0,0.0,1.0
2016-09-26,0.235,0.235,0.235,0.235,0.235,16089.0,0.0,1.0
2016-09-27,0.24,0.24,0.24,0.24,0.24,116501.0,0.0,1.0
2016-09-28,0.24,0.24,0.24,0.24,0.24,80000.0,0.0,1.0
2016-09-29,0.24,0.24,0.225,0.225,0.225,31290.0,0.0,1.0
2016-09-30,0.225,0.225,0.22,0.22,0.22,209057.0,0.0,1.0
2016-10-03,0.22,0.22,0.22,0.22,0.22,15000.0,0.0,1.0
2016-10-04,0.235,0.235,0.22,0.225,0.225,84915.0,0.0,1.0
2016-10-05,0.225,0.225,0.225,0.225,0.225,49369.0,0.0,1.0
2016-10-06,0.235,0.2375,0.235,0.237,0.237,11938.0,0.0,1.0
2016-10-07,0.237,0.237,0.237,0.237,0.237,0.0,0.0,1.0
2016-10-10,0.237,0.237,0.237,0.237,0.237,0.0,0.0,1.0
2016-10-11,0.24,0.24,0.24,0.24,0.24,44862.0,0.0,1.0
2016-10-12,0.24,0.24,0.24,0.24,0.24,0.0,0.0,1.0
2016-10-13,0.24,0.24,0.232,0.235,0.235,214518.0,0.0,1.0
2016-10-14,0.235,0.235,0.235,0.235,0.235,0.0,0.0,1.0
2016-10-17,0.25,0.25,0.24,0.24,0.24,113372.0,0.0,1.0
2016-10-18,0.24,0.24,0.235,0.24,0.24,226924.0,0.0,1.0
2016-10-19,0.24,0.24,0.24,0.24,0.24,0.0,0.0,1.0
2016-10-20,0.24,0.24,0.24,0.24,0.24,0.0,0.0,1.0
2016-10-21,0.24,0.24,0.24,0.24,0.24,0.0,0.0,1.0
2016-10-24,0.24,0.24,0.24,0.24,0.24,0.0,0.0,1.0
2016-10-25,0.24,0.24,0.24,0.24,0.24,120000.0,0.0,1.0
2016-10-26,0.235,0.235,0.235,0.235,0.235,152619.0,0.0,1.0
2016-10-27,0.235,0.235,0.235,0.235,0.235,0.0,0.0,1.0
2016-10-28,0.235,0.235,0.235,0.235,0.235,0.0,0.0,1.0
2016-10-31,0.235,0.235,0.235,0.235,0.235,0.0,0.0,1.0
2016-11-01,0.235,0.235,0.235,0.235,0.235,0.0,0.0,1.0
2016-11-02,0.235,0.235,0.235,0.235,0.235,0.0,0.0,1.0
2016-11-03,0.237,0.25,0.235,0.235,0.235,81871.0,0.0,1.0
2016-11-04,0.235,0.235,0.235,0.235,0.235,20202.0,0.0,1.0
2016-11-07,0.235,0.235,0.235,0.235,0.235,110707.0,0.0,1.0
2016-11-08,0.235,0.235,0.235,0.235,0.235,40404.0,0.0,1.0
2016-11-09,0.24,0.24,0.235,0.235,0.235,50353.0,0.0,1.0
2016-11-10,0.25,0.25,0.25,0.25,0.25,78924.0,0.0,1.0
2016-11-11,0.25,0.25,0.25,0.25,0.25,0.0,0.0,1.0
2016-11-14,0.25,0.25,0.25,0.25,0.25,96175.0,0.0,1.0
2016-11-15,0.245,0.245,0.245,0.245,0.245,95001.0,0.0,1.0
2016-11-16,0.245,0.245,0.245,0.245,0.245,337868.0,0.0,1.0
2016-11-17,0.245,0.255,0.245,0.25,0.25,456910.0,0.0,1.0
2016-11-18,0.25,0.25,0.245,0.245,0.245,620000.0,0.0,1.0
2016-11-21,0.245,0.245,0.245,0.245,0.245,1740000.0,0.0,1.0
2016-11-22,0.25,0.255,0.245,0.245,0.245,931416.0,0.0,1.0
2016-11-23,0.245,0.245,0.245,0.245,0.245,0.0,0.0,1.0
2016-11-24,0.245,0.245,0.245,0.245,0.245,411593.0,0.0,1.0
2016-11-25,0.25,0.25,0.245,0.245,0.245,169680.0,0.0,1.0
2016-11-28,0.245,0.245,0.24,0.24,0.24,743670.0,0.0,1.0
2016-11-29,0.24,0.24,0.24,0.24,0.24,11332.0,0.0,1.0
2016-11-30,0.25,0.25,0.25,0.25,0.25,11000.0,0.0,1.0
2016-12-01,0.25,0.25,0.25,0.25,0.25,139000.0,0.0,1.0
2016-12-02,0.25,0.25,0.25,0.25,0.25,105000.0,0.0,1.0
2016-12-05,0.25,0.25,0.25,0.25,0.25,0.0,0.0,1.0
2016-12-06,0.25,0.25,0.25,0.25,0.25,0.0,0.0,1.0
2016-12-07,0.245,0.245,0.245,0.245,0.245,43490.0,0.0,1.0
2016-12-08,0.25,0.25,0.245,0.245,0.245,271019.0,0.0,1.0
2016-12-09,0.245,0.245,0.245,0.245,0.245,0.0,0.0,1.0
2016-12-12,0.245,0.245,0.245,0.245,0.245,0.0,0.0,1.0
2016-12-13,0.25,0.25,0.25,0.25,0.25,13622.0,0.0,1.0
2016-12-14,0.25,0.25,0.25,0.25,0.25,0.0,0.0,1.0
2016-12-15,0.25,0.25,0.245,0.245,0.245,52817.0,0.0,1.0
2016-12-16,0.24,0.24,0.24,0.24,0.24,20000.0,0.0,1.0
2016-12-19,0.24,0.24,0.235,0.235,0.235,102293.0,0.0,1.0
2016-12-20,0.235,0.235,0.23,0.23,0.23,46517.0,0.0,1.0
2016-12-21,0.23,0.23,0.225,0.225,0.225,29195.0,0.0,1.0
2016-12-22,0.225,0.225,0.215,0.225,0.225,192033.0,0.0,1.0
2016-12-23,0.225,0.225,0.225,0.225,0.225,0.0,0.0,1.0
2016-12-28,0.225,0.225,0.225,0.225,0.225,25000.0,0.0,1.0
2016-12-29,0.225,0.225,0.225,0.225,0.225,0.0,0.0,1.0
2016-12-30,0.225,0.225,0.225,0.225,0.225,0.0,0.0,1.0
2017-01-03,0.225,0.225,0.225,0.225,0.225,0.0,0.0,1.0
2017-01-04,0.215,0.215,0.21,0.21,0.21,118071.0,0.0,1.0
2017-01-05,0.21,0.21,0.21,0.21,0.21,0.0,0.0,1.0
2017-01-06,0.21,0.21,0.21,0.21,0.21,0.0,0.0,1.0
2017-01-09,0.21,0.21,0.21,0.21,0.21,0.0,0.0,1.0
2017-01-10,0.21,0.21,0.21,0.21,0.21,0.0,0.0,1.0
2017-01-11,0.21,0.21,0.21,0.21,0.21,0.0,0.0,1.0
2017-01-12,0.235,0.235,0.235,0.235,0.235,42500.0,0.0,1.0
2017-01-13,0.235,0.235,0.235,0.235,0.235,0.0,0.0,1.0
2017-01-16,0.235,0.235,0.235,0.235,0.235,0.0,0.0,1.0
2017-01-17,0.235,0.235,0.235,0.235,0.235,0.0,0.0,1.0
2017-01-18,0.235,0.235,0.235,0.235,0.235,0.0,0.0,1.0
2017-01-19,0.235,0.235,0.235,0.235,0.235,0.0,0.0,1.0
2017-01-20,0.235,0.235,0.235,0.235,0.235,0.0,0.0,1.0
2017-01-23,0.235,0.235,0.235,0.235,0.235,0.0,0.0,1.0
2017-01-24,0.23,0.23,0.23,0.23,0.23,3919.0,0.0,1.0
2017-01-25,0.235,0.245,0.235,0.235,0.235,204467.0,0.0,1.0
2017-01-27,0.25,0.255,0.25,0.25,0.25,593091.0,0.0,1.0
2017-01-30,0.25,0.25,0.25,0.25,0.25,170214.0,0.0,1.0
2017-01-31,0.25,0.25,0.25,0.25,0.25,0.0,0.0,1.0
2017-02-01,0.25,0.25,0.25,0.25,0.25,0.0,0.0,1.0
2017-02-02,0.235,0.235,0.235,0.235,0.235,16252.0,0.0,1.0
2017-02-03,0.235,0.235,0.235,0.235,0.235,0.0,0.0,1.0
2017-02-06,0.235,0.235,0.235,0.235,0.235,0.0,0.0,1.0
2017-02-07,0.25,0.25,0.235,0.235,0.235,122927.0,0.0,1.0
2017-02-08,0.235,0.235,0.235,0.235,0.235,3232.0,0.0,1.0
2017-02-09,0.235,0.235,0.23,0.235,0.235,141414.0,0.0,1.0
2017-02-10,0.245,0.245,0.24,0.24,0.24,59686.0,0.0,1.0
2017-02-13,0.24,0.25,0.24,0.25,0.25,73647.0,0.0,1.0
2017-02-14,0.25,0.25,0.25,0.25,0.25,0.0,0.0,1.0
2017-02-15,0.24,0.25,0.24,0.25,0.25,177640.0,0.0,1.0
2017-02-16,0.27,0.27,0.245,0.25,0.25,91672.0,0.0,1.0
