date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2005-11-15,1.9745,1.9745,1.9745,1.9745,1.1549,0.0,0.0,1.0
2005-11-16,2.1917,2.2213,2.1423,2.1818,1.2762,8701881.0,0.0,1.0
2005-11-17,2.1818,2.2706,2.1719,2.2706,1.3282,2945778.0,0.0,1.0
2005-11-18,2.3003,2.3595,2.2706,2.3496,1.3744,1891566.0,0.0,1.0
2005-11-21,2.3398,2.3496,2.32,2.3496,1.3744,496626.0,0.0,1.0
2005-11-22,2.3496,2.3496,2.2805,2.3003,1.3455,1026823.0,0.0,1.0
2005-11-23,2.3003,2.3003,2.2509,2.2706,1.3282,114309.0,0.0,1.0
2005-11-24,2.2805,2.2904,2.2608,2.2904,1.3397,74450.0,0.0,1.0
2005-11-25,2.3003,2.32,2.2904,2.3101,1.3513,241178.0,0.0,1.0
2005-11-28,2.3101,2.32,2.3101,2.3101,1.3513,118512.0,0.0,1.0
2005-11-29,2.3398,2.3398,2.32,2.3299,1.3628,22758.0,0.0,1.0
2005-11-30,2.3398,2.3496,2.3299,2.3496,1.3744,173365.0,0.0,1.0
2005-12-01,2.3694,2.5175,2.3694,2.4385,1.4263,354515.0,0.0,1.0
2005-12-02,2.4681,2.4681,2.399,2.4484,1.4321,96734.0,0.0,1.0
2005-12-05,2.4681,2.5668,2.4681,2.5372,1.4841,379268.0,0.0,1.0
2005-12-06,2.5273,2.5372,2.4582,2.5175,1.4725,74460.0,0.0,1.0
2005-12-07,2.4681,2.4681,2.4385,2.4681,1.4436,17220.0,0.0,1.0
2005-12-08,2.4286,2.4286,2.3891,2.4286,1.4205,132187.0,0.0,1.0
2005-12-09,2.3891,2.399,2.3694,2.399,1.4032,26336.0,0.0,1.0
2005-12-12,2.4089,2.4484,2.4089,2.4484,1.4321,55242.0,0.0,1.0
2005-12-13,2.4484,2.4484,2.4187,2.4187,1.4148,16406.0,0.0,1.0
2005-12-14,2.4385,2.4484,2.4286,2.4484,1.4321,86100.0,0.0,1.0
