date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2015-10-16,1.9839,1.9839,1.9546,1.9546,1.4854,4929431.0,0.0,1.0
2015-10-19,1.9644,1.9741,1.9546,1.9644,1.4928,221909.0,0.0,1.0
2015-10-20,2.0034,2.0034,1.9644,1.9741,1.5002,83937.0,0.0,1.0
2015-10-21,1.9839,1.9839,1.9644,1.9741,1.5002,163706.0,0.0,1.0
2015-10-22,1.9741,1.9741,1.9546,1.9546,1.4854,260874.0,0.0,1.0
2015-10-23,1.9692,1.9839,1.9546,1.9546,1.4854,844659.0,0.0,1.0
2015-10-26,1.9741,2.0034,1.9741,1.9839,1.5077,102828.0,0.0,1.0
2015-10-27,1.9741,1.9839,1.9546,1.9546,1.4854,2376600.0,0.0,1.0
2015-10-28,1.9546,1.9741,1.9546,1.9741,1.5002,119289.0,0.0,1.0
2015-10-29,1.9839,1.9839,1.9546,1.9741,1.5002,277016.0,0.0,1.0
2015-10-30,1.9741,1.9741,1.9741,1.9741,1.5002,589924.0,0.0,1.0
2015-11-02,1.9741,1.9741,1.935,1.9546,1.4854,231392.0,0.0,1.0
2015-11-03,1.9741,1.9741,1.9741,1.9741,1.5002,4093.0,0.0,1.0
2015-11-04,1.9741,1.9839,1.9546,1.9741,1.5002,184641.0,0.0,1.0
2015-11-05,1.9741,1.9839,1.9741,1.9741,1.5002,1880115.0,0.0,1.0
2015-11-06,1.9741,1.9839,1.9546,1.9546,1.4854,11878.0,0.0,1.0
2015-11-09,1.9839,1.9839,1.9448,1.9644,1.4928,127667.0,0.0,1.0
2015-11-10,1.9741,1.9741,1.9497,1.9546,1.4854,114666.0,0.0,1.0
2015-11-11,1.9644,1.9644,1.9644,1.9644,1.4928,50123.0,0.0,1.0
2015-11-12,1.9644,1.9741,1.9546,1.9644,1.4928,61534.0,0.0,1.0
2015-11-13,1.9741,1.9741,1.9741,1.9741,1.5002,121542.0,0.0,1.0
2015-11-16,1.9644,1.9839,1.9546,1.9741,1.5002,454869.0,0.0,1.0
2015-11-17,1.9644,2.0132,1.9644,2.0132,1.53,341986.0,0.0,1.0
2015-11-18,2.0132,2.0132,2.0132,2.0132,1.53,0.0,0.0,1.0
2015-11-19,1.9937,1.9986,1.9937,1.9986,1.5188,19257.0,0.0,1.0
2015-11-20,1.9937,1.9937,1.9839,1.9839,1.5077,27814.0,0.0,1.0
2015-11-23,1.9937,1.9937,1.9839,1.9839,1.5077,54677.0,0.0,1.0
2015-11-24,1.9839,1.9937,1.9839,1.9839,1.5077,20713.0,0.0,1.0
2015-11-25,1.9839,1.9839,1.9741,1.9741,1.5002,68760.0,0.0,1.0
2015-11-26,1.9546,1.9839,1.9546,1.9839,1.5077,1925609.0,0.0,1.0
2015-11-27,1.9644,1.9644,1.9546,1.9644,1.4928,159086.0,0.0,1.0
2015-11-30,1.9644,1.9644,1.9546,1.9546,1.4854,110371.0,0.0,1.0
2015-12-01,1.9644,1.9741,1.9546,1.9644,1.4928,193439.0,0.0,1.0
2015-12-02,1.9644,1.9741,1.9546,1.9741,1.5002,577598.0,0.0,1.0
2015-12-03,1.9546,1.9839,1.9546,1.9741,1.5002,272528.0,0.0,1.0
2015-12-04,1.9741,1.9839,1.9741,1.9741,1.5002,234394.0,0.0,1.0
2015-12-07,1.9839,2.0719,1.9741,1.9741,1.5002,74217.0,0.0,1.0
2015-12-08,1.9741,1.9741,1.9546,1.9644,1.4928,322610.0,0.0,1.0
2015-12-09,1.9741,2.0523,1.9741,1.9839,1.5077,2859223.0,0.0,1.0
2015-12-10,2.0523,2.0523,2.0523,2.0523,1.5597,9200.0,0.0,1.0
2015-12-11,2.0425,2.0425,1.9839,2.0132,1.53,100368.0,0.0,1.0
2015-12-14,2.023,2.023,1.9741,1.9741,1.5002,39009.0,0.0,1.0
2015-12-15,2.023,2.0425,1.9839,2.0034,1.5225,43098.0,0.0,1.0
2015-12-16,2.0034,2.0034,1.9937,2.0034,1.5225,105491.0,0.0,1.0
2015-12-17,1.9937,2.0034,1.9546,1.9839,1.5077,239075.0,0.0,1.0
2015-12-18,2.0034,2.0034,1.9546,1.9644,1.4928,190481.0,0.0,1.0
2015-12-21,1.9741,1.9937,1.9497,1.9741,1.5002,452642.0,0.0,1.0
2015-12-22,1.9839,2.0425,1.9644,2.0425,1.5522,427945.0,0.0,1.0
2015-12-23,2.0034,2.0034,1.9839,1.9937,1.5151,250165.0,0.0,1.0
2015-12-24,1.9839,2.0034,1.9741,1.9741,1.5002,97925.0,0.0,1.0
2015-12-28,1.9741,1.9741,1.9741,1.9741,1.5002,0.0,0.0,1.0
2015-12-29,1.9839,1.9839,1.9839,1.9839,1.5301,5.0,0.0,1.0
2015-12-30,1.9839,1.9839,1.935,1.9644,1.515,12688.0,0.0,1.0
2015-12-31,1.9546,1.9839,1.935,1.9546,1.5075,237938.0,0.0,1.0
2016-01-04,1.9546,2.0034,1.9399,2.0034,1.5451,163698.0,0.0,1.0
2016-01-05,1.9839,2.0425,1.9839,1.9937,1.5376,166004.0,0.0,1.0
2016-01-06,2.023,2.023,1.9644,2.0034,1.5451,194344.0,0.0,1.0
2016-01-07,1.9741,1.9741,1.9546,1.9644,1.515,182091.0,0.0,1.0
2016-01-08,1.9595,1.9741,1.9546,1.9644,1.515,181530.0,0.0,1.0
2016-01-11,1.9546,1.9546,1.9497,1.9497,1.5037,154865.0,0.0,1.0
2016-01-12,1.9497,1.9741,1.9497,1.9741,1.5225,111780.0,0.0,1.0
2016-01-13,1.9741,1.9839,1.9741,1.9741,1.5225,39681.0,0.0,1.0
2016-01-14,1.9741,1.9741,1.9741,1.9741,1.5225,0.0,0.0,1.0
2016-01-15,1.9546,1.9839,1.9546,1.9644,1.515,213054.0,0.0,1.0
2016-01-18,1.9644,2.0034,1.9497,1.9644,1.515,47422.0,0.0,1.0
2016-01-19,1.9644,2.0034,1.9448,1.9546,1.5075,619433.0,0.0,1.0
2016-01-20,1.9546,2.0425,1.9546,1.9644,1.515,80922.0,0.0,1.0
2016-01-21,1.9644,2.0425,1.9644,1.9741,1.5225,27494.0,0.0,1.0
2016-01-22,1.9741,2.0425,1.9644,1.9937,1.5376,104526.0,0.0,1.0
2016-01-25,2.0034,2.0034,1.9741,1.9839,1.5301,7115.0,0.0,1.0
2016-01-27,2.0328,2.0328,1.9741,1.9741,1.5225,300205.0,0.0,1.0
2016-01-28,1.9741,1.9741,1.9644,1.9741,1.5225,37226.0,0.0,1.0
2016-01-29,1.9644,2.0132,1.9644,1.9644,1.515,42536.0,0.0,1.0
2016-02-01,1.9741,2.0132,1.9546,1.9839,1.5301,424119.0,0.0,1.0
2016-02-02,2.0034,2.0132,1.9546,1.9839,1.5301,299597.0,0.0,1.0
2016-02-03,1.9937,1.9937,1.9741,1.9937,1.5376,10585.0,0.0,1.0
2016-02-04,1.9937,1.9937,1.9546,1.9839,1.5301,2988503.0,0.0,1.0
2016-02-05,1.9839,1.9937,1.9546,1.9839,1.5301,43420.0,0.0,1.0
2016-02-08,1.9839,1.9937,1.9546,1.9937,1.5376,24869.0,0.0,1.0
2016-02-09,1.9644,1.9937,1.9546,1.9644,1.515,148337.0,0.0,1.0
2016-02-10,1.9644,1.9937,1.9644,1.9741,1.5225,130270.0,0.0,1.0
2016-02-11,1.9839,1.9937,1.9741,1.9839,1.5301,52445.0,0.0,1.0
2016-02-12,1.9937,1.9937,1.9546,1.9937,1.5376,77503.0,0.0,1.0
2016-02-15,1.9937,2.0132,1.9644,1.9937,1.5376,42823.0,0.0,1.0
2016-02-16,2.0034,2.0034,1.9546,1.9937,1.5376,66612.0,0.0,1.0
2016-02-17,1.9937,2.0034,1.9546,1.9546,1.5075,284488.0,0.0,1.0
2016-02-18,1.9644,1.9937,1.9546,1.9839,1.5301,55863.0,0.0,1.0
2016-02-19,1.9839,2.0132,1.9644,1.9937,1.5376,26749.0,0.0,1.0
2016-02-22,1.9546,2.0034,1.9546,1.9644,1.515,80003.0,0.0,1.0
2016-02-23,1.9741,2.0132,1.9546,2.0132,1.5527,263677.0,0.0,1.0
2016-02-24,2.0132,2.0132,2.0132,2.0132,1.5527,0.0,0.0,1.0
2016-02-25,2.0132,2.0132,1.9644,1.9937,1.5376,28702.0,0.0,1.0
2016-02-26,1.9644,1.9937,1.9644,1.9741,1.5225,1132057.0,0.0,1.0
2016-02-29,1.9644,1.9839,1.9644,1.9741,1.5225,32938.0,0.0,1.0
