date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-04,3.588,3.735,3.5751,3.7091,1.5103,5037791.0,0.0,1.0
2000-01-05,3.601,3.6442,3.5794,3.5967,1.4646,7739841.0,0.0,1.0
2000-01-06,3.614,3.6183,3.5535,3.5664,1.4522,10708315.0,0.0,1.0
2000-01-07,3.5708,3.735,3.5708,3.7048,1.5086,11670051.0,0.0,1.0
2000-01-10,3.7523,3.869,3.7523,3.8474,1.5666,16949738.0,0.0,1.0
2000-01-11,3.8293,3.8863,3.8258,3.8518,1.5684,16317718.0,0.0,1.0
2000-01-12,3.7571,3.8042,3.6788,3.7177,1.5138,8225104.0,0.0,1.0
2000-01-13,3.6745,3.7048,3.6226,3.6927,1.5036,11066718.0,0.0,1.0
2000-01-14,3.6745,3.7221,3.6745,3.7078,1.5098,9541707.0,0.0,1.0
2000-01-17,3.6991,3.6991,3.6097,3.6265,1.4767,7702253.0,0.0,1.0
2000-01-18,3.604,3.627,3.5664,3.5906,1.4621,6620462.0,0.0,1.0
2000-01-19,3.5708,3.6097,3.5578,3.5578,1.4487,5031958.0,0.0,1.0
2000-01-20,3.5232,3.6745,3.4929,3.6572,1.4892,15403634.0,0.0,1.0
2000-01-21,3.6282,3.6282,3.5362,3.5448,1.4434,7409280.0,0.0,1.0
2000-01-24,3.5016,3.5448,3.4843,3.5448,1.4434,5540328.0,0.0,1.0
2000-01-25,3.4687,3.5228,3.4151,3.5228,1.4345,11826495.0,0.0,1.0
2000-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000-01-27,3.4709,3.4709,3.3849,3.3849,1.3783,11007414.0,0.0,1.0
2000-01-28,3.3788,3.3788,3.3114,3.3157,1.3501,17691779.0,0.0,1.0
2000-01-31,3.2552,3.4437,3.2552,3.4437,1.4022,8980072.0,0.0,1.0
2000-02-01,3.4311,3.4584,3.3546,3.4065,1.3871,4658261.0,0.0,1.0
2000-02-02,3.4367,3.5016,3.4238,3.4769,1.4158,6634511.0,0.0,1.0
2000-02-03,3.4584,3.4756,3.2465,3.3373,1.3589,13039396.0,0.0,1.0
2000-02-04,3.3373,3.3719,3.3071,3.3071,1.3466,10298896.0,0.0,1.0
2000-02-07,3.3507,3.4108,3.346,3.3667,1.3709,7248582.0,0.0,1.0
2000-02-08,3.3503,3.4367,3.3114,3.3321,1.3568,6590892.0,0.0,1.0
2000-02-09,3.2768,3.333,3.1514,3.1903,1.2991,13732644.0,0.0,1.0
2000-02-10,3.1298,3.1385,3.0563,3.0693,1.2498,23629787.0,0.0,1.0
2000-02-11,3.0909,3.1557,3.0606,3.0823,1.2551,11786555.0,0.0,1.0
2000-02-14,3.0693,3.1125,2.9699,2.9915,1.2181,20923196.0,0.0,1.0
2000-02-15,3.0001,3.1947,2.9396,3.1557,1.285,25611733.0,0.0,1.0
2000-02-16,3.2076,3.2336,3.1039,3.1168,1.2692,9603982.0,0.0,1.0
2000-02-17,3.1471,3.1557,3.0088,3.1367,1.2773,7133984.0,0.0,1.0
2000-02-18,3.1385,3.1644,3.0779,3.1125,1.2674,5076763.0,0.0,1.0
2000-02-21,3.0261,3.1557,3.0261,3.1557,1.285,2793413.0,0.0,1.0
2000-02-22,3.1557,3.199,3.0658,3.0658,1.2484,2985923.0,0.0,1.0
2000-02-23,3.0477,3.0477,2.9007,2.9093,1.1847,11894188.0,0.0,1.0
2000-02-24,2.9396,2.9396,2.7926,2.7969,1.1389,21033755.0,0.0,1.0
2000-02-25,2.8506,2.9396,2.7235,2.8315,1.153,20137118.0,0.0,1.0
