date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2015-07-15,1.6044,1.742,1.6044,1.742,1.5822,8440827.0,0.0,1.0
2015-07-16,1.742,1.7695,1.7053,1.7603,1.5989,4868252.0,0.0,1.0
2015-07-17,1.7603,1.797,1.7603,1.7878,1.6239,725704.0,0.0,1.0
2015-07-20,1.797,1.8061,1.7465,1.8061,1.6405,6567096.0,0.0,1.0
2015-07-21,1.8107,1.8107,1.7695,1.7878,1.6239,289038.0,0.0,1.0
2015-07-22,1.8061,1.8199,1.8015,1.8061,1.6405,355412.0,0.0,1.0
2015-07-23,1.8153,1.8336,1.8153,1.8245,1.6572,892348.0,0.0,1.0
2015-07-24,1.8245,1.8336,1.7786,1.797,1.6322,128806.0,0.0,1.0
2015-07-27,1.8015,1.8061,1.7878,1.797,1.6322,869314.0,0.0,1.0
2015-07-28,1.797,1.797,1.7878,1.797,1.6322,89119.0,0.0,1.0
2015-07-29,1.797,1.8107,1.7924,1.8015,1.6364,241700.0,0.0,1.0
2015-07-30,1.8061,1.907,1.797,1.852,1.6822,1125174.0,0.0,1.0
2015-07-31,1.907,1.9253,1.8611,1.8611,1.6905,779577.0,0.0,1.0
2015-08-03,1.907,1.907,1.8795,1.907,1.7321,485100.0,0.0,1.0
2015-08-04,1.9253,2.017,1.9162,1.9712,1.7904,769395.0,0.0,1.0
2015-08-05,1.9895,2.017,1.9712,1.9895,1.8071,623642.0,0.0,1.0
2015-08-06,2.0078,2.0078,1.9803,1.9803,1.7988,191890.0,0.0,1.0
2015-08-07,1.9987,1.9987,1.907,1.9345,1.7571,348791.0,0.0,1.0
2015-08-10,1.9345,1.9345,1.8795,1.907,1.7321,425811.0,0.0,1.0
2015-08-11,1.907,1.9528,1.8795,1.9345,1.7571,118298.0,0.0,1.0
2015-08-12,1.9345,1.9712,1.907,1.9253,1.7488,167215.0,0.0,1.0
2015-08-13,1.907,1.907,1.8795,1.8886,1.7155,55777.0,0.0,1.0
2015-08-14,1.9162,1.9253,1.8795,1.907,1.7321,469453.0,0.0,1.0
2015-08-17,1.9528,1.9528,1.8978,1.907,1.7321,187663.0,0.0,1.0
2015-08-18,1.907,1.9207,1.8886,1.8932,1.7196,123970.0,0.0,1.0
2015-08-19,1.9162,1.9437,1.8932,1.9253,1.7488,115273.0,0.0,1.0
2015-08-20,1.9437,1.9712,1.9253,1.962,1.7821,140902.0,0.0,1.0
2015-08-21,1.962,2.0537,1.962,2.0537,1.8654,2997482.0,0.0,1.0
2015-08-24,1.9712,2.017,1.9437,1.9712,1.7904,307126.0,0.0,1.0
2015-08-25,1.9528,2.0628,1.9345,2.0445,1.857,684380.0,0.0,1.0
2015-08-26,2.017,2.0628,1.9987,2.0537,1.8654,416241.0,0.0,1.0
2015-08-27,2.0995,2.0995,2.0537,2.0628,1.8737,397335.0,0.0,1.0
2015-08-28,2.0628,2.072,1.9712,1.9712,1.7904,165934.0,0.0,1.0
2015-08-31,2.017,2.0537,1.9712,1.9987,1.8154,491625.0,0.0,1.0
2015-09-01,1.9987,2.017,1.9803,2.017,1.8321,1357253.0,0.0,1.0
2015-09-02,2.017,2.017,1.962,1.9712,1.7904,56342.0,0.0,1.0
2015-09-03,2.017,2.017,1.9987,2.0078,1.8237,620405.0,0.0,1.0
2015-09-04,2.0262,2.0353,1.9803,1.9987,1.8154,24524.0,0.0,1.0
2015-09-07,1.9987,1.9987,1.9712,1.9987,1.8154,38137.0,0.0,1.0
2015-09-08,2.0078,2.017,1.9987,2.017,1.8321,83709.0,0.0,1.0
2015-09-09,2.0262,2.0995,2.017,2.0628,1.8737,259492.0,0.0,1.0
2015-09-10,2.0537,2.0628,2.017,2.0353,1.8487,65800.0,0.0,1.0
2015-09-11,2.0353,2.0537,2.0262,2.0353,1.8487,86551.0,0.0,1.0
2015-09-14,2.0537,2.0537,2.017,2.0353,1.8487,133233.0,0.0,1.0
2015-09-15,2.0353,2.1178,2.0353,2.0995,1.907,297535.0,0.0,1.0
2015-09-16,2.0995,2.1178,2.0628,2.1087,1.9153,396154.0,0.0,1.0
2015-09-17,2.1087,2.1178,2.0445,2.0628,1.8737,194749.0,0.0,1.0
2015-09-18,2.072,2.2004,2.072,2.1454,1.9486,231873.0,0.0,1.0
2015-09-21,2.1454,2.1637,2.0903,2.0903,1.8987,159127.0,0.0,1.0
2015-09-22,2.1362,2.1362,2.0995,2.127,1.932,354498.0,0.0,1.0
2015-09-23,2.127,2.127,2.1087,2.1087,1.9153,41394.0,0.0,1.0
