date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2010-11-22,2.54,2.68,2.53,2.65,1.8626,476315500.0,0.0,1.0
2010-11-23,2.65,2.72,2.65,2.66,1.8696,158644000.0,0.0,1.0
2010-11-24,2.65,2.71,2.64,2.7,1.8977,44128200.0,0.0,1.0
2010-11-25,2.72,2.81,2.72,2.8,1.968,47173186.0,0.0,1.0
2010-11-26,2.82,2.88,2.81,2.84,1.9961,31979401.0,0.0,1.0
2010-11-29,2.84,2.84,2.76,2.77,1.9469,28870675.0,0.0,1.0
2010-11-30,2.78,2.8,2.73,2.8,1.968,181638257.0,0.0,1.0
2010-12-01,2.78,2.8,2.74,2.78,1.954,9754970.0,0.0,1.0
2010-12-02,2.79,2.79,2.68,2.73,1.9188,12114293.0,0.0,1.0
2010-12-03,2.7,2.73,2.67,2.69,1.8907,22877299.0,0.0,1.0
2010-12-06,2.69,2.69,2.6,2.68,1.8837,25674629.0,0.0,1.0
2010-12-07,2.7,2.7,2.66,2.7,1.8977,11857136.0,0.0,1.0
2010-12-08,2.71,2.73,2.68,2.69,1.8907,11835292.0,0.0,1.0
2010-12-09,2.7,2.7,2.68,2.69,1.8907,10392098.0,0.0,1.0
2010-12-10,2.69,2.71,2.66,2.7,1.8977,4580962.0,0.0,1.0
2010-12-13,2.71,2.77,2.7,2.77,1.9469,9105090.0,0.0,1.0
2010-12-14,2.78,2.83,2.76,2.83,1.9891,12273308.0,0.0,1.0
2010-12-15,2.83,2.84,2.8,2.82,1.9821,9643560.0,0.0,1.0
2010-12-16,2.83,2.9,2.82,2.9,2.0383,13719370.0,0.0,1.0
2010-12-17,2.89,2.9,2.86,2.88,2.0243,7080167.0,0.0,1.0
2010-12-20,2.87,2.88,2.85,2.85,2.0032,3015631.0,0.0,1.0
2010-12-21,2.87,2.87,2.83,2.84,1.9961,4244144.0,0.0,1.0
2010-12-22,2.84,2.85,2.75,2.8,1.968,8580816.0,0.0,1.0
2010-12-23,2.8,2.8,2.76,2.78,1.954,7285421.0,0.0,1.0
2010-12-24,2.78,2.79,2.77,2.78,1.954,1453063.0,0.0,1.0
2010-12-29,2.75,2.75,2.72,2.73,1.9188,3700451.0,0.0,1.0
2010-12-30,2.73,2.74,2.71,2.72,1.9118,1721170.0,0.0,1.0
2010-12-31,2.71,2.75,2.7,2.75,1.9329,2388000.0,0.0,1.0
2011-01-04,2.73,2.78,2.7,2.78,1.954,6892531.0,0.0,1.0
2011-01-05,2.8,2.8,2.73,2.77,1.9469,4273225.0,0.0,1.0
2011-01-06,2.74,2.75,2.65,2.66,1.8696,12073666.0,0.0,1.0
2011-01-07,2.64,2.72,2.6,2.71,1.9048,10718357.0,0.0,1.0
2011-01-10,2.72,2.78,2.7,2.77,1.9469,4463018.0,0.0,1.0
2011-01-11,2.73,2.73,2.66,2.68,1.8837,7422830.0,0.0,1.0
2011-01-12,2.66,2.68,2.63,2.68,1.8837,11262818.0,0.0,1.0
2011-01-13,2.7,2.76,2.7,2.74,1.9259,10901981.0,0.0,1.0
2011-01-14,2.74,2.8,2.72,2.78,1.954,5606030.0,0.0,1.0
2011-01-17,2.78,2.83,2.77,2.78,1.954,6799788.0,0.0,1.0
2011-01-18,2.74,2.75,2.71,2.73,1.9188,2353028.0,0.0,1.0
2011-01-19,2.72,2.79,2.72,2.79,1.961,2384717.0,0.0,1.0
2011-01-20,2.77,2.85,2.74,2.82,1.9821,4595533.0,0.0,1.0
2011-01-21,2.8,2.8,2.76,2.78,1.954,10204334.0,0.0,1.0
2011-01-24,2.77,2.78,2.71,2.73,1.9188,8287273.0,0.0,1.0
2011-01-25,2.74,2.75,2.72,2.72,1.9118,2250172.0,0.0,1.0
2011-01-27,2.74,2.8,2.74,2.8,1.968,8472410.0,0.0,1.0
2011-01-28,2.8,2.83,2.76,2.83,1.9891,8407128.0,0.0,1.0
2011-01-31,2.79,2.82,2.77,2.8,1.968,2109809.0,0.0,1.0
2011-02-01,2.8,2.81,2.75,2.79,1.961,7143308.0,0.0,1.0
2011-02-02,2.8,2.8,2.75,2.78,1.954,4706054.0,0.0,1.0
2011-02-03,2.79,2.83,2.79,2.82,1.9821,1848034.0,0.0,1.0
2011-02-04,2.85,2.93,2.84,2.89,2.0313,11001640.0,0.0,1.0
2011-02-07,2.89,2.91,2.87,2.9,2.0383,7874308.0,0.0,1.0
2011-02-08,2.88,2.96,2.87,2.96,2.0805,14598068.0,0.0,1.0
2011-02-09,2.96,3.02,2.95,2.98,2.0945,15694109.0,0.0,1.0
2011-02-10,2.98,2.99,2.93,2.93,2.0594,9728987.0,0.0,1.0
2011-02-11,2.93,2.95,2.86,2.86,2.0102,6308917.0,0.0,1.0
2011-02-14,2.88,2.9,2.87,2.89,2.0313,2755750.0,0.0,1.0
2011-02-15,2.88,2.92,2.88,2.9,2.0383,15202808.0,0.0,1.0
2011-02-16,2.9,2.93,2.89,2.9,2.0383,6556853.0,0.0,1.0
2011-02-17,2.92,3.01,2.91,3.0,2.1086,7737529.0,0.0,1.0
2011-02-18,3.0,3.13,3.0,3.1,2.1789,8344130.0,0.0,1.0
2011-02-21,3.1,3.18,3.1,3.15,2.214,4807295.0,0.0,1.0
