date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2014-04-24,1.9445,1.9635,1.916,1.9445,1.7209,30858155.0,0.0,1.0
2014-04-28,1.9445,1.954,1.9255,1.935,1.7125,3034930.0,0.0,1.0
2014-04-29,1.9255,1.935,1.916,1.935,1.7125,8528176.0,0.0,1.0
2014-04-30,1.935,1.954,1.916,1.954,1.7292,894668.0,0.0,1.0
2014-05-01,1.9635,1.9635,1.935,1.935,1.7125,683698.0,0.0,1.0
2014-05-02,1.9445,1.954,1.935,1.954,1.7292,791964.0,0.0,1.0
2014-05-05,1.9729,2.0014,1.9729,1.9824,1.7544,387154.0,0.0,1.0
2014-05-06,1.9919,1.9919,1.9635,1.9635,1.7376,375714.0,0.0,1.0
2014-05-07,1.9635,1.9824,1.954,1.9824,1.7544,406715.0,0.0,1.0
2014-05-08,1.9824,1.9824,1.9729,1.9824,1.7544,235765.0,0.0,1.0
2014-05-09,1.9729,1.9729,1.9635,1.9729,1.746,283139.0,0.0,1.0
2014-05-12,1.9635,1.9729,1.9635,1.9635,1.7376,237611.0,0.0,1.0
2014-05-13,1.9729,1.9729,1.9445,1.9445,1.7209,518272.0,0.0,1.0
2014-05-14,1.9445,1.954,1.935,1.954,1.7292,1717012.0,0.0,1.0
2014-05-15,1.9445,1.954,1.9445,1.9445,1.7209,878797.0,0.0,1.0
2014-05-16,1.9635,1.9635,1.9255,1.935,1.7125,96948.0,0.0,1.0
2014-05-19,1.935,1.935,1.8971,1.916,1.6957,205606.0,0.0,1.0
2014-05-20,1.8971,1.8971,1.8591,1.8591,1.6453,541569.0,0.0,1.0
2014-05-21,1.8496,1.8496,1.7975,1.807,1.5991,607025.0,0.0,1.0
2014-05-22,1.8496,1.8591,1.8307,1.8354,1.6243,302632.0,0.0,1.0
2014-05-23,1.8259,1.8686,1.8259,1.8686,1.6537,1221531.0,0.0,1.0
2014-05-26,1.8686,1.8686,1.8401,1.8401,1.6285,168381.0,0.0,1.0
2014-05-27,1.8496,1.8591,1.8259,1.8259,1.6159,444644.0,0.0,1.0
2014-05-28,1.8307,1.8496,1.8307,1.8496,1.6369,508068.0,0.0,1.0
2014-05-29,1.8307,1.8401,1.8022,1.8401,1.6285,156338.0,0.0,1.0
2014-05-30,1.8401,1.8544,1.8401,1.8496,1.6369,1032176.0,0.0,1.0
2014-06-02,1.8401,1.8401,1.8117,1.8117,1.6033,81981.0,0.0,1.0
2014-06-03,1.8212,1.8591,1.8212,1.8449,1.6327,244951.0,0.0,1.0
2014-06-04,1.8449,1.8496,1.8354,1.8401,1.6285,88495.0,0.0,1.0
2014-06-05,1.8401,1.8591,1.8401,1.8496,1.6369,218358.0,0.0,1.0
2014-06-06,1.8544,1.8923,1.8496,1.8686,1.6537,308392.0,0.0,1.0
2014-06-10,1.8923,1.916,1.8923,1.916,1.6957,603623.0,0.0,1.0
2014-06-11,1.8971,1.9065,1.8876,1.8971,1.6789,480773.0,0.0,1.0
2014-06-12,1.8971,1.916,1.8971,1.9065,1.6873,156571.0,0.0,1.0
2014-06-13,1.8971,1.9065,1.8971,1.9065,1.6873,67385.0,0.0,1.0
2014-06-16,1.916,1.916,1.9065,1.9065,1.6873,25182.0,0.0,1.0
2014-06-17,1.8971,1.9065,1.8971,1.8971,1.6789,858716.0,0.0,1.0
2014-06-18,1.8923,1.916,1.8923,1.9065,1.6873,221065.0,0.0,1.0
2014-06-19,1.916,1.9445,1.9065,1.9065,1.6873,188267.0,0.0,1.0
2014-06-20,1.9065,1.9255,1.9065,1.916,1.6957,66218.0,0.0,1.0
2014-06-23,1.916,1.9445,1.916,1.935,1.7125,175493.0,0.0,1.0
2014-06-24,1.935,1.954,1.916,1.9445,1.7209,315436.0,0.0,1.0
2014-06-25,1.954,1.9635,1.9445,1.954,1.7292,678369.0,0.0,1.0
2014-06-26,1.9445,1.9919,1.9445,1.9729,1.746,136406.0,0.0,1.0
2014-06-27,1.9824,2.0583,1.9729,1.9824,1.7544,220681.0,0.0,1.0
2014-06-30,1.9919,2.0204,1.9729,2.0109,1.7796,91311.0,0.0,1.0
2014-07-01,2.0109,2.0109,1.9635,1.9919,1.7628,123043.0,0.0,1.0
2014-07-02,2.0014,2.0678,2.0014,2.0299,1.7964,161062.0,0.0,1.0
2014-07-03,2.0299,2.0583,2.0204,2.0583,1.8216,147934.0,0.0,1.0
2014-07-04,2.0393,2.0678,2.0299,2.0393,1.8048,298083.0,0.0,1.0
2014-07-07,2.0393,2.0488,2.0393,2.0393,1.8048,61615.0,0.0,1.0
2014-07-08,2.0488,2.0678,2.0393,2.0583,1.8216,100756.0,0.0,1.0
2014-07-09,2.0488,2.0583,2.0109,2.0583,1.8216,346042.0,0.0,1.0
2014-07-10,2.0583,2.0583,2.0393,2.0393,1.8048,377144.0,0.0,1.0
2014-07-11,2.0014,2.0393,1.9967,2.0393,1.8048,52438.0,0.0,1.0
2014-07-14,2.0393,2.0393,1.9824,1.9824,1.7544,61192.0,0.0,1.0
2014-07-15,1.9824,2.0583,1.954,2.0583,1.8216,75433.0,0.0,1.0
2014-07-16,2.0488,2.0583,2.0109,2.0109,1.7796,52604.0,0.0,1.0
2014-07-17,2.0299,2.0299,1.9919,1.9919,1.7628,147671.0,0.0,1.0
2014-07-18,1.9729,2.0204,1.9729,2.0204,1.788,191364.0,0.0,1.0
2014-07-21,2.0204,2.0204,1.9919,2.0014,1.7712,257685.0,0.0,1.0
2014-07-22,1.9919,2.0488,1.9919,2.0488,1.8132,799407.0,0.0,1.0
2014-07-23,2.0488,2.0488,2.0014,2.0014,1.7712,82488.0,0.0,1.0
2014-07-24,2.0204,2.0488,2.0204,2.0488,1.8132,1354988.0,0.0,1.0
2014-07-25,2.0393,2.0393,2.0204,2.0299,1.7964,102781.0,0.0,1.0
2014-07-28,2.0299,2.0299,1.9919,2.0299,1.7964,68131.0,0.0,1.0
2014-07-29,2.0678,2.1532,2.0678,2.0962,1.8552,468594.0,0.0,1.0
2014-07-30,2.1247,2.1294,2.0868,2.1152,1.872,372344.0,0.0,1.0
2014-07-31,2.1247,2.1532,2.1152,2.1247,1.8804,366607.0,0.0,1.0
2014-08-01,2.1342,2.1532,2.1057,2.1437,1.8971,410784.0,0.0,1.0
2014-08-04,2.1437,2.1532,2.1057,2.1342,1.8887,144407.0,0.0,1.0
2014-08-05,2.1437,2.1437,2.1247,2.1342,1.8887,91523.0,0.0,1.0
2014-08-06,2.1247,2.1437,2.1152,2.1342,1.8887,465481.0,0.0,1.0
2014-08-07,2.1342,2.1342,2.0868,2.0868,1.8468,141501.0,0.0,1.0
2014-08-08,2.0962,2.1057,2.0868,2.1057,1.8636,52799.0,0.0,1.0
2014-08-11,2.1057,2.1342,2.1057,2.1152,1.872,63891.0,0.0,1.0
2014-08-12,2.1152,2.1484,2.1152,2.1342,1.8887,304777.0,0.0,1.0
2014-08-13,2.1437,2.1532,2.1342,2.1532,1.9055,79130.0,0.0,1.0
2014-08-14,2.1532,2.1532,2.1152,2.1152,1.872,317584.0,0.0,1.0
2014-08-15,2.1437,2.1437,2.1152,2.1152,1.872,286405.0,0.0,1.0
2014-08-18,2.1342,2.1816,2.1247,2.1437,1.8971,334741.0,0.0,1.0
2014-08-19,2.1816,2.2575,2.1627,2.2196,1.9643,105471.0,0.0,1.0
2014-08-20,2.2196,2.2575,2.1627,2.1721,1.9223,1657633.0,0.0,1.0
2014-08-21,2.2196,2.2575,2.2101,2.2101,1.9559,105919.0,0.0,1.0
2014-08-22,2.2101,2.3049,2.2101,2.2385,1.9811,127129.0,0.0,1.0
2014-08-25,2.2196,2.2385,2.1911,2.2101,1.9559,118880.0,0.0,1.0
2014-08-26,2.229,2.267,2.2101,2.2196,1.9643,383907.0,0.0,1.0
2014-08-27,2.229,2.267,2.1437,2.1816,1.9307,688415.0,0.0,1.0
2014-08-28,2.1816,2.2006,2.1627,2.1816,1.9307,351424.0,0.0,1.0
2014-08-29,2.1816,2.248,2.1816,2.229,1.9727,1097858.0,0.0,1.0
2014-09-01,2.2385,2.3523,2.2385,2.3049,2.0398,547550.0,0.0,1.0
2014-09-02,2.3144,2.4282,2.3049,2.4093,2.1322,214848.0,0.0,1.0
2014-09-03,2.4188,2.4567,2.3429,2.3903,2.1154,264827.0,0.0,1.0
2014-09-04,2.4282,2.4282,2.3713,2.4282,2.149,54599.0,0.0,1.0
2014-09-05,2.4093,2.4282,2.3523,2.4188,2.1406,289767.0,0.0,1.0
2014-09-08,2.4188,2.4662,2.3429,2.3618,2.0902,115802.0,0.0,1.0
2014-09-09,2.3713,2.3903,2.3429,2.3808,2.107,148902.0,0.0,1.0
2014-09-10,2.3808,2.3903,2.3618,2.3808,2.107,181032.0,0.0,1.0
2014-09-11,2.3618,2.3998,2.3523,2.3808,2.107,120324.0,0.0,1.0
2014-09-12,2.3523,2.3713,2.3429,2.3618,2.0902,47353.0,0.0,1.0
2014-09-15,2.3618,2.3618,2.2765,2.3429,2.0734,191297.0,0.0,1.0
2014-09-16,2.3429,2.3618,2.286,2.3239,2.0566,65198.0,0.0,1.0
2014-09-17,2.3049,2.3429,2.2575,2.3049,2.0398,303313.0,0.0,1.0
2014-09-18,2.286,2.3618,2.2765,2.3618,2.0902,153988.0,0.0,1.0
2014-09-19,2.3334,2.4472,2.3334,2.4093,2.1322,4122201.0,0.0,1.0
2014-09-22,2.4188,2.4377,2.3808,2.3808,2.107,234762.0,0.0,1.0
2014-09-23,2.4093,2.4093,2.3618,2.3903,2.1154,133951.0,0.0,1.0
2014-09-24,2.3808,2.4425,2.3239,2.4188,2.1406,315397.0,0.0,1.0
2014-09-25,2.4377,2.4377,2.3713,2.3903,2.1154,164981.0,0.0,1.0
2014-09-26,2.3713,2.3808,2.2954,2.3713,2.0986,121864.0,0.0,1.0
2014-09-29,2.3713,2.3713,2.2765,2.286,2.023,115463.0,0.0,1.0
2014-09-30,2.2765,2.3808,2.2765,2.3713,2.0986,130371.0,0.0,1.0
2014-10-01,2.3713,2.3903,2.3334,2.3903,2.1154,44439.0,0.0,1.0
2014-10-02,2.3713,2.4377,2.3049,2.3049,2.0398,164842.0,0.0,1.0
2014-10-03,2.3239,2.3239,2.286,2.286,2.023,106084.0,0.0,1.0
2014-10-06,2.3049,2.3144,2.286,2.286,2.023,7019.0,0.0,1.0
2014-10-07,2.3049,2.3049,2.267,2.3049,2.0398,145522.0,0.0,1.0
2014-10-08,2.3049,2.3049,2.2385,2.2575,1.9979,63155.0,0.0,1.0
2014-10-09,2.267,2.3049,2.2196,2.2196,1.9643,321528.0,0.0,1.0
2014-10-10,2.2006,2.248,2.0962,2.1437,1.8971,358351.0,0.0,1.0
2014-10-13,2.1437,2.229,2.1342,2.2006,1.9475,198247.0,0.0,1.0
2014-10-14,2.1721,2.2575,2.1627,2.2006,1.9475,310653.0,0.0,1.0
2014-10-15,2.1721,2.2196,2.1627,2.1816,1.9307,289583.0,0.0,1.0
2014-10-16,2.2765,2.3144,2.2385,2.2575,1.9979,671014.0,0.0,1.0
2014-10-17,2.3239,2.3618,2.2196,2.2196,1.9643,479166.0,0.0,1.0
2014-10-20,2.3239,2.3286,2.2196,2.2196,1.9643,224409.0,0.0,1.0
2014-10-21,2.267,2.267,2.2196,2.2196,1.9643,161049.0,0.0,1.0
2014-10-22,2.2575,2.2954,2.2196,2.2196,1.9643,278700.0,0.0,1.0
2014-10-23,2.229,2.2385,2.2101,2.2101,1.9559,146157.0,0.0,1.0
2014-10-24,2.2196,2.2575,2.2196,2.2385,1.9811,260250.0,0.0,1.0
2014-10-27,2.2575,2.2954,2.2385,2.2954,2.0314,116715.0,0.0,1.0
2014-10-28,2.3049,2.3144,2.267,2.2954,2.0314,187199.0,0.0,1.0
2014-10-29,2.2954,2.3239,2.2575,2.2575,1.9979,79681.0,0.0,1.0
2014-10-30,2.267,2.3144,2.2575,2.2575,1.9979,84916.0,0.0,1.0
2014-10-31,2.267,2.3429,2.267,2.3429,2.0734,149906.0,0.0,1.0
2014-11-03,2.2954,2.3429,2.2954,2.3429,2.0734,119390.0,0.0,1.0
2014-11-04,2.3049,2.3429,2.2954,2.3334,2.065,106834.0,0.0,1.0
2014-11-05,2.3429,2.3429,2.2954,2.2954,2.0314,95169.0,0.0,1.0
2014-11-06,2.3049,2.3144,2.2575,2.2575,1.9979,126344.0,0.0,1.0
2014-11-07,2.248,2.248,2.2006,2.2385,1.9811,225026.0,0.0,1.0
2014-11-10,2.248,2.267,2.2196,2.248,1.9895,50921.0,0.0,1.0
2014-11-11,2.248,2.3239,2.2385,2.3239,2.0566,148271.0,0.0,1.0
2014-11-12,2.3239,2.3239,2.2528,2.2765,2.0147,146415.0,0.0,1.0
2014-11-13,2.2954,2.2954,2.2575,2.267,2.0063,123907.0,0.0,1.0
2014-11-14,2.286,2.286,2.2575,2.2575,1.9979,204757.0,0.0,1.0
2014-11-17,2.2765,2.2765,2.248,2.248,1.9895,192694.0,0.0,1.0
2014-11-18,2.2765,2.2954,2.248,2.248,1.9895,901192.0,0.0,1.0
