date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2015-10-14,1.965,2.02,1.8,1.83,1.6252,12283212.0,0.0,1.0
2015-10-15,1.84,1.92,1.84,1.9,1.6874,2131178.0,0.0,1.0
2015-10-16,1.9,1.91,1.86,1.86,1.6519,941262.0,0.0,1.0
2015-10-19,1.885,1.915,1.875,1.875,1.6652,593247.0,0.0,1.0
2015-10-20,1.895,1.9,1.85,1.85,1.643,420458.0,0.0,1.0
2015-10-21,1.86,1.89,1.85,1.88,1.6696,1070202.0,0.0,1.0
2015-10-22,1.88,1.895,1.87,1.885,1.6741,150251.0,0.0,1.0
2015-10-23,1.885,1.885,1.85,1.855,1.6474,142523.0,0.0,1.0
2015-10-26,1.89,1.89,1.86,1.86,1.6519,352928.0,0.0,1.0
2015-10-27,1.865,1.88,1.83,1.83,1.6252,227488.0,0.0,1.0
2015-10-28,1.84,1.875,1.83,1.85,1.643,414064.0,0.0,1.0
2015-10-29,1.855,1.875,1.85,1.87,1.6607,156454.0,0.0,1.0
2015-10-30,1.87,1.9,1.87,1.9,1.6874,580597.0,0.0,1.0
2015-11-02,1.88,2.08,1.88,2.05,1.8206,284736.0,0.0,1.0
2015-11-03,2.07,2.19,2.05,2.06,1.8295,3082705.0,0.0,1.0
2015-11-04,2.08,2.11,2.02,2.04,1.8117,249263.0,0.0,1.0
2015-11-05,2.03,2.12,2.03,2.06,1.8295,231722.0,0.0,1.0
2015-11-06,2.08,2.13,2.07,2.13,1.8916,193721.0,0.0,1.0
2015-11-09,2.13,2.13,2.08,2.1,1.865,140626.0,0.0,1.0
2015-11-10,2.13,2.13,2.05,2.08,1.8472,235224.0,0.0,1.0
2015-11-11,2.05,2.08,2.03,2.05,1.8206,1364639.0,0.0,1.0
2015-11-12,2.04,2.08,2.02,2.05,1.8206,294169.0,0.0,1.0
2015-11-13,2.05,2.05,2.0,2.05,1.8206,76214.0,0.0,1.0
2015-11-16,2.05,2.06,1.96,2.01,1.7851,251269.0,0.0,1.0
2015-11-17,2.0,2.02,1.97,1.99,1.7673,155556.0,0.0,1.0
2015-11-18,1.98,2.05,1.97,2.03,1.8028,763137.0,0.0,1.0
2015-11-19,2.02,2.14,2.02,2.12,1.8828,473552.0,0.0,1.0
2015-11-20,2.13,2.21,2.13,2.19,1.9449,578466.0,0.0,1.0
2015-11-23,2.2,2.28,2.2,2.28,2.0249,2080695.0,0.0,1.0
2015-11-24,2.29,2.35,2.26,2.35,2.087,481232.0,0.0,1.0
2015-11-25,2.37,2.38,2.24,2.29,2.0337,435820.0,0.0,1.0
2015-11-26,2.3,2.33,2.2,2.26,2.0071,696250.0,0.0,1.0
2015-11-27,2.26,2.35,2.26,2.35,2.087,269377.0,0.0,1.0
2015-11-30,2.36,2.36,2.27,2.3,2.0426,298581.0,0.0,1.0
2015-12-01,2.31,2.39,2.29,2.34,2.0781,298508.0,0.0,1.0
2015-12-02,2.39,2.51,2.35,2.45,2.1758,419502.0,0.0,1.0
2015-12-03,2.45,2.6,2.44,2.5,2.2202,471495.0,0.0,1.0
2015-12-04,2.47,2.54,2.4,2.52,2.238,200123.0,0.0,1.0
2015-12-07,2.55,2.58,2.45,2.5,2.2202,509217.0,0.0,1.0
2015-12-08,2.5,2.5,2.42,2.42,2.1492,476761.0,0.0,1.0
2015-12-09,2.46,2.49,2.44,2.45,2.1758,328002.0,0.0,1.0
2015-12-10,2.44,2.44,2.36,2.37,2.1048,326775.0,0.0,1.0
2015-12-11,2.36,2.38,2.32,2.37,2.1048,402674.0,0.0,1.0
2015-12-14,2.37,2.39,2.195,2.39,2.1225,589988.0,0.0,1.0
2015-12-15,2.39,2.49,2.39,2.46,2.1847,500055.0,0.0,1.0
2015-12-16,2.47,2.5,2.47,2.47,2.1936,479242.0,0.0,1.0
2015-12-17,2.5,2.5,2.47,2.47,2.1936,213513.0,0.0,1.0
2015-12-18,2.47,2.5,2.41,2.48,2.2025,316704.0,0.0,1.0
2015-12-21,2.45,2.45,2.34,2.45,2.1758,177922.0,0.0,1.0
2015-12-22,2.42,2.45,2.39,2.39,2.1225,123584.0,0.0,1.0
2015-12-23,2.39,2.45,2.38,2.38,2.1137,173795.0,0.0,1.0
