date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-04,5.0904,5.1399,4.9619,4.9916,1.7114,30456.0,0.0,1.0
2000-01-05,4.9639,5.0213,4.9639,5.0213,1.7215,46876.0,0.0,1.0
2000-01-06,4.9797,5.041,4.9521,4.9521,1.6978,37648.0,0.0,1.0
2000-01-07,4.9916,5.041,4.9422,5.041,1.7283,34950.0,0.0,1.0
2000-01-10,5.1409,5.1409,5.041,5.0509,1.7317,19684.0,0.0,1.0
2000-01-11,5.0825,5.0904,5.041,5.0509,1.7317,30445.0,0.0,1.0
2000-01-12,5.0904,5.0904,5.041,5.0904,1.7453,21088.0,0.0,1.0
2000-01-13,5.0964,5.0964,5.0015,5.0015,1.7148,16885.0,0.0,1.0
2000-01-14,5.041,5.041,4.9521,4.9629,1.7015,10635.0,0.0,1.0
2000-01-17,5.0479,5.0479,4.9323,4.9422,1.6944,50462.0,0.0,1.0
2000-01-18,4.9422,4.9916,4.9224,4.9916,1.7114,12866.0,0.0,1.0
2000-01-19,4.9432,4.9916,4.9422,4.9916,1.7114,20985.0,0.0,1.0
2000-01-20,4.9422,5.0015,4.9422,4.9817,1.708,21319.0,0.0,1.0
2000-01-21,4.9817,5.0015,4.9521,4.9619,1.7012,31159.0,0.0,1.0
2000-01-24,5.041,5.041,4.9422,4.9422,1.6944,57256.0,0.0,1.0
2000-01-25,4.8888,4.9224,4.8236,4.8433,1.6605,71784.0,0.0,1.0
2000-01-26,4.9,4.9,4.9,4.9,1.68,0.0,0.0,1.0
2000-01-27,4.8433,4.9916,4.8236,4.873,1.6707,21249.0,0.0,1.0
2000-01-28,4.9363,4.9916,4.9125,4.9916,1.7114,26794.0,0.0,1.0
2000-01-31,4.9422,4.9916,4.9125,4.9125,1.6843,80042.0,0.0,1.0
2000-02-01,4.9531,4.9817,4.873,4.9422,1.6944,18057.0,0.0,1.0
2000-02-02,4.8928,4.9422,4.8532,4.8829,1.6741,20639.0,0.0,1.0
2000-02-03,4.9422,4.9422,4.8829,4.9224,1.6877,19176.0,0.0,1.0
2000-02-04,4.873,4.9916,4.873,4.873,1.6707,48496.0,0.0,1.0
2000-02-07,4.9422,4.9916,4.8928,4.9916,1.7114,27049.0,0.0,1.0
2000-02-08,4.9916,5.0213,4.8928,4.8928,1.6775,33133.0,0.0,1.0
2000-02-09,5.0114,5.0114,4.9422,4.9422,1.6944,31316.0,0.0,1.0
2000-02-10,4.9451,4.9817,4.8631,4.8631,1.6673,26908.0,0.0,1.0
2000-02-11,4.871,4.9422,4.871,4.873,1.6707,21953.0,0.0,1.0
2000-02-14,4.9422,4.9817,4.9224,4.9817,1.708,37881.0,0.0,1.0
2000-02-15,4.9817,4.9916,4.9422,4.9817,1.708,53667.0,0.0,1.0
2000-02-16,4.9619,5.0114,4.8928,4.8928,1.6775,34794.0,0.0,1.0
2000-02-17,4.9619,5.0114,4.9422,4.9422,1.6944,47218.0,0.0,1.0
2000-02-18,4.9916,4.9916,4.8928,4.8928,1.6775,32878.0,0.0,1.0
2000-02-21,4.9441,4.9619,4.8928,4.9619,1.7012,121216.0,0.0,1.0
2000-02-22,4.9679,5.0311,4.9422,4.9521,1.6978,97542.0,0.0,1.0
2000-02-23,4.958,5.041,4.9422,4.9619,1.7012,37028.0,0.0,1.0
