date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2007-12-10,1.9398,1.9398,1.9398,1.9398,0.9045,0.0,0.0,1.0
2007-12-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2007-12-12,2.415,2.415,2.2307,2.2889,1.0673,4542474.0,0.0,1.0
2007-12-13,2.3083,2.318,2.2016,2.2792,1.0627,1356467.0,0.0,1.0
2007-12-14,2.2501,2.2501,2.2113,2.2307,1.0401,496978.0,0.0,1.0
2007-12-17,2.2307,2.2307,2.0852,2.1046,0.9813,318699.0,0.0,1.0
2007-12-18,2.0852,2.0852,1.9398,2.0368,0.9497,743874.0,0.0,1.0
2007-12-19,2.0465,2.0852,1.9979,2.0271,0.9452,215907.0,0.0,1.0
2007-12-20,2.0368,2.0465,2.0173,2.0173,0.9406,145487.0,0.0,1.0
2007-12-21,2.0368,2.0465,2.0173,2.0173,0.9406,85417.0,0.0,1.0
2007-12-24,2.0658,2.1337,2.0658,2.0852,0.9723,120634.0,0.0,1.0
2007-12-27,2.0465,2.1337,2.0465,2.1337,0.9949,91341.0,0.0,1.0
2007-12-28,2.1337,2.1337,2.0465,2.0465,0.9542,14435.0,0.0,1.0
2007-12-31,2.0658,2.0658,2.0465,2.0465,0.9542,18559.0,0.0,1.0
2008-01-02,2.124,2.124,2.124,2.124,0.9904,86351.0,0.0,1.0
2008-01-03,2.124,2.124,2.0561,2.1143,0.9859,146410.0,0.0,1.0
2008-01-04,2.1143,2.1337,2.0949,2.1337,0.9949,133522.0,0.0,1.0
2008-01-07,2.0949,2.1046,2.0173,2.0173,0.9406,115400.0,0.0,1.0
2008-01-08,2.0173,2.0368,1.9883,1.9883,0.9271,149297.0,0.0,1.0
2008-01-09,1.9689,1.9689,1.9204,1.9301,0.8999,178682.0,0.0,1.0
2008-01-10,1.9592,1.9689,1.9398,1.9398,0.9045,114499.0,0.0,1.0
2008-01-11,1.9398,1.9398,1.8913,1.8913,0.8818,102950.0,0.0,1.0
2008-01-14,1.8913,1.8913,1.8428,1.8525,0.8638,140406.0,0.0,1.0
2008-01-15,1.8864,1.9107,1.8816,1.8816,0.8773,98295.0,0.0,1.0
2008-01-16,1.8525,1.8525,1.7652,1.7943,0.8366,101043.0,0.0,1.0
2008-01-17,1.7749,1.7749,1.7361,1.7409,0.8117,107967.0,0.0,1.0
2008-01-18,1.7264,1.7458,1.6876,1.7264,0.805,153009.0,0.0,1.0
2008-01-21,1.7361,1.7458,1.6585,1.7409,0.8117,706488.0,0.0,1.0
2008-01-22,1.6488,1.6488,1.4548,1.5518,0.7236,113004.0,0.0,1.0
2008-01-23,1.5518,1.6973,1.5518,1.5518,0.7236,112579.0,0.0,1.0
2008-01-24,1.5518,1.6003,1.5518,1.5712,0.7326,140700.0,0.0,1.0
2008-01-25,1.6003,1.7458,1.6003,1.7458,0.814,151908.0,0.0,1.0
2008-01-29,1.7264,1.7264,1.6488,1.6682,0.7778,50530.0,0.0,1.0
2008-01-30,1.6682,1.6924,1.6488,1.6488,0.7688,50893.0,0.0,1.0
2008-01-31,1.61,1.6488,1.5809,1.5809,0.7371,36809.0,0.0,1.0
2008-02-01,1.6294,1.6488,1.6003,1.6003,0.7462,27323.0,0.0,1.0
2008-02-04,1.6294,1.6488,1.6003,1.6003,0.7462,75267.0,0.0,1.0
2008-02-05,1.6003,1.6488,1.5615,1.5615,0.7281,24848.0,0.0,1.0
2008-02-06,1.5615,1.5615,1.5518,1.5615,0.7281,15466.0,0.0,1.0
2008-02-07,1.6003,1.6003,1.5518,1.5518,0.7236,15763.0,0.0,1.0
2008-02-08,1.5518,1.5518,1.5324,1.5518,0.7236,31963.0,0.0,1.0
2008-02-11,1.5227,1.5227,1.4839,1.4839,0.6919,37634.0,0.0,1.0
2008-02-12,1.4839,1.5033,1.4839,1.5033,0.7009,9795.0,0.0,1.0
2008-02-13,1.513,1.5615,1.513,1.5518,0.7236,93311.0,0.0,1.0
2008-02-14,1.5518,1.5518,1.5033,1.5033,0.7009,15981.0,0.0,1.0
2008-02-15,1.5033,1.5518,1.5033,1.5518,0.7236,61863.0,0.0,1.0
2008-02-18,1.5518,1.5518,1.5033,1.5033,0.7009,53615.0,0.0,1.0
2008-02-19,1.5518,1.6488,1.5324,1.6488,0.7688,112901.0,0.0,1.0
2008-02-20,1.6488,1.6488,1.6003,1.6488,0.7688,36225.0,0.0,1.0
2008-02-21,1.6003,1.6488,1.5712,1.6197,0.7552,36602.0,0.0,1.0
2008-02-22,1.6003,1.6488,1.5906,1.6197,0.7552,95131.0,0.0,1.0
2008-02-25,1.6197,1.6197,1.6003,1.6003,0.7462,54446.0,0.0,1.0
2008-02-26,1.6003,1.6003,1.5518,1.5518,0.7236,56908.0,0.0,1.0
2008-02-27,1.5518,1.5518,1.5518,1.5518,0.7236,10311.0,0.0,1.0
2008-02-28,1.5518,1.5518,1.5033,1.5033,0.7009,18559.0,0.0,1.0
2008-02-29,1.5033,1.513,1.4548,1.4839,0.6919,55986.0,0.0,1.0
2008-03-03,1.4063,1.4548,1.3578,1.4548,0.6783,14693.0,0.0,1.0
2008-03-04,1.4063,1.4063,1.3578,1.3578,0.6331,71658.0,0.0,1.0
2008-03-05,1.2705,1.3093,1.2317,1.2608,0.5879,133522.0,0.0,1.0
2008-03-06,1.2511,1.2608,1.2511,1.2608,0.5879,237555.0,0.0,1.0
2008-03-07,1.2608,1.2608,1.2608,1.2608,0.5879,68050.0,0.0,1.0
2008-03-10,1.2317,1.2317,1.1639,1.1639,0.5427,58255.0,0.0,1.0
2008-03-11,1.1639,1.1639,1.0669,1.1445,0.5336,217553.0,0.0,1.0
2008-03-12,1.1639,1.2026,1.1639,1.1929,0.5562,141976.0,0.0,1.0
2008-03-13,1.2026,1.2026,1.1445,1.1445,0.5336,46398.0,0.0,1.0
2008-03-14,1.1445,1.1445,1.1348,1.1348,0.5291,32878.0,0.0,1.0
2008-03-17,1.0863,1.0863,1.0475,1.0475,0.4884,68050.0,0.0,1.0
2008-03-18,1.0475,1.3093,1.0475,1.2221,0.5698,459616.0,0.0,1.0
2008-03-19,1.2414,1.3578,1.2221,1.3578,0.6331,186884.0,0.0,1.0
2008-03-20,1.2996,1.319,1.2705,1.3093,0.6105,98981.0,0.0,1.0
2008-03-25,1.3336,1.3481,1.3336,1.3481,0.6286,110529.0,0.0,1.0
2008-03-26,1.3384,1.3578,1.3384,1.3481,0.6286,32478.0,0.0,1.0
2008-03-27,1.3869,1.3869,1.3578,1.3578,0.6331,54827.0,0.0,1.0
2008-03-28,1.3675,1.3675,1.3093,1.3384,0.6241,186718.0,0.0,1.0
2008-03-31,1.2705,1.3481,1.2705,1.3481,0.6286,10826.0,0.0,1.0
2008-04-01,1.2608,1.2608,1.2608,1.2608,0.5879,7166.0,0.0,1.0
2008-04-02,1.2608,1.2705,1.2608,1.2705,0.5924,414590.0,0.0,1.0
2008-04-03,1.3093,1.3481,1.3093,1.3481,0.6286,14010.0,0.0,1.0
2008-04-04,1.3481,1.3772,1.3433,1.3578,0.6331,88671.0,0.0,1.0
2008-04-07,1.3578,1.3578,1.3578,1.3578,0.6331,6702.0,0.0,1.0
2008-04-08,1.3093,1.3093,1.3093,1.3093,0.6105,48975.0,0.0,1.0
2008-04-09,1.2754,1.3093,1.2657,1.3093,0.6105,29094.0,0.0,1.0
2008-04-10,1.319,1.3287,1.319,1.319,0.615,23199.0,0.0,1.0
2008-04-11,1.319,1.319,1.2705,1.3093,0.6105,65988.0,0.0,1.0
2008-04-14,1.3093,1.3093,1.2705,1.2705,0.5924,18043.0,0.0,1.0
2008-04-15,1.3093,1.3093,1.2705,1.2705,0.5924,27839.0,0.0,1.0
2008-04-16,1.2705,1.2705,1.2608,1.2608,0.5879,48647.0,0.0,1.0
2008-04-17,1.2317,1.2414,1.2317,1.2317,0.5743,14847.0,0.0,1.0
2008-04-18,1.2414,1.2414,1.2172,1.2172,0.5675,16600.0,0.0,1.0
2008-04-21,1.2221,1.2221,1.2124,1.2172,0.5675,24642.0,0.0,1.0
2008-04-22,1.2124,1.2124,1.2124,1.2124,0.5653,6186.0,0.0,1.0
2008-04-23,1.2221,1.2221,1.1832,1.1832,0.5517,76298.0,0.0,1.0
2008-04-24,1.1832,1.1832,1.1639,1.1639,0.5427,16033.0,0.0,1.0
2008-04-28,1.1639,1.2124,1.1639,1.2124,0.5653,31447.0,0.0,1.0
2008-04-29,1.1639,1.2124,1.1639,1.2124,0.5653,84547.0,0.0,1.0
2008-04-30,1.1639,1.2124,1.1639,1.1639,0.5427,43304.0,0.0,1.0
2008-05-01,1.1639,1.1639,1.1639,1.1639,0.5427,516.0,0.0,1.0
2008-05-02,1.1832,1.1832,1.1832,1.1832,0.5517,8564.0,0.0,1.0
2008-05-05,1.1929,1.1929,1.1154,1.1639,0.5427,50340.0,0.0,1.0
2008-05-06,1.1154,1.1348,1.1154,1.1348,0.5291,9280.0,0.0,1.0
2008-05-07,1.1348,1.1639,1.1348,1.1639,0.5427,37506.0,0.0,1.0
2008-05-08,1.1639,1.2124,1.1639,1.2124,0.5653,14435.0,0.0,1.0
2008-05-09,1.2124,1.2124,1.1639,1.1639,0.5427,0.0,0.0,1.0
2008-05-12,1.1639,1.1639,1.1348,1.1348,0.5291,64526.0,0.0,1.0
2008-05-13,1.1639,1.1639,1.1348,1.1348,0.5291,9280.0,0.0,1.0
2008-05-14,1.1396,1.1396,1.1348,1.1396,0.5314,18043.0,0.0,1.0
2008-05-15,1.1396,1.1639,1.1396,1.1639,0.5427,46269.0,0.0,1.0
2008-05-16,1.1639,1.1929,1.1639,1.1929,0.5562,36216.0,0.0,1.0
2008-05-19,1.2026,1.2608,1.2026,1.2414,0.5789,177208.0,0.0,1.0
2008-05-20,1.2414,1.2608,1.2124,1.2124,0.5653,47874.0,0.0,1.0
2008-05-21,1.1832,1.1832,1.1736,1.1736,0.5472,19590.0,0.0,1.0
2008-05-22,1.1736,1.2124,1.1639,1.2124,0.5653,32994.0,0.0,1.0
2008-05-23,1.2124,1.2124,1.1542,1.1542,0.5382,69848.0,0.0,1.0
2008-05-26,1.1542,1.1639,1.1542,1.1542,0.5382,89986.0,0.0,1.0
2008-05-27,1.159,1.1784,1.159,1.1784,0.5495,32669.0,0.0,1.0
2008-05-28,1.2026,1.2124,1.1784,1.1784,0.5495,289270.0,0.0,1.0
2008-05-29,1.1784,1.2124,1.1639,1.1639,0.5427,69287.0,0.0,1.0
2008-05-30,1.1639,1.1639,1.1348,1.1348,0.5291,57017.0,0.0,1.0
2008-06-02,1.1299,1.1639,1.1251,1.1639,0.5427,93224.0,0.0,1.0
2008-06-03,1.1639,1.1639,1.1445,1.1445,0.5336,64054.0,0.0,1.0
2008-06-04,1.1445,1.1445,1.1154,1.1154,0.5201,48625.0,0.0,1.0
2008-06-05,1.1008,1.1008,1.0669,1.0669,0.4974,29798.0,0.0,1.0
2008-06-06,1.0669,1.0669,1.0669,1.0669,0.4974,9383.0,0.0,1.0
2008-06-10,1.0281,1.0378,1.0281,1.0378,0.4839,38149.0,0.0,1.0
2008-06-11,1.0378,1.0378,1.0087,1.0087,0.4703,3093.0,0.0,1.0
2008-06-12,1.0087,1.0087,0.9505,0.9699,0.4522,73205.0,0.0,1.0
2008-06-13,0.9505,0.9699,0.9456,0.9699,0.4522,60544.0,0.0,1.0
2008-06-16,0.9893,0.9893,0.9699,0.9699,0.4522,33509.0,0.0,1.0
2008-06-17,0.9699,0.9699,0.9699,0.9699,0.4522,51037.0,0.0,1.0
2008-06-18,0.9699,0.9699,0.9214,0.9214,0.4296,54130.0,0.0,1.0
2008-06-19,0.902,0.9699,0.8729,0.9699,0.4522,298852.0,0.0,1.0
2008-06-20,0.9214,0.9699,0.9214,0.9699,0.4522,39799.0,0.0,1.0
2008-06-23,0.9311,0.9311,0.9214,0.9214,0.4296,40417.0,0.0,1.0
2008-06-24,0.902,0.902,0.902,0.902,0.4206,5155.0,0.0,1.0
2008-06-25,0.8923,0.902,0.8729,0.8729,0.407,114138.0,0.0,1.0
2008-06-26,0.8729,0.8777,0.868,0.8777,0.4093,240439.0,0.0,1.0
2008-06-27,0.8729,0.8923,0.8729,0.8923,0.416,113415.0,0.0,1.0
2008-06-30,0.9068,0.9262,0.8971,0.9214,0.4296,201571.0,0.0,1.0
2008-07-01,0.9214,0.9214,0.9214,0.9214,0.4296,44335.0,0.0,1.0
2008-07-02,0.9262,0.9262,0.9214,0.9214,0.4296,10826.0,0.0,1.0
2008-07-03,0.9262,0.9262,0.9214,0.9214,0.4296,25776.0,0.0,1.0
2008-07-04,0.8632,0.8971,0.8244,0.8971,0.4183,94237.0,0.0,1.0
2008-07-07,1.0087,1.0863,0.9699,1.0863,0.5065,834651.0,0.0,1.0
2008-07-08,1.0669,1.1154,1.062,1.1154,0.5201,547126.0,0.0,1.0
2008-07-09,1.1154,1.1154,1.0863,1.1057,0.5155,351435.0,0.0,1.0
2008-07-10,1.1348,1.1639,1.096,1.096,0.511,162172.0,0.0,1.0
2008-07-11,1.0572,1.0717,1.0572,1.0717,0.4997,44735.0,0.0,1.0
2008-07-14,1.0184,1.0281,1.0184,1.0232,0.4771,23920.0,0.0,1.0
2008-07-15,1.0184,1.0184,0.9699,1.0038,0.4681,89266.0,0.0,1.0
2008-07-16,0.999,0.999,0.999,0.999,0.4658,28354.0,0.0,1.0
2008-07-17,1.0669,1.0669,0.999,0.999,0.4658,0.0,0.0,1.0
2008-07-18,1.0669,1.0669,0.999,0.999,0.4658,12373.0,0.0,1.0
2008-07-21,1.0669,1.1057,1.0669,1.1057,0.5155,21652.0,0.0,1.0
2008-07-22,1.0669,1.0669,1.0669,1.0669,0.4974,5155.0,0.0,1.0
2008-07-23,1.0669,1.0669,1.0669,1.0669,0.4974,30932.0,0.0,1.0
2008-07-24,1.0669,1.0669,1.0669,1.0669,0.4974,23199.0,0.0,1.0
2008-07-25,1.0281,1.0863,1.0281,1.0863,0.5065,23325.0,0.0,1.0
2008-07-28,1.0863,1.0863,1.0863,1.0863,0.5065,0.0,0.0,1.0
2008-07-29,1.0378,1.0572,1.0184,1.0184,0.4748,523818.0,0.0,1.0
2008-07-30,1.0378,1.0378,1.0378,1.0378,0.4839,14950.0,0.0,1.0
2008-07-31,1.0184,1.0184,0.999,0.999,0.4658,20621.0,0.0,1.0
2008-08-01,0.999,0.999,0.999,0.999,0.4658,5155.0,0.0,1.0
2008-08-04,1.0669,1.0669,0.999,0.999,0.4658,0.0,0.0,1.0
2008-08-05,0.999,0.999,0.9699,0.9699,0.4522,23131.0,0.0,1.0
2008-08-06,0.9699,0.9699,0.9699,0.9699,0.4522,26807.0,0.0,1.0
2008-08-07,0.9602,0.9602,0.9602,0.9602,0.4477,20106.0,0.0,1.0
2008-08-08,0.9505,0.9602,0.9456,0.9505,0.4432,36122.0,0.0,1.0
2008-08-11,0.9699,0.9699,0.9505,0.9699,0.4522,8764.0,0.0,1.0
2008-08-12,0.9505,0.9602,0.9311,0.9311,0.4341,29385.0,0.0,1.0
2008-08-13,0.9311,0.9311,0.9214,0.9214,0.4296,30932.0,0.0,1.0
2008-08-14,0.9214,0.9214,0.8341,0.8341,0.3889,41256.0,0.0,1.0
2008-08-15,0.8729,0.8729,0.8729,0.8729,0.407,30932.0,0.0,1.0
2008-08-18,0.8438,0.8438,0.8341,0.8341,0.3889,30304.0,0.0,1.0
2008-08-19,0.8341,0.868,0.8341,0.868,0.4047,16228.0,0.0,1.0
2008-08-20,0.8729,0.8729,0.8729,0.8729,0.407,10311.0,0.0,1.0
2008-08-21,0.8535,0.8535,0.8535,0.8535,0.398,12373.0,0.0,1.0
2008-08-22,0.8535,0.8729,0.7856,0.8729,0.407,168887.0,0.0,1.0
2008-08-25,0.8729,0.8729,0.8729,0.8729,0.407,2268.0,0.0,1.0
2008-08-26,0.8729,0.8729,0.8729,0.8729,0.407,0.0,0.0,1.0
2008-08-27,0.8729,0.8729,0.8729,0.8729,0.407,0.0,0.0,1.0
2008-08-28,0.8438,0.8729,0.8438,0.8729,0.407,103106.0,0.0,1.0
2008-08-29,0.8438,0.8438,0.8438,0.8438,0.3934,7217.0,0.0,1.0
2008-09-01,0.8244,0.8244,0.8244,0.8244,0.3844,5671.0,0.0,1.0
2008-09-02,0.8341,0.8438,0.8341,0.8438,0.3934,41242.0,0.0,1.0
2008-09-03,0.8438,0.8438,0.8244,0.8341,0.3889,55161.0,0.0,1.0
2008-09-04,0.8244,0.8244,0.7953,0.7953,0.3708,56770.0,0.0,1.0
2008-09-05,0.7759,0.7759,0.7759,0.7759,0.3618,5155.0,0.0,1.0
2008-09-08,0.8244,0.8244,0.805,0.805,0.3753,37572.0,0.0,1.0
2008-09-09,0.8147,0.8147,0.7953,0.805,0.3753,51099.0,0.0,1.0
2008-09-10,0.7759,0.7759,0.7759,0.7759,0.3758,2000.0,0.0,1.0
2008-09-11,0.7759,0.7953,0.7759,0.7953,0.3852,25921.0,0.0,1.0
2008-09-12,0.7759,0.7953,0.7565,0.7953,0.3852,30932.0,0.0,1.0
2008-09-15,0.7953,0.7953,0.7953,0.7953,0.3852,0.0,0.0,1.0
2008-09-16,0.7953,0.7953,0.7953,0.7953,0.3852,0.0,0.0,1.0
2008-09-17,0.7177,0.7662,0.7177,0.7662,0.3711,10311.0,0.0,1.0
2008-09-18,0.6304,0.7662,0.6304,0.7662,0.3711,28561.0,0.0,1.0
2008-09-19,0.7662,0.7662,0.7662,0.7662,0.3711,0.0,0.0,1.0
2008-09-22,0.7662,0.805,0.7662,0.7953,0.3852,22361.0,0.0,1.0
2008-09-23,0.7759,0.7759,0.7468,0.7468,0.3617,29901.0,0.0,1.0
2008-09-24,0.7759,0.7759,0.7468,0.7468,0.3617,22075.0,0.0,1.0
2008-09-25,0.8729,0.8729,0.7468,0.7468,0.3617,0.0,0.0,1.0
2008-09-26,0.8729,0.8729,0.8729,0.8729,0.4228,30932.0,0.0,1.0
2008-09-29,0.8729,0.8729,0.8632,0.8632,0.4181,87634.0,0.0,1.0
2008-09-30,0.8244,0.9214,0.8244,0.9214,0.4462,100019.0,0.0,1.0
2008-10-01,0.9214,0.9214,0.9214,0.9214,0.4462,7265.0,0.0,1.0
2008-10-02,0.9214,0.9214,0.9117,0.9117,0.4415,17944.0,0.0,1.0
2008-10-03,0.9117,0.9117,0.9117,0.9117,0.4415,0.0,0.0,1.0
2008-10-06,0.9117,0.9117,0.9117,0.9117,0.4415,0.0,0.0,1.0
2008-10-07,0.8244,0.8244,0.7759,0.805,0.3899,15466.0,0.0,1.0
2008-10-08,0.7759,0.7759,0.7759,0.7759,0.3758,12032.0,0.0,1.0
2008-10-09,0.7953,0.7953,0.7177,0.7565,0.3664,81022.0,0.0,1.0
2008-10-10,0.7468,0.7468,0.5819,0.6886,0.3335,67553.0,0.0,1.0
2008-10-13,0.6886,0.6886,0.645,0.645,0.3124,40273.0,0.0,1.0
2008-10-14,0.645,0.6983,0.645,0.6886,0.3335,105675.0,0.0,1.0
2008-10-15,0.6886,0.6886,0.6498,0.6498,0.3147,237143.0,0.0,1.0
2008-10-16,0.6789,0.6789,0.6595,0.6789,0.3288,180641.0,0.0,1.0
2008-10-17,0.6789,0.6789,0.6789,0.6789,0.3288,195284.0,0.0,1.0
