date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-04,8.8971,9.2218,8.8971,9.2085,4.7867,8904832.0,0.0,1.0
2000-01-05,8.9905,9.0528,8.8793,8.9941,4.6753,8158740.0,0.0,1.0
2000-01-06,9.0127,9.164,9.0127,9.0528,4.7058,6800926.0,0.0,1.0
2000-01-07,9.079,9.5644,9.075,9.4999,4.9382,14800805.0,0.0,1.0
2000-01-10,9.5199,9.7912,9.4087,9.5733,4.9763,11259890.0,0.0,1.0
2000-01-11,9.4807,9.4976,9.2352,9.2974,4.833,11425857.0,0.0,1.0
2000-01-12,9.1195,9.2307,9.0528,9.1137,4.7375,5851606.0,0.0,1.0
2000-01-13,8.878,9.2085,8.8704,9.0741,4.7169,10436728.0,0.0,1.0
2000-01-14,9.075,9.1818,8.9238,9.1226,4.7421,7414813.0,0.0,1.0
2000-01-17,9.1062,9.1151,8.9416,9.0292,4.6935,4798496.0,0.0,1.0
2000-01-18,8.8971,8.9861,8.8793,8.8971,4.6249,5772245.0,0.0,1.0
2000-01-19,8.8971,8.8971,8.6791,8.7076,4.5263,4528349.0,0.0,1.0
2000-01-20,8.9011,9.0083,8.857,8.9376,4.6459,14689308.0,0.0,1.0
2000-01-21,8.8539,8.8539,8.648,8.7107,4.528,5043999.0,0.0,1.0
2000-01-24,8.6787,8.7636,8.6079,8.6257,4.4838,4447048.0,0.0,1.0
2000-01-25,8.4553,8.6466,8.4522,8.6466,4.4947,7143888.0,0.0,1.0
2000-01-26,8.6466,8.6466,8.6466,8.6466,4.4947,0.0,0.0,1.0
2000-01-27,8.567,8.6302,8.4656,8.5412,4.4399,9965598.0,0.0,1.0
2000-01-28,8.4967,8.5723,8.4077,8.4522,4.3936,14889000.0,0.0,1.0
2000-01-31,8.325,8.3677,8.2209,8.3388,4.3346,8029612.0,0.0,1.0
2000-02-01,8.373,8.3855,8.2076,8.2111,4.2683,6450166.0,0.0,1.0
2000-02-02,8.2076,8.4967,8.2076,8.3188,4.3242,8673594.0,0.0,1.0
2000-02-03,8.3326,8.43,8.083,8.2298,4.278,10044835.0,0.0,1.0
