date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2017-05-03,1.7378,1.7378,1.6805,1.6805,1.6275,12371081.0,0.0,1.0
2017-05-04,1.6805,1.6805,1.5468,1.585,1.535,8570307.0,0.0,1.0
2017-05-05,1.6232,1.6375,1.5516,1.6375,1.5859,3313344.0,0.0,1.0
2017-05-08,1.6232,1.6662,1.5898,1.6423,1.5905,1098061.0,0.0,1.0
2017-05-09,1.6423,1.6614,1.6395,1.6519,1.5997,2397411.0,0.0,1.0
2017-05-10,1.671,1.7092,1.671,1.7092,1.6552,1137659.0,0.0,1.0
2017-05-11,1.6996,1.7283,1.6805,1.7283,1.6737,761971.0,0.0,1.0
2017-05-12,1.7283,1.7283,1.7092,1.7092,1.6552,505288.0,0.0,1.0
2017-05-15,1.7235,1.7235,1.6948,1.6996,1.646,875936.0,0.0,1.0
2017-05-16,1.6996,1.702,1.6901,1.6996,1.646,5470159.0,0.0,1.0
2017-05-17,1.7139,1.7139,1.6328,1.6423,1.5905,566529.0,0.0,1.0
2017-05-18,1.6805,1.6948,1.6519,1.6614,1.609,132434.0,0.0,1.0
2017-05-19,1.6948,1.6948,1.6566,1.6662,1.6136,690912.0,0.0,1.0
2017-05-22,1.6853,1.6853,1.6519,1.671,1.6182,1939884.0,0.0,1.0
2017-05-23,1.6853,1.6853,1.6519,1.671,1.6182,909851.0,0.0,1.0
2017-05-24,1.6901,1.6901,1.6519,1.6614,1.609,270554.0,0.0,1.0
2017-05-25,1.671,1.671,1.6423,1.6519,1.5997,1899397.0,0.0,1.0
2017-05-26,1.6662,1.671,1.6566,1.6662,1.6136,32815.0,0.0,1.0
2017-05-29,1.6662,1.671,1.6423,1.6471,1.5951,1743094.0,0.0,1.0
2017-05-30,1.6614,1.6614,1.5755,1.6232,1.572,386081.0,0.0,1.0
2017-05-31,1.6423,1.6423,1.6041,1.6423,1.5905,306323.0,0.0,1.0
2017-06-01,1.6471,1.6471,1.5755,1.5755,1.5258,511181.0,0.0,1.0
2017-06-02,1.585,1.585,1.5373,1.5468,1.498,9298425.0,0.0,1.0
2017-06-05,1.5659,1.5755,1.4895,1.5182,1.4703,496235.0,0.0,1.0
2017-06-06,1.5277,1.5659,1.5134,1.5277,1.4795,15981667.0,0.0,1.0
