date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-04,5.18,5.25,5.18,5.25,2.2479,10600.0,0.0,1.0
2000-01-05,5.2,5.2,5.2,5.2,2.2265,2240.0,0.0,1.0
2000-01-06,5.2,5.2,5.2,5.2,2.2265,1274.0,0.0,1.0
2000-01-07,5.2,5.25,5.2,5.25,2.2479,3490.0,0.0,1.0
2000-01-10,5.204,5.25,5.2,5.23,2.2394,5130.0,0.0,1.0
2000-01-11,5.2,5.25,5.2,5.2,2.2265,8626.0,0.0,1.0
2000-01-12,5.13,5.13,5.06,5.06,2.1666,4900.0,0.0,1.0
2000-01-13,5.15,5.15,5.15,5.15,2.2051,2200.0,0.0,1.0
2000-01-14,5.15,5.15,5.15,5.15,2.2051,100.0,0.0,1.0
2000-01-17,5.1,5.12,5.08,5.1,2.1837,2200.0,0.0,1.0
2000-01-18,5.08,5.2,5.05,5.2,2.2265,19944.0,0.0,1.0
2000-01-19,5.25,5.25,5.2,5.2,2.2265,32000.0,0.0,1.0
2000-01-20,5.25,5.25,5.21,5.21,2.2308,0.0,0.0,1.0
2000-01-21,5.23,5.23,5.18,5.18,2.2179,2246.0,0.0,1.0
2000-01-24,5.16,5.18,5.16,5.18,2.2179,754.0,0.0,1.0
2000-01-25,5.16,5.18,5.16,5.18,2.2179,2500.0,0.0,1.0
2000-01-26,5.18,5.18,5.18,5.18,2.2179,0.0,0.0,1.0
2000-01-27,5.18,5.18,5.18,5.18,2.2179,875.0,0.0,1.0
2000-01-28,5.1,5.2,5.1,5.15,2.2051,7045.0,0.0,1.0
2000-01-31,5.1,5.2,5.1,5.2,2.2265,7550.0,0.0,1.0
2000-02-01,5.2,5.2,5.1,5.1,2.1837,3810.0,0.0,1.0
2000-02-02,5.1,5.2,5.1,5.2,2.2265,26266.0,0.0,1.0
2000-02-03,5.15,5.15,5.15,5.15,2.2051,8214.0,0.0,1.0
2000-02-04,5.18,5.2,5.15,5.15,2.2051,12000.0,0.0,1.0
2000-02-07,5.208,5.208,5.15,5.2,2.2265,9610.0,0.0,1.0
2000-02-08,5.15,5.2,5.15,5.2,2.2265,2280.0,0.0,1.0
2000-02-09,5.15,5.15,5.15,5.15,2.2051,2750.0,0.0,1.0
2000-02-10,5.15,5.21,5.15,5.21,2.2308,7155.0,0.0,1.0
2000-02-11,5.265,5.59,5.265,5.59,2.3935,15864.0,0.0,1.0
2000-02-14,5.8,5.85,5.66,5.75,2.462,15175.0,0.0,1.0
2000-02-15,5.9,5.9,5.75,5.75,2.462,21000.0,0.0,1.0
2000-02-16,5.65,5.65,5.2,5.5,2.3966,5976.0,0.0,1.0
2000-02-17,5.5,5.5,5.4,5.45,2.3749,10372.0,0.0,1.0
2000-02-18,5.5,5.75,5.5,5.6,2.4402,10936.0,0.0,1.0
2000-02-21,5.6,5.9,5.6,5.9,2.5709,8850.0,0.0,1.0
2000-02-22,5.9,5.9,5.75,5.75,2.5056,11093.0,0.0,1.0
2000-02-23,5.75,5.75,5.5,5.75,2.5056,4207.0,0.0,1.0
2000-02-24,5.7,5.75,5.7,5.75,2.5056,3791.0,0.0,1.0
2000-02-25,5.75,5.78,5.73,5.75,2.5056,1673.0,0.0,1.0
2000-02-28,5.828,5.828,5.71,5.71,2.4881,4000.0,0.0,1.0
2000-02-29,5.71,5.72,5.71,5.72,2.4925,9600.0,0.0,1.0
2000-03-01,5.771,5.771,5.75,5.75,2.5056,7630.0,0.0,1.0
2000-03-02,5.785,5.785,5.785,5.785,2.5208,1800.0,0.0,1.0
2000-03-03,5.75,5.8,5.75,5.8,2.5274,7290.0,0.0,1.0
2000-03-06,5.75,5.79,5.72,5.76,2.5099,6792.0,0.0,1.0
2000-03-07,5.663,5.663,5.55,5.55,2.4184,2000.0,0.0,1.0
2000-03-08,5.64,5.64,5.57,5.57,2.4271,2169.0,0.0,1.0
2000-03-09,5.57,5.6,5.55,5.55,2.4184,3631.0,0.0,1.0
2000-03-10,5.55,5.55,5.5,5.5,2.3966,7942.0,0.0,1.0
2000-03-13,5.52,5.65,5.5,5.65,2.462,27380.0,0.0,1.0
2000-03-14,5.65,5.65,5.65,5.65,2.462,100.0,0.0,1.0
2000-03-15,5.69,5.75,5.69,5.75,2.5056,1361.0,0.0,1.0
2000-03-16,5.855,5.855,5.85,5.85,2.5492,4200.0,0.0,1.0
2000-03-17,5.85,5.85,5.8,5.8,2.5274,2749.0,0.0,1.0
2000-03-20,5.8,5.82,5.8,5.81,2.5317,5504.0,0.0,1.0
2000-03-21,5.8,5.9,5.8,5.9,2.5709,12585.0,0.0,1.0
2000-03-22,5.9,5.9,5.8,5.8,2.5274,2165.0,0.0,1.0
2000-03-23,5.75,5.75,5.56,5.56,2.4228,2420.0,0.0,1.0
2000-03-24,5.56,5.7,5.56,5.65,2.462,5000.0,0.0,1.0
2000-03-27,5.56,5.65,5.56,5.65,2.462,6795.0,0.0,1.0
2000-03-28,5.75,5.75,5.7,5.75,2.5056,6000.0,0.0,1.0
2000-03-29,5.76,5.8,5.75,5.75,2.5056,5878.0,0.0,1.0
2000-03-30,5.8,5.8,5.75,5.75,2.5056,5822.0,0.0,1.0
2000-03-31,5.75,5.75,5.65,5.65,2.462,0.0,0.0,1.0
2000-04-03,5.75,5.78,5.75,5.78,2.5187,550.0,0.0,1.0
2000-04-04,5.75,5.78,5.75,5.78,2.5187,1000.0,0.0,1.0
2000-04-05,5.6,5.8,5.6,5.8,2.5274,1250.0,0.0,1.0
2000-04-06,5.791,5.84,5.65,5.84,2.5448,8600.0,0.0,1.0
2000-04-07,5.84,5.9,5.8,5.8,2.5274,7500.0,0.0,1.0
2000-04-10,5.9,5.9,5.9,5.9,2.5709,730.0,0.0,1.0
2000-04-11,5.9,5.9,5.85,5.9,2.5709,8270.0,0.0,1.0
2000-04-12,5.804,5.804,5.8,5.8,2.5274,5930.0,0.0,1.0
2000-04-13,5.7,5.7,5.65,5.7,2.4838,4655.0,0.0,1.0
2000-04-14,5.5,5.6,5.5,5.5,2.3966,2103.0,0.0,1.0
2000-04-17,5.196,5.196,5.196,5.196,2.2642,1000.0,0.0,1.0
2000-04-18,5.6,5.6,5.45,5.6,2.4402,9799.0,0.0,1.0
2000-04-19,5.6,5.6,5.5,5.55,2.4184,7935.0,0.0,1.0
2000-04-20,5.55,5.55,5.5,5.5,2.3966,3100.0,0.0,1.0
2000-04-21,5.5,5.5,5.5,5.5,2.3966,0.0,0.0,1.0
2000-04-24,5.5,5.5,5.5,5.5,2.3966,0.0,0.0,1.0
2000-04-25,5.5,5.5,5.5,5.5,2.3966,0.0,0.0,1.0
2000-04-26,5.6,5.6,5.55,5.55,2.4184,1500.0,0.0,1.0
2000-04-27,5.55,5.55,5.5,5.5,2.3966,2250.0,0.0,1.0
2000-04-28,5.5,5.5,5.5,5.5,2.3966,7006.0,0.0,1.0
2000-05-01,5.6,5.6,5.6,5.6,2.4402,350.0,0.0,1.0
2000-05-02,5.6,5.75,5.6,5.75,2.5056,2135.0,0.0,1.0
2000-05-03,5.75,5.8,5.5,5.5,2.3966,6450.0,0.0,1.0
2000-05-04,5.5,5.73,5.5,5.73,2.4969,4270.0,0.0,1.0
2000-05-05,5.7,5.7,5.7,5.7,2.4838,850.0,0.0,1.0
2000-05-08,5.7,5.73,5.7,5.7,2.4838,7650.0,0.0,1.0
2000-05-09,5.75,5.75,5.75,5.75,2.5056,2200.0,0.0,1.0
2000-05-10,5.75,5.75,5.7,5.75,2.5056,2488.0,0.0,1.0
2000-05-11,5.7,5.7,5.7,5.7,2.4838,2983.0,0.0,1.0
2000-05-12,5.9,5.9,5.8,5.9,2.5709,3900.0,0.0,1.0
2000-05-15,5.8,6.2,5.8,6.2,2.7017,3620.0,0.0,1.0
2000-05-16,6.2,6.2,6.2,6.2,2.7017,2100.0,0.0,1.0
2000-05-17,6.01,6.01,5.8,5.8,2.5274,5930.0,0.0,1.0
2000-05-18,5.8,5.9,5.8,5.9,2.5709,2975.0,0.0,1.0
2000-05-19,5.9,5.9,5.7,5.9,2.5709,2423.0,0.0,1.0
2000-05-22,5.9,5.9,5.9,5.9,2.5709,400.0,0.0,1.0
2000-05-23,5.875,5.875,5.875,5.875,2.56,400.0,0.0,1.0
2000-05-24,5.86,5.89,5.86,5.89,2.5666,1665.0,0.0,1.0
2000-05-25,5.75,5.88,5.75,5.88,2.5622,1200.0,0.0,1.0
2000-05-26,5.85,5.85,5.7,5.7,2.4838,0.0,0.0,1.0
2000-05-29,5.85,5.89,5.85,5.89,2.5666,2783.0,0.0,1.0
2000-05-30,5.8,5.8,5.8,5.8,2.5274,400.0,0.0,1.0
2000-05-31,5.88,5.88,5.81,5.81,2.5317,1600.0,0.0,1.0
2000-06-01,5.88,5.88,5.8,5.8,2.5274,4442.0,0.0,1.0
2000-06-02,5.89,5.89,5.8,5.8,2.5274,0.0,0.0,1.0
2000-06-05,5.8,5.8,5.75,5.75,2.5056,500.0,0.0,1.0
2000-06-06,5.75,5.8,5.75,5.8,2.5274,3550.0,0.0,1.0
2000-06-07,5.8,5.89,5.8,5.8,2.5274,10768.0,0.0,1.0
2000-06-08,5.82,5.82,5.8,5.8,2.5274,4290.0,0.0,1.0
2000-06-09,5.8,5.8,5.75,5.8,2.5274,2082.0,0.0,1.0
2000-06-12,5.8,5.8,5.8,5.8,2.5274,0.0,0.0,1.0
2000-06-13,5.8,5.8,5.8,5.8,2.5274,5400.0,0.0,1.0
2000-06-14,5.75,5.75,5.75,5.75,2.5056,87.0,0.0,1.0
2000-06-15,5.75,5.75,5.75,5.75,2.5056,1949.0,0.0,1.0
2000-06-16,5.78,5.78,5.75,5.75,2.5056,2851.0,0.0,1.0
2000-06-19,5.75,5.75,5.7,5.72,2.4925,8100.0,0.0,1.0
2000-06-20,5.72,5.72,5.5,5.5,2.3966,5400.0,0.0,1.0
2000-06-21,5.7,5.7,5.7,5.7,2.4838,1755.0,0.0,1.0
2000-06-22,5.7,5.75,5.7,5.7,2.4838,8324.0,0.0,1.0
2000-06-23,5.7,5.7,5.7,5.7,2.4838,5953.0,0.0,1.0
2000-06-26,5.68,5.8,5.56,5.8,2.5274,5677.0,0.0,1.0
2000-06-27,5.79,5.79,5.56,5.79,2.523,2438.0,0.0,1.0
2000-06-28,5.65,5.8,5.6,5.8,2.5274,10270.0,0.0,1.0
2000-06-29,5.8,5.85,5.8,5.85,2.5492,2740.0,0.0,1.0
2000-06-30,5.82,5.82,5.8,5.8,2.5274,28100.0,0.0,1.0
2000-07-03,5.7,5.7,5.7,5.7,2.4838,3500.0,0.0,1.0
2000-07-04,5.8,5.8,5.8,5.8,2.5274,930.0,0.0,1.0
2000-07-05,5.8,5.83,5.75,5.75,2.5056,4100.0,0.0,1.0
2000-07-06,5.8,5.85,5.8,5.85,2.5492,8500.0,0.0,1.0
2000-07-07,5.85,6.0,5.85,6.0,2.6145,1007.0,0.0,1.0
2000-07-10,5.99,6.01,5.99,6.01,2.6189,3678.0,0.0,1.0
2000-07-11,6.052,6.052,6.0,6.0,2.6145,9380.0,0.0,1.0
2000-07-12,6.05,6.05,5.95,5.95,2.5927,6586.0,0.0,1.0
2000-07-13,5.98,5.98,5.98,5.98,2.6058,10000.0,0.0,1.0
2000-07-14,5.98,6.0,5.98,6.0,2.6145,1220.0,0.0,1.0
2000-07-17,6.02,6.03,5.95,6.0,2.6145,13913.0,0.0,1.0
2000-07-18,5.95,6.0,5.95,6.0,2.6145,2000.0,0.0,1.0
2000-07-19,6.0,6.0,5.92,5.92,2.5797,0.0,0.0,1.0
2000-07-20,6.0,6.0,6.0,6.0,2.6145,2300.0,0.0,1.0
2000-07-21,6.0,6.0,5.95,5.95,2.5927,6800.0,0.0,1.0
2000-07-24,5.95,6.0,5.85,5.85,2.5492,2793.0,0.0,1.0
2000-07-25,5.85,5.9,5.79,5.8,2.5274,7000.0,0.0,1.0
2000-07-26,5.8,6.0,5.8,6.0,2.6145,6260.0,0.0,1.0
2000-07-27,5.95,5.95,5.9,5.95,2.5927,2450.0,0.0,1.0
2000-07-28,5.98,5.98,5.8,5.8,2.5274,1079.0,0.0,1.0
2000-07-31,5.98,5.99,5.9,5.9,2.5709,745.0,0.0,1.0
2000-08-01,5.9,6.0,5.9,6.0,2.6145,6093.0,0.0,1.0
2000-08-02,5.95,5.95,5.81,5.81,2.5317,2750.0,0.0,1.0
2000-08-03,5.95,5.95,5.9,5.9,2.5709,0.0,0.0,1.0
2000-08-04,5.95,5.95,5.81,5.9,2.5709,4588.0,0.0,1.0
2000-08-07,5.85,5.85,5.8,5.8,2.5274,10362.0,0.0,1.0
2000-08-08,5.8,5.9,5.8,5.8,2.5274,9882.0,0.0,1.0
2000-08-09,5.8,5.85,5.79,5.79,2.523,5440.0,0.0,1.0
2000-08-10,5.795,5.8,5.795,5.8,2.5274,5300.0,0.0,1.0
2000-08-11,5.95,5.95,5.95,5.95,2.5927,4200.0,0.0,1.0
2000-08-14,6.0,6.0,5.96,6.0,2.6145,36662.0,0.0,1.0
2000-08-15,6.0,6.15,5.97,6.15,2.6799,26599.0,0.0,1.0
2000-08-16,6.15,6.2,6.15,6.2,2.7017,14492.0,0.0,1.0
2000-08-17,6.3,6.3,6.2,6.23,2.7147,18300.0,0.0,1.0
2000-08-18,6.3,6.35,6.26,6.26,2.7278,8780.0,0.0,1.0
2000-08-21,6.3,6.45,6.3,6.4,2.7888,21620.0,0.0,1.0
2000-08-22,6.45,6.7,6.45,6.7,2.9195,28460.0,0.0,1.0
2000-08-23,6.7,6.75,6.4,6.6,2.876,37388.0,0.0,1.0
2000-08-24,6.6,6.6,6.52,6.52,2.8411,8980.0,0.0,1.0
2000-08-25,6.55,6.6,6.52,6.52,2.8411,6862.0,0.0,1.0
2000-08-28,6.591,6.591,6.52,6.52,2.8411,6518.0,0.0,1.0
2000-08-29,6.55,6.8,6.55,6.8,2.9631,8717.0,0.0,1.0
2000-08-30,6.99,7.05,6.99,7.05,3.0721,2800.0,0.0,1.0
2000-08-31,7.0,7.0,6.9,6.9,3.0067,3270.0,0.0,1.0
2000-09-01,6.9,6.98,6.9,6.9,3.0067,3180.0,0.0,1.0
2000-09-04,6.98,7.02,6.95,7.0,3.0503,8436.0,0.0,1.0
2000-09-05,7.0,7.1,7.0,7.1,3.0938,5270.0,0.0,1.0
2000-09-06,7.09,7.1,7.01,7.01,3.0546,12991.0,0.0,1.0
2000-09-07,7.01,7.06,7.01,7.03,3.0633,4400.0,0.0,1.0
2000-09-08,7.05,7.05,7.04,7.05,3.0721,2726.0,0.0,1.0
2000-09-11,7.05,7.2,7.05,7.2,3.1374,6674.0,0.0,1.0
2000-09-12,7.2,7.25,7.2,7.25,3.1592,4250.0,0.0,1.0
2000-09-13,7.264,7.35,7.06,7.06,3.0764,7400.0,0.0,1.0
2000-09-14,7.2,7.2,7.07,7.07,3.0808,0.0,0.0,1.0
2000-09-15,7.194,7.2,7.07,7.2,3.1374,9100.0,0.0,1.0
2000-09-18,7.2,7.2,6.9,6.9,3.0838,0.0,0.0,1.0
2000-09-19,6.95,6.95,6.9,6.95,3.1061,5018.0,0.0,1.0
2000-09-20,6.9,6.95,6.8,6.8,3.0391,3150.0,0.0,1.0
2000-09-21,6.65,6.65,6.65,6.65,2.9721,770.0,0.0,1.0
2000-09-22,6.7,6.75,6.65,6.65,2.9721,9752.0,0.0,1.0
2000-09-25,6.6,6.6,6.6,6.6,2.9497,5098.0,0.0,1.0
2000-09-26,6.607,6.61,6.607,6.61,2.9542,4500.0,0.0,1.0
2000-09-27,6.65,6.74,6.65,6.74,3.0123,1500.0,0.0,1.0
2000-09-28,6.7,6.71,6.63,6.63,2.9631,3133.0,0.0,1.0
2000-09-29,6.63,6.65,6.63,6.65,2.9721,2375.0,0.0,1.0
2000-10-02,6.74,6.74,6.7,6.7,2.9944,0.0,0.0,1.0
2000-10-03,6.74,6.74,6.7,6.7,2.9944,5200.0,0.0,1.0
2000-10-04,6.73,6.73,6.73,6.73,3.0078,730.0,0.0,1.0
2000-10-05,6.7,6.74,6.7,6.74,3.0123,2070.0,0.0,1.0
2000-10-06,6.71,6.74,6.65,6.74,3.0123,1683.0,0.0,1.0
2000-10-09,6.73,6.73,6.73,6.73,3.0078,1000.0,0.0,1.0
2000-10-10,6.73,6.74,6.73,6.74,3.0123,4820.0,0.0,1.0
2000-10-11,6.73,6.79,6.73,6.79,3.0346,1688.0,0.0,1.0
2000-10-12,6.79,6.8,6.79,6.8,3.0391,502.0,0.0,1.0
2000-10-13,6.9,6.9,6.85,6.85,3.0614,2740.0,0.0,1.0
2000-10-16,6.9,7.0,6.9,7.0,3.1285,12675.0,0.0,1.0
2000-10-17,7.006,7.01,7.006,7.01,3.133,2235.0,0.0,1.0
2000-10-18,7.16,7.16,7.05,7.1,3.1732,7125.0,0.0,1.0
2000-10-19,7.05,7.05,6.9,7.0,3.1285,19589.0,0.0,1.0
2000-10-20,6.95,7.0,6.9,6.9,3.0838,7300.0,0.0,1.0
2000-10-23,7.0,7.0,6.91,6.91,3.0883,1585.0,0.0,1.0
2000-10-24,6.91,6.91,6.91,6.91,3.0883,500.0,0.0,1.0
2000-10-25,7.0,7.0,6.95,7.0,3.1285,3351.0,0.0,1.0
2000-10-26,6.91,6.94,6.9,6.93,3.0972,4600.0,0.0,1.0
2000-10-27,6.93,7.0,6.93,7.0,3.1285,5073.0,0.0,1.0
2000-10-30,7.0,7.0,6.95,6.99,3.124,3731.0,0.0,1.0
2000-10-31,6.95,6.99,6.92,6.99,3.124,5400.0,0.0,1.0
2000-11-01,6.95,6.95,6.85,6.85,3.0614,6250.0,0.0,1.0
2000-11-02,6.85,6.85,6.85,6.85,3.0614,1184.0,0.0,1.0
2000-11-03,6.95,6.95,6.85,6.85,3.0614,5102.0,0.0,1.0
2000-11-06,6.9,6.9,6.85,6.85,3.0614,1110.0,0.0,1.0
2000-11-07,6.85,6.85,6.85,6.85,3.0614,1400.0,0.0,1.0
2000-11-08,6.808,6.95,6.808,6.95,3.1061,6690.0,0.0,1.0
2000-11-09,6.944,6.944,6.8,6.88,3.0749,5958.0,0.0,1.0
2000-11-10,6.88,6.933,6.88,6.933,3.0985,7403.0,0.0,1.0
2000-11-13,6.88,6.88,6.81,6.81,3.0436,831.0,0.0,1.0
2000-11-14,6.81,6.88,6.78,6.88,3.0749,4105.0,0.0,1.0
2000-11-15,6.88,6.88,6.85,6.85,3.0614,2726.0,0.0,1.0
2000-11-16,6.8,6.8,6.65,6.67,2.981,5745.0,0.0,1.0
2000-11-17,6.676,6.7,6.6,6.6,2.9497,5330.0,0.0,1.0
2000-11-20,6.5,6.5,6.36,6.4,2.8603,12774.0,0.0,1.0
2000-11-21,6.43,6.5,6.37,6.37,2.8469,6691.0,0.0,1.0
2000-11-22,6.357,6.37,6.2,6.2,2.7709,4680.0,0.0,1.0
2000-11-23,6.01,6.01,5.6,5.85,2.6145,7652.0,0.0,1.0
2000-11-24,6.0,6.0,5.94,5.94,2.6547,5595.0,0.0,1.0
2000-11-27,6.0,6.0,5.94,6.0,2.6816,9807.0,0.0,1.0
2000-11-28,6.06,6.12,6.06,6.12,2.7352,3225.0,0.0,1.0
2000-11-29,6.195,6.29,6.19,6.29,2.8112,7360.0,0.0,1.0
2000-11-30,6.3,6.35,6.3,6.33,2.829,7300.0,0.0,1.0
2000-12-01,6.34,6.44,6.34,6.44,2.8782,7575.0,0.0,1.0
2000-12-04,6.44,6.5,6.44,6.5,2.905,8015.0,0.0,1.0
2000-12-05,6.5,6.6,6.5,6.6,2.9497,3523.0,0.0,1.0
2000-12-06,6.7,6.7,6.65,6.7,2.9944,3750.0,0.0,1.0
2000-12-07,6.75,6.75,6.65,6.65,2.9721,1880.0,0.0,1.0
2000-12-08,6.65,6.7,6.6,6.69,2.9899,3560.0,0.0,1.0
2000-12-11,6.7,6.7,6.6,6.6,2.9497,4385.0,0.0,1.0
2000-12-12,6.6,6.65,6.5,6.5,2.905,3842.0,0.0,1.0
2000-12-13,6.45,6.45,6.45,6.45,2.8827,550.0,0.0,1.0
2000-12-14,6.4,6.65,6.4,6.65,2.9721,5135.0,0.0,1.0
2000-12-15,6.5,6.5,6.5,6.5,2.905,1500.0,0.0,1.0
2000-12-18,6.6,6.64,6.6,6.64,2.9676,200.0,0.0,1.0
2000-12-19,6.63,6.63,6.63,6.63,2.9631,1500.0,0.0,1.0
2000-12-20,6.63,6.63,6.5,6.5,2.905,1400.0,0.0,1.0
2000-12-21,6.5,6.5,6.49,6.5,2.905,5350.0,0.0,1.0
2000-12-22,6.5,6.5,6.5,6.5,2.905,1008.0,0.0,1.0
2000-12-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000-12-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000-12-27,6.6,6.6,6.6,6.6,2.9497,252.0,0.0,1.0
2000-12-28,6.6,6.6,6.6,6.6,2.9497,1300.0,0.0,1.0
2000-12-29,6.613,6.62,6.52,6.52,2.914,2148.0,0.0,1.0
2001-01-01,6.52,6.52,6.52,6.52,2.914,0.0,0.0,1.0
2001-01-02,6.52,6.6,6.5,6.6,2.9497,2778.0,0.0,1.0
2001-01-03,6.61,6.61,6.52,6.6,2.9497,3342.0,0.0,1.0
2001-01-04,6.6,6.6,6.52,6.52,2.914,0.0,0.0,1.0
2001-01-05,6.52,6.52,6.5,6.5,2.905,2200.0,0.0,1.0
2001-01-08,6.5,6.6,6.5,6.6,2.9497,1970.0,0.0,1.0
2001-01-09,6.6,6.6,6.6,6.6,2.9497,1767.0,0.0,1.0
2001-01-10,6.6,6.6,6.5,6.6,2.9497,8000.0,0.0,1.0
2001-01-11,6.52,6.6,6.5,6.5,2.905,1501.0,0.0,1.0
2001-01-12,6.6,6.6,6.55,6.55,2.9274,0.0,0.0,1.0
2001-01-15,6.6,6.6,6.6,6.6,2.9497,2125.0,0.0,1.0
2001-01-16,6.5,6.55,6.5,6.55,2.9274,975.0,0.0,1.0
2001-01-17,6.6,6.6,6.6,6.6,2.9497,700.0,0.0,1.0
2001-01-18,6.7,6.7,6.4,6.4,2.8603,7413.0,0.0,1.0
2001-01-19,6.39,6.41,6.31,6.31,2.8201,5307.0,0.0,1.0
2001-01-22,6.32,6.4,6.3,6.4,2.8603,3540.0,0.0,1.0
2001-01-23,6.45,6.65,6.45,6.55,2.9274,2490.0,0.0,1.0
2001-01-24,6.6,6.6,6.6,6.6,2.9497,200.0,0.0,1.0
2001-01-25,6.6,6.6,6.5,6.6,2.9497,2880.0,0.0,1.0
2001-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2001-01-29,6.6,6.6,6.5,6.5,2.905,0.0,0.0,1.0
2001-01-30,6.6,6.64,6.51,6.51,2.9095,748.0,0.0,1.0
2001-01-31,6.52,6.57,6.45,6.45,2.8827,11932.0,0.0,1.0
2001-02-01,6.49,6.49,6.3,6.3,2.8156,710.0,0.0,1.0
2001-02-02,6.3,6.3,6.3,6.3,2.8156,490.0,0.0,1.0
2001-02-05,6.443,6.443,6.31,6.4,2.8603,3201.0,0.0,1.0
2001-02-06,6.4,6.4,6.31,6.4,2.8603,5830.0,0.0,1.0
2001-02-07,6.4,6.4,6.38,6.4,2.8603,2078.0,0.0,1.0
2001-02-08,6.4,6.4,6.39,6.39,2.8559,2869.0,0.0,1.0
2001-02-09,6.39,6.39,6.38,6.39,2.8559,4447.0,0.0,1.0
2001-02-12,6.38,6.39,6.31,6.31,2.8201,4000.0,0.0,1.0
2001-02-13,6.3,6.31,6.1,6.18,2.762,8572.0,0.0,1.0
2001-02-14,6.0,6.05,5.85,6.0,2.6816,5880.0,0.0,1.0
2001-02-15,5.86,6.0,5.85,6.0,2.6816,4000.0,0.0,1.0
2001-02-16,6.0,6.0,6.0,6.0,2.7503,4336.0,0.0,1.0
2001-02-19,6.0,6.0,5.9,5.9,2.7045,3664.0,0.0,1.0
2001-02-20,5.95,5.95,5.9,5.9,2.7045,0.0,0.0,1.0
2001-02-21,5.95,5.95,5.85,5.85,2.6816,4933.0,0.0,1.0
2001-02-22,5.95,5.95,5.85,5.85,2.6816,0.0,0.0,1.0
2001-02-23,5.842,5.95,5.842,5.95,2.7274,6003.0,0.0,1.0
2001-02-26,5.955,5.955,5.85,5.85,2.6816,4460.0,0.0,1.0
2001-02-27,5.84,5.95,5.82,5.95,2.7274,3840.0,0.0,1.0
2001-02-28,5.9,5.9,5.86,5.86,2.6861,0.0,0.0,1.0
