date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-04,3.95,3.95,3.95,3.95,1.814,10000.0,0.0,1.0
2000-01-05,3.95,3.95,3.95,3.95,1.814,320.0,0.0,1.0
2000-01-06,3.95,3.95,3.95,3.95,1.814,1810.0,0.0,1.0
2000-01-07,3.95,3.95,3.95,3.95,1.814,17870.0,0.0,1.0
2000-01-10,4.0,4.0,4.0,4.0,1.8369,12500.0,0.0,1.0
2000-01-11,4.0,4.0,4.0,4.0,1.8369,0.0,0.0,1.0
2000-01-12,3.96,3.96,3.96,3.96,1.8186,2600.0,0.0,1.0
2000-01-13,3.95,3.95,3.95,3.95,1.814,100000.0,0.0,1.0
2000-01-14,3.95,3.95,3.95,3.95,1.814,0.0,0.0,1.0
2000-01-17,3.95,3.95,3.95,3.95,1.814,4870.0,0.0,1.0
2000-01-18,3.95,3.95,3.95,3.95,1.814,6530.0,0.0,1.0
2000-01-19,3.95,3.95,3.95,3.95,1.814,55790.0,0.0,1.0
2000-01-20,4.0,4.05,4.0,4.05,1.8599,525490.0,0.0,1.0
2000-01-21,4.001,4.001,4.0,4.0,1.8369,188620.0,0.0,1.0
2000-01-24,4.05,4.05,4.05,4.05,1.8599,2000.0,0.0,1.0
2000-01-25,4.0,4.0,4.0,4.0,1.8369,20000.0,0.0,1.0
2000-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000-01-27,4.0,4.04,4.0,4.04,1.8553,35000.0,0.0,1.0
2000-01-28,4.02,4.02,4.0,4.0,1.8369,20550.0,0.0,1.0
2000-01-31,4.0,4.0,4.0,4.0,1.8369,0.0,0.0,1.0
2000-02-01,4.0,4.04,4.0,4.04,1.8553,76510.0,0.0,1.0
2000-02-02,4.04,4.04,4.04,4.04,1.8553,0.0,0.0,1.0
2000-02-03,4.04,4.04,4.04,4.04,1.8553,0.0,0.0,1.0
2000-02-04,4.01,4.01,4.0,4.0,1.8369,100000.0,0.0,1.0
2000-02-07,4.0,4.0,4.0,4.0,1.8369,31000.0,0.0,1.0
2000-02-08,4.0,4.0,4.0,4.0,1.8369,504720.0,0.0,1.0
2000-02-09,4.0,4.0,4.0,4.0,1.8369,37390.0,0.0,1.0
2000-02-10,4.0,4.0,4.0,4.0,1.8369,0.0,0.0,1.0
2000-02-11,4.0,4.0,4.0,4.0,1.8369,0.0,0.0,1.0
2000-02-14,3.95,4.0,3.95,4.0,1.8369,3341710.0,0.0,1.0
2000-02-15,4.0,4.05,4.0,4.05,1.8599,167600.0,0.0,1.0
2000-02-16,4.05,4.1,4.0,4.0,1.8369,69620.0,0.0,1.0
2000-02-17,4.0,4.0,4.0,4.0,1.8369,80000.0,0.0,1.0
2000-02-18,3.99,4.0,3.99,4.0,1.8369,27000.0,0.0,1.0
2000-02-21,4.0,4.0,4.0,4.0,1.8369,0.0,0.0,1.0
2000-02-22,4.0,4.0,4.0,4.0,1.8369,3000.0,0.0,1.0
2000-02-23,4.0,4.0,4.0,4.0,1.8369,2500.0,0.0,1.0
2000-02-24,4.0,4.0,4.0,4.0,1.8369,2754080.0,0.0,1.0
2000-02-25,4.0,4.0,4.0,4.0,1.8369,0.0,0.0,1.0
2000-02-28,4.05,4.05,4.05,4.05,1.8599,5330.0,0.0,1.0
2000-02-29,4.05,4.1,4.05,4.1,1.8829,23000.0,0.0,1.0
2000-03-01,4.1,4.1,4.1,4.1,1.8829,184410.0,0.0,1.0
2000-03-02,4.1,4.1,4.05,4.05,1.8599,90420.0,0.0,1.0
2000-03-03,4.05,4.05,4.05,4.05,1.8599,0.0,0.0,1.0
2000-03-06,4.05,4.05,4.0,4.05,1.8599,6070.0,0.0,1.0
2000-03-07,4.1,4.1,4.1,4.1,1.8829,260.0,0.0,1.0
2000-03-08,4.105,4.105,4.105,4.105,1.8852,2000.0,0.0,1.0
2000-03-09,4.12,4.12,4.1,4.1,1.8829,189940.0,0.0,1.0
2000-03-10,4.1,4.1,4.1,4.1,1.8829,12000.0,0.0,1.0
2000-03-13,4.1,4.1,4.1,4.1,1.8829,1000.0,0.0,1.0
2000-03-14,4.1,4.1,4.1,4.1,1.8829,0.0,0.0,1.0
2000-03-15,4.099,4.099,4.099,4.099,1.8824,6960.0,0.0,1.0
2000-03-16,4.1,4.1,4.099,4.099,1.8824,5390.0,0.0,1.0
2000-03-17,4.099,4.099,4.099,4.099,1.8824,0.0,0.0,1.0
2000-03-20,4.099,4.099,4.099,4.099,1.8824,0.0,0.0,1.0
2000-03-21,4.09,4.09,4.09,4.09,1.8783,3380.0,0.0,1.0
2000-03-22,4.049,4.049,4.02,4.02,1.8461,9280.0,0.0,1.0
