date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2003-09-15,0.1897,0.1897,0.1897,0.1897,0.1897,0.0,0.0,1.0
2003-09-16,0.2371,0.3225,0.2276,0.2798,0.2798,2992138.0,0.0,1.0
2003-09-17,0.2798,0.3083,0.2798,0.3035,0.3035,1883001.0,0.0,1.0
2003-09-18,0.2988,0.2988,0.2703,0.2703,0.2703,1200114.0,0.0,1.0
2003-09-19,0.2703,0.2751,0.2656,0.2751,0.2751,378763.0,0.0,1.0
2003-09-22,0.2751,0.2751,0.2703,0.2751,0.2751,459153.0,0.0,1.0
2003-09-23,0.2798,0.294,0.2798,0.294,0.294,985096.0,0.0,1.0
2003-09-24,0.294,0.3225,0.2893,0.3225,0.3225,1014248.0,0.0,1.0
2003-09-25,0.332,0.3794,0.313,0.3225,0.3225,591996.0,0.0,1.0
2003-09-26,0.3177,0.3177,0.3083,0.313,0.313,189361.0,0.0,1.0
2003-09-29,0.313,0.3177,0.313,0.313,0.313,196651.0,0.0,1.0
2003-09-30,0.313,0.3177,0.313,0.313,0.313,234505.0,0.0,1.0
2003-10-01,0.3083,0.3083,0.294,0.2988,0.2988,172264.0,0.0,1.0
2003-10-02,0.2893,0.2893,0.2751,0.2751,0.2751,227647.0,0.0,1.0
2003-10-03,0.2798,0.2798,0.2751,0.2798,0.2798,95942.0,0.0,1.0
2003-10-06,0.2798,0.313,0.2798,0.313,0.313,594043.0,0.0,1.0
2003-10-07,0.3414,0.3557,0.3272,0.3462,0.3462,2122816.0,0.0,1.0
2003-10-08,0.3557,0.3604,0.3225,0.3225,0.3225,811678.0,0.0,1.0
2003-10-09,0.3225,0.3699,0.3225,0.3604,0.3604,1027954.0,0.0,1.0
2003-10-10,0.3604,0.3889,0.3414,0.3414,0.3414,2138683.0,0.0,1.0
2003-10-13,0.3414,0.3414,0.3177,0.3272,0.3272,425204.0,0.0,1.0
2003-10-14,0.332,0.332,0.2466,0.2703,0.2703,2197893.0,0.0,1.0
2003-10-15,0.2751,0.3035,0.2703,0.2703,0.2703,702260.0,0.0,1.0
2003-10-16,0.2846,0.2846,0.2656,0.2751,0.2751,224537.0,0.0,1.0
2003-10-17,0.2703,0.2751,0.2561,0.2656,0.2656,476341.0,0.0,1.0
2003-10-20,0.2656,0.2751,0.2561,0.2751,0.2751,93834.0,0.0,1.0
2003-10-21,0.2656,0.2893,0.2561,0.2893,0.2893,345920.0,0.0,1.0
2003-10-22,0.294,0.294,0.2751,0.2798,0.2798,213179.0,0.0,1.0
2003-10-23,0.2798,0.2798,0.2514,0.2514,0.2514,343811.0,0.0,1.0
2003-10-24,0.2656,0.2703,0.2561,0.2703,0.2703,260415.0,0.0,1.0
2003-10-27,0.2656,0.2656,0.1707,0.1755,0.1755,1346472.0,0.0,1.0
2003-10-28,0.1755,0.1755,0.1518,0.166,0.166,545660.0,0.0,1.0
2003-10-29,0.1707,0.1802,0.166,0.166,0.166,150456.0,0.0,1.0
2003-10-30,0.166,0.166,0.1612,0.166,0.166,190996.0,0.0,1.0
2003-10-31,0.1612,0.166,0.1612,0.1612,0.1612,111700.0,0.0,1.0
2003-11-03,0.1612,0.1612,0.1612,0.1612,0.1612,104377.0,0.0,1.0
2003-11-04,0.1612,0.1612,0.1612,0.1612,0.1612,33843.0,0.0,1.0
2003-11-05,0.1612,0.166,0.1612,0.1612,0.1612,378203.0,0.0,1.0
2003-11-06,0.1612,0.1707,0.1612,0.1707,0.1707,191056.0,0.0,1.0
2003-11-07,0.1707,0.1707,0.1707,0.1707,0.1707,10543.0,0.0,1.0
2003-11-10,0.1707,0.1707,0.166,0.166,0.166,70112.0,0.0,1.0
2003-11-11,0.166,0.166,0.166,0.166,0.166,214025.0,0.0,1.0
2003-11-12,0.1707,0.1707,0.1707,0.1707,0.1707,31629.0,0.0,1.0
2003-11-13,0.166,0.1755,0.166,0.1755,0.1755,178427.0,0.0,1.0
2003-11-14,0.1707,0.1707,0.1707,0.1707,0.1707,47444.0,0.0,1.0
2003-11-17,0.1707,0.1707,0.1707,0.1707,0.1707,42172.0,0.0,1.0
2003-11-18,0.1707,0.1707,0.166,0.166,0.166,155150.0,0.0,1.0
2003-11-19,0.166,0.166,0.166,0.166,0.166,55712.0,0.0,1.0
2003-11-20,0.166,0.1707,0.166,0.1707,0.1707,61025.0,0.0,1.0
2003-11-21,0.1707,0.1707,0.1707,0.1707,0.1707,15815.0,0.0,1.0
2003-11-24,0.1707,0.1707,0.1707,0.1707,0.1707,99105.0,0.0,1.0
2003-11-25,0.1707,0.1707,0.1612,0.1612,0.1612,211682.0,0.0,1.0
2003-11-26,0.1612,0.1612,0.1612,0.1612,0.1612,85454.0,0.0,1.0
2003-11-27,0.166,0.166,0.166,0.166,0.166,21086.0,0.0,1.0
2003-11-28,0.1612,0.1612,0.1612,0.1612,0.1612,49261.0,0.0,1.0
2003-12-01,0.166,0.1707,0.166,0.1707,0.1707,26780.0,0.0,1.0
2003-12-02,0.1707,0.1755,0.1707,0.1755,0.1755,94888.0,0.0,1.0
2003-12-03,0.1707,0.1707,0.1707,0.1707,0.1707,158147.0,0.0,1.0
2003-12-04,0.1707,0.1707,0.1707,0.1707,0.1707,73802.0,0.0,1.0
2003-12-05,0.1707,0.1707,0.1707,0.1707,0.1707,72220.0,0.0,1.0
2003-12-08,0.1755,0.1755,0.1707,0.1707,0.1707,191674.0,0.0,1.0
2003-12-09,0.1707,0.1707,0.1707,0.1707,0.1707,115974.0,0.0,1.0
2003-12-10,0.1755,0.1755,0.1707,0.1707,0.1707,168374.0,0.0,1.0
2003-12-11,0.1707,0.1707,0.166,0.166,0.166,69927.0,0.0,1.0
2003-12-12,0.1612,0.1612,0.1612,0.1612,0.1612,36864.0,0.0,1.0
2003-12-15,0.1612,0.1612,0.1612,0.1612,0.1612,73802.0,0.0,1.0
2003-12-16,0.1612,0.1612,0.1612,0.1612,0.1612,16869.0,0.0,1.0
2003-12-17,0.1612,0.1612,0.1565,0.1565,0.1565,53243.0,0.0,1.0
2003-12-18,0.1565,0.1565,0.1518,0.1565,0.1565,96470.0,0.0,1.0
2003-12-19,0.1612,0.166,0.1612,0.1612,0.1612,283610.0,0.0,1.0
2003-12-22,0.1612,0.1707,0.1612,0.1707,0.1707,136154.0,0.0,1.0
2003-12-23,0.1612,0.1612,0.1612,0.1612,0.1612,63259.0,0.0,1.0
2003-12-24,0.1753,0.1753,0.1704,0.1704,0.1704,0.0,0.0,1.0
2003-12-25,0.166,0.166,0.166,0.166,0.166,0.0,0.0,1.0
2003-12-26,0.1704,0.1704,0.1704,0.1704,0.1704,0.0,0.0,1.0
2003-12-29,0.166,0.166,0.166,0.166,0.166,10543.0,0.0,1.0
2003-12-30,0.166,0.166,0.166,0.166,0.166,4903.0,0.0,1.0
2003-12-31,0.1755,0.1755,0.1755,0.1755,0.1755,137061.0,0.0,1.0
2004-01-01,0.1802,0.1802,0.1802,0.1802,0.1802,0.0,0.0,1.0
2004-01-02,0.1755,0.1755,0.1755,0.1755,0.1755,31629.0,0.0,1.0
2004-01-05,0.1755,0.1802,0.1755,0.1802,0.1802,52716.0,0.0,1.0
2004-01-06,0.1802,0.1944,0.1802,0.1944,0.1944,259507.0,0.0,1.0
2004-01-07,0.1944,0.1992,0.1944,0.1992,0.1992,184505.0,0.0,1.0
2004-01-08,0.1992,0.2039,0.1992,0.2039,0.2039,176070.0,0.0,1.0
2004-01-09,0.2039,0.2039,0.1992,0.1992,0.1992,35636.0,0.0,1.0
2004-01-12,0.1992,0.1992,0.1992,0.1992,0.1992,93882.0,0.0,1.0
2004-01-13,0.1992,0.1992,0.1992,0.1992,0.1992,34792.0,0.0,1.0
2004-01-14,0.1992,0.1992,0.1992,0.1992,0.1992,25303.0,0.0,1.0
2004-01-15,0.1992,0.1992,0.1992,0.1992,0.1992,105431.0,0.0,1.0
2004-01-16,0.2087,0.2134,0.2039,0.2039,0.2039,79073.0,0.0,1.0
2004-01-19,0.2039,0.2087,0.2039,0.2087,0.2087,163418.0,0.0,1.0
2004-01-20,0.2087,0.2087,0.2087,0.2087,0.2087,21086.0,0.0,1.0
2004-01-21,0.2087,0.2087,0.2087,0.2087,0.2087,49342.0,0.0,1.0
2004-01-22,0.2087,0.2182,0.2087,0.2182,0.2182,84345.0,0.0,1.0
2004-01-23,0.2182,0.2182,0.2182,0.2182,0.2182,158895.0,0.0,1.0
2004-01-26,0.224,0.224,0.224,0.224,0.224,0.0,0.0,1.0
2004-01-27,0.2182,0.2182,0.2039,0.2039,0.2039,73802.0,0.0,1.0
