date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-02-21,2.2184,2.257,2.211,2.2386,0.9481,213446.0,0.0,1.0
2000-02-22,2.2202,2.2202,2.1189,2.1603,0.915,700463.0,0.0,1.0
2000-02-23,2.1189,2.2294,2.1189,2.2018,0.9325,4355211.0,0.0,1.0
2000-02-24,2.1861,2.1861,2.0728,2.1004,0.8896,3648310.0,0.0,1.0
2000-02-25,2.1189,2.1189,2.0083,2.1004,0.8896,6433440.0,0.0,1.0
2000-02-28,2.0488,2.1189,2.0359,2.0912,0.8857,1198240.0,0.0,1.0
2000-02-29,2.0728,2.1465,2.0728,2.1465,0.9091,1312870.0,0.0,1.0
2000-03-01,2.1244,2.1649,2.1004,2.1373,0.9052,3442900.0,0.0,1.0
2000-03-02,2.1096,2.1557,2.0912,2.1557,0.913,1456362.0,0.0,1.0
2000-03-03,2.1465,2.2386,2.1465,2.1741,0.9208,4041793.0,0.0,1.0
2000-03-06,2.1741,2.1926,2.0636,2.1529,0.9118,1230935.0,0.0,1.0
2000-03-07,2.1511,2.1511,2.082,2.1189,0.8974,692061.0,0.0,1.0
2000-03-08,2.0811,2.1281,2.0811,2.1004,0.8896,1872486.0,0.0,1.0
2000-03-09,2.0912,2.1189,2.0636,2.082,0.8818,899434.0,0.0,1.0
2000-03-10,2.0728,2.1189,2.0359,2.082,0.8818,562595.0,0.0,1.0
2000-03-13,2.0636,2.1189,2.0544,2.1096,0.8935,480425.0,0.0,1.0
2000-03-14,2.105,2.1373,2.082,2.1069,0.8923,402116.0,0.0,1.0
2000-03-15,2.1096,2.1741,2.1004,2.1741,0.9208,3177462.0,0.0,1.0
2000-03-16,2.1741,2.1833,2.1189,2.1465,0.9091,3462732.0,0.0,1.0
2000-03-17,2.211,2.211,2.1004,2.1281,0.9013,4011322.0,0.0,1.0
2000-03-20,2.1189,2.1649,2.0912,2.1189,0.8974,1733758.0,0.0,1.0
2000-03-21,2.1023,2.1189,2.082,2.1096,0.8935,1988183.0,0.0,1.0
2000-03-22,2.1096,2.1189,2.082,2.1096,0.8935,722979.0,0.0,1.0
2000-03-23,2.0544,2.1557,2.0544,2.1189,0.8974,1221322.0,0.0,1.0
2000-03-24,2.0912,2.1557,2.0912,2.1492,0.9103,907795.0,0.0,1.0
2000-03-27,2.0728,2.1373,2.0728,2.1373,0.9052,1219487.0,0.0,1.0
2000-03-28,2.082,2.1373,2.0728,2.1189,0.8974,1374092.0,0.0,1.0
2000-03-29,2.0912,2.1465,2.082,2.1096,0.8935,3314041.0,0.0,1.0
2000-03-30,2.082,2.1004,2.0359,2.082,0.8818,2527931.0,0.0,1.0
2000-03-31,2.0175,2.0912,2.0175,2.082,0.8818,3138965.0,0.0,1.0
2000-04-03,2.0267,2.1004,2.0267,2.0875,0.8841,1656134.0,0.0,1.0
2000-04-04,2.1004,2.1373,2.0728,2.0912,0.8857,2485022.0,0.0,1.0
2000-04-05,2.082,2.1096,2.0452,2.0636,0.874,1459823.0,0.0,1.0
2000-04-06,2.0452,2.0728,2.0267,2.0728,0.8779,472912.0,0.0,1.0
2000-04-07,2.0728,2.0912,2.0359,2.082,0.8818,2804632.0,0.0,1.0
2000-04-10,2.0322,2.0728,1.9991,2.0267,0.8584,388484.0,0.0,1.0
2000-04-11,1.988,2.0175,1.953,1.9714,0.835,730251.0,0.0,1.0
2000-04-12,1.9871,2.0175,1.8885,1.9457,0.8241,526926.0,0.0,1.0
2000-04-13,1.8959,1.9438,1.8517,1.9346,0.8194,2322362.0,0.0,1.0
2000-04-14,1.8885,1.8885,1.8333,1.8591,0.7874,1247764.0,0.0,1.0
2000-04-17,1.6822,1.8333,1.6822,1.8333,0.7765,907791.0,0.0,1.0
2000-04-18,1.8517,1.8885,1.7872,1.7872,0.7569,3287586.0,0.0,1.0
2000-04-19,1.8029,1.8425,1.6582,1.8425,0.7804,1528564.0,0.0,1.0
2000-04-20,1.8333,1.8517,1.7964,1.8425,0.7804,828635.0,0.0,1.0
2000-04-21,1.8425,1.8425,1.8425,1.8425,0.7804,0.0,0.0,1.0
2000-04-24,1.8425,1.8425,1.8425,1.8425,0.7804,0.0,0.0,1.0
2000-04-25,1.8425,1.8425,1.8425,1.8425,0.7804,0.0,0.0,1.0
2000-04-26,1.8618,1.8701,1.824,1.8425,0.7804,2245583.0,0.0,1.0
2000-04-27,1.8029,1.8609,1.8029,1.8609,0.7882,823864.0,0.0,1.0
2000-04-28,1.8425,1.8517,1.8425,1.8425,0.7804,1448112.0,0.0,1.0
2000-05-01,1.836,1.8425,1.8148,1.824,0.7726,1215624.0,0.0,1.0
2000-05-02,1.824,1.9254,1.824,1.8978,0.8038,1212281.0,0.0,1.0
2000-05-03,1.8425,1.9714,1.8425,1.9714,0.835,2395561.0,0.0,1.0
2000-05-04,1.8978,1.953,1.8885,1.9512,0.8264,985198.0,0.0,1.0
2000-05-05,1.953,1.953,1.8793,1.8885,0.7999,2197323.0,0.0,1.0
2000-05-08,1.8885,1.953,1.8793,1.8885,0.7999,3131121.0,0.0,1.0
2000-05-09,1.8793,1.907,1.8701,1.8978,0.8038,1698305.0,0.0,1.0
2000-05-10,1.8932,1.8932,1.824,1.8425,0.7804,2353415.0,0.0,1.0
2000-05-11,1.8056,1.8425,1.8056,1.824,0.7726,1543031.0,0.0,1.0
2000-05-12,1.8148,1.8517,1.8056,1.8425,0.7804,917131.0,0.0,1.0
2000-05-15,1.8056,1.8517,1.7964,1.8425,0.7804,1764675.0,0.0,1.0
