date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2014-04-16,1.07,1.09,1.025,1.07,0.9098,3750133.0,0.0,1.0
2014-04-17,1.06,1.12,1.055,1.08,0.9183,1436786.0,0.0,1.0
2014-04-22,1.08,1.08,1.055,1.06,0.9013,1151671.0,0.0,1.0
2014-04-23,1.06,1.095,1.05,1.085,0.9226,632499.0,0.0,1.0
2014-04-24,1.085,1.12,1.08,1.1,0.9353,799911.0,0.0,1.0
2014-04-28,1.13,1.13,1.1,1.11,0.9438,467778.0,0.0,1.0
2014-04-29,1.1,1.12,1.065,1.1,0.9353,654206.0,0.0,1.0
2014-04-30,1.08,1.09,1.06,1.08,0.9183,415891.0,0.0,1.0
2014-05-01,1.07,1.07,1.06,1.06,0.9013,349681.0,0.0,1.0
2014-05-02,1.06,1.06,1.025,1.03,0.8758,472483.0,0.0,1.0
2014-05-05,1.06,1.085,1.06,1.07,0.9098,736143.0,0.0,1.0
2014-05-06,1.07,1.07,1.05,1.05,0.8928,155685.0,0.0,1.0
2014-05-07,1.05,1.06,1.05,1.06,0.9013,370821.0,0.0,1.0
2014-05-08,1.07,1.08,1.06,1.06,0.9013,233365.0,0.0,1.0
2014-05-09,1.06,1.06,1.05,1.05,0.8928,105325.0,0.0,1.0
2014-05-12,1.06,1.07,1.05,1.06,0.9013,454795.0,0.0,1.0
2014-05-13,1.05,1.06,1.05,1.05,0.8928,114090.0,0.0,1.0
2014-05-14,1.05,1.055,1.04,1.04,0.8843,270712.0,0.0,1.0
2014-05-15,1.04,1.04,1.04,1.04,0.8843,1548673.0,0.0,1.0
2014-05-16,1.04,1.045,1.02,1.045,0.8886,220613.0,0.0,1.0
2014-05-19,1.045,1.06,1.035,1.04,0.8843,371654.0,0.0,1.0
2014-05-20,1.02,1.02,0.975,1.0,0.8503,463818.0,0.0,1.0
2014-05-21,1.0,1.01,0.99,1.0,0.8503,461176.0,0.0,1.0
2014-05-22,0.96,1.02,0.96,1.0,0.8503,173139.0,0.0,1.0
2014-05-23,1.0,1.02,1.0,1.02,0.8673,212350.0,0.0,1.0
2014-05-26,1.0,1.02,1.0,1.01,0.8588,89551.0,0.0,1.0
2014-05-27,1.01,1.02,1.0,1.0,0.8503,193085.0,0.0,1.0
2014-05-28,1.01,1.03,1.01,1.02,0.8673,572307.0,0.0,1.0
2014-05-29,1.02,1.02,1.02,1.02,0.8673,136094.0,0.0,1.0
2014-05-30,1.03,1.04,1.03,1.04,0.8843,172996.0,0.0,1.0
2014-06-02,1.03,1.04,1.015,1.02,0.8673,579199.0,0.0,1.0
2014-06-03,1.02,1.035,1.0,1.03,0.8758,78276.0,0.0,1.0
2014-06-04,1.05,1.06,1.03,1.03,0.8758,838598.0,0.0,1.0
2014-06-05,1.06,1.06,1.03,1.03,0.8758,62341.0,0.0,1.0
2014-06-06,1.04,1.04,1.03,1.03,0.8758,29000.0,0.0,1.0
2014-06-10,1.03,1.03,1.03,1.03,0.8758,76236.0,0.0,1.0
2014-06-11,1.03,1.05,1.03,1.035,0.8801,95166.0,0.0,1.0
2014-06-12,1.04,1.04,1.03,1.03,0.8758,125631.0,0.0,1.0
2014-06-13,1.03,1.03,1.0,1.03,0.8758,472705.0,0.0,1.0
2014-06-16,1.02,1.03,1.02,1.03,0.8758,174648.0,0.0,1.0
2014-06-17,1.03,1.035,1.03,1.03,0.8758,91285.0,0.0,1.0
2014-06-18,1.03,1.03,1.03,1.03,0.8758,117652.0,0.0,1.0
2014-06-19,1.03,1.03,1.03,1.03,0.8758,61845.0,0.0,1.0
2014-06-20,1.03,1.03,1.03,1.03,0.8758,142000.0,0.0,1.0
2014-06-23,1.05,1.05,1.025,1.03,0.8758,100900.0,0.0,1.0
2014-06-24,1.025,1.025,1.02,1.02,0.8673,40229.0,0.0,1.0
2014-06-25,1.02,1.02,1.02,1.02,0.8673,0.0,0.0,1.0
2014-06-26,1.0,1.03,1.0,1.03,0.8758,220417.0,0.0,1.0
2014-06-27,1.03,1.03,1.01,1.03,0.8758,52000.0,0.0,1.0
2014-06-30,1.03,1.035,1.025,1.035,0.8801,139590.0,0.0,1.0
2014-07-01,1.04,1.045,1.035,1.035,0.8801,52172.0,0.0,1.0
2014-07-02,1.035,1.035,1.03,1.03,0.8758,52121.0,0.0,1.0
2014-07-03,1.05,1.07,1.03,1.07,0.9098,73309.0,0.0,1.0
2014-07-04,1.045,1.045,1.03,1.045,0.8886,110500.0,0.0,1.0
2014-07-07,1.035,1.06,1.03,1.03,0.8758,162407.0,0.0,1.0
2014-07-08,1.03,1.03,1.03,1.03,0.8758,53586.0,0.0,1.0
2014-07-09,1.05,1.06,1.03,1.06,0.9013,76999.0,0.0,1.0
2014-07-10,1.06,1.07,1.06,1.07,0.9098,64691.0,0.0,1.0
2014-07-11,1.06,1.09,1.06,1.06,0.9013,20700.0,0.0,1.0
2014-07-14,1.06,1.06,1.06,1.06,0.9013,0.0,0.0,1.0
2014-07-15,1.09,1.15,1.09,1.15,0.9778,170090.0,0.0,1.0
2014-07-16,1.13,1.13,1.09,1.1,0.9353,25450.0,0.0,1.0
2014-07-17,1.13,1.14,1.1,1.1,0.9353,85289.0,0.0,1.0
2014-07-18,1.12,1.12,1.1,1.1,0.9353,40152.0,0.0,1.0
2014-07-21,1.1,1.12,1.1,1.11,0.9438,275440.0,0.0,1.0
2014-07-22,1.11,1.15,1.11,1.15,0.9778,44940.0,0.0,1.0
2014-07-23,1.15,1.2,1.15,1.2,1.0204,76446.0,0.0,1.0
2014-07-24,1.19,1.19,1.19,1.19,1.0119,50500.0,0.0,1.0
2014-07-25,1.19,1.19,1.17,1.19,1.0119,38051.0,0.0,1.0
2014-07-28,1.17,1.17,1.17,1.17,0.9949,10000.0,0.0,1.0
2014-07-29,1.18,1.18,1.15,1.15,0.9778,560455.0,0.0,1.0
2014-07-30,1.15,1.16,1.14,1.15,0.9778,57255.0,0.0,1.0
2014-07-31,1.13,1.15,1.125,1.125,0.9566,109406.0,0.0,1.0
2014-08-01,1.13,1.13,1.105,1.125,0.9566,40500.0,0.0,1.0
2014-08-04,1.125,1.15,1.125,1.15,0.9778,25560.0,0.0,1.0
2014-08-05,1.14,1.14,1.135,1.14,0.9693,36949.0,0.0,1.0
2014-08-06,1.12,1.12,1.11,1.11,0.9438,21000.0,0.0,1.0
2014-08-07,1.1,1.105,1.1,1.1,0.9353,40939.0,0.0,1.0
2014-08-08,1.1,1.1,1.1,1.1,0.9353,36096.0,0.0,1.0
2014-08-11,1.1,1.1,1.1,1.1,0.9353,12500.0,0.0,1.0
2014-08-12,1.11,1.11,1.1,1.1,0.9353,3000.0,0.0,1.0
2014-08-13,1.12,1.135,1.12,1.12,0.9523,29222.0,0.0,1.0
2014-08-14,1.1,1.1,1.1,1.1,0.9353,30919.0,0.0,1.0
2014-08-15,1.1,1.15,1.095,1.15,0.9778,77769.0,0.0,1.0
2014-08-18,1.15,1.15,1.145,1.145,0.9736,16329.0,0.0,1.0
2014-08-19,1.14,1.15,1.11,1.11,0.9438,54183.0,0.0,1.0
2014-08-20,1.135,1.135,1.135,1.135,0.9651,3441.0,0.0,1.0
2014-08-21,1.13,1.13,1.12,1.13,0.9608,5147.0,0.0,1.0
2014-08-22,1.16,1.185,1.15,1.16,0.9863,1178329.0,0.0,1.0
2014-08-25,1.16,1.17,1.15,1.165,0.9906,329072.0,0.0,1.0
2014-08-26,1.165,1.19,1.155,1.155,0.9821,1992316.0,0.0,1.0
2014-08-27,1.17,1.17,1.15,1.15,0.9778,73100.0,0.0,1.0
2014-08-28,1.165,1.19,1.16,1.19,1.0119,91500.0,0.0,1.0
2014-08-29,1.18,1.18,1.18,1.18,1.0034,23000.0,0.0,1.0
2014-09-01,1.175,1.18,1.175,1.18,1.0034,26004.0,0.0,1.0
2014-09-02,1.17,1.18,1.15,1.18,1.0154,46404.0,0.0,1.0
2014-09-03,1.16,1.16,1.16,1.16,0.9982,7000.0,0.0,1.0
2014-09-04,1.16,1.16,1.16,1.16,0.9982,94699.0,0.0,1.0
2014-09-05,1.15,1.18,1.15,1.15,0.9896,187216.0,0.0,1.0
2014-09-08,1.15,1.15,1.15,1.15,0.9896,8661.0,0.0,1.0
2014-09-09,1.135,1.14,1.12,1.13,0.9724,100950.0,0.0,1.0
2014-09-10,1.13,1.135,1.1,1.13,0.9724,125016.0,0.0,1.0
2014-09-11,1.125,1.15,1.125,1.15,0.9896,1183412.0,0.0,1.0
2014-09-12,1.15,1.16,1.14,1.14,0.981,83500.0,0.0,1.0
2014-09-15,1.14,1.15,1.125,1.14,0.981,53262.0,0.0,1.0
2014-09-16,1.125,1.125,1.1,1.1,0.9466,52606.0,0.0,1.0
2014-09-17,1.08,1.1,1.04,1.1,0.9466,25104.0,0.0,1.0
2014-09-18,1.065,1.11,1.065,1.1,0.9466,22500.0,0.0,1.0
2014-09-19,1.1,1.1,1.1,1.1,0.9466,2347.0,0.0,1.0
2014-09-22,1.1,1.14,1.07,1.14,0.981,95059.0,0.0,1.0
2014-09-23,1.08,1.08,1.08,1.08,0.9294,6463.0,0.0,1.0
2014-09-24,1.09,1.1,1.09,1.1,0.9466,9400.0,0.0,1.0
2014-09-25,1.12,1.14,1.11,1.14,0.981,30576.0,0.0,1.0
2014-09-26,1.135,1.14,1.13,1.14,0.981,424451.0,0.0,1.0
2014-09-29,1.13,1.135,1.11,1.135,0.9767,91551.0,0.0,1.0
2014-09-30,1.135,1.135,1.135,1.135,0.9767,0.0,0.0,1.0
2014-10-01,1.1,1.1,1.1,1.1,0.9466,41092.0,0.0,1.0
2014-10-02,1.1,1.1,1.1,1.1,0.9466,6980.0,0.0,1.0
2014-10-03,1.1,1.135,1.065,1.135,0.9767,75900.0,0.0,1.0
2014-10-06,1.135,1.135,1.135,1.135,0.9767,15000.0,0.0,1.0
2014-10-07,1.1,1.1,1.08,1.08,0.9294,14541.0,0.0,1.0
2014-10-08,1.08,1.085,1.08,1.085,0.9337,38000.0,0.0,1.0
2014-10-09,1.1,1.1,1.1,1.1,0.9466,158000.0,0.0,1.0
2014-10-10,1.1,1.1,1.07,1.07,0.9207,207187.0,0.0,1.0
2014-10-13,1.08,1.08,1.08,1.08,0.9294,6500.0,0.0,1.0
2014-10-14,1.05,1.09,1.05,1.09,0.938,22160.0,0.0,1.0
2014-10-15,1.08,1.13,1.08,1.13,0.9724,47750.0,0.0,1.0
2014-10-16,1.13,1.135,1.13,1.135,0.9767,17730.0,0.0,1.0
2014-10-17,1.135,1.135,1.09,1.1,0.9466,68361.0,0.0,1.0
2014-10-20,1.1,1.135,1.1,1.135,0.9767,6408.0,0.0,1.0
2014-10-21,1.12,1.135,1.12,1.135,0.9767,13800.0,0.0,1.0
2014-10-22,1.12,1.15,1.12,1.15,0.9896,84900.0,0.0,1.0
2014-10-23,1.11,1.15,1.11,1.15,0.9896,33053.0,0.0,1.0
2014-10-24,1.13,1.13,1.13,1.13,0.9724,10000.0,0.0,1.0
2014-10-27,1.12,1.13,1.11,1.13,0.9724,50900.0,0.0,1.0
2014-10-28,1.1,1.1,1.1,1.1,0.9466,98150.0,0.0,1.0
2014-10-29,1.13,1.13,1.1,1.13,0.9724,46675.0,0.0,1.0
2014-10-30,1.13,1.15,1.13,1.13,0.9724,176463.0,0.0,1.0
2014-10-31,1.13,1.14,1.13,1.13,0.9724,24594.0,0.0,1.0
