date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2007-04-05,4526.25,4538.3501,4356.8198,4368.9199,4367.5435,55655.0,0.0,1.0
2007-04-10,4417.3301,4538.3501,4368.9199,4526.25,4524.8247,41469.0,0.0,1.0
2007-04-11,4586.7598,4707.7798,4574.6602,4695.6802,4694.2007,34654.0,0.0,1.0
2007-04-12,4671.48,4671.48,4598.8599,4598.8599,4597.4121,7811.0,0.0,1.0
2007-04-13,4647.27,4683.5801,4647.27,4671.48,4670.0083,14409.0,0.0,1.0
2007-04-16,4671.48,4792.5,4671.48,4792.5,4790.9912,21593.0,0.0,1.0
2007-04-17,4792.5,4840.9102,4756.1899,4768.29,4766.7891,10176.0,0.0,1.0
2007-04-18,4768.29,4804.6001,4719.8799,4719.8799,4718.3931,5603.0,0.0,1.0
2007-04-19,4707.7798,4707.7798,4550.4502,4562.5601,4561.123,9753.0,0.0,1.0
2007-04-20,4586.7598,4623.0698,4538.3501,4562.5601,4561.123,3682.0,0.0,1.0
2007-04-23,4586.7598,4610.96,4489.9399,4550.4502,4549.0166,4031.0,0.0,1.0
2007-04-24,4526.25,4598.8599,4526.25,4574.6602,4573.2192,10781.0,0.0,1.0
2007-04-26,4598.8599,4635.1699,4574.6602,4623.0698,4621.6138,8840.0,0.0,1.0
2007-04-27,4635.1699,4683.5801,4598.8599,4610.96,4609.5073,5688.0,0.0,1.0
2007-04-30,4610.96,4671.48,4610.96,4671.48,4670.0083,5682.0,0.0,1.0
2007-05-01,4623.0698,4683.5801,4623.0698,4683.5801,4682.105,3145.0,0.0,1.0
2007-05-02,4671.48,4695.6802,4647.27,4695.6802,4694.2007,2683.0,0.0,1.0
2007-05-03,4695.6802,4828.8101,4695.6802,4816.7002,4815.1836,9889.0,0.0,1.0
2007-05-04,4840.9102,5034.54,4840.9102,4961.9302,4960.3677,14468.0,0.0,1.0
2007-05-07,4961.9302,4986.1299,4865.1099,4913.52,4911.9722,2788.0,0.0,1.0
2007-05-08,4961.9302,4961.9302,4865.1099,4889.3198,4887.7803,1815.0,0.0,1.0
2007-05-09,4913.52,5010.3398,4913.52,4961.9302,4960.3677,9573.0,0.0,1.0
2007-05-10,5082.9502,5107.1602,5034.54,5082.9502,5081.3501,18248.0,0.0,1.0
2007-05-11,5058.75,5058.75,4961.9302,5010.3398,5008.7622,9903.0,0.0,1.0
2007-05-14,5034.54,5107.1602,5034.54,5034.54,5032.9546,3024.0,0.0,1.0
2007-05-15,5058.75,5107.1602,5034.54,5058.75,5057.1567,6586.0,0.0,1.0
2007-05-16,5107.1602,5228.1802,5082.9502,5131.3599,5129.7437,6422.0,0.0,1.0
2007-05-17,5179.77,5203.98,5034.54,5082.9502,5081.3501,12293.0,0.0,1.0
2007-05-18,5107.1602,5107.1602,5034.54,5058.75,5057.1567,5074.0,0.0,1.0
2007-05-21,5082.9502,5203.98,5034.54,5203.98,5202.3413,9926.0,0.0,1.0
2007-05-22,5203.98,5276.5898,5131.3599,5155.5698,5153.9458,4679.0,0.0,1.0
2007-05-23,5155.5698,5179.77,5082.9502,5107.1602,5105.5513,3146.0,0.0,1.0
2007-05-24,5131.3599,5228.1802,5082.9502,5203.98,5202.3413,6827.0,0.0,1.0
2007-05-25,5155.5698,5203.98,5107.1602,5155.5698,5153.9458,1794.0,0.0,1.0
2007-05-28,5155.5698,5203.98,5155.5698,5155.5698,5153.9458,1394.0,0.0,1.0
2007-05-29,5179.77,5203.98,5155.5698,5203.98,5202.3413,7877.0,0.0,1.0
2007-05-30,5203.98,5203.98,5155.5698,5179.77,5178.1392,7100.0,0.0,1.0
2007-05-31,5203.98,5325.0,5179.77,5300.79,5299.1206,8847.0,0.0,1.0
2007-06-01,5446.02,5446.02,5300.79,5300.79,5299.1206,13692.0,0.0,1.0
2007-06-04,5349.2002,5494.4302,5349.2002,5446.02,5444.3057,12230.0,0.0,1.0
2007-06-05,5470.23,5542.8398,5397.6099,5421.8198,5420.1128,4769.0,0.0,1.0
2007-06-06,5397.6099,5446.02,5373.4102,5421.8198,5420.1128,3385.0,0.0,1.0
2007-06-07,5349.2002,5373.4102,5252.3799,5300.79,5299.1206,3872.0,0.0,1.0
2007-06-08,5252.3799,5421.8198,5203.98,5373.4102,5371.7178,3370.0,0.0,1.0
2007-06-12,5421.8198,5470.23,5349.2002,5373.4102,5371.7178,2942.0,0.0,1.0
2007-06-13,5300.79,5446.02,5300.79,5349.2002,5347.5156,4248.0,0.0,1.0
2007-06-14,5470.23,5470.23,5373.4102,5421.8198,5420.1128,6322.0,0.0,1.0
2007-06-15,5446.02,5446.02,5300.79,5373.4102,5371.7178,18050.0,0.0,1.0
2007-06-18,5397.6099,5518.6299,5373.4102,5518.6299,5516.8911,4377.0,0.0,1.0
2007-06-19,5494.4302,5494.4302,5421.8198,5446.02,5444.3057,4893.0,0.0,1.0
2007-06-20,5446.02,5470.23,5373.4102,5470.23,5468.5078,6620.0,0.0,1.0
2007-06-21,5542.8398,5542.8398,5397.6099,5494.4302,5492.6992,6429.0,0.0,1.0
2007-06-22,5542.8398,5542.8398,5446.02,5518.6299,5516.8911,3431.0,0.0,1.0
2007-06-25,5518.6299,5518.6299,5421.8198,5470.23,5468.5078,4152.0,0.0,1.0
2007-06-26,5470.23,5494.4302,5397.6099,5446.02,5444.3057,3075.0,0.0,1.0
2007-06-27,5421.8198,5446.02,5349.2002,5397.6099,5395.9097,16565.0,0.0,1.0
2007-06-28,5421.8198,5470.23,5373.4102,5397.6099,5395.9097,2513.0,0.0,1.0
2007-06-29,5397.6099,5421.8198,5373.4102,5397.6099,5395.9097,1262.0,0.0,1.0
2007-07-02,5397.6099,5397.6099,5325.0,5325.0,5323.3228,1361.0,0.0,1.0
2007-07-03,5373.4102,5373.4102,5228.1802,5252.3799,5250.7261,3266.0,0.0,1.0
2007-07-04,5252.3799,5300.79,5228.1802,5252.3799,5250.7261,1047.0,0.0,1.0
2007-07-05,5252.3799,5276.5898,5228.1802,5276.5898,5274.9282,2273.0,0.0,1.0
2007-07-06,5276.5898,5300.79,5179.77,5203.98,5202.3413,2313.0,0.0,1.0
2007-07-09,5203.98,5373.4102,5131.3599,5373.4102,5371.7178,1861.0,0.0,1.0
2007-07-10,5349.2002,5349.2002,5252.3799,5325.0,5323.3228,2444.0,0.0,1.0
2007-07-11,5276.5898,5325.0,5252.3799,5325.0,5323.3228,2050.0,0.0,1.0
2007-07-12,5373.4102,5470.23,5349.2002,5446.02,5444.3057,7509.0,0.0,1.0
2007-07-13,5518.6299,5542.8398,5470.23,5494.4302,5492.6992,6566.0,0.0,1.0
2007-07-16,5518.6299,5567.04,5446.02,5567.04,5565.2876,7663.0,0.0,1.0
2007-07-17,5542.8398,5639.6602,5542.8398,5567.04,5565.2876,5216.0,0.0,1.0
2007-07-18,5591.25,5615.4502,5446.02,5470.23,5468.5078,2964.0,0.0,1.0
2007-07-19,5542.8398,5688.0698,5494.4302,5663.8599,5662.0767,1330.0,0.0,1.0
2007-07-20,5712.27,5857.5,5688.0698,5833.29,5831.4531,6238.0,0.0,1.0
2007-07-23,5833.29,5833.29,5712.27,5736.48,5734.6733,4385.0,0.0,1.0
2007-07-24,5736.48,5905.9102,5736.48,5881.7002,5879.8481,4345.0,0.0,1.0
2007-07-25,5784.8799,5809.0898,5712.27,5712.27,5710.4707,2219.0,0.0,1.0
2007-07-26,5809.0898,5809.0898,5639.6602,5688.0698,5686.2793,2041.0,0.0,1.0
2007-07-27,5567.04,5639.6602,5470.23,5591.25,5589.4893,2086.0,0.0,1.0
2007-07-30,5494.4302,5615.4502,5470.23,5518.6299,5516.8911,2063.0,0.0,1.0
2007-07-31,5567.04,5712.27,5567.04,5639.6602,5637.8838,3082.0,0.0,1.0
2007-08-01,5615.4502,5688.0698,5446.02,5446.02,5444.3057,3582.0,0.0,1.0
2007-08-02,5542.8398,5688.0698,5300.79,5446.02,5444.3057,3067.0,0.0,1.0
2007-08-03,5446.02,5542.8398,5446.02,5494.4302,5492.6992,2675.0,0.0,1.0
2007-08-06,5446.02,5446.02,5228.1802,5325.0,5323.3228,3095.0,0.0,1.0
2007-08-07,5421.8198,5470.23,5276.5898,5276.5898,5274.9282,4342.0,0.0,1.0
2007-08-08,5325.0,5373.4102,5300.79,5349.2002,5347.5156,3616.0,0.0,1.0
2007-08-09,5446.02,5470.23,5349.2002,5421.8198,5420.1128,3877.0,0.0,1.0
2007-08-10,5276.5898,5325.0,5034.54,5082.9502,5081.3501,4446.0,0.0,1.0
2007-08-13,5155.5698,5252.3799,5107.1602,5252.3799,5250.7261,3029.0,0.0,1.0
2007-08-14,5276.5898,5300.79,5107.1602,5179.77,5178.1392,6517.0,0.0,1.0
2007-08-15,5082.9502,5082.9502,4961.9302,4961.9302,4960.3677,3501.0,0.0,1.0
2007-08-16,4961.9302,5082.9502,4441.5298,4889.3198,4887.7803,7853.0,0.0,1.0
2007-08-17,4792.5,4792.5,4477.8398,4574.6602,4573.2192,8453.0,0.0,1.0
2007-08-20,4889.3198,4961.9302,4756.1899,4961.9302,4960.3677,6201.0,0.0,1.0
2007-08-21,4961.9302,4961.9302,4865.1099,4889.3198,4887.7803,2903.0,0.0,1.0
2007-08-22,4913.52,5034.54,4889.3198,4986.1299,4984.5601,2878.0,0.0,1.0
2007-08-23,5155.5698,5179.77,5058.75,5107.1602,5105.5513,5589.0,0.0,1.0
2007-08-24,5058.75,5082.9502,4986.1299,5058.75,5057.1567,3310.0,0.0,1.0
2007-08-27,5179.77,5228.1802,5082.9502,5082.9502,5081.3501,3730.0,0.0,1.0
2007-08-28,5131.3599,5252.3799,5082.9502,5203.98,5202.3413,3694.0,0.0,1.0
2007-08-29,5034.54,5107.1602,4986.1299,5082.9502,5081.3501,2344.0,0.0,1.0
2007-08-30,5203.98,5300.79,5155.5698,5228.1802,5226.5337,3270.0,0.0,1.0
2007-08-31,5179.77,5349.2002,5179.77,5349.2002,5347.5156,1576.0,0.0,1.0
2007-09-03,5349.2002,5373.4102,5276.5898,5349.2002,5347.5156,527.0,0.0,1.0
2007-09-04,5276.5898,5446.02,5276.5898,5325.0,5323.3228,5473.0,0.0,1.0
2007-09-05,5373.4102,5397.6099,5325.0,5349.2002,5347.5156,1138.0,0.0,1.0
2007-09-06,5325.0,5567.04,5325.0,5542.8398,5541.0942,1621.0,0.0,1.0
2007-09-07,5567.04,5615.4502,5446.02,5542.8398,5541.0942,1289.0,0.0,1.0
2007-09-10,5446.02,5518.6299,5349.2002,5494.4302,5492.6992,902.0,0.0,1.0
2007-09-11,5518.6299,5591.25,5373.4102,5567.04,5565.2876,1238.0,0.0,1.0
2007-09-12,5639.6602,5809.0898,5639.6602,5688.0698,5686.2793,9483.0,0.0,1.0
2007-09-13,5639.6602,5736.48,5591.25,5736.48,5734.6733,1699.0,0.0,1.0
2007-09-14,5784.8799,5857.5,5760.6802,5809.0898,5807.2607,3276.0,0.0,1.0
2007-09-17,5736.48,5809.0898,5688.0698,5688.0698,5686.2793,1861.0,0.0,1.0
2007-09-18,5591.25,5639.6602,5567.04,5567.04,5565.2876,1852.0,0.0,1.0
2007-09-19,5688.0698,5809.0898,5639.6602,5809.0898,5807.2607,4779.0,0.0,1.0
2007-09-20,5809.0898,5809.0898,5688.0698,5736.48,5734.6733,5163.0,0.0,1.0
2007-09-21,5688.0698,5736.48,5615.4502,5663.8599,5662.0767,1803.0,0.0,1.0
2007-09-24,5591.25,5833.29,5591.25,5784.8799,5783.0576,2145.0,0.0,1.0
2007-09-25,5809.0898,5881.7002,5784.8799,5784.8799,5783.0576,2868.0,0.0,1.0
2007-09-26,5784.8799,5833.29,5760.6802,5784.8799,5783.0576,3635.0,0.0,1.0
2007-09-27,5833.29,5857.5,5712.27,5760.6802,5758.8657,2097.0,0.0,1.0
2007-09-28,5784.8799,5833.29,5736.48,5760.6802,5758.8657,1813.0,0.0,1.0
2007-10-01,5760.6802,5760.6802,5688.0698,5760.6802,5758.8657,340.0,0.0,1.0
2007-10-02,5809.0898,5809.0898,5712.27,5760.6802,5758.8657,1507.0,0.0,1.0
2007-10-03,5760.6802,5760.6802,5591.25,5615.4502,5613.6821,3114.0,0.0,1.0
2007-10-04,5591.25,5663.8599,5470.23,5518.6299,5516.8911,4021.0,0.0,1.0
2007-10-05,5591.25,5639.6602,5518.6299,5567.04,5565.2876,1414.0,0.0,1.0
2007-10-08,5591.25,5663.8599,5567.04,5591.25,5589.4893,6722.0,0.0,1.0
2007-10-09,5567.04,5615.4502,5542.8398,5567.04,5565.2876,4465.0,0.0,1.0
2007-10-10,5591.25,5736.48,5567.04,5712.27,5710.4707,6813.0,0.0,1.0
2007-10-11,5736.48,5833.29,5712.27,5833.29,5831.4531,5281.0,0.0,1.0
2007-10-12,5809.0898,5881.7002,5784.8799,5809.0898,5807.2607,8931.0,0.0,1.0
