date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-04,0.9365,1.0836,0.8947,1.0439,1.0439,453895.0,0.0,1.0
2000-01-05,0.9574,1.024,0.9146,0.9445,0.9445,583072.0,0.0,1.0
2000-01-06,0.9743,1.0439,0.9743,0.9941,0.9941,246376.0,0.0,1.0
2000-01-07,1.014,1.0439,0.9643,1.0041,1.0041,311481.0,0.0,1.0
2000-01-10,1.0041,1.0439,0.9544,0.9842,0.9842,196448.0,0.0,1.0
2000-01-11,0.9941,1.0041,0.9941,0.9941,0.9941,170426.0,0.0,1.0
2000-01-12,0.9802,0.9802,0.9345,0.9445,0.9445,218589.0,0.0,1.0
2000-01-13,0.9445,0.9643,0.9445,0.9544,0.9544,98144.0,0.0,1.0
2000-01-14,0.9852,0.9852,0.9345,0.9743,0.9743,68438.0,0.0,1.0
2000-01-17,0.9643,0.9842,0.9445,0.9544,0.9544,87612.0,0.0,1.0
2000-01-18,0.9743,0.9842,0.9544,0.9544,0.9544,88618.0,0.0,1.0
2000-01-19,0.9295,0.9445,0.9295,0.9445,0.9445,61359.0,0.0,1.0
2000-01-20,0.9544,1.0041,0.9544,0.9941,0.9941,221868.0,0.0,1.0
2000-01-21,0.9991,1.024,0.9941,0.9941,0.9941,249846.0,0.0,1.0
2000-01-24,0.9941,1.024,0.9842,0.9941,0.9941,120316.0,0.0,1.0
2000-01-25,0.9842,1.014,0.9842,0.9941,0.9941,94633.0,0.0,1.0
2000-01-26,0.9941,0.9941,0.9941,0.9941,0.9941,0.0,0.0,1.0
2000-01-27,0.9941,1.014,0.9941,0.9941,0.9941,136297.0,0.0,1.0
2000-01-28,0.9643,0.9842,0.9643,0.9643,0.9643,21174.0,0.0,1.0
2000-01-31,0.9544,0.9544,0.9246,0.9345,0.9345,48584.0,0.0,1.0
2000-02-01,0.9544,0.9544,0.9345,0.9345,0.9345,100186.0,0.0,1.0
2000-02-02,0.9047,0.9246,0.8947,0.8947,0.8947,75240.0,0.0,1.0
2000-02-03,0.8947,0.8947,0.8848,0.8848,0.8848,82537.0,0.0,1.0
2000-02-04,0.8848,0.8947,0.8749,0.8947,0.8947,53327.0,0.0,1.0
2000-02-07,0.8947,0.8947,0.8749,0.8947,0.8947,52944.0,0.0,1.0
2000-02-08,0.8947,0.8947,0.7953,0.8053,0.8053,77666.0,0.0,1.0
2000-02-09,0.8152,0.855,0.7456,0.845,0.845,607934.0,0.0,1.0
2000-02-10,0.855,0.855,0.8351,0.845,0.845,97907.0,0.0,1.0
2000-02-11,0.845,0.845,0.8252,0.8351,0.8351,244716.0,0.0,1.0
2000-02-14,0.8252,0.8252,0.8053,0.8152,0.8152,97688.0,0.0,1.0
2000-02-15,0.8152,0.8152,0.7953,0.8152,0.8152,63578.0,0.0,1.0
2000-02-16,0.8152,0.8152,0.7953,0.7953,0.7953,194668.0,0.0,1.0
