date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-04,4.6739,4.6841,4.6193,4.6193,1.5799,132683.0,0.0,1.0
2000-01-05,4.5888,4.6193,4.5823,4.6054,1.5752,70769.0,0.0,1.0
2000-01-06,4.6286,4.6749,4.5823,4.6286,1.5831,153241.0,0.0,1.0
2000-01-07,4.6286,4.6286,4.5915,4.5915,1.5704,63727.0,0.0,1.0
2000-01-10,4.6193,4.6749,4.6101,4.6471,1.5894,80197.0,0.0,1.0
2000-01-11,4.6471,4.6749,4.6471,4.6749,1.5989,320413.0,0.0,1.0
2000-01-12,4.6295,4.6563,4.6286,4.6471,1.5894,49475.0,0.0,1.0
2000-01-13,4.6286,4.6286,4.5823,4.6101,1.5767,52982.0,0.0,1.0
2000-01-14,4.5915,4.6286,4.5823,4.6193,1.5799,48704.0,0.0,1.0
2000-01-17,4.6101,4.6286,4.5082,4.5082,1.5419,64417.0,0.0,1.0
2000-01-18,4.536,4.5638,4.5082,4.5638,1.5609,95256.0,0.0,1.0
2000-01-19,4.5638,4.5638,4.5175,4.5175,1.5451,57942.0,0.0,1.0
2000-01-20,4.5332,4.6193,4.5332,4.6193,1.5799,72742.0,0.0,1.0
2000-01-21,4.6286,4.6286,4.5823,4.6193,1.5799,101819.0,0.0,1.0
2000-01-24,4.6101,4.6101,4.5823,4.5823,1.5672,115230.0,0.0,1.0
2000-01-25,4.5823,4.6008,4.5638,4.6008,1.5736,80053.0,0.0,1.0
2000-01-26,4.7449,4.7449,4.7449,4.7449,1.6229,0.0,0.0,1.0
2000-01-27,4.5823,4.6008,4.5823,4.6008,1.5736,41951.0,0.0,1.0
2000-01-28,4.6017,4.6017,4.5823,4.5823,1.5672,73039.0,0.0,1.0
2000-01-31,4.5823,4.5823,4.5638,4.5638,1.5609,49843.0,0.0,1.0
2000-02-01,4.5823,4.5823,4.5453,4.5638,1.5609,221413.0,0.0,1.0
2000-02-02,4.5545,4.5638,4.5453,4.5453,1.5546,176074.0,0.0,1.0
2000-02-03,4.5545,4.5638,4.5175,4.536,1.5514,146362.0,0.0,1.0
2000-02-04,4.536,4.6193,4.5082,4.6008,1.5736,494349.0,0.0,1.0
2000-02-07,4.6008,4.6286,4.6008,4.6193,1.5799,82519.0,0.0,1.0
2000-02-08,4.6193,4.6749,4.6193,4.6749,1.5989,106190.0,0.0,1.0
2000-02-09,4.6841,4.7674,4.6749,4.7322,1.6185,142674.0,0.0,1.0
2000-02-10,4.7304,4.7489,4.6841,4.7489,1.6242,125060.0,0.0,1.0
2000-02-11,4.7489,4.7489,4.7211,4.7211,1.6147,45071.0,0.0,1.0
2000-02-14,4.7026,4.7489,4.6749,4.7397,1.6211,60249.0,0.0,1.0
2000-02-15,4.7397,4.7489,4.7211,4.7489,1.6242,81900.0,0.0,1.0
2000-02-16,4.7211,4.7767,4.7211,4.7211,1.6147,150568.0,0.0,1.0
2000-02-17,4.7211,4.7674,4.7211,4.7211,1.6147,74314.0,0.0,1.0
2000-02-18,4.7211,4.7674,4.7211,4.7582,1.6274,75770.0,0.0,1.0
2000-02-21,4.7211,4.7304,4.6749,4.7295,1.6176,116455.0,0.0,1.0
2000-02-22,4.7211,4.7582,4.7211,4.7211,1.6147,115254.0,0.0,1.0
2000-02-23,4.7211,4.7767,4.7211,4.7674,1.6306,138956.0,0.0,1.0
2000-02-24,4.7508,4.7674,4.7304,4.7489,1.6242,79637.0,0.0,1.0
2000-02-25,4.7582,4.7582,4.6841,4.7211,1.6147,117502.0,0.0,1.0
2000-02-28,4.6461,4.7489,4.6461,4.7304,1.6179,43414.0,0.0,1.0
2000-02-29,4.8146,4.8146,4.7211,4.7304,1.6179,116375.0,0.0,1.0
2000-03-01,4.7359,4.7674,4.7304,4.7304,1.6179,40644.0,0.0,1.0
2000-03-02,4.7304,4.7489,4.7304,4.7304,1.6179,135309.0,0.0,1.0
2000-03-03,4.7304,4.7397,4.7211,4.7295,1.6176,94225.0,0.0,1.0
2000-03-06,4.7304,4.7397,4.7211,4.7304,1.6179,106009.0,0.0,1.0
2000-03-07,4.7211,4.7304,4.7026,4.7211,1.6147,45882.0,0.0,1.0
2000-03-08,4.7211,4.7397,4.7211,4.7397,1.6211,43091.0,0.0,1.0
2000-03-09,4.7211,4.7397,4.7211,4.7397,1.6211,41946.0,0.0,1.0
2000-03-10,4.7211,4.7489,4.7211,4.7211,1.6147,53176.0,0.0,1.0
2000-03-13,4.7211,4.7859,4.7211,4.7674,1.6306,92182.0,0.0,1.0
2000-03-14,4.7776,4.7952,4.7674,4.7674,1.6306,55685.0,0.0,1.0
2000-03-15,4.7674,4.7859,4.7674,4.7859,1.6369,43400.0,0.0,1.0
2000-03-16,4.7767,4.8045,4.7397,4.7767,1.6337,73518.0,0.0,1.0
2000-03-17,4.8137,4.8415,4.7767,4.8137,1.6464,100254.0,0.0,1.0
2000-03-20,4.8137,4.8137,4.7211,4.7674,1.6306,61837.0,0.0,1.0
2000-03-21,4.7943,4.8507,4.7674,4.7952,1.6401,27634.0,0.0,1.0
2000-03-22,4.8045,4.8785,4.8045,4.86,1.6622,62835.0,0.0,1.0
2000-03-23,4.823,4.823,4.7674,4.7674,1.6306,36808.0,0.0,1.0
2000-03-24,4.7656,4.7952,4.7397,4.7397,1.6211,31417.0,0.0,1.0
2000-03-27,4.7619,4.7767,4.7211,4.7767,1.6337,50232.0,0.0,1.0
2000-03-28,4.7489,4.8322,4.7304,4.7304,1.6179,96915.0,0.0,1.0
2000-03-29,4.7295,4.8137,4.7211,4.7674,1.6306,50659.0,0.0,1.0
2000-03-30,4.7674,4.8322,4.7674,4.8137,1.6464,144533.0,0.0,1.0
2000-03-31,4.8322,4.86,4.7674,4.86,1.6622,140243.0,0.0,1.0
2000-04-03,4.7952,4.8507,4.7952,4.8507,1.659,26793.0,0.0,1.0
2000-04-04,4.8137,4.8507,4.8045,4.8415,1.6559,85210.0,0.0,1.0
2000-04-05,4.8322,4.8878,4.8322,4.8878,1.6717,77592.0,0.0,1.0
2000-04-06,4.86,4.8878,4.823,4.8322,1.6527,79830.0,0.0,1.0
2000-04-07,4.8322,4.8415,4.8137,4.823,1.6496,18203.0,0.0,1.0
2000-04-10,4.8137,4.86,4.8137,4.8507,1.659,45707.0,0.0,1.0
2000-04-11,4.8415,4.8878,4.823,4.86,1.6622,53680.0,0.0,1.0
2000-04-12,4.86,4.9063,4.86,4.897,1.6749,41138.0,0.0,1.0
2000-04-13,4.8554,4.897,4.8322,4.86,1.6622,32051.0,0.0,1.0
2000-04-14,4.8285,4.8878,4.8285,4.8813,1.6695,58837.0,0.0,1.0
2000-04-17,4.7674,4.8507,4.7397,4.7859,1.6369,91431.0,0.0,1.0
2000-04-18,4.8137,4.8785,4.7952,4.86,1.7086,88939.0,0.0,1.0
2000-04-19,4.7906,4.7906,4.6471,4.7211,1.6598,61734.0,0.0,1.0
2000-04-20,4.6749,4.7211,4.6749,4.6934,1.65,15237.0,0.0,1.0
2000-04-21,4.8404,4.8404,4.8404,4.8404,1.7017,0.0,0.0,1.0
2000-04-24,4.8404,4.8404,4.8404,4.8404,1.7017,0.0,0.0,1.0
2000-04-25,4.8404,4.8404,4.8404,4.8404,1.7017,0.0,0.0,1.0
2000-04-26,4.7563,4.7767,4.6934,4.6934,1.65,43208.0,0.0,1.0
2000-04-27,4.6934,4.7211,4.6656,4.6749,1.6435,68657.0,0.0,1.0
2000-04-28,4.6749,4.7489,4.6749,4.6841,1.6468,21751.0,0.0,1.0
2000-05-01,4.6767,4.7211,4.6749,4.7119,1.6566,30103.0,0.0,1.0
2000-05-02,4.673,4.7119,4.673,4.6934,1.65,30471.0,0.0,1.0
2000-05-03,4.6749,4.7211,4.6563,4.6563,1.637,55520.0,0.0,1.0
2000-05-04,4.6563,4.7026,4.6563,4.6749,1.6435,30974.0,0.0,1.0
2000-05-05,4.6749,4.7397,4.6656,4.6841,1.6468,53039.0,0.0,1.0
2000-05-08,4.7211,4.7211,4.6749,4.6841,1.6468,71239.0,0.0,1.0
2000-05-09,4.6573,4.7026,4.6573,4.6841,1.6468,36543.0,0.0,1.0
2000-05-10,4.6934,4.7026,4.6749,4.6934,1.65,79082.0,0.0,1.0
2000-05-11,4.6841,4.7119,4.6471,4.6471,1.6338,101827.0,0.0,1.0
2000-05-12,4.6656,4.6749,4.6471,4.6656,1.6403,26961.0,0.0,1.0
2000-05-15,4.6934,4.7026,4.6656,4.6749,1.6435,58875.0,0.0,1.0
2000-05-16,4.6656,4.7211,4.6656,4.6934,1.65,37245.0,0.0,1.0
2000-05-17,4.7017,4.7211,4.6841,4.6841,1.6468,27182.0,0.0,1.0
2000-05-18,4.6841,4.7026,4.6749,4.6749,1.6435,27226.0,0.0,1.0
2000-05-19,4.6749,4.6841,4.6656,4.6841,1.6468,31859.0,0.0,1.0
2000-05-22,4.6749,4.6841,4.6471,4.6563,1.637,31220.0,0.0,1.0
2000-05-23,4.6656,4.7211,4.6563,4.7211,1.6598,30705.0,0.0,1.0
2000-05-24,4.6749,4.6749,4.6563,4.6749,1.6435,112413.0,0.0,1.0
2000-05-25,4.6563,4.6841,4.6563,4.6749,1.6435,153106.0,0.0,1.0
2000-05-26,4.6749,4.7119,4.6563,4.6841,1.6468,16533.0,0.0,1.0
2000-05-29,4.6841,4.7211,4.6749,4.7211,1.6598,27673.0,0.0,1.0
2000-05-30,4.6823,4.7211,4.6823,4.7026,1.6533,88859.0,0.0,1.0
2000-05-31,4.7119,4.7211,4.6749,4.7211,1.6598,90747.0,0.0,1.0
2000-06-01,4.6841,4.7489,4.6841,4.7489,1.6696,42578.0,0.0,1.0
2000-06-02,4.7285,4.7582,4.7285,4.7489,1.6696,30918.0,0.0,1.0
2000-06-05,4.7582,4.7674,4.7582,4.7582,1.6728,41162.0,0.0,1.0
2000-06-06,4.7582,4.7674,4.7397,4.7674,1.6761,34367.0,0.0,1.0
2000-06-07,4.7674,4.7767,4.7359,4.7359,1.665,52000.0,0.0,1.0
2000-06-08,4.7489,4.7674,4.7211,4.7582,1.6728,17538.0,0.0,1.0
2000-06-09,4.7508,4.7582,4.7211,4.7211,1.6598,43911.0,0.0,1.0
2000-06-12,4.869,4.869,4.869,4.869,1.7118,0.0,0.0,1.0
2000-06-13,4.7119,4.7397,4.6749,4.7119,1.6566,28602.0,0.0,1.0
