date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-04,0.1767,0.1767,0.1709,0.1709,0.1203,115687.0,0.0,1.0
2000-01-05,0.1709,0.1826,0.1709,0.1826,0.1286,125239.0,0.0,1.0
2000-01-06,0.1767,0.1767,0.165,0.165,0.1162,260440.0,0.0,1.0
2000-01-07,0.1767,0.1767,0.1709,0.1767,0.1245,168040.0,0.0,1.0
2000-01-10,0.1826,0.1826,0.1767,0.1767,0.1245,478637.0,0.0,1.0
2000-01-11,0.1767,0.1767,0.1709,0.1709,0.1203,232269.0,0.0,1.0
2000-01-12,0.1709,0.1826,0.1709,0.1826,0.1286,229086.0,0.0,1.0
2000-01-13,0.1826,0.1826,0.1709,0.1709,0.1203,221067.0,0.0,1.0
2000-01-14,0.1709,0.1767,0.165,0.1709,0.1203,231856.0,0.0,1.0
2000-01-17,0.1767,0.1767,0.1709,0.1767,0.1245,160674.0,0.0,1.0
2000-01-18,0.1767,0.1826,0.1709,0.1767,0.1245,126872.0,0.0,1.0
2000-01-19,0.1767,0.2298,0.1709,0.2062,0.1452,1533048.0,0.0,1.0
2000-01-20,0.2239,0.2828,0.2239,0.2769,0.195,4313684.0,0.0,1.0
2000-01-21,0.2828,0.324,0.2828,0.3064,0.2157,3456424.0,0.0,1.0
2000-01-24,0.324,0.3829,0.324,0.3535,0.2489,3673833.0,0.0,1.0
2000-01-25,0.3712,0.3712,0.324,0.3476,0.2448,2159079.0,0.0,1.0
2000-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000-01-27,0.3476,0.3476,0.3064,0.3123,0.2199,885139.0,0.0,1.0
2000-01-28,0.3181,0.324,0.3064,0.324,0.2282,636251.0,0.0,1.0
2000-01-31,0.3123,0.3181,0.3005,0.3123,0.2199,468238.0,0.0,1.0
2000-02-01,0.3123,0.3123,0.2828,0.2828,0.1991,995294.0,0.0,1.0
2000-02-02,0.2651,0.2769,0.2415,0.271,0.1908,585149.0,0.0,1.0
2000-02-03,0.2828,0.3358,0.2828,0.2828,0.1991,1046945.0,0.0,1.0
2000-02-04,0.2946,0.3181,0.2946,0.2946,0.2074,554883.0,0.0,1.0
2000-02-07,0.2946,0.3181,0.2946,0.3005,0.2116,219614.0,0.0,1.0
2000-02-08,0.3123,0.3123,0.2828,0.2946,0.2074,177154.0,0.0,1.0
2000-02-09,0.2946,0.2946,0.2887,0.2946,0.2074,187429.0,0.0,1.0
2000-02-10,0.2946,0.3064,0.2651,0.2651,0.1867,242418.0,0.0,1.0
2000-02-11,0.271,0.3005,0.2651,0.2651,0.1867,209307.0,0.0,1.0
2000-02-14,0.2769,0.3005,0.271,0.2769,0.195,363417.0,0.0,1.0
2000-02-15,0.2887,0.2887,0.271,0.2828,0.1991,289274.0,0.0,1.0
2000-02-16,0.2828,0.2828,0.271,0.271,0.1908,272015.0,0.0,1.0
2000-02-17,0.271,0.2769,0.2651,0.2651,0.1867,435365.0,0.0,1.0
2000-02-18,0.2769,0.2946,0.2769,0.2887,0.2033,309092.0,0.0,1.0
2000-02-21,0.2946,0.2946,0.2828,0.2828,0.1991,200635.0,0.0,1.0
2000-02-22,0.2946,0.2946,0.2651,0.2651,0.1867,234077.0,0.0,1.0
2000-02-23,0.2828,0.2828,0.2651,0.2769,0.195,148681.0,0.0,1.0
2000-02-24,0.2828,0.2887,0.2769,0.2828,0.1991,140135.0,0.0,1.0
2000-02-25,0.2828,0.2887,0.2828,0.2828,0.1991,154194.0,0.0,1.0
2000-02-28,0.3064,0.3064,0.2769,0.2887,0.2033,188239.0,0.0,1.0
2000-02-29,0.2887,0.2946,0.2769,0.2769,0.195,348913.0,0.0,1.0
2000-03-01,0.3005,0.3005,0.271,0.2769,0.195,137032.0,0.0,1.0
2000-03-02,0.2769,0.2769,0.2651,0.271,0.1908,147022.0,0.0,1.0
2000-03-03,0.271,0.2769,0.2651,0.271,0.1908,285757.0,0.0,1.0
2000-03-06,0.2651,0.271,0.2474,0.271,0.1908,195005.0,0.0,1.0
2000-03-07,0.271,0.271,0.2533,0.2592,0.1825,82536.0,0.0,1.0
2000-03-08,0.2887,0.2887,0.2651,0.2828,0.1991,227448.0,0.0,1.0
2000-03-09,0.2946,0.2946,0.271,0.2769,0.195,150964.0,0.0,1.0
2000-03-10,0.271,0.2946,0.271,0.2946,0.2074,772510.0,0.0,1.0
2000-03-13,0.3181,0.3653,0.3181,0.3535,0.2489,2845360.0,0.0,1.0
2000-03-14,0.3535,0.3594,0.3181,0.3358,0.2365,1112704.0,0.0,1.0
2000-03-15,0.3181,0.324,0.3064,0.3064,0.2157,321333.0,0.0,1.0
2000-03-16,0.324,0.3358,0.3005,0.3064,0.2157,427585.0,0.0,1.0
2000-03-17,0.3181,0.3299,0.3064,0.3123,0.2199,339490.0,0.0,1.0
2000-03-20,0.3123,0.3476,0.3123,0.3358,0.2365,538435.0,0.0,1.0
2000-03-21,0.3358,0.3417,0.3123,0.3299,0.2323,242650.0,0.0,1.0
2000-03-22,0.3299,0.3299,0.2828,0.3064,0.2157,1007237.0,0.0,1.0
2000-03-23,0.3064,0.3123,0.2887,0.2946,0.2074,768410.0,0.0,1.0
2000-03-24,0.332,0.3523,0.3252,0.3387,0.2385,299608.0,0.0,1.0
2000-03-27,0.3387,0.3523,0.3387,0.3455,0.2433,736757.0,0.0,1.0
2000-03-28,0.3455,0.3523,0.3387,0.3455,0.2433,586365.0,0.0,1.0
2000-03-29,0.3455,0.3523,0.3387,0.3523,0.2481,474759.0,0.0,1.0
2000-03-30,0.3523,0.3523,0.3387,0.3523,0.2481,413331.0,0.0,1.0
2000-03-31,0.3455,0.3455,0.3252,0.3387,0.2385,242661.0,0.0,1.0
2000-04-03,0.3387,0.3387,0.3184,0.3184,0.2242,234240.0,0.0,1.0
2000-04-04,0.332,0.332,0.3049,0.3049,0.2147,265892.0,0.0,1.0
2000-04-05,0.3116,0.3116,0.2778,0.2778,0.1956,368461.0,0.0,1.0
2000-04-06,0.2913,0.2913,0.2846,0.2846,0.2004,412249.0,0.0,1.0
2000-04-07,0.2913,0.2913,0.2778,0.2778,0.1956,246423.0,0.0,1.0
2000-04-10,0.2778,0.2778,0.2575,0.2778,0.1956,296012.0,0.0,1.0
2000-04-11,0.271,0.2778,0.2642,0.2642,0.1861,175923.0,0.0,1.0
2000-04-12,0.2642,0.2778,0.2642,0.2778,0.1956,269361.0,0.0,1.0
2000-04-13,0.2778,0.2778,0.2575,0.2575,0.1813,344830.0,0.0,1.0
2000-04-14,0.271,0.2778,0.2642,0.2642,0.1861,196869.0,0.0,1.0
2000-04-17,0.2575,0.2575,0.2236,0.2439,0.1718,276421.0,0.0,1.0
2000-04-18,0.2439,0.271,0.2439,0.2642,0.1861,358308.0,0.0,1.0
2000-04-19,0.2642,0.271,0.2642,0.2642,0.1861,463007.0,0.0,1.0
2000-04-20,0.271,0.271,0.2642,0.271,0.1908,130482.0,0.0,1.0
2000-04-21,0.2699,0.2699,0.2699,0.2699,0.19,0.0,0.0,1.0
2000-04-24,0.2699,0.2699,0.2699,0.2699,0.19,0.0,0.0,1.0
2000-04-25,0.2699,0.2699,0.2699,0.2699,0.19,0.0,0.0,1.0
2000-04-26,0.271,0.2846,0.271,0.2778,0.1956,239725.0,0.0,1.0
2000-04-27,0.271,0.271,0.2642,0.271,0.1908,185369.0,0.0,1.0
2000-04-28,0.271,0.271,0.2642,0.271,0.1908,54795.0,0.0,1.0
2000-05-01,0.2642,0.271,0.2575,0.2642,0.1861,115677.0,0.0,1.0
2000-05-02,0.271,0.271,0.2371,0.2575,0.1813,215644.0,0.0,1.0
2000-05-03,0.2575,0.2575,0.2439,0.2575,0.1813,87091.0,0.0,1.0
2000-05-04,0.2507,0.2507,0.2439,0.2507,0.1765,48970.0,0.0,1.0
2000-05-05,0.2575,0.271,0.2575,0.2642,0.1861,212988.0,0.0,1.0
2000-05-08,0.2642,0.271,0.2642,0.2642,0.1861,155003.0,0.0,1.0
2000-05-09,0.2642,0.2846,0.2642,0.271,0.1908,482639.0,0.0,1.0
2000-05-10,0.271,0.3184,0.271,0.3184,0.2242,1140047.0,0.0,1.0
2000-05-11,0.3184,0.3387,0.3049,0.3116,0.2195,679533.0,0.0,1.0
2000-05-12,0.2981,0.2981,0.2642,0.2642,0.1861,591799.0,0.0,1.0
2000-05-15,0.2642,0.2778,0.2575,0.2575,0.1813,907534.0,0.0,1.0
2000-05-16,0.2642,0.2778,0.2642,0.271,0.1908,367315.0,0.0,1.0
2000-05-17,0.271,0.271,0.2642,0.271,0.1908,466073.0,0.0,1.0
2000-05-18,0.2575,0.2575,0.2371,0.2371,0.167,1533751.0,0.0,1.0
2000-05-19,0.2439,0.2575,0.2439,0.2575,0.1813,243103.0,0.0,1.0
2000-05-22,0.2439,0.2439,0.2303,0.2371,0.167,548312.0,0.0,1.0
2000-05-23,0.2303,0.2371,0.2236,0.2371,0.167,222309.0,0.0,1.0
2000-05-24,0.2371,0.2439,0.2303,0.2303,0.1622,175947.0,0.0,1.0
2000-05-25,0.2371,0.2371,0.2032,0.2168,0.1527,1196235.0,0.0,1.0
2000-05-26,0.2236,0.2371,0.2168,0.2371,0.167,384664.0,0.0,1.0
2000-05-29,0.2236,0.2371,0.2236,0.2236,0.1574,192060.0,0.0,1.0
2000-05-30,0.2303,0.2303,0.2168,0.2236,0.1574,93348.0,0.0,1.0
2000-05-31,0.2303,0.2303,0.2236,0.2236,0.1574,121699.0,0.0,1.0
2000-06-01,0.2236,0.2303,0.2168,0.2303,0.1622,174792.0,0.0,1.0
2000-06-02,0.2303,0.2371,0.2168,0.2371,0.167,119833.0,0.0,1.0
2000-06-05,0.2303,0.2303,0.2168,0.2303,0.1622,56414.0,0.0,1.0
2000-06-06,0.2303,0.2303,0.2168,0.2168,0.1527,157474.0,0.0,1.0
2000-06-07,0.2168,0.2236,0.2168,0.2168,0.1527,180518.0,0.0,1.0
2000-06-08,0.2168,0.2168,0.21,0.21,0.1479,252624.0,0.0,1.0
2000-06-09,0.21,0.2236,0.21,0.2236,0.1574,228901.0,0.0,1.0
2000-06-12,0.2226,0.2226,0.2226,0.2226,0.1568,0.0,0.0,1.0
2000-06-13,0.21,0.2236,0.21,0.21,0.1479,413552.0,0.0,1.0
2000-06-14,0.2168,0.2236,0.2032,0.2168,0.1527,721375.0,0.0,1.0
2000-06-15,0.2032,0.2168,0.2032,0.2168,0.1527,236240.0,0.0,1.0
2000-06-16,0.21,0.2168,0.1965,0.2032,0.1431,211315.0,0.0,1.0
2000-06-19,0.1965,0.21,0.1897,0.1897,0.1336,378013.0,0.0,1.0
2000-06-20,0.2032,0.2032,0.1829,0.1829,0.1288,274968.0,0.0,1.0
2000-06-21,0.1829,0.1897,0.1694,0.1762,0.124,407260.0,0.0,1.0
2000-06-22,0.1762,0.1897,0.1762,0.1897,0.1336,784685.0,0.0,1.0
2000-06-23,0.1829,0.1897,0.1762,0.1762,0.124,222688.0,0.0,1.0
2000-06-26,0.1829,0.1829,0.1694,0.1762,0.124,1770455.0,0.0,1.0
2000-06-27,0.1762,0.1762,0.1694,0.1694,0.1193,253230.0,0.0,1.0
2000-06-28,0.1694,0.1762,0.1626,0.1762,0.124,790427.0,0.0,1.0
2000-06-29,0.1762,0.1897,0.1762,0.1762,0.124,398054.0,0.0,1.0
2000-06-30,0.1762,0.1829,0.1762,0.1829,0.1288,545241.0,0.0,1.0
2000-07-03,0.1829,0.1965,0.1829,0.1829,0.1288,206044.0,0.0,1.0
2000-07-04,0.1897,0.1965,0.1897,0.1965,0.1384,356360.0,0.0,1.0
2000-07-05,0.1965,0.2032,0.1897,0.1965,0.1384,312433.0,0.0,1.0
2000-07-06,0.1965,0.21,0.1965,0.21,0.1479,149956.0,0.0,1.0
2000-07-07,0.21,0.21,0.1965,0.2032,0.1431,345834.0,0.0,1.0
2000-07-10,0.21,0.21,0.1965,0.1965,0.1384,238401.0,0.0,1.0
2000-07-11,0.2032,0.2032,0.1965,0.1965,0.1384,71574.0,0.0,1.0
2000-07-12,0.1965,0.2032,0.1965,0.2032,0.1431,529754.0,0.0,1.0
2000-07-13,0.1965,0.21,0.1897,0.1897,0.1336,481710.0,0.0,1.0
2000-07-14,0.1965,0.2032,0.1965,0.2032,0.1431,99504.0,0.0,1.0
2000-07-17,0.2032,0.21,0.2032,0.21,0.1479,224579.0,0.0,1.0
2000-07-18,0.21,0.21,0.2032,0.21,0.1479,211338.0,0.0,1.0
2000-07-19,0.21,0.2168,0.21,0.2168,0.1527,132345.0,0.0,1.0
2000-07-20,0.2168,0.2168,0.2032,0.21,0.1479,218698.0,0.0,1.0
2000-07-21,0.21,0.2507,0.21,0.2439,0.1718,1776626.0,0.0,1.0
2000-07-24,0.2507,0.2846,0.2507,0.271,0.1908,2481552.0,0.0,1.0
2000-07-25,0.2778,0.2778,0.2575,0.2642,0.1861,1081776.0,0.0,1.0
2000-07-26,0.2642,0.2642,0.2439,0.2507,0.1765,520955.0,0.0,1.0
2000-07-27,0.2439,0.2439,0.2303,0.2371,0.167,428870.0,0.0,1.0
2000-07-28,0.2371,0.2371,0.2303,0.2371,0.167,183204.0,0.0,1.0
2000-07-31,0.2371,0.2575,0.2371,0.2575,0.1813,612854.0,0.0,1.0
2000-08-01,0.2575,0.2575,0.2575,0.2575,0.1813,224063.0,0.0,1.0
2000-08-02,0.2575,0.2575,0.2439,0.2439,0.1718,258646.0,0.0,1.0
2000-08-03,0.2439,0.2439,0.2303,0.2439,0.1718,508180.0,0.0,1.0
2000-08-04,0.2439,0.2507,0.2371,0.2439,0.1718,194847.0,0.0,1.0
2000-08-07,0.2507,0.2507,0.2439,0.2507,0.1765,172770.0,0.0,1.0
2000-08-08,0.2507,0.2507,0.2439,0.2507,0.1765,189994.0,0.0,1.0
2000-08-09,0.2507,0.2575,0.2507,0.2575,0.1813,256332.0,0.0,1.0
2000-08-10,0.2575,0.2575,0.2507,0.2507,0.1765,337306.0,0.0,1.0
2000-08-11,0.2507,0.271,0.2507,0.2642,0.1861,856731.0,0.0,1.0
2000-08-14,0.271,0.2846,0.2642,0.271,0.1908,1514222.0,0.0,1.0
2000-08-15,0.271,0.271,0.2575,0.2642,0.1861,319793.0,0.0,1.0
2000-08-16,0.2642,0.2642,0.2507,0.2575,0.1813,144954.0,0.0,1.0
2000-08-17,0.2575,0.2642,0.2507,0.2507,0.1765,144848.0,0.0,1.0
2000-08-18,0.2575,0.2642,0.2507,0.2642,0.1861,111411.0,0.0,1.0
2000-08-21,0.2642,0.271,0.2642,0.2642,0.1861,250696.0,0.0,1.0
2000-08-22,0.2642,0.2642,0.2575,0.2642,0.1861,150846.0,0.0,1.0
2000-08-23,0.271,0.271,0.2575,0.2642,0.1861,273993.0,0.0,1.0
2000-08-24,0.2642,0.271,0.2642,0.2642,0.1861,237995.0,0.0,1.0
2000-08-25,0.2642,0.271,0.2642,0.2642,0.1861,153656.0,0.0,1.0
2000-08-28,0.2642,0.271,0.2575,0.2575,0.1813,207220.0,0.0,1.0
2000-08-29,0.2642,0.2642,0.2575,0.2575,0.1813,144135.0,0.0,1.0
2000-08-30,0.2507,0.2642,0.2507,0.2642,0.1861,130032.0,0.0,1.0
2000-08-31,0.2642,0.2642,0.2575,0.2575,0.1813,110260.0,0.0,1.0
2000-09-01,0.2642,0.2642,0.2575,0.2642,0.1861,168580.0,0.0,1.0
2000-09-04,0.2575,0.2575,0.2507,0.2575,0.1813,168514.0,0.0,1.0
2000-09-05,0.2642,0.2642,0.2507,0.2507,0.1765,37115.0,0.0,1.0
2000-09-06,0.2642,0.2642,0.2507,0.2507,0.1765,156514.0,0.0,1.0
2000-09-07,0.2575,0.2642,0.2507,0.2575,0.1813,130175.0,0.0,1.0
2000-09-08,0.2507,0.2642,0.2507,0.2575,0.1813,73735.0,0.0,1.0
2000-09-11,0.2642,0.271,0.2575,0.271,0.1908,328059.0,0.0,1.0
2000-09-12,0.271,0.2913,0.2642,0.2778,0.1956,987050.0,0.0,1.0
