date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-04,0.77,0.77,0.76,0.76,0.2758,70000.0,0.0,1.0
2000-01-05,0.76,0.76,0.76,0.76,0.2758,20000.0,0.0,1.0
2000-01-06,0.76,0.76,0.76,0.76,0.2758,64500.0,0.0,1.0
2000-01-07,0.76,0.76,0.76,0.76,0.2758,51600.0,0.0,1.0
2000-01-10,0.76,0.79,0.76,0.79,0.2867,59378.0,0.0,1.0
2000-01-11,0.807,0.807,0.79,0.79,0.2867,38500.0,0.0,1.0
2000-01-12,0.8,0.8,0.8,0.8,0.2904,41000.0,0.0,1.0
2000-01-13,0.8,0.8,0.79,0.79,0.2867,45000.0,0.0,1.0
2000-01-14,0.8,0.8,0.8,0.8,0.2904,106200.0,0.0,1.0
2000-01-17,0.79,0.8,0.79,0.79,0.2867,16500.0,0.0,1.0
2000-01-18,0.8,0.8,0.8,0.8,0.2904,48000.0,0.0,1.0
2000-01-19,0.8,0.8,0.79,0.79,0.2867,22500.0,0.0,1.0
2000-01-20,0.79,0.79,0.79,0.79,0.2867,310000.0,0.0,1.0
2000-01-21,0.8,0.8,0.79,0.8,0.2904,41800.0,0.0,1.0
2000-01-24,0.8,0.8,0.8,0.8,0.2904,30000.0,0.0,1.0
2000-01-25,0.79,0.8,0.79,0.8,0.2904,64250.0,0.0,1.0
2000-01-26,0.8,0.8,0.8,0.8,0.2904,0.0,0.0,1.0
2000-01-27,0.8,0.8,0.8,0.8,0.2904,103500.0,0.0,1.0
2000-01-28,0.8,0.81,0.8,0.8,0.2904,98800.0,0.0,1.0
2000-01-31,0.8,0.81,0.8,0.8,0.2904,81700.0,0.0,1.0
2000-02-01,0.8,0.8,0.78,0.78,0.2831,6500.0,0.0,1.0
2000-02-02,0.79,0.79,0.79,0.79,0.2867,13000.0,0.0,1.0
2000-02-03,0.79,0.79,0.76,0.76,0.2758,137500.0,0.0,1.0
2000-02-04,0.76,0.76,0.76,0.76,0.2758,99500.0,0.0,1.0
2000-02-07,0.76,0.76,0.76,0.76,0.2758,15000.0,0.0,1.0
2000-02-08,0.79,0.79,0.76,0.77,0.2795,380000.0,0.0,1.0
2000-02-09,0.77,0.77,0.77,0.77,0.2795,40000.0,0.0,1.0
2000-02-10,0.77,0.77,0.77,0.77,0.2795,29000.0,0.0,1.0
2000-02-11,0.77,0.78,0.77,0.78,0.2831,22000.0,0.0,1.0
2000-02-14,0.768,0.77,0.76,0.77,0.2795,54800.0,0.0,1.0
2000-02-15,0.77,0.77,0.77,0.77,0.2795,48500.0,0.0,1.0
2000-02-16,0.77,0.78,0.77,0.78,0.2831,80500.0,0.0,1.0
2000-02-17,0.77,0.79,0.77,0.79,0.2867,115833.0,0.0,1.0
2000-02-18,0.79,0.8,0.78,0.78,0.2831,97842.0,0.0,1.0
2000-02-21,0.75,0.75,0.75,0.75,0.2722,5000.0,0.0,1.0
2000-02-22,0.75,0.75,0.75,0.75,0.2722,12000.0,0.0,1.0
2000-02-23,0.7,0.7,0.7,0.7,0.2541,8500.0,0.0,1.0
2000-02-24,0.71,0.71,0.7,0.7,0.2541,148500.0,0.0,1.0
2000-02-25,0.69,0.69,0.69,0.69,0.2504,25000.0,0.0,1.0
2000-02-28,0.72,0.8,0.72,0.8,0.2904,596658.0,0.0,1.0
2000-02-29,0.79,0.82,0.78,0.82,0.2976,155430.0,0.0,1.0
2000-03-01,0.805,0.82,0.805,0.82,0.2976,219800.0,0.0,1.0
2000-03-02,0.82,0.83,0.82,0.82,0.2976,92070.0,0.0,1.0
2000-03-03,0.81,0.83,0.81,0.83,0.3013,73000.0,0.0,1.0
2000-03-06,0.72,0.82,0.72,0.76,0.2898,27500.0,0.0,1.0
2000-03-07,0.77,0.78,0.77,0.78,0.2974,7800.0,0.0,1.0
2000-03-08,0.79,0.79,0.78,0.78,0.2974,26200.0,0.0,1.0
2000-03-09,0.78,0.78,0.77,0.77,0.2936,25000.0,0.0,1.0
2000-03-10,0.78,0.78,0.76,0.77,0.2936,65000.0,0.0,1.0
2000-03-13,0.77,0.78,0.77,0.78,0.2974,13300.0,0.0,1.0
2000-03-14,0.78,0.78,0.78,0.78,0.2974,12450.0,0.0,1.0
2000-03-15,0.77,0.78,0.75,0.78,0.2974,11550.0,0.0,1.0
2000-03-16,0.78,0.79,0.77,0.78,0.2974,104600.0,0.0,1.0
2000-03-17,0.806,0.806,0.78,0.8,0.3051,61000.0,0.0,1.0
2000-03-20,0.8,0.8,0.8,0.8,0.3051,26700.0,0.0,1.0
2000-03-21,0.8,0.8,0.78,0.78,0.2974,17542.0,0.0,1.0
2000-03-22,0.78,0.79,0.78,0.78,0.2974,54500.0,0.0,1.0
2000-03-23,0.78,0.79,0.78,0.79,0.3013,45900.0,0.0,1.0
2000-03-24,0.78,0.78,0.77,0.77,0.2936,44058.0,0.0,1.0
2000-03-27,0.75,0.75,0.75,0.75,0.286,25942.0,0.0,1.0
2000-03-28,0.75,0.75,0.75,0.75,0.286,80858.0,0.0,1.0
2000-03-29,0.75,0.75,0.75,0.75,0.286,19442.0,0.0,1.0
2000-03-30,0.76,0.76,0.75,0.75,0.286,80000.0,0.0,1.0
2000-03-31,0.76,0.76,0.76,0.76,0.2898,35000.0,0.0,1.0
2000-04-03,0.77,0.77,0.77,0.77,0.2936,45658.0,0.0,1.0
2000-04-04,0.77,0.77,0.76,0.76,0.2898,0.0,0.0,1.0
2000-04-05,0.76,0.76,0.76,0.76,0.2898,25000.0,0.0,1.0
2000-04-06,0.76,0.76,0.76,0.76,0.2898,61500.0,0.0,1.0
2000-04-07,0.76,0.76,0.76,0.76,0.2898,350.0,0.0,1.0
2000-04-10,0.75,0.75,0.71,0.71,0.2707,11500.0,0.0,1.0
2000-04-11,0.74,0.75,0.72,0.73,0.2784,44050.0,0.0,1.0
2000-04-12,0.73,0.75,0.73,0.75,0.286,32500.0,0.0,1.0
2000-04-13,0.75,0.77,0.75,0.77,0.2936,66900.0,0.0,1.0
2000-04-14,0.77,0.77,0.76,0.76,0.2898,0.0,0.0,1.0
2000-04-17,0.708,0.72,0.708,0.72,0.2746,20000.0,0.0,1.0
2000-04-18,0.76,0.81,0.76,0.81,0.3089,227068.0,0.0,1.0
2000-04-19,0.83,0.84,0.78,0.78,0.2974,118184.0,0.0,1.0
2000-04-20,0.8,0.8,0.77,0.77,0.2936,95000.0,0.0,1.0
2000-04-21,0.77,0.77,0.77,0.77,0.2936,0.0,0.0,1.0
2000-04-24,0.77,0.77,0.77,0.77,0.2936,0.0,0.0,1.0
2000-04-25,0.77,0.77,0.77,0.77,0.2936,0.0,0.0,1.0
2000-04-26,0.8,0.8,0.78,0.78,0.2974,35000.0,0.0,1.0
2000-04-27,0.78,0.8,0.78,0.8,0.3051,73500.0,0.0,1.0
2000-04-28,0.8,0.8,0.79,0.79,0.3013,25500.0,0.0,1.0
2000-05-01,0.8,0.8,0.79,0.8,0.3051,62400.0,0.0,1.0
2000-05-02,0.8,0.81,0.79,0.8,0.3051,95000.0,0.0,1.0
2000-05-03,0.8,0.8,0.78,0.78,0.2974,45000.0,0.0,1.0
2000-05-04,0.78,0.78,0.78,0.78,0.2974,5000.0,0.0,1.0
2000-05-05,0.81,0.81,0.78,0.78,0.2974,0.0,0.0,1.0
2000-05-08,0.81,0.82,0.78,0.78,0.2974,12500.0,0.0,1.0
2000-05-09,0.78,0.79,0.76,0.76,0.2898,35000.0,0.0,1.0
2000-05-10,0.76,0.76,0.76,0.76,0.2898,20000.0,0.0,1.0
2000-05-11,0.79,0.79,0.76,0.76,0.2898,0.0,0.0,1.0
2000-05-12,0.79,0.8,0.79,0.8,0.3051,5000.0,0.0,1.0
2000-05-15,0.8,0.8,0.8,0.8,0.3051,0.0,0.0,1.0
2000-05-16,0.79,0.79,0.78,0.79,0.3013,19100.0,0.0,1.0
2000-05-17,0.78,0.78,0.78,0.78,0.2974,5000.0,0.0,1.0
2000-05-18,0.78,0.78,0.78,0.78,0.2974,18500.0,0.0,1.0
2000-05-19,0.79,0.8,0.78,0.78,0.2974,71900.0,0.0,1.0
2000-05-22,0.78,0.81,0.78,0.81,0.3089,52000.0,0.0,1.0
2000-05-23,0.811,0.82,0.81,0.82,0.3127,36045.0,0.0,1.0
2000-05-24,0.8,0.81,0.8,0.81,0.3089,107000.0,0.0,1.0
2000-05-25,0.81,0.82,0.79,0.79,0.3013,106500.0,0.0,1.0
2000-05-26,0.81,0.81,0.78,0.78,0.2974,94000.0,0.0,1.0
2000-05-29,0.8,0.8,0.8,0.8,0.3051,5000.0,0.0,1.0
2000-05-30,0.78,0.78,0.78,0.78,0.2974,18000.0,0.0,1.0
2000-05-31,0.78,0.78,0.78,0.78,0.2974,25000.0,0.0,1.0
2000-06-01,0.78,0.78,0.78,0.78,0.2974,30000.0,0.0,1.0
2000-06-02,0.79,0.8,0.79,0.8,0.3051,18500.0,0.0,1.0
2000-06-05,0.8,0.8,0.8,0.8,0.3051,6000.0,0.0,1.0
2000-06-06,0.78,0.78,0.77,0.77,0.2936,34700.0,0.0,1.0
