date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2002-07-12,11.3836,11.3836,11.3836,11.3836,10.0638,0.0,0.0,1.0
2002-07-15,11.7901,12.2373,11.6275,12.1967,10.7826,12647286.0,0.0,1.0
2002-07-16,12.3186,12.3593,11.9527,11.9527,10.5669,4115220.0,0.0,1.0
2002-07-17,11.7901,11.8714,11.5055,11.5055,10.1715,4560309.0,0.0,1.0
2002-07-18,11.5868,11.7088,11.5868,11.6681,10.3153,3312147.0,0.0,1.0
2002-07-19,11.6275,11.6681,11.5462,11.5868,10.2434,2517183.0,0.0,1.0
2002-07-22,11.4649,11.5055,11.4242,11.4649,10.1356,2634567.0,0.0,1.0
2002-07-23,11.5055,11.5868,11.3836,11.3836,10.0638,1713100.0,0.0,1.0
2002-07-24,11.3836,11.4649,11.2209,11.4242,10.0997,3757588.0,0.0,1.0
2002-07-25,11.4242,11.4649,11.3022,11.3429,10.0278,1256228.0,0.0,1.0
2002-07-26,11.3836,11.3836,10.977,11.2209,9.9199,1101582.0,0.0,1.0
2002-07-29,11.2209,11.2209,10.9363,10.977,9.7043,2193824.0,0.0,1.0
2002-07-30,11.099,11.2616,10.977,11.099,9.8122,3857926.0,0.0,1.0
2002-07-31,11.1396,11.2209,11.099,11.1396,9.848,3466400.0,0.0,1.0
2002-08-01,11.1396,11.1396,10.8957,10.8957,9.6324,3115828.0,0.0,1.0
2002-08-02,10.6924,10.7737,10.6111,10.7737,9.5246,1330847.0,0.0,1.0
2002-08-05,10.6518,10.6518,10.4891,10.5298,9.3089,1410516.0,0.0,1.0
2002-08-06,10.2045,10.4078,10.0419,10.2045,9.0214,2956212.0,0.0,1.0
2002-08-07,10.3672,10.4485,10.2452,10.4485,9.2371,3560655.0,0.0,1.0
2002-08-08,10.5298,10.8144,10.5298,10.6924,9.4527,1740698.0,0.0,1.0
2002-08-09,10.8144,11.0177,10.7331,10.7737,9.5246,1119769.0,0.0,1.0
2002-08-12,10.8957,10.8957,10.5704,10.7331,9.4887,420565.0,0.0,1.0
2002-08-13,10.5704,10.7331,10.4485,10.6111,9.3808,359840.0,0.0,1.0
2002-08-14,10.4485,10.4891,10.3672,10.4078,9.2011,517104.0,0.0,1.0
2002-08-15,10.4078,10.5704,10.2859,10.3265,9.1292,2393163.0,0.0,1.0
2002-08-16,10.3265,10.4078,10.2045,10.3265,9.1292,2091382.0,0.0,1.0
2002-08-19,10.2859,10.4078,10.2452,10.2859,9.0933,969939.0,0.0,1.0
2002-08-20,10.3265,10.5704,10.3265,10.4891,9.273,1078871.0,0.0,1.0
2002-08-21,10.5298,10.855,10.4891,10.7737,9.5246,693928.0,0.0,1.0
2002-08-22,10.977,11.1803,10.8957,11.099,9.8122,985658.0,0.0,1.0
2002-08-23,11.1803,11.3836,11.1803,11.3836,10.0638,854342.0,0.0,1.0
2002-08-26,11.3022,11.3022,11.1803,11.1803,9.884,562834.0,0.0,1.0
2002-08-27,11.1803,11.3429,11.0583,11.099,9.8122,616488.0,0.0,1.0
2002-08-28,11.099,11.4242,11.099,11.3836,10.0638,952577.0,0.0,1.0
2002-08-29,11.3429,11.3429,11.1396,11.2616,9.9559,852778.0,0.0,1.0
2002-08-30,11.3022,11.4649,11.2616,11.3429,10.0278,543057.0,0.0,1.0
2002-09-02,11.3836,11.7901,11.3836,11.7495,10.3872,1976326.0,0.0,1.0
2002-09-03,11.7901,11.8714,11.7088,11.7901,10.4231,1591760.0,0.0,1.0
2002-09-04,11.4242,11.6275,11.3836,11.4242,10.0997,590001.0,0.0,1.0
2002-09-05,11.5868,11.6681,11.5055,11.6681,10.3153,648513.0,0.0,1.0
2002-09-06,11.6275,11.6681,11.5055,11.6275,10.2794,1209346.0,0.0,1.0
2002-09-09,11.7495,11.7901,11.4649,11.6681,10.3153,689334.0,0.0,1.0
2002-09-10,11.7495,11.7495,11.5055,11.5462,10.2075,810372.0,0.0,1.0
2002-09-11,11.5868,11.7088,11.5462,11.5462,10.2075,1011746.0,0.0,1.0
2002-09-12,11.5462,11.5868,11.4649,11.5055,10.1715,1174514.0,0.0,1.0
2002-09-13,11.4242,11.4242,11.2209,11.3022,9.9918,763222.0,0.0,1.0
2002-09-16,11.3022,11.3022,11.1803,11.1803,9.884,666153.0,0.0,1.0
2002-09-17,11.2209,11.3836,11.2209,11.3022,9.9918,1009164.0,0.0,1.0
2002-09-18,11.3022,11.4242,11.1803,11.3836,10.0638,915675.0,0.0,1.0
2002-09-19,11.3429,11.3429,11.1803,11.1803,9.884,413834.0,0.0,1.0
2002-09-20,11.1803,11.2209,10.855,10.977,9.7043,935837.0,0.0,1.0
2002-09-23,10.977,11.0177,10.7737,10.8957,9.6324,525120.0,0.0,1.0
2002-09-24,10.6518,10.8957,10.5704,10.6518,9.4168,2473915.0,0.0,1.0
2002-09-25,10.6518,10.8144,10.3672,10.4078,9.2011,545386.0,0.0,1.0
2002-09-26,10.6518,10.7737,10.5704,10.5704,9.3448,405551.0,0.0,1.0
2002-09-27,10.7331,10.8144,10.6518,10.7737,9.5246,762442.0,0.0,1.0
2002-09-30,10.4891,10.8957,10.4891,10.8957,9.6324,842500.0,0.0,1.0
2002-10-01,10.7737,10.8957,10.6518,10.8144,9.5605,383135.0,0.0,1.0
2002-10-02,10.8957,11.099,10.855,11.0177,9.7403,599416.0,0.0,1.0
2002-10-03,10.9363,11.4242,10.9363,11.3429,10.0278,1163254.0,0.0,1.0
2002-10-04,11.3429,11.3836,11.3022,11.3429,10.0278,1026776.0,0.0,1.0
2002-10-07,11.1803,11.2209,10.977,11.0177,9.7403,225192.0,0.0,1.0
2002-10-08,11.0583,11.1803,10.977,11.0583,9.7762,378861.0,0.0,1.0
2002-10-09,11.099,11.3836,11.0583,11.3429,10.0278,434976.0,0.0,1.0
2002-10-10,11.1396,11.3836,11.1396,11.3836,10.0638,736888.0,0.0,1.0
2002-10-11,11.4242,11.4242,11.3022,11.3836,10.0638,1283648.0,0.0,1.0
2002-10-14,11.1803,11.3836,11.1396,11.3429,10.0278,411142.0,0.0,1.0
2002-10-15,11.3836,11.7495,11.2616,11.6681,10.3153,975350.0,0.0,1.0
2002-10-16,11.7901,12.0747,11.7901,11.9934,10.6029,3315281.0,0.0,1.0
2002-10-17,11.9121,12.0747,11.9121,12.034,10.6387,1113319.0,0.0,1.0
2002-10-18,12.1154,12.156,11.9527,12.034,10.6387,1430853.0,0.0,1.0
2002-10-21,12.1154,12.1154,11.7901,11.8308,10.4591,605063.0,0.0,1.0
2002-10-22,11.8714,11.8714,11.7495,11.7901,10.4231,1041791.0,0.0,1.0
2002-10-23,11.7901,11.9527,11.6275,11.8714,10.495,1568341.0,0.0,1.0
2002-10-24,11.9527,12.0747,11.9121,11.9934,10.6029,1305688.0,0.0,1.0
2002-10-25,11.9121,12.156,11.9121,12.1154,10.7107,2025334.0,0.0,1.0
2002-10-28,12.156,12.278,12.1154,12.1967,10.7826,454483.0,0.0,1.0
2002-10-29,12.1967,12.2373,11.9934,12.1967,10.7826,466465.0,0.0,1.0
2002-10-30,12.156,12.2373,12.156,12.1967,10.7826,733416.0,0.0,1.0
2002-10-31,12.1967,12.1967,12.0747,12.1154,10.7107,710340.0,0.0,1.0
2002-11-01,12.156,12.156,12.0747,12.1154,10.7107,268365.0,0.0,1.0
2002-11-04,12.1967,12.3593,12.156,12.3593,10.9263,577793.0,0.0,1.0
2002-11-05,12.3186,12.5219,12.3186,12.4,10.9623,1086649.0,0.0,1.0
2002-11-06,12.4,12.4,12.1154,12.156,10.7466,453372.0,0.0,1.0
2002-11-07,12.156,12.1967,12.034,12.1967,10.7826,388549.0,0.0,1.0
2002-11-08,12.034,12.2373,11.9934,12.034,10.6387,940053.0,0.0,1.0
2002-11-11,11.9934,11.9934,11.5868,11.6681,10.3153,480508.0,0.0,1.0
2002-11-12,11.5868,12.034,11.5868,11.9121,10.531,512495.0,0.0,1.0
2002-11-13,11.9121,12.034,11.6275,11.8714,10.495,811955.0,0.0,1.0
2002-11-14,11.7901,11.8308,11.5868,11.7901,10.4231,983477.0,0.0,1.0
2002-11-15,11.7901,12.034,11.7495,11.9934,10.6029,708802.0,0.0,1.0
2002-11-18,12.8065,13.0911,12.4813,12.6845,11.2138,3292661.0,0.0,1.0
2002-11-19,12.6032,12.6032,12.278,12.4406,10.9982,1198777.0,0.0,1.0
2002-11-20,12.4406,12.4406,12.1154,12.278,10.8545,2038991.0,0.0,1.0
2002-11-21,12.278,12.7252,12.2373,12.5219,11.0701,1260395.0,0.0,1.0
2002-11-22,12.6439,12.7659,12.4813,12.6439,11.1779,998723.0,0.0,1.0
2002-11-25,12.5626,12.6845,12.5626,12.6032,11.142,323864.0,0.0,1.0
2002-11-26,12.5626,12.9691,12.5626,12.8878,11.3936,705186.0,0.0,1.0
2002-11-27,12.9285,12.9691,12.8472,12.8878,11.3936,678501.0,0.0,1.0
2002-11-28,12.9691,13.0098,12.9285,13.0098,11.5014,547368.0,0.0,1.0
2002-11-29,12.9691,12.9691,12.8065,12.8878,11.3936,623727.0,0.0,1.0
2002-12-02,12.8878,12.8878,12.6845,12.8472,11.3577,535550.0,0.0,1.0
2002-12-03,12.8065,12.9285,12.7252,12.8472,11.3577,1438797.0,0.0,1.0
2002-12-04,12.8065,12.8878,12.8065,12.8472,11.3577,532307.0,0.0,1.0
2002-12-05,12.8878,13.0098,12.8472,12.9691,11.4654,772867.0,0.0,1.0
2002-12-06,12.8878,13.0098,12.8065,12.9691,11.4654,728424.0,0.0,1.0
2002-12-09,12.9285,13.0098,12.8065,12.8065,11.3217,712675.0,0.0,1.0
2002-12-10,12.7659,12.8878,12.7252,12.8065,11.3217,532455.0,0.0,1.0
2002-12-11,12.8065,12.8472,12.4,12.4813,11.0342,1688534.0,0.0,1.0
2002-12-12,12.5219,12.6845,12.4813,12.6032,11.142,743103.0,0.0,1.0
2002-12-13,12.6032,12.7252,12.5626,12.6032,11.142,391648.0,0.0,1.0
2002-12-16,12.6032,12.7252,12.5219,12.6845,11.2138,261284.0,0.0,1.0
2002-12-17,12.7659,12.8472,12.6845,12.7659,11.2858,322019.0,0.0,1.0
2002-12-18,12.6439,12.6845,12.6032,12.6032,11.142,654000.0,0.0,1.0
2002-12-19,12.6032,12.6439,12.6032,12.6032,11.142,1013302.0,0.0,1.0
2002-12-20,12.6439,12.8878,12.6439,12.8065,11.3217,572803.0,0.0,1.0
