date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2016-11-16,1.37,1.37,1.1,1.25,1.1527,9656471.0,0.0,1.0
2016-11-17,1.265,1.29,1.232,1.255,1.1574,1411280.0,0.0,1.0
2016-11-18,1.265,1.2775,1.25,1.26,1.162,519808.0,0.0,1.0
2016-11-21,1.26,1.26,1.23,1.25,1.1527,898484.0,0.0,1.0
2016-11-22,1.25,1.32,1.25,1.32,1.2173,407196.0,0.0,1.0
2016-11-23,1.32,1.33,1.27,1.32,1.2173,388039.0,0.0,1.0
2016-11-24,1.32,1.355,1.32,1.355,1.2496,880003.0,0.0,1.0
2016-11-25,1.35,1.3825,1.35,1.375,1.268,165432.0,0.0,1.0
2016-11-28,1.375,1.43,1.375,1.4,1.2911,822547.0,0.0,1.0
2016-11-29,1.4,1.42,1.38,1.4,1.2911,4342727.0,0.0,1.0
2016-11-30,1.4,1.4,1.35,1.375,1.268,240956.0,0.0,1.0
2016-12-01,1.395,1.395,1.36,1.395,1.2865,2542.0,0.0,1.0
2016-12-02,1.395,1.395,1.34,1.34,1.2357,1033026.0,0.0,1.0
2016-12-05,1.36,1.36,1.35,1.36,1.2542,265189.0,0.0,1.0
2016-12-06,1.36,1.36,1.345,1.36,1.2542,1013678.0,0.0,1.0
2016-12-07,1.36,1.385,1.36,1.375,1.268,764944.0,0.0,1.0
2016-12-08,1.37,1.45,1.37,1.43,1.3187,330685.0,0.0,1.0
2016-12-09,1.445,1.445,1.4,1.405,1.2957,342181.0,0.0,1.0
2016-12-12,1.39,1.4,1.375,1.395,1.2865,87848.0,0.0,1.0
2016-12-13,1.39,1.42,1.39,1.42,1.3095,630561.0,0.0,1.0
2016-12-14,1.41,1.41,1.39,1.405,1.2957,8292.0,0.0,1.0
2016-12-15,1.4,1.4,1.385,1.4,1.2911,95569.0,0.0,1.0
2016-12-16,1.4,1.42,1.385,1.42,1.3095,118396.0,0.0,1.0
2016-12-19,1.39,1.39,1.39,1.39,1.2818,442970.0,0.0,1.0
2016-12-20,1.41,1.42,1.39,1.42,1.3095,109653.0,0.0,1.0
2016-12-21,1.4,1.4,1.37,1.4,1.2911,338692.0,0.0,1.0
2016-12-22,1.38,1.4,1.38,1.4,1.2911,236697.0,0.0,1.0
2016-12-23,1.4,1.4,1.4,1.4,1.2911,0.0,0.0,1.0
2016-12-28,1.39,1.39,1.39,1.39,1.2818,210.0,0.0,1.0
2016-12-29,1.38,1.395,1.37,1.39,1.2818,8817.0,0.0,1.0
2016-12-30,1.375,1.39,1.375,1.39,1.2818,1882.0,0.0,1.0
2017-01-03,1.38,1.415,1.38,1.41,1.3003,65731.0,0.0,1.0
2017-01-04,1.4,1.415,1.4,1.415,1.3049,13319.0,0.0,1.0
2017-01-05,1.385,1.405,1.385,1.405,1.2957,492.0,0.0,1.0
2017-01-06,1.4,1.41,1.4,1.4,1.2911,37677.0,0.0,1.0
