date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-04,0.9672,0.9672,0.9486,0.9486,0.3905,14985.0,0.0,1.0
2000-01-05,0.9486,0.9579,0.9486,0.9579,0.3943,71508.0,0.0,1.0
2000-01-06,0.9579,0.9765,0.9486,0.9765,0.402,72755.0,0.0,1.0
2000-01-07,0.9486,0.9579,0.9486,0.9579,0.3943,31602.0,0.0,1.0
2000-01-10,0.9486,0.9579,0.9393,0.9393,0.3867,98709.0,0.0,1.0
2000-01-11,0.9486,0.9579,0.9393,0.9579,0.3943,142393.0,0.0,1.0
2000-01-12,0.9672,0.9672,0.9579,0.9672,0.3982,54086.0,0.0,1.0
2000-01-13,0.9672,0.9672,0.9486,0.9486,0.3905,159139.0,0.0,1.0
2000-01-14,0.9579,0.9579,0.9579,0.9579,0.3943,23708.0,0.0,1.0
2000-01-17,0.9579,0.9672,0.9579,0.9579,0.3943,86995.0,0.0,1.0
2000-01-18,0.9672,0.9672,0.9579,0.9579,0.3943,44621.0,0.0,1.0
2000-01-19,0.956,0.956,0.9372,0.956,0.3935,42745.0,0.0,1.0
2000-01-20,0.9372,0.9653,0.9372,0.9653,0.3974,38966.0,0.0,1.0
2000-01-21,0.9372,0.9466,0.9372,0.9466,0.3897,72592.0,0.0,1.0
2000-01-24,0.9372,0.9372,0.9372,0.9372,0.3858,5548.0,0.0,1.0
2000-01-25,0.9372,0.9372,0.9372,0.9372,0.3858,78042.0,0.0,1.0
2000-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000-01-27,0.9278,0.956,0.9278,0.9278,0.382,54416.0,0.0,1.0
2000-01-28,0.9278,0.9372,0.9278,0.9278,0.382,79275.0,0.0,1.0
2000-01-31,0.9278,0.9372,0.9091,0.9091,0.3743,122842.0,0.0,1.0
2000-02-01,0.9091,0.9185,0.9091,0.9185,0.3781,25608.0,0.0,1.0
2000-02-02,0.9278,0.9372,0.9091,0.9372,0.3858,93254.0,0.0,1.0
2000-02-03,0.9278,0.9372,0.9278,0.9372,0.3858,10527.0,0.0,1.0
2000-02-04,0.9278,0.9278,0.9091,0.9185,0.3781,65619.0,0.0,1.0
2000-02-07,0.9185,0.9278,0.9091,0.9091,0.3743,95036.0,0.0,1.0
2000-02-08,0.9278,0.9278,0.9091,0.9091,0.3743,37238.0,0.0,1.0
2000-02-09,0.9091,0.9278,0.9091,0.9278,0.382,21873.0,0.0,1.0
2000-02-10,0.9278,0.9278,0.9185,0.9185,0.3781,103675.0,0.0,1.0
2000-02-11,0.9372,0.9372,0.9185,0.9278,0.382,88773.0,0.0,1.0
2000-02-14,0.9372,0.9372,0.9278,0.9372,0.3858,41198.0,0.0,1.0
2000-02-15,0.9278,0.9372,0.9278,0.9372,0.3858,41612.0,0.0,1.0
2000-02-16,0.9278,0.9372,0.9278,0.9372,0.3858,100880.0,0.0,1.0
2000-02-17,0.9372,0.9372,0.9278,0.9372,0.3858,78752.0,0.0,1.0
2000-02-18,0.9278,0.956,0.9278,0.9372,0.3858,231565.0,0.0,1.0
2000-02-21,0.9466,0.956,0.9372,0.9372,0.3858,86035.0,0.0,1.0
2000-02-22,0.9278,0.9278,0.9185,0.9185,0.3781,220865.0,0.0,1.0
2000-02-23,0.9175,0.9372,0.9175,0.9372,0.3858,110401.0,0.0,1.0
2000-02-24,0.9372,0.9372,0.9278,0.9278,0.382,121102.0,0.0,1.0
2000-02-25,0.9372,0.9372,0.9278,0.9278,0.382,362612.0,0.0,1.0
2000-02-28,0.9278,0.9278,0.9278,0.9278,0.382,46716.0,0.0,1.0
2000-02-29,0.9278,0.9372,0.9278,0.9372,0.3858,12140.0,0.0,1.0
2000-03-01,0.9372,0.9466,0.9278,0.9466,0.3897,71588.0,0.0,1.0
2000-03-02,0.9466,0.956,0.9372,0.9466,0.3897,208110.0,0.0,1.0
2000-03-03,0.9466,0.9466,0.9278,0.9278,0.382,420391.0,0.0,1.0
2000-03-06,0.9372,0.9372,0.9185,0.9372,0.3858,54096.0,0.0,1.0
2000-03-07,0.9185,0.9372,0.9185,0.9372,0.3858,35385.0,0.0,1.0
2000-03-08,0.9372,0.9372,0.9185,0.9185,0.3781,41243.0,0.0,1.0
2000-03-09,0.9185,0.9372,0.9185,0.9372,0.3858,79957.0,0.0,1.0
2000-03-10,0.9372,0.9372,0.9091,0.9185,0.3781,134663.0,0.0,1.0
2000-03-13,0.9185,0.9185,0.8997,0.8997,0.3704,244804.0,0.0,1.0
2000-03-14,0.9091,0.9091,0.8997,0.8997,0.3704,163985.0,0.0,1.0
2000-03-15,0.8904,0.8904,0.8716,0.8716,0.3588,70147.0,0.0,1.0
2000-03-16,0.8904,0.8904,0.881,0.881,0.3627,139709.0,0.0,1.0
2000-03-17,0.8763,0.881,0.8763,0.881,0.3627,73106.0,0.0,1.0
2000-03-20,0.881,0.8904,0.8529,0.8529,0.3511,231542.0,0.0,1.0
2000-03-21,0.8716,0.8904,0.8716,0.8904,0.3665,146390.0,0.0,1.0
2000-03-22,0.881,0.8997,0.881,0.8997,0.3704,280245.0,0.0,1.0
2000-03-23,0.8997,0.9278,0.8997,0.9278,0.382,96978.0,0.0,1.0
2000-03-24,0.9185,0.9185,0.8997,0.8997,0.3704,383866.0,0.0,1.0
2000-03-27,0.8904,0.8904,0.881,0.881,0.3627,95305.0,0.0,1.0
2000-03-28,0.881,0.8904,0.8716,0.8716,0.3588,213707.0,0.0,1.0
2000-03-29,0.8716,0.9091,0.8716,0.8904,0.3665,153651.0,0.0,1.0
2000-03-30,0.881,0.8904,0.8622,0.8622,0.355,563965.0,0.0,1.0
2000-03-31,0.8679,0.8904,0.8622,0.881,0.3627,376699.0,0.0,1.0
2000-04-03,0.881,0.8904,0.8716,0.8904,0.3665,72176.0,0.0,1.0
2000-04-04,0.881,0.881,0.8622,0.8622,0.355,73088.0,0.0,1.0
2000-04-05,0.881,0.8904,0.881,0.8904,0.3665,44878.0,0.0,1.0
2000-04-06,0.8904,0.8904,0.881,0.8904,0.3665,55434.0,0.0,1.0
2000-04-07,0.8904,0.8904,0.8904,0.8904,0.3665,25250.0,0.0,1.0
2000-04-10,0.8904,0.9091,0.8904,0.9091,0.3743,392735.0,0.0,1.0
2000-04-11,0.9185,0.9185,0.8997,0.8997,0.3704,92264.0,0.0,1.0
2000-04-12,0.9091,0.9185,0.8997,0.9185,0.3781,19885.0,0.0,1.0
2000-04-13,0.9091,0.9091,0.9091,0.9091,0.3743,12909.0,0.0,1.0
2000-04-14,0.9091,0.9278,0.9091,0.9278,0.382,78315.0,0.0,1.0
2000-04-17,0.9278,0.9278,0.8904,0.8904,0.3665,71482.0,0.0,1.0
2000-04-18,0.8997,0.8997,0.8997,0.8997,0.3704,57495.0,0.0,1.0
2000-04-19,0.8979,0.9091,0.8979,0.8997,0.3704,47437.0,0.0,1.0
2000-04-20,0.9091,0.9091,0.8904,0.9091,0.3743,41351.0,0.0,1.0
2000-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000-04-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000-04-26,0.9185,0.9185,0.9091,0.9091,0.3743,29855.0,0.0,1.0
2000-04-27,0.8997,0.9185,0.8997,0.8997,0.3704,234165.0,0.0,1.0
2000-04-28,0.8997,0.9091,0.8997,0.9091,0.3743,34774.0,0.0,1.0
2000-05-01,0.8997,0.9091,0.8997,0.8997,0.3704,215075.0,0.0,1.0
2000-05-02,0.9091,0.9185,0.8997,0.8997,0.3704,82421.0,0.0,1.0
