date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2015-11-11,2.0747,2.2704,1.9866,2.2117,2.1084,9680156.0,0.0,1.0
2015-11-12,2.2508,2.3976,2.1921,2.2215,2.1177,1343461.0,0.0,1.0
2015-11-13,2.2508,2.3487,2.2019,2.2997,2.1923,784316.0,0.0,1.0
2015-11-16,2.3487,2.3976,2.2508,2.3487,2.239,1165458.0,0.0,1.0
2015-11-17,2.3585,2.4172,2.2802,2.2802,2.1737,481973.0,0.0,1.0
2015-11-18,2.2802,2.2997,2.2215,2.2802,2.1737,9345659.0,0.0,1.0
2015-11-19,2.2802,2.3095,2.241,2.2704,2.1643,351236.0,0.0,1.0
2015-11-20,2.2606,2.3389,2.241,2.3389,2.2296,337562.0,0.0,1.0
2015-11-23,2.3585,2.5835,2.3585,2.5444,2.4255,1040807.0,0.0,1.0
2015-11-24,2.6423,2.6618,2.5542,2.6423,2.5188,635078.0,0.0,1.0
2015-11-25,2.6618,2.7891,2.6423,2.7401,2.6121,899136.0,0.0,1.0
2015-11-26,2.7695,2.7793,2.5835,2.6423,2.5188,437191.0,0.0,1.0
2015-11-27,2.7205,2.838,2.6912,2.7401,2.6121,419757.0,0.0,1.0
2015-11-30,2.7401,2.7891,2.6423,2.7401,2.6121,293983.0,0.0,1.0
2015-12-01,2.6912,2.7401,2.6031,2.6912,2.5655,429492.0,0.0,1.0
2015-12-02,2.7108,2.7205,2.6129,2.6325,2.5095,225244.0,0.0,1.0
2015-12-03,2.6325,2.6912,2.5444,2.6912,2.5655,501527.0,0.0,1.0
2015-12-04,2.6912,2.7499,2.6716,2.7499,2.6214,266018.0,0.0,1.0
2015-12-07,2.7891,2.7891,2.7205,2.7205,2.5935,258497.0,0.0,1.0
2015-12-08,2.7401,2.7891,2.7303,2.7891,2.6588,333992.0,0.0,1.0
2015-12-09,2.7793,2.7891,2.7695,2.7891,2.6588,475667.0,0.0,1.0
2015-12-10,2.7793,2.7793,2.6423,2.6423,2.5188,154931.0,0.0,1.0
2015-12-11,2.6912,2.8771,2.6912,2.8771,2.7427,920848.0,0.0,1.0
2015-12-14,2.8869,3.0239,2.8674,3.0141,2.8733,510730.0,0.0,1.0
2015-12-15,2.9946,3.0141,2.9554,2.9946,2.8547,238662.0,0.0,1.0
2015-12-16,3.0044,3.0044,2.9163,2.9554,2.8174,220647.0,0.0,1.0
2015-12-17,2.9554,3.0239,2.9554,2.9848,2.8453,548297.0,0.0,1.0
2015-12-18,3.0141,3.2881,3.0141,3.1805,3.0319,805387.0,0.0,1.0
2015-12-21,3.2197,3.3371,3.1805,3.3371,3.1812,486911.0,0.0,1.0
2015-12-22,3.3371,3.523,3.3371,3.4252,3.2652,560501.0,0.0,1.0
2015-12-23,3.4349,3.4447,3.3469,3.4252,3.2652,495523.0,0.0,1.0
2015-12-24,3.4154,3.4252,3.3762,3.386,3.2278,83476.0,0.0,1.0
2015-12-28,3.386,3.386,3.386,3.386,3.2278,0.0,0.0,1.0
2015-12-29,3.4349,3.5132,3.4252,3.4447,3.2838,176121.0,0.0,1.0
2015-12-30,3.4839,3.523,3.4643,3.4741,3.3118,362103.0,0.0,1.0
2015-12-31,3.5034,3.5132,3.4643,3.4937,3.3305,83289.0,0.0,1.0
2016-01-04,3.523,3.7383,3.5034,3.6894,3.517,308489.0,0.0,1.0
2016-01-05,3.6796,3.6992,3.5817,3.6111,3.4424,160370.0,0.0,1.0
2016-01-06,3.6502,3.6698,3.523,3.523,3.3584,117595.0,0.0,1.0
2016-01-07,3.5622,3.5622,3.2099,3.2881,3.1345,342396.0,0.0,1.0
