date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2001-01-02,9.538,9.7264,9.538,9.6019,4.8485,1009516.0,0.0,1.0
2001-01-03,9.5792,9.5792,9.3324,9.398,4.7456,1500470.0,0.0,1.0
2001-01-04,9.5566,9.5566,9.4479,9.5113,4.8028,1909220.0,0.0,1.0
2001-01-05,9.5113,9.8623,9.5113,9.851,4.9743,2637745.0,0.0,1.0
2001-01-08,9.7445,9.817,9.6947,9.7604,4.9286,1190012.0,0.0,1.0
2001-01-09,9.7604,9.8329,9.5339,9.6288,4.8621,1680742.0,0.0,1.0
2001-01-10,9.7038,9.7151,9.6222,9.6567,4.8762,1449609.0,0.0,1.0
2001-01-11,9.6471,9.7377,9.398,9.4227,4.7581,1579394.0,0.0,1.0
2001-01-12,9.5967,9.5967,9.398,9.398,4.7456,1419480.0,0.0,1.0
2001-01-15,9.398,9.4388,9.3301,9.4207,4.757,738354.0,0.0,1.0
2001-01-16,9.6483,9.851,9.6358,9.7194,4.9079,3615224.0,0.0,1.0
2001-01-17,9.7398,10.4171,9.7398,10.4151,5.2592,11328498.0,0.0,1.0
2001-01-18,10.4187,10.4284,10.2314,10.3498,5.2262,4448448.0,0.0,1.0
2001-01-19,10.3945,10.4171,10.3152,10.3831,5.243,2954906.0,0.0,1.0
2001-01-22,10.4072,10.4072,10.3039,10.3356,5.219,2540831.0,0.0,1.0
2001-01-23,10.3265,10.3265,10.168,10.1906,5.1458,3188260.0,0.0,1.0
2001-01-24,10.1906,10.2156,10.1793,10.2133,5.1573,4288000.0,0.0,1.0
2001-01-25,10.1925,10.2812,10.168,10.1929,5.147,1044383.0,0.0,1.0
2001-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2001-01-29,10.2208,10.4624,10.202,10.4472,5.2754,5207561.0,0.0,1.0
2001-01-30,10.5525,11.1237,10.5525,11.0852,5.5975,5526295.0,0.0,1.0
2001-01-31,11.1302,11.3297,11.0965,11.0965,5.6032,3612659.0,0.0,1.0
2001-02-01,11.0965,11.3003,11.0965,11.2208,5.666,1955833.0,0.0,1.0
2001-02-02,11.233,11.255,11.144,11.2097,5.6604,1632494.0,0.0,1.0
2001-02-05,11.2097,11.2097,10.9606,10.9606,5.5346,1578705.0,0.0,1.0
2001-02-06,11.0399,11.1984,11.0286,11.1117,5.6109,1291183.0,0.0,1.0
2001-02-07,11.0929,11.0929,10.8836,10.9083,5.5082,2774313.0,0.0,1.0
2001-02-08,10.9063,10.9878,10.8813,10.9373,5.5228,1231910.0,0.0,1.0
