date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2017-05-04,0.65,0.77,0.55,0.645,0.645,7478060.0,0.0,1.0
2017-05-05,0.66,0.82,0.65,0.665,0.665,5412705.0,0.0,1.0
2017-05-08,0.705,0.755,0.67,0.7,0.7,2585876.0,0.0,1.0
2017-05-09,0.71,0.715,0.665,0.67,0.67,888078.0,0.0,1.0
2017-05-10,0.685,0.69,0.62,0.625,0.625,635686.0,0.0,1.0
2017-05-11,0.61,0.61,0.55,0.57,0.57,1756666.0,0.0,1.0
2017-05-12,0.6,0.6,0.56,0.57,0.57,505879.0,0.0,1.0
2017-05-15,0.575,0.6,0.55,0.58,0.58,616656.0,0.0,1.0
2017-05-16,0.6,0.6,0.585,0.59,0.59,150679.0,0.0,1.0
2017-05-17,0.58,0.595,0.57,0.57,0.57,221783.0,0.0,1.0
2017-05-18,0.57,0.59,0.555,0.56,0.56,280648.0,0.0,1.0
2017-05-19,0.58,0.58,0.555,0.555,0.555,193825.0,0.0,1.0
2017-05-22,0.56,0.58,0.535,0.55,0.55,298271.0,0.0,1.0
2017-05-23,0.55,0.55,0.505,0.52,0.52,348881.0,0.0,1.0
2017-05-24,0.51,0.51,0.45,0.485,0.485,747801.0,0.0,1.0
2017-05-25,0.49,0.55,0.47,0.54,0.54,452583.0,0.0,1.0
2017-05-26,0.55,0.58,0.515,0.55,0.55,439054.0,0.0,1.0
2017-05-29,0.55,0.57,0.54,0.56,0.56,88378.0,0.0,1.0
2017-05-30,0.57,0.57,0.525,0.53,0.53,257880.0,0.0,1.0
2017-05-31,0.55,0.55,0.525,0.53,0.53,474110.0,0.0,1.0
2017-06-01,0.545,0.545,0.525,0.53,0.53,243651.0,0.0,1.0
2017-06-02,0.53,0.53,0.52,0.52,0.52,156469.0,0.0,1.0
2017-06-05,0.525,0.53,0.5,0.51,0.51,655741.0,0.0,1.0
2017-06-06,0.52,0.54,0.52,0.52,0.52,276951.0,0.0,1.0
2017-06-07,0.525,0.53,0.52,0.52,0.52,203753.0,0.0,1.0
2017-06-08,0.52,0.52,0.49,0.5,0.5,124680.0,0.0,1.0
2017-06-09,0.495,0.525,0.48,0.505,0.505,140129.0,0.0,1.0
2017-06-13,0.51,0.525,0.465,0.48,0.48,643976.0,0.0,1.0
2017-06-14,0.48,0.48,0.47,0.48,0.48,38148.0,0.0,1.0
2017-06-15,0.48,0.49,0.47,0.48,0.48,113220.0,0.0,1.0
2017-06-16,0.5,0.505,0.49,0.5,0.5,163553.0,0.0,1.0
2017-06-19,0.505,0.52,0.495,0.52,0.52,377157.0,0.0,1.0
2017-06-20,0.53,0.56,0.53,0.56,0.56,244780.0,0.0,1.0
2017-06-21,0.55,0.565,0.545,0.55,0.55,169901.0,0.0,1.0
2017-06-22,0.57,0.58,0.55,0.575,0.575,142570.0,0.0,1.0
2017-06-23,0.58,0.62,0.56,0.605,0.605,428793.0,0.0,1.0
2017-06-26,0.615,0.64,0.585,0.61,0.61,335726.0,0.0,1.0
2017-06-27,0.61,0.61,0.59,0.6,0.6,285920.0,0.0,1.0
2017-06-28,0.6,0.6,0.585,0.6,0.6,137850.0,0.0,1.0
2017-06-29,0.6,0.64,0.6,0.625,0.625,120240.0,0.0,1.0
2017-06-30,0.625,0.63,0.6,0.625,0.625,264840.0,0.0,1.0
2017-07-03,0.62,0.625,0.595,0.6,0.6,83664.0,0.0,1.0
2017-07-04,0.6,0.6,0.595,0.6,0.6,155562.0,0.0,1.0
2017-07-05,0.6,0.6,0.59,0.6,0.6,51988.0,0.0,1.0
2017-07-06,0.6,0.61,0.58,0.61,0.61,70594.0,0.0,1.0
2017-07-07,0.61,0.61,0.575,0.58,0.58,87756.0,0.0,1.0
2017-07-10,0.585,0.585,0.55,0.55,0.55,237285.0,0.0,1.0
2017-07-11,0.56,0.565,0.555,0.56,0.56,34472.0,0.0,1.0
2017-07-12,0.57,0.57,0.56,0.56,0.56,40870.0,0.0,1.0
2017-07-13,0.56,0.57,0.555,0.56,0.56,38370.0,0.0,1.0
2017-07-14,0.57,0.575,0.57,0.575,0.575,63959.0,0.0,1.0
2017-07-17,0.57,0.58,0.56,0.58,0.58,77949.0,0.0,1.0
2017-07-18,0.58,0.6,0.575,0.59,0.59,185493.0,0.0,1.0
2017-07-19,0.6,0.6,0.58,0.585,0.585,186595.0,0.0,1.0
2017-07-20,0.595,0.6,0.58,0.58,0.58,134262.0,0.0,1.0
2017-07-21,0.59,0.595,0.585,0.585,0.585,63967.0,0.0,1.0
2017-07-24,0.6,0.605,0.595,0.605,0.605,305149.0,0.0,1.0
2017-07-25,0.605,0.62,0.6,0.6,0.6,83835.0,0.0,1.0
2017-07-26,0.62,0.62,0.605,0.62,0.62,76815.0,0.0,1.0
2017-07-27,0.62,0.63,0.61,0.625,0.625,176955.0,0.0,1.0
2017-07-28,0.63,0.68,0.63,0.68,0.68,734860.0,0.0,1.0
2017-07-31,0.69,0.7,0.68,0.685,0.685,914605.0,0.0,1.0
2017-08-01,0.685,0.735,0.685,0.72,0.72,492134.0,0.0,1.0
2017-08-02,0.75,0.85,0.725,0.79,0.79,472366.0,0.0,1.0
2017-08-03,0.79,0.82,0.79,0.815,0.815,302802.0,0.0,1.0
2017-08-04,0.82,0.99,0.82,0.94,0.94,1426704.0,0.0,1.0
2017-08-07,0.98,0.98,0.82,0.825,0.825,1133358.0,0.0,1.0
2017-08-08,0.835,0.92,0.835,0.855,0.855,275854.0,0.0,1.0
2017-08-09,0.875,0.91,0.855,0.88,0.88,241628.0,0.0,1.0
2017-08-10,0.91,0.96,0.9,0.955,0.955,703703.0,0.0,1.0
2017-08-11,0.935,0.96,0.93,0.96,0.96,334076.0,0.0,1.0
2017-08-14,0.96,1.04,0.93,1.04,1.04,847380.0,0.0,1.0
2017-08-15,1.1,1.275,1.08,1.2,1.2,1422114.0,0.0,1.0
2017-08-16,1.22,1.275,1.21,1.24,1.24,582258.0,0.0,1.0
2017-08-17,1.24,1.3,1.24,1.28,1.28,525512.0,0.0,1.0
2017-08-18,1.3,1.49,1.29,1.38,1.38,1822430.0,0.0,1.0
2017-08-21,1.4,1.41,1.075,1.2,1.2,1831024.0,0.0,1.0
2017-08-22,1.215,1.24,1.1,1.23,1.23,988314.0,0.0,1.0
2017-08-23,1.23,1.23,1.145,1.145,1.145,189461.0,0.0,1.0
2017-08-24,1.155,1.155,0.985,1.05,1.05,873160.0,0.0,1.0
2017-08-25,1.11,1.17,1.09,1.17,1.17,484722.0,0.0,1.0
2017-08-28,1.25,1.27,1.155,1.155,1.155,783518.0,0.0,1.0
2017-08-29,1.15,1.155,1.08,1.14,1.14,238298.0,0.0,1.0
2017-08-30,1.135,1.135,1.09,1.13,1.13,188382.0,0.0,1.0
2017-08-31,1.13,1.145,1.08,1.145,1.145,222463.0,0.0,1.0
2017-09-01,1.16,1.19,1.15,1.15,1.15,172713.0,0.0,1.0
2017-09-04,1.18,1.18,1.155,1.17,1.17,149951.0,0.0,1.0
2017-09-05,1.17,1.225,1.165,1.215,1.215,518688.0,0.0,1.0
2017-09-06,1.23,1.245,1.18,1.215,1.215,177563.0,0.0,1.0
2017-09-07,1.225,1.225,1.16,1.18,1.18,126054.0,0.0,1.0
2017-09-08,1.175,1.18,1.15,1.18,1.18,104708.0,0.0,1.0
2017-09-11,1.18,1.18,1.13,1.16,1.16,91085.0,0.0,1.0
2017-09-12,1.14,1.16,1.12,1.12,1.12,84886.0,0.0,1.0
2017-09-13,1.12,1.155,1.115,1.14,1.14,57842.0,0.0,1.0
2017-09-14,1.14,1.14,1.12,1.14,1.14,20705.0,0.0,1.0
2017-09-15,1.14,1.14,1.1,1.11,1.11,141482.0,0.0,1.0
2017-09-18,1.11,1.155,1.11,1.14,1.14,162054.0,0.0,1.0
2017-09-19,1.15,1.175,1.15,1.165,1.165,116921.0,0.0,1.0
2017-09-20,1.16,1.185,1.15,1.185,1.185,102299.0,0.0,1.0
2017-09-21,1.185,1.22,1.14,1.22,1.22,176599.0,0.0,1.0
2017-09-22,1.22,1.22,1.16,1.16,1.16,160222.0,0.0,1.0
2017-09-25,1.19,1.2,1.16,1.165,1.165,21660.0,0.0,1.0
2017-09-26,1.2,1.2,1.185,1.185,1.185,91859.0,0.0,1.0
2017-09-27,1.21,1.21,1.17,1.2,1.2,73961.0,0.0,1.0
2017-09-28,1.2,1.2,1.17,1.18,1.18,45289.0,0.0,1.0
2017-09-29,1.18,1.2,1.175,1.19,1.19,37723.0,0.0,1.0
2017-10-02,1.2,1.2,1.18,1.195,1.195,59544.0,0.0,1.0
2017-10-03,1.2,1.31,1.19,1.295,1.295,453773.0,0.0,1.0
2017-10-04,1.295,1.295,1.255,1.26,1.26,165632.0,0.0,1.0
2017-10-05,1.27,1.395,1.27,1.37,1.37,168973.0,0.0,1.0
2017-10-06,1.38,1.38,1.31,1.31,1.31,193111.0,0.0,1.0
2017-10-09,1.315,1.33,1.31,1.32,1.32,79032.0,0.0,1.0
2017-10-10,1.335,1.34,1.32,1.34,1.34,45596.0,0.0,1.0
2017-10-11,1.34,1.345,1.2,1.205,1.205,567025.0,0.0,1.0
