date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2009-09-10,3.92,3.99,3.85,3.99,2.8711,16733600.0,0.0,1.0
2009-09-11,4.0,4.05,3.89,3.94,2.8351,1998000.0,0.0,1.0
2009-09-14,3.96,3.96,3.7,3.78,2.72,1968200.0,0.0,1.0
2009-09-15,3.78,3.8,3.56,3.63,2.6121,1610100.0,0.0,1.0
2009-09-16,3.63,3.73,3.62,3.68,2.648,1089400.0,0.0,1.0
2009-09-17,3.7,3.71,3.64,3.7,2.6624,2109100.0,0.0,1.0
2009-09-18,3.69,3.83,3.69,3.81,2.7416,1192900.0,0.0,1.0
2009-09-21,3.85,3.85,3.78,3.8,2.7344,1897800.0,0.0,1.0
2009-09-22,3.81,3.84,3.77,3.8,2.7344,841000.0,0.0,1.0
2009-09-23,3.81,3.81,3.77,3.78,2.72,1030100.0,0.0,1.0
2009-09-24,3.73,3.75,3.7,3.72,2.6768,2301000.0,0.0,1.0
2009-09-25,3.74,3.8,3.71,3.72,2.6768,1790600.0,0.0,1.0
2009-09-28,3.71,3.75,3.71,3.72,2.6768,1046000.0,0.0,1.0
2009-09-29,3.72,3.72,3.62,3.67,2.6408,672200.0,0.0,1.0
2009-09-30,3.69,3.78,3.69,3.75,2.6984,528100.0,0.0,1.0
2009-10-01,3.7,3.79,3.7,3.77,2.7128,218300.0,0.0,1.0
2009-10-02,3.71,3.76,3.71,3.73,2.684,236900.0,0.0,1.0
2009-10-05,3.76,3.77,3.71,3.72,2.6768,85200.0,0.0,1.0
2009-10-06,3.72,3.8,3.72,3.8,2.7344,150100.0,0.0,1.0
2009-10-07,3.79,3.84,3.74,3.84,2.7632,226800.0,0.0,1.0
2009-10-08,3.81,3.9,3.78,3.86,2.7776,467900.0,0.0,1.0
2009-10-09,3.85,3.9,3.85,3.89,2.7991,701000.0,0.0,1.0
2009-10-12,3.88,3.92,3.87,3.9,2.8063,823600.0,0.0,1.0
2009-10-13,3.89,3.9,3.79,3.83,2.756,292400.0,0.0,1.0
2009-10-14,3.85,3.9,3.84,3.9,2.8063,769100.0,0.0,1.0
2009-10-15,3.9,3.9,3.81,3.86,2.7776,767300.0,0.0,1.0
2009-10-16,3.88,3.9,3.87,3.9,2.8063,734800.0,0.0,1.0
2009-10-19,3.9,3.92,3.85,3.9,2.8063,562500.0,0.0,1.0
2009-10-20,3.91,4.03,3.9,4.03,2.8999,588200.0,0.0,1.0
2009-10-21,4.03,4.03,3.96,3.96,2.8495,562200.0,0.0,1.0
2009-10-22,4.01,4.1,4.01,4.1,2.9503,600200.0,0.0,1.0
2009-10-23,4.15,4.16,4.03,4.09,2.9431,915400.0,0.0,1.0
2009-10-26,4.08,4.08,4.02,4.05,2.9143,153400.0,0.0,1.0
2009-10-27,4.01,4.03,3.98,4.0,2.8783,651400.0,0.0,1.0
2009-10-28,4.02,4.07,3.99,4.01,2.8855,1102900.0,0.0,1.0
2009-10-29,4.01,4.03,3.98,4.0,2.8783,541400.0,0.0,1.0
2009-10-30,4.05,4.1,4.01,4.09,2.9431,134400.0,0.0,1.0
2009-11-02,4.06,4.15,4.04,4.15,2.9862,268900.0,0.0,1.0
2009-11-03,4.11,4.14,4.03,4.1,2.9503,393900.0,0.0,1.0
2009-11-04,4.12,4.13,4.03,4.11,2.9575,188800.0,0.0,1.0
2009-11-05,4.13,4.16,4.13,4.16,2.9934,334000.0,0.0,1.0
2009-11-06,4.15,4.25,4.15,4.25,3.0582,573400.0,0.0,1.0
2009-11-09,4.29,4.39,4.2,4.38,3.1517,169000.0,0.0,1.0
2009-11-10,4.4,4.45,4.36,4.36,3.1373,449200.0,0.0,1.0
2009-11-11,4.44,4.49,4.35,4.35,3.1302,132700.0,0.0,1.0
2009-11-12,4.38,4.48,4.35,4.48,3.2237,223000.0,0.0,1.0
2009-11-13,4.46,4.53,4.4,4.53,3.2597,210400.0,0.0,1.0
2009-11-16,4.55,4.55,4.47,4.5,3.2381,306800.0,0.0,1.0
2009-11-17,4.5,4.56,4.46,4.5,3.2381,267300.0,0.0,1.0
2009-11-18,4.5,4.5,4.46,4.5,3.2381,83800.0,0.0,1.0
2009-11-19,4.48,4.56,4.46,4.52,3.2525,228300.0,0.0,1.0
2009-11-20,4.55,4.65,4.55,4.63,3.3316,82800.0,0.0,1.0
2009-11-23,4.63,4.64,4.52,4.6,3.31,85800.0,0.0,1.0
2009-11-24,4.6,4.6,4.51,4.55,3.2741,940200.0,0.0,1.0
2009-11-25,4.53,4.53,4.39,4.47,3.2165,222700.0,0.0,1.0
2009-11-26,4.47,4.59,4.41,4.56,3.2813,711600.0,0.0,1.0
2009-11-27,4.52,4.52,4.42,4.45,3.2021,117500.0,0.0,1.0
2009-11-30,4.6,4.6,4.48,4.48,3.2237,375800.0,0.0,1.0
2009-12-01,4.48,4.68,4.48,4.66,3.3532,435300.0,0.0,1.0
2009-12-02,4.7,4.8,4.63,4.7,3.382,731200.0,0.0,1.0
2009-12-03,4.7,4.7,4.57,4.69,3.3748,647300.0,0.0,1.0
2009-12-04,4.75,4.9,4.66,4.88,3.5115,1029000.0,0.0,1.0
2009-12-07,4.88,4.9,4.69,4.8,3.454,432200.0,0.0,1.0
2009-12-08,4.85,4.89,4.77,4.82,3.4684,781000.0,0.0,1.0
2009-12-09,4.82,4.82,4.82,4.82,3.4684,0.0,0.0,1.0
2009-12-10,4.77,4.86,4.77,4.78,3.4396,330828.0,0.0,1.0
2009-12-11,4.85,4.96,4.8,4.9,3.5259,692184.0,0.0,1.0
2009-12-14,4.92,4.92,4.75,4.86,3.4971,190745.0,0.0,1.0
2009-12-15,4.87,5.02,4.85,5.0,3.5979,1235278.0,0.0,1.0
2009-12-16,4.99,5.0,4.92,4.95,3.5619,239710.0,0.0,1.0
2009-12-17,4.95,4.99,4.88,4.88,3.5115,563495.0,0.0,1.0
2009-12-18,4.87,5.1,4.79,5.05,3.6339,3289696.0,0.0,1.0
2009-12-21,5.03,5.2,5.03,5.2,3.7418,303927.0,0.0,1.0
2009-12-22,5.2,5.4,5.14,5.3,3.8137,664511.0,0.0,1.0
2009-12-23,5.4,5.42,5.32,5.35,3.8497,286304.0,0.0,1.0
2009-12-24,5.4,5.7,5.4,5.42,3.9001,575058.0,0.0,1.0
2009-12-29,5.45,5.5,5.34,5.42,3.9001,133205.0,0.0,1.0
2009-12-30,5.45,5.45,5.35,5.37,3.8641,53408.0,0.0,1.0
2009-12-31,5.42,5.45,5.35,5.35,3.8497,88075.0,0.0,1.0
2010-01-04,5.45,5.5,5.36,5.38,3.8713,201037.0,0.0,1.0
2010-01-05,5.45,5.48,5.44,5.45,3.9217,762168.0,0.0,1.0
2010-01-06,5.46,5.46,5.4,5.41,3.8929,1133167.0,0.0,1.0
2010-01-07,5.4,5.41,5.36,5.4,3.8857,451179.0,0.0,1.0
2010-01-08,5.4,5.4,5.1,5.18,3.7274,415297.0,0.0,1.0
2010-01-11,5.2,5.25,4.95,5.03,3.6195,897917.0,0.0,1.0
2010-01-12,4.94,5.02,4.77,4.99,3.5907,730627.0,0.0,1.0
2010-01-13,4.96,5.08,4.92,5.04,3.6267,175071.0,0.0,1.0
2010-01-14,5.05,5.08,5.0,5.05,3.6339,403061.0,0.0,1.0
2010-01-15,5.05,5.13,5.04,5.11,3.677,158097.0,0.0,1.0
2010-01-18,5.13,5.16,5.01,5.14,3.6986,373536.0,0.0,1.0
2010-01-19,5.11,5.11,4.86,5.0,3.5979,347590.0,0.0,1.0
2010-01-20,5.01,5.01,4.79,4.79,3.4468,168226.0,0.0,1.0
2010-01-21,4.75,4.9,4.67,4.79,3.4468,258935.0,0.0,1.0
2010-01-22,4.67,4.96,4.55,4.94,3.5547,360381.0,0.0,1.0
2010-01-25,4.94,4.95,4.77,4.91,3.5331,268517.0,0.0,1.0
2010-01-27,4.86,4.87,4.56,4.65,3.346,364914.0,0.0,1.0
2010-01-28,4.59,4.65,4.55,4.59,3.3028,216946.0,0.0,1.0
2010-01-29,4.54,4.55,4.4,4.51,3.2453,330974.0,0.0,1.0
2010-02-01,4.5,4.51,4.37,4.4,3.1661,330691.0,0.0,1.0
2010-02-02,4.36,4.51,4.35,4.49,3.2309,526641.0,0.0,1.0
2010-02-03,4.6,4.62,4.4,4.57,3.2885,463820.0,0.0,1.0
2010-02-04,4.57,4.69,4.45,4.61,3.3172,243399.0,0.0,1.0
2010-02-05,4.43,4.51,4.33,4.48,3.2237,252621.0,0.0,1.0
2010-02-08,4.46,4.59,4.4,4.48,3.2237,107064.0,0.0,1.0
2010-02-09,4.4,4.59,4.39,4.54,3.2669,474360.0,0.0,1.0
2010-02-10,4.51,4.58,4.51,4.58,3.2957,71938.0,0.0,1.0
2010-02-11,4.75,4.75,4.57,4.63,3.3316,115241.0,0.0,1.0
2010-02-12,4.63,4.63,4.49,4.5,3.2381,583821.0,0.0,1.0
2010-02-15,4.45,4.48,4.38,4.38,3.1517,151604.0,0.0,1.0
2010-02-16,4.4,4.57,4.4,4.48,3.2237,670884.0,0.0,1.0
2010-02-17,4.53,4.79,4.53,4.76,3.4252,1507064.0,0.0,1.0
2010-02-18,4.75,4.9,4.73,4.85,3.4899,1517633.0,0.0,1.0
2010-02-19,4.86,5.0,4.82,5.0,3.5979,898728.0,0.0,1.0
2010-02-22,5.09,5.09,4.88,4.95,3.5619,660876.0,0.0,1.0
2010-02-23,4.95,5.01,4.88,4.94,3.5547,134938.0,0.0,1.0
2010-02-24,4.94,4.94,4.79,4.85,3.4899,1960136.0,0.0,1.0
2010-02-25,4.86,4.93,4.76,4.9,3.5259,1409453.0,0.0,1.0
2010-02-26,4.9,4.9,4.79,4.87,3.5043,582010.0,0.0,1.0
2010-03-01,4.89,5.0,4.83,4.99,3.5907,434321.0,0.0,1.0
2010-03-02,5.0,5.0,4.83,4.9,3.5259,247028.0,0.0,1.0
2010-03-03,4.88,4.98,4.83,4.85,3.4899,456135.0,0.0,1.0
2010-03-04,4.9,5.17,4.9,5.15,3.7058,724361.0,0.0,1.0
2010-03-05,5.15,5.19,5.04,5.11,3.677,335878.0,0.0,1.0
2010-03-08,5.17,5.19,5.11,5.18,3.7274,208519.0,0.0,1.0
2010-03-09,5.18,5.28,5.12,5.26,3.785,564085.0,0.0,1.0
2010-03-10,5.29,5.35,5.22,5.26,3.785,475965.0,0.0,1.0
2010-03-11,5.27,5.35,5.16,5.29,3.8066,282341.0,0.0,1.0
2010-03-12,5.28,5.3,5.19,5.26,3.785,83303.0,0.0,1.0
2010-03-15,5.26,5.3,5.16,5.16,3.713,255211.0,0.0,1.0
2010-03-16,5.18,5.25,5.12,5.24,3.7706,316809.0,0.0,1.0
2010-03-17,5.28,5.45,5.27,5.42,3.9001,459814.0,0.0,1.0
2010-03-18,5.5,5.5,5.33,5.45,3.9217,376320.0,0.0,1.0
