date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-04,26.0588,26.0588,25.7206,25.7903,8.6181,1018072.0,0.0,1.0
2000-01-05,25.3536,25.3924,25.1139,25.2134,8.4254,2191283.0,0.0,1.0
2000-01-06,25.3626,25.3626,24.6664,24.7161,8.2592,1505531.0,0.0,1.0
2000-01-07,24.913,25.1139,24.736,24.9647,8.3423,1414041.0,0.0,1.0
2000-01-10,25.3626,25.6212,25.3129,25.5615,8.5417,1396460.0,0.0,1.0
2000-01-11,25.5317,25.5516,25.0841,25.1487,8.4037,2105483.0,0.0,1.0
2000-01-12,25.0562,25.462,25.0145,25.3129,8.4586,1775060.0,0.0,1.0
2000-01-13,25.3129,25.5118,25.0045,25.1139,8.3921,1944062.0,0.0,1.0
2000-01-14,25.2114,25.5118,25.1438,25.4451,8.5028,1243321.0,0.0,1.0
2000-01-17,25.5615,25.8102,25.4422,25.7505,8.6048,1499467.0,0.0,1.0
2000-01-18,25.7107,25.7604,25.462,25.6749,8.5796,3140069.0,0.0,1.0
2000-01-19,25.462,25.462,25.1637,25.1637,8.4088,1166862.0,0.0,1.0
2000-01-20,25.2124,25.5018,25.1537,25.462,8.5084,2149039.0,0.0,1.0
2000-01-21,25.2611,25.4123,25.2611,25.3924,8.4852,964817.0,0.0,1.0
2000-01-24,25.4024,25.7505,25.4024,25.462,8.5084,1159293.0,0.0,1.0
2000-01-25,25.1438,25.3626,25.1139,25.3129,8.4586,1392194.0,0.0,1.0
2000-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000-01-27,25.2631,25.8102,25.2631,25.7306,8.5982,1651667.0,0.0,1.0
2000-01-28,25.7405,26.4069,25.7405,26.1185,8.7278,6896134.0,0.0,1.0
2000-01-31,25.7575,26.0588,25.661,25.9594,8.6747,672914.0,0.0,1.0
2000-02-01,25.9594,26.0091,25.462,25.5277,8.5304,972983.0,0.0,1.0
2000-02-02,25.5217,25.7604,25.3626,25.5158,8.5264,1082767.0,0.0,1.0
2000-02-03,25.4531,25.4531,24.9548,25.0642,8.3755,2356553.0,0.0,1.0
2000-02-04,25.0642,25.7604,25.0642,25.4223,8.4952,1090758.0,0.0,1.0
2000-02-07,25.3626,25.8201,25.3129,25.5317,8.5317,1031920.0,0.0,1.0
2000-02-08,25.5317,25.6311,25.3129,25.4083,8.4905,1000208.0,0.0,1.0
2000-02-09,25.462,25.8102,25.2333,25.661,8.5749,1792499.0,0.0,1.0
2000-02-10,25.5615,26.1085,25.5615,26.0061,8.6903,3803236.0,0.0,1.0
2000-02-11,25.8599,26.6357,25.8599,26.3632,8.8096,1762940.0,0.0,1.0
2000-02-14,26.0588,26.6655,26.0588,26.4626,8.8428,2002194.0,0.0,1.0
2000-02-15,26.572,27.0037,26.572,27.0037,9.0236,3197592.0,0.0,1.0
2000-02-16,27.0037,27.3518,26.6556,26.7351,8.9339,2275938.0,0.0,1.0
2000-02-17,25.8499,26.3472,25.8499,25.9594,8.867,4540401.0,0.0,1.0
2000-02-18,25.9594,26.1583,25.7604,26.024,8.8891,1316360.0,0.0,1.0
2000-02-21,24.9468,26.0688,24.9468,25.6709,8.7685,1399833.0,0.0,1.0
2000-02-22,25.5615,26.0091,25.5615,25.9235,8.8548,1234964.0,0.0,1.0
2000-02-23,25.8599,26.1782,25.8599,26.0389,8.8942,1511510.0,0.0,1.0
2000-02-24,25.8599,26.0688,25.661,25.8678,8.8357,1349300.0,0.0,1.0
2000-02-25,25.4561,26.0091,25.4561,25.83,8.8228,1982153.0,0.0,1.0
2000-02-28,25.5695,25.661,25.0841,25.099,8.5731,1697701.0,0.0,1.0
2000-02-29,25.3626,25.3626,24.8056,24.8573,8.4906,1535194.0,0.0,1.0
2000-03-01,24.8653,25.8499,24.6166,25.661,8.7651,1675551.0,0.0,1.0
2000-03-02,25.661,25.661,25.2134,25.5118,8.7141,1334163.0,0.0,1.0
2000-03-03,25.3626,25.4123,24.7559,25.105,8.5752,1968319.0,0.0,1.0
2000-03-06,25.1607,25.3626,24.7658,24.8653,8.4933,1557293.0,0.0,1.0
2000-03-07,24.5589,24.8553,24.4674,24.5669,8.3914,2225708.0,0.0,1.0
2000-03-08,24.5669,24.5669,24.5669,24.5669,8.3914,0.0,0.0,1.0
2000-03-09,24.5669,24.5669,24.5669,24.5669,8.3914,0.0,0.0,1.0
2000-03-10,22.4782,23.3535,22.3688,22.8761,7.8138,7356996.0,0.0,1.0
2000-03-13,22.9755,23.2739,22.8462,22.9954,7.8546,2673211.0,0.0,1.0
2000-03-14,22.9755,23.3634,22.9258,22.9755,7.8478,1774577.0,0.0,1.0
2000-03-15,22.9755,23.4231,22.896,23.3833,7.9871,1927675.0,0.0,1.0
2000-03-16,23.7613,23.7712,23.1744,23.1774,7.9168,1617766.0,0.0,1.0
2000-03-17,23.5633,23.5633,22.8761,22.8761,7.8138,2470537.0,0.0,1.0
2000-03-20,22.8761,22.9656,22.7468,22.8661,7.8104,2090196.0,0.0,1.0
2000-03-21,22.8761,22.8761,22.4882,22.5478,7.7017,1796497.0,0.0,1.0
2000-03-22,22.6771,22.7567,22.5279,22.5379,7.6983,2223999.0,0.0,1.0
2000-03-23,22.6553,22.7269,22.329,22.4285,7.661,1979848.0,0.0,1.0
2000-03-24,22.4285,22.5677,22.2395,22.5071,7.6878,3037724.0,0.0,1.0
2000-03-27,22.5777,22.8661,22.4683,22.6015,7.7201,1550684.0,0.0,1.0
2000-03-28,22.5777,22.6374,22.4782,22.6274,7.7289,1493387.0,0.0,1.0
2000-03-29,22.6274,22.707,22.4981,22.5777,7.7119,1705502.0,0.0,1.0
2000-03-30,22.6483,22.6483,22.4981,22.5339,7.697,908618.0,0.0,1.0
2000-03-31,22.4862,22.5777,22.329,22.4185,7.6575,2555753.0,0.0,1.0
2000-04-03,22.4185,22.9954,22.4185,22.878,7.8145,1348028.0,0.0,1.0
2000-04-04,23.2232,23.6121,23.075,23.5325,8.0381,1704835.0,0.0,1.0
2000-04-05,23.6717,24.3481,23.6717,24.1492,8.2487,2409922.0,0.0,1.0
2000-04-06,23.8707,24.0696,23.811,23.9502,8.1807,1934381.0,0.0,1.0
2000-04-07,23.8796,23.9701,23.3734,23.6419,8.0754,1860933.0,0.0,1.0
2000-04-10,23.6717,23.6717,23.254,23.3236,7.9667,1318984.0,0.0,1.0
2000-04-11,23.3137,23.9701,23.2441,23.6717,8.0856,2285574.0,0.0,1.0
2000-04-12,23.7802,24.2188,23.7712,24.1432,8.2467,3062965.0,0.0,1.0
2000-04-13,24.2188,25.0145,24.2188,24.8354,8.4831,5404250.0,0.0,1.0
2000-04-14,24.4167,25.4819,24.4167,25.462,8.6971,3059321.0,0.0,1.0
2000-04-17,24.5032,24.9747,24.4177,24.7609,8.4576,2142248.0,0.0,1.0
2000-04-18,25.0642,25.7604,25.0642,25.7346,8.7902,3123851.0,0.0,1.0
2000-04-19,25.7604,26.0688,25.7604,26.0091,8.884,1986717.0,0.0,1.0
2000-04-20,25.8042,25.9594,25.7604,25.9305,8.8571,849188.0,0.0,1.0
2000-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000-04-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000-04-26,26.1583,26.4865,26.0091,26.4567,9.0369,3117316.0,0.0,1.0
