date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-04,4.14,4.14,3.94,3.98,1.7369,1094204.0,0.0,1.0
2000-01-05,3.962,3.962,3.85,3.95,1.7239,1765760.0,0.0,1.0
2000-01-06,3.995,3.995,3.87,3.9,1.702,2284707.0,0.0,1.0
2000-01-07,3.946,3.95,3.91,3.95,1.7239,2008865.0,0.0,1.0
2000-01-10,4.05,4.1,3.98,4.01,1.75,788549.0,0.0,1.0
2000-01-11,4.01,4.01,3.84,3.84,1.6759,941586.0,0.0,1.0
2000-01-12,3.9,4.0,3.82,3.833,1.6728,1280644.0,0.0,1.0
2000-01-13,3.81,3.87,3.69,3.73,1.6278,1221493.0,0.0,1.0
2000-01-14,3.8,3.8,3.65,3.8,1.6584,2545317.0,0.0,1.0
2000-01-17,3.874,3.874,3.76,3.8,1.6584,1958658.0,0.0,1.0
2000-01-18,3.872,3.89,3.77,3.77,1.6453,610655.0,0.0,1.0
2000-01-19,3.8,3.8,3.68,3.7,1.6148,950707.0,0.0,1.0
2000-01-20,3.8,3.85,3.74,3.79,1.654,1183454.0,0.0,1.0
2000-01-21,3.841,3.841,3.75,3.79,1.654,641725.0,0.0,1.0
2000-01-24,3.81,3.88,3.78,3.8,1.6584,515511.0,0.0,1.0
2000-01-25,3.8,3.8,3.7,3.72,1.6235,860322.0,0.0,1.0
2000-01-26,3.72,3.72,3.72,3.72,1.6235,0.0,0.0,1.0
2000-01-27,3.741,3.741,3.5,3.64,1.5886,2370302.0,0.0,1.0
2000-01-28,3.6,3.82,3.6,3.81,1.6628,1808771.0,0.0,1.0
2000-01-31,3.79,3.79,3.66,3.73,1.6278,2007428.0,0.0,1.0
2000-02-01,3.788,3.788,3.62,3.66,1.5973,869193.0,0.0,1.0
2000-02-02,3.66,3.7,3.6,3.649,1.5925,1680365.0,0.0,1.0
2000-02-03,3.65,3.71,3.6,3.672,1.6025,860788.0,0.0,1.0
2000-02-04,3.731,3.731,3.55,3.557,1.5523,483388.0,0.0,1.0
2000-02-07,3.6,3.62,3.5,3.5,1.5275,511924.0,0.0,1.0
2000-02-08,3.5,3.53,3.45,3.5,1.5275,759904.0,0.0,1.0
2000-02-09,3.5,3.68,3.5,3.53,1.5406,556402.0,0.0,1.0
2000-02-10,3.46,3.58,3.45,3.53,1.5406,2886123.0,0.0,1.0
2000-02-11,3.49,3.49,3.35,3.36,1.4664,854202.0,0.0,1.0
2000-02-14,3.35,3.35,3.21,3.21,1.4009,920494.0,0.0,1.0
2000-02-15,3.27,3.37,3.27,3.36,1.4664,1696709.0,0.0,1.0
2000-02-16,3.4,3.58,3.38,3.507,1.5305,957180.0,0.0,1.0
2000-02-17,3.5,3.63,3.5,3.623,1.5811,1189302.0,0.0,1.0
2000-02-18,3.6,3.63,3.4,3.416,1.4908,745893.0,0.0,1.0
2000-02-21,3.42,3.552,3.42,3.552,1.5502,304099.0,0.0,1.0
2000-02-22,3.55,3.56,3.431,3.431,1.4974,450804.0,0.0,1.0
2000-02-23,3.5,3.51,3.31,3.33,1.4533,777670.0,0.0,1.0
2000-02-24,3.431,3.48,3.25,3.26,1.4227,853989.0,0.0,1.0
2000-02-25,3.25,3.39,3.25,3.34,1.4576,336091.0,0.0,1.0
2000-02-28,3.27,3.29,3.23,3.28,1.4315,380213.0,0.0,1.0
2000-02-29,3.3,3.35,3.21,3.23,1.4096,534902.0,0.0,1.0
2000-03-01,3.319,3.319,3.23,3.3,1.4402,384055.0,0.0,1.0
2000-03-02,3.31,3.33,3.25,3.25,1.4184,218546.0,0.0,1.0
2000-03-03,3.25,3.29,3.1,3.2,1.3965,748660.0,0.0,1.0
2000-03-06,3.2,3.27,3.15,3.25,1.4455,366680.0,0.0,1.0
2000-03-07,3.192,3.33,3.19,3.316,1.4748,611781.0,0.0,1.0
2000-03-08,3.227,3.3,3.21,3.26,1.4499,833295.0,0.0,1.0
2000-03-09,3.25,3.38,3.23,3.374,1.5006,389141.0,0.0,1.0
2000-03-10,3.35,3.4,3.32,3.39,1.5077,612709.0,0.0,1.0
2000-03-13,3.4,3.43,3.34,3.4,1.5122,249482.0,0.0,1.0
2000-03-14,3.42,3.571,3.42,3.571,1.5882,524481.0,0.0,1.0
2000-03-15,3.543,3.55,3.45,3.45,1.5344,289167.0,0.0,1.0
2000-03-16,3.55,3.77,3.55,3.77,1.6767,750893.0,0.0,1.0
2000-03-17,3.85,3.98,3.78,3.891,1.7306,1608929.0,0.0,1.0
2000-03-20,3.9,3.9,3.75,3.81,1.6945,1360128.0,0.0,1.0
2000-03-21,3.81,3.81,3.58,3.58,1.5922,568792.0,0.0,1.0
2000-03-22,3.58,3.72,3.48,3.54,1.5744,709125.0,0.0,1.0
2000-03-23,3.6,3.7,3.58,3.65,1.6234,472406.0,0.0,1.0
2000-03-24,3.802,3.802,3.61,3.7,1.6456,479052.0,0.0,1.0
2000-03-27,3.65,3.72,3.63,3.72,1.6545,701302.0,0.0,1.0
2000-03-28,3.625,3.905,3.625,3.905,1.7368,1129439.0,0.0,1.0
2000-03-29,3.944,3.95,3.8,3.88,1.7257,1017335.0,0.0,1.0
2000-03-30,3.9,3.97,3.9,3.96,1.7612,811515.0,0.0,1.0
2000-03-31,3.95,4.1,3.78,4.1,1.8235,3472380.0,0.0,1.0
2000-04-03,4.11,4.15,4.01,4.147,1.8444,1061394.0,0.0,1.0
2000-04-04,4.2,4.35,4.19,4.34,1.9303,1561080.0,0.0,1.0
2000-04-05,4.35,4.48,4.35,4.458,1.9827,1249227.0,0.0,1.0
2000-04-06,4.39,4.46,4.28,4.46,1.9836,741696.0,0.0,1.0
2000-04-07,4.47,4.55,4.38,4.47,1.9881,1959255.0,0.0,1.0
2000-04-10,4.43,4.47,4.35,4.439,1.9743,639647.0,0.0,1.0
2000-04-11,4.4,4.46,4.39,4.44,1.9747,1409932.0,0.0,1.0
2000-04-12,4.44,4.49,4.4,4.48,1.9925,1102586.0,0.0,1.0
2000-04-13,4.46,4.48,4.39,4.458,1.9827,1265314.0,0.0,1.0
2000-04-14,4.4,4.5,4.37,4.46,1.9836,959396.0,0.0,1.0
2000-04-17,4.209,4.29,4.15,4.269,1.8987,920525.0,0.0,1.0
2000-04-18,4.3,4.3,4.11,4.21,1.8724,488527.0,0.0,1.0
2000-04-19,4.212,4.28,4.19,4.24,1.8858,975188.0,0.0,1.0
2000-04-20,4.1,4.15,3.8,3.806,1.6928,992752.0,0.0,1.0
2000-04-21,3.806,3.806,3.806,3.806,1.6928,0.0,0.0,1.0
2000-04-24,3.806,3.806,3.806,3.806,1.6928,0.0,0.0,1.0
2000-04-25,3.806,3.806,3.806,3.806,1.6928,0.0,0.0,1.0
2000-04-26,3.84,3.9,3.61,3.65,1.6234,1847353.0,0.0,1.0
2000-04-27,3.605,3.81,3.47,3.766,1.675,1081693.0,0.0,1.0
2000-04-28,3.85,4.14,3.85,4.094,1.8208,5375184.0,0.0,1.0
2000-05-01,4.0,4.0,3.9,3.925,1.7457,470625.0,0.0,1.0
2000-05-02,3.92,4.18,3.91,4.18,1.8591,721089.0,0.0,1.0
2000-05-03,4.096,4.096,3.95,4.005,1.7813,314726.0,0.0,1.0
2000-05-04,3.98,4.144,3.96,4.144,1.8431,369260.0,0.0,1.0
2000-05-05,4.1,4.19,4.05,4.19,1.8635,205443.0,0.0,1.0
2000-05-08,4.016,4.06,3.95,3.95,1.7568,729569.0,0.0,1.0
2000-05-09,3.95,4.0,3.87,3.9,1.7346,324002.0,0.0,1.0
2000-05-10,3.9,3.92,3.7,3.74,1.6634,900491.0,0.0,1.0
2000-05-11,3.694,3.694,3.5,3.559,1.5829,882766.0,0.0,1.0
2000-05-12,3.62,3.75,3.53,3.55,1.5789,909935.0,0.0,1.0
2000-05-15,3.705,3.705,3.47,3.51,1.5611,497976.0,0.0,1.0
2000-05-16,3.5,3.52,3.42,3.48,1.5478,1461796.0,0.0,1.0
2000-05-17,3.48,3.6,3.47,3.559,1.5829,1356049.0,0.0,1.0
2000-05-18,3.549,3.58,3.45,3.47,1.5433,899860.0,0.0,1.0
2000-05-19,3.5,3.5,3.41,3.42,1.5211,805199.0,0.0,1.0
