date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-09-04,0.5,0.55,0.5,0.52,0.2585,366893.0,0.0,1.0
2000-09-05,0.5,0.52,0.5,0.52,0.2585,56000.0,0.0,1.0
2000-09-06,0.5,0.5,0.5,0.5,0.2485,3000.0,0.0,1.0
2000-09-07,0.5,0.5,0.47,0.48,0.2386,55000.0,0.0,1.0
2000-09-08,0.48,0.48,0.45,0.45,0.2237,20400.0,0.0,1.0
2000-09-11,0.43,0.47,0.41,0.47,0.2336,71800.0,0.0,1.0
2000-09-12,0.48,0.48,0.48,0.48,0.2386,12000.0,0.0,1.0
2000-09-13,0.455,0.47,0.455,0.47,0.2336,44500.0,0.0,1.0
2000-09-14,0.47,0.47,0.44,0.44,0.2187,18000.0,0.0,1.0
2000-09-15,0.475,0.48,0.445,0.48,0.2386,14000.0,0.0,1.0
2000-09-18,0.45,0.45,0.45,0.45,0.2237,15000.0,0.0,1.0
2000-09-19,0.445,0.445,0.44,0.44,0.2187,23100.0,0.0,1.0
2000-09-20,0.44,0.47,0.44,0.47,0.2336,10000.0,0.0,1.0
2000-09-21,0.47,0.47,0.47,0.47,0.2336,0.0,0.0,1.0
2000-09-22,0.43,0.43,0.43,0.43,0.2137,8900.0,0.0,1.0
2000-09-25,0.465,0.465,0.43,0.43,0.2137,0.0,0.0,1.0
2000-09-26,0.465,0.465,0.43,0.43,0.2137,0.0,0.0,1.0
2000-09-27,0.465,0.465,0.43,0.43,0.2137,0.0,0.0,1.0
2000-09-28,0.465,0.465,0.43,0.43,0.2137,0.0,0.0,1.0
2000-09-29,0.465,0.48,0.465,0.48,0.2386,10000.0,0.0,1.0
2000-10-02,0.46,0.46,0.46,0.46,0.2287,5000.0,0.0,1.0
2000-10-03,0.46,0.46,0.46,0.46,0.2287,0.0,0.0,1.0
2000-10-04,0.475,0.48,0.475,0.48,0.2386,50000.0,0.0,1.0
2000-10-05,0.48,0.48,0.48,0.48,0.2386,0.0,0.0,1.0
2000-10-06,0.48,0.48,0.48,0.48,0.2386,0.0,0.0,1.0
2000-10-09,0.48,0.48,0.48,0.48,0.2386,0.0,0.0,1.0
2000-10-10,0.48,0.48,0.48,0.48,0.2386,0.0,0.0,1.0
2000-10-11,0.48,0.48,0.48,0.48,0.2386,0.0,0.0,1.0
2000-10-12,0.48,0.48,0.48,0.48,0.2386,0.0,0.0,1.0
2000-10-13,0.48,0.48,0.48,0.48,0.2386,0.0,0.0,1.0
2000-10-16,0.48,0.48,0.48,0.48,0.2386,0.0,0.0,1.0
2000-10-17,0.465,0.465,0.465,0.465,0.2311,22600.0,0.0,1.0
2000-10-18,0.465,0.465,0.465,0.465,0.2311,0.0,0.0,1.0
2000-10-19,0.465,0.465,0.465,0.465,0.2311,0.0,0.0,1.0
2000-10-20,0.465,0.465,0.465,0.465,0.2311,0.0,0.0,1.0
2000-10-23,0.45,0.45,0.45,0.45,0.2237,15300.0,0.0,1.0
2000-10-24,0.42,0.42,0.42,0.42,0.2088,4000.0,0.0,1.0
2000-10-25,0.42,0.42,0.42,0.42,0.2088,20000.0,0.0,1.0
2000-10-26,0.44,0.44,0.42,0.42,0.2088,0.0,0.0,1.0
2000-10-27,0.425,0.425,0.42,0.42,0.2088,48000.0,0.0,1.0
2000-10-30,0.42,0.42,0.42,0.42,0.2088,4000.0,0.0,1.0
2000-10-31,0.44,0.44,0.44,0.44,0.2187,30000.0,0.0,1.0
2000-11-01,0.44,0.44,0.44,0.44,0.2187,0.0,0.0,1.0
2000-11-02,0.44,0.44,0.44,0.44,0.2187,0.0,0.0,1.0
2000-11-03,0.44,0.44,0.44,0.44,0.2187,9000.0,0.0,1.0
2000-11-06,0.44,0.44,0.44,0.44,0.2187,0.0,0.0,1.0
2000-11-07,0.44,0.44,0.44,0.44,0.2187,0.0,0.0,1.0
2000-11-08,0.44,0.44,0.44,0.44,0.2187,0.0,0.0,1.0
2000-11-09,0.43,0.45,0.43,0.45,0.2237,15000.0,0.0,1.0
2000-11-10,0.45,0.45,0.45,0.45,0.2237,0.0,0.0,1.0
2000-11-13,0.45,0.45,0.45,0.45,0.2237,0.0,0.0,1.0
2000-11-14,0.45,0.45,0.45,0.45,0.2237,0.0,0.0,1.0
2000-11-15,0.45,0.45,0.45,0.45,0.2237,0.0,0.0,1.0
2000-11-16,0.42,0.42,0.4,0.4,0.1988,34000.0,0.0,1.0
2000-11-17,0.4,0.4,0.4,0.4,0.1988,300000.0,0.0,1.0
2000-11-20,0.4,0.4,0.4,0.4,0.1988,0.0,0.0,1.0
2000-11-21,0.42,0.45,0.42,0.45,0.2237,510000.0,0.0,1.0
2000-11-22,0.45,0.45,0.45,0.45,0.2237,0.0,0.0,1.0
2000-11-23,0.45,0.45,0.45,0.45,0.2237,0.0,0.0,1.0
2000-11-24,0.45,0.45,0.45,0.45,0.2237,0.0,0.0,1.0
2000-11-27,0.45,0.45,0.45,0.45,0.2237,0.0,0.0,1.0
2000-11-28,0.45,0.45,0.43,0.43,0.2137,10000.0,0.0,1.0
2000-11-29,0.45,0.45,0.45,0.45,0.2237,32500.0,0.0,1.0
2000-11-30,0.44,0.46,0.44,0.46,0.2287,66500.0,0.0,1.0
2000-12-01,0.43,0.43,0.43,0.43,0.2137,44800.0,0.0,1.0
2000-12-04,0.44,0.48,0.43,0.48,0.2386,336200.0,0.0,1.0
2000-12-05,0.46,0.46,0.45,0.45,0.2237,18000.0,0.0,1.0
2000-12-06,0.47,0.47,0.46,0.46,0.2287,32000.0,0.0,1.0
2000-12-07,0.45,0.48,0.45,0.48,0.2386,27300.0,0.0,1.0
2000-12-08,0.48,0.49,0.47,0.47,0.2336,108802.0,0.0,1.0
2000-12-11,0.497,0.497,0.485,0.49,0.2436,27698.0,0.0,1.0
2000-12-12,0.48,0.48,0.48,0.48,0.2386,179802.0,0.0,1.0
2000-12-13,0.48,0.48,0.48,0.48,0.2386,73500.0,0.0,1.0
2000-12-14,0.48,0.49,0.48,0.49,0.2436,20000.0,0.0,1.0
2000-12-15,0.49,0.5,0.49,0.49,0.2436,118000.0,0.0,1.0
2000-12-18,0.49,0.49,0.48,0.48,0.2386,26200.0,0.0,1.0
2000-12-19,0.48,0.48,0.48,0.48,0.2386,15000.0,0.0,1.0
2000-12-20,0.48,0.48,0.465,0.465,0.2311,18500.0,0.0,1.0
2000-12-21,0.48,0.48,0.465,0.465,0.2311,0.0,0.0,1.0
2000-12-22,0.48,0.48,0.465,0.465,0.2311,0.0,0.0,1.0
2000-12-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000-12-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000-12-27,0.48,0.48,0.465,0.465,0.2311,0.0,0.0,1.0
2000-12-28,0.48,0.48,0.465,0.465,0.2311,0.0,0.0,1.0
2000-12-29,0.48,0.48,0.48,0.48,0.2386,55000.0,0.0,1.0
2001-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2001-01-02,0.48,0.485,0.48,0.485,0.2411,34000.0,0.0,1.0
2001-01-03,0.48,0.48,0.48,0.48,0.2386,23000.0,0.0,1.0
2001-01-04,0.485,0.485,0.47,0.47,0.2336,20000.0,0.0,1.0
2001-01-05,0.485,0.485,0.475,0.475,0.2361,0.0,0.0,1.0
2001-01-08,0.485,0.49,0.48,0.485,0.2411,75220.0,0.0,1.0
2001-01-09,0.48,0.485,0.475,0.485,0.2411,20500.0,0.0,1.0
2001-01-10,0.475,0.485,0.475,0.485,0.2411,30000.0,0.0,1.0
2001-01-11,0.49,0.49,0.49,0.49,0.2436,42600.0,0.0,1.0
2001-01-12,0.48,0.49,0.48,0.49,0.2436,51678.0,0.0,1.0
2001-01-15,0.52,0.52,0.5,0.5,0.2485,0.0,0.0,1.0
2001-01-16,0.5,0.53,0.5,0.53,0.2634,10400.0,0.0,1.0
2001-01-17,0.52,0.52,0.51,0.52,0.2585,22773.0,0.0,1.0
2001-01-18,0.51,0.55,0.51,0.55,0.2734,65200.0,0.0,1.0
2001-01-19,0.55,0.65,0.55,0.63,0.3132,453114.0,0.0,1.0
2001-01-22,0.64,0.64,0.58,0.58,0.2883,128413.0,0.0,1.0
2001-01-23,0.58,0.58,0.56,0.57,0.2833,57050.0,0.0,1.0
2001-01-24,0.56,0.57,0.55,0.57,0.2833,37500.0,0.0,1.0
2001-01-25,0.57,0.57,0.57,0.57,0.2833,42500.0,0.0,1.0
2001-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2001-01-29,0.6,0.6,0.57,0.57,0.2833,4475.0,0.0,1.0
2001-01-30,0.57,0.57,0.57,0.57,0.2833,3900.0,0.0,1.0
2001-01-31,0.57,0.57,0.57,0.57,0.2833,23000.0,0.0,1.0
2001-02-01,0.56,0.56,0.56,0.56,0.2784,5000.0,0.0,1.0
2001-02-02,0.55,0.55,0.53,0.53,0.2634,19650.0,0.0,1.0
2001-02-05,0.53,0.53,0.51,0.51,0.2535,34350.0,0.0,1.0
2001-02-06,0.51,0.53,0.51,0.53,0.2634,21400.0,0.0,1.0
2001-02-07,0.53,0.56,0.53,0.56,0.2784,66500.0,0.0,1.0
2001-02-08,0.55,0.56,0.55,0.55,0.2734,88375.0,0.0,1.0
2001-02-09,0.57,0.57,0.57,0.57,0.2833,5000.0,0.0,1.0
2001-02-12,0.55,0.55,0.52,0.52,0.2585,18185.0,0.0,1.0
2001-02-13,0.57,0.57,0.57,0.57,0.2833,12000.0,0.0,1.0
2001-02-14,0.55,0.56,0.55,0.56,0.2784,25000.0,0.0,1.0
2001-02-15,0.56,0.56,0.53,0.53,0.2634,23750.0,0.0,1.0
2001-02-16,0.56,0.56,0.53,0.53,0.2634,24300.0,0.0,1.0
2001-02-19,0.52,0.56,0.52,0.56,0.2784,19800.0,0.0,1.0
2001-02-20,0.53,0.55,0.52,0.52,0.2585,36000.0,0.0,1.0
2001-02-21,0.52,0.53,0.52,0.53,0.2634,35930.0,0.0,1.0
2001-02-22,0.55,0.55,0.54,0.54,0.2684,12100.0,0.0,1.0
2001-02-23,0.54,0.57,0.54,0.57,0.2833,154300.0,0.0,1.0
2001-02-26,0.56,0.56,0.55,0.56,0.2784,47315.0,0.0,1.0
2001-02-27,0.56,0.58,0.56,0.58,0.2883,53985.0,0.0,1.0
2001-02-28,0.56,0.56,0.55,0.55,0.2734,20000.0,0.0,1.0
2001-03-01,0.55,0.55,0.55,0.55,0.2734,4000.0,0.0,1.0
2001-03-02,0.55,0.58,0.55,0.56,0.2784,16000.0,0.0,1.0
2001-03-05,0.56,0.56,0.55,0.55,0.2734,1887.0,0.0,1.0
2001-03-06,0.58,0.58,0.56,0.58,0.2883,254765.0,0.0,1.0
2001-03-07,0.58,0.6,0.58,0.59,0.2933,83400.0,0.0,1.0
2001-03-08,0.59,0.59,0.58,0.59,0.2933,85600.0,0.0,1.0
2001-03-09,0.59,0.59,0.59,0.59,0.2933,27700.0,0.0,1.0
2001-03-12,0.58,0.58,0.57,0.57,0.2833,14500.0,0.0,1.0
2001-03-13,0.57,0.59,0.56,0.59,0.2933,45000.0,0.0,1.0
2001-03-14,0.57,0.57,0.56,0.57,0.2833,43020.0,0.0,1.0
2001-03-15,0.57,0.57,0.56,0.57,0.2833,27000.0,0.0,1.0
2001-03-16,0.56,0.56,0.56,0.56,0.2784,10000.0,0.0,1.0
2001-03-19,0.56,0.56,0.55,0.55,0.2734,12800.0,0.0,1.0
2001-03-20,0.56,0.56,0.55,0.55,0.2734,20087.0,0.0,1.0
2001-03-21,0.56,0.56,0.54,0.54,0.2684,20000.0,0.0,1.0
2001-03-22,0.56,0.56,0.55,0.55,0.2734,0.0,0.0,1.0
2001-03-23,0.56,0.57,0.55,0.57,0.2833,50810.0,0.0,1.0
2001-03-26,0.56,0.56,0.55,0.55,0.2734,33800.0,0.0,1.0
2001-03-27,0.55,0.55,0.55,0.55,0.2734,2900.0,0.0,1.0
2001-03-28,0.55,0.55,0.54,0.54,0.2684,2800.0,0.0,1.0
2001-03-29,0.55,0.56,0.55,0.55,0.2734,20963.0,0.0,1.0
2001-03-30,0.55,0.56,0.55,0.55,0.2734,21000.0,0.0,1.0
2001-04-02,0.54,0.55,0.53,0.55,0.2734,26000.0,0.0,1.0
2001-04-03,0.55,0.55,0.55,0.55,0.2734,20000.0,0.0,1.0
2001-04-04,0.55,0.55,0.55,0.55,0.2734,0.0,0.0,1.0
2001-04-05,0.55,0.55,0.55,0.55,0.2734,11000.0,0.0,1.0
2001-04-06,0.54,0.54,0.54,0.54,0.2684,6510.0,0.0,1.0
2001-04-09,0.54,0.54,0.51,0.51,0.2535,20000.0,0.0,1.0
2001-04-10,0.51,0.51,0.51,0.51,0.2535,10000.0,0.0,1.0
2001-04-11,0.55,0.55,0.52,0.52,0.2585,0.0,0.0,1.0
2001-04-12,0.52,0.52,0.52,0.52,0.2585,9000.0,0.0,1.0
2001-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2001-04-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2001-04-17,0.52,0.52,0.52,0.52,0.2585,2000.0,0.0,1.0
2001-04-18,0.54,0.54,0.52,0.52,0.2585,0.0,0.0,1.0
2001-04-19,0.52,0.52,0.52,0.52,0.2585,5469.0,0.0,1.0
2001-04-20,0.54,0.55,0.51,0.51,0.2535,16000.0,0.0,1.0
2001-04-23,0.51,0.51,0.51,0.51,0.2535,8000.0,0.0,1.0
2001-04-24,0.51,0.51,0.51,0.51,0.2535,10000.0,0.0,1.0
2001-04-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2001-04-26,0.54,0.54,0.52,0.52,0.2585,0.0,0.0,1.0
2001-04-27,0.52,0.52,0.49,0.49,0.2436,55000.0,0.0,1.0
2001-04-30,0.49,0.54,0.49,0.54,0.2684,15540.0,0.0,1.0
2001-05-01,0.54,0.54,0.54,0.54,0.2684,0.0,0.0,1.0
2001-05-02,0.54,0.54,0.54,0.54,0.2684,0.0,0.0,1.0
2001-05-03,0.51,0.51,0.51,0.51,0.2535,29680.0,0.0,1.0
2001-05-04,0.5,0.52,0.5,0.52,0.2585,30000.0,0.0,1.0
2001-05-07,0.5,0.54,0.49,0.54,0.2684,315322.0,0.0,1.0
2001-05-08,0.54,0.54,0.54,0.54,0.2684,0.0,0.0,1.0
2001-05-09,0.54,0.54,0.54,0.54,0.2684,0.0,0.0,1.0
2001-05-10,0.53,0.53,0.53,0.53,0.2634,5000.0,0.0,1.0
2001-05-11,0.5,0.5,0.5,0.5,0.2485,10000.0,0.0,1.0
2001-05-14,0.5,0.5,0.5,0.5,0.2485,10000.0,0.0,1.0
2001-05-15,0.52,0.52,0.5,0.5,0.2485,0.0,0.0,1.0
2001-05-16,0.5,0.51,0.5,0.5,0.2485,40650.0,0.0,1.0
2001-05-17,0.495,0.495,0.495,0.495,0.246,10000.0,0.0,1.0
2001-05-18,0.5,0.5,0.49,0.5,0.2485,23179.0,0.0,1.0
2001-05-21,0.5,0.5,0.5,0.5,0.2485,0.0,0.0,1.0
2001-05-22,0.5,0.5,0.48,0.48,0.2386,20250.0,0.0,1.0
2001-05-23,0.5,0.5,0.5,0.5,0.2485,55571.0,0.0,1.0
2001-05-24,0.5,0.5,0.48,0.48,0.2386,10000.0,0.0,1.0
2001-05-25,0.48,0.51,0.47,0.51,0.2535,48678.0,0.0,1.0
2001-05-28,0.51,0.51,0.51,0.51,0.2535,0.0,0.0,1.0
2001-05-29,0.51,0.51,0.51,0.51,0.2535,0.0,0.0,1.0
2001-05-30,0.5,0.5,0.49,0.49,0.2436,0.0,0.0,1.0
2001-05-31,0.49,0.5,0.48,0.48,0.2386,78000.0,0.0,1.0
2001-06-01,0.48,0.48,0.48,0.48,0.2386,23250.0,0.0,1.0
2001-06-04,0.5,0.51,0.5,0.51,0.2535,64429.0,0.0,1.0
2001-06-05,0.49,0.51,0.485,0.51,0.2535,33000.0,0.0,1.0
2001-06-06,0.51,0.51,0.48,0.5,0.2485,11000.0,0.0,1.0
2001-06-07,0.5,0.5,0.5,0.5,0.2485,34500.0,0.0,1.0
2001-06-08,0.5,0.5,0.48,0.48,0.2386,11372.0,0.0,1.0
2001-06-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2001-06-12,0.48,0.48,0.48,0.48,0.2386,3200.0,0.0,1.0
2001-06-13,0.48,0.49,0.48,0.49,0.2436,20000.0,0.0,1.0
2001-06-14,0.47,0.47,0.47,0.47,0.2336,10000.0,0.0,1.0
2001-06-15,0.46,0.46,0.44,0.44,0.2187,23428.0,0.0,1.0
2001-06-18,0.45,0.45,0.45,0.45,0.2237,5822.0,0.0,1.0
2001-06-19,0.5,0.5,0.49,0.49,0.2436,111803.0,0.0,1.0
2001-06-20,0.49,0.5,0.49,0.5,0.2485,10000.0,0.0,1.0
2001-06-21,0.46,0.49,0.46,0.49,0.2436,556070.0,0.0,1.0
2001-06-22,0.5,0.51,0.49,0.5,0.2485,139000.0,0.0,1.0
2001-06-25,0.5,0.5,0.48,0.48,0.2386,22900.0,0.0,1.0
2001-06-26,0.5,0.52,0.48,0.48,0.2386,74000.0,0.0,1.0
2001-06-27,0.5,0.53,0.5,0.53,0.2634,50000.0,0.0,1.0
2001-06-28,0.485,0.51,0.485,0.51,0.2535,110000.0,0.0,1.0
2001-06-29,0.49,0.51,0.485,0.51,0.2535,43000.0,0.0,1.0
2001-07-02,0.51,0.51,0.49,0.49,0.2436,0.0,0.0,1.0
2001-07-03,0.49,0.49,0.49,0.49,0.2436,3000.0,0.0,1.0
2001-07-04,0.49,0.49,0.49,0.49,0.2436,11500.0,0.0,1.0
2001-07-05,0.5,0.5,0.49,0.49,0.2436,0.0,0.0,1.0
2001-07-06,0.5,0.5,0.5,0.5,0.2485,26000.0,0.0,1.0
2001-07-09,0.5,0.5,0.5,0.5,0.2485,50000.0,0.0,1.0
2001-07-10,0.51,0.51,0.5,0.5,0.2485,3500.0,0.0,1.0
2001-07-11,0.5,0.5,0.5,0.5,0.2485,6000.0,0.0,1.0
2001-07-12,0.52,0.56,0.52,0.56,0.2784,70665.0,0.0,1.0
2001-07-13,0.56,0.56,0.52,0.52,0.2585,11000.0,0.0,1.0
2001-07-16,0.55,0.55,0.53,0.53,0.2634,0.0,0.0,1.0
2001-07-17,0.55,0.56,0.54,0.55,0.2734,28900.0,0.0,1.0
2001-07-18,0.55,0.55,0.53,0.53,0.2634,10000.0,0.0,1.0
2001-07-19,0.56,0.56,0.53,0.53,0.2634,0.0,0.0,1.0
2001-07-20,0.54,0.54,0.52,0.52,0.2585,10000.0,0.0,1.0
2001-07-23,0.53,0.53,0.53,0.53,0.2634,9000.0,0.0,1.0
2001-07-24,0.52,0.52,0.52,0.52,0.2585,3000.0,0.0,1.0
2001-07-25,0.53,0.53,0.52,0.52,0.2585,0.0,0.0,1.0
2001-07-26,0.52,0.52,0.52,0.52,0.2585,6000.0,0.0,1.0
2001-07-27,0.53,0.59,0.53,0.59,0.2933,39600.0,0.0,1.0
2001-07-30,0.58,0.58,0.58,0.58,0.2883,8200.0,0.0,1.0
2001-07-31,0.58,0.58,0.58,0.58,0.2883,0.0,0.0,1.0
2001-08-01,0.55,0.55,0.55,0.55,0.2734,14590.0,0.0,1.0
2001-08-02,0.55,0.58,0.55,0.57,0.2833,38691.0,0.0,1.0
2001-08-03,0.58,0.59,0.57,0.59,0.2933,41760.0,0.0,1.0
2001-08-06,0.59,0.59,0.59,0.59,0.2933,9000.0,0.0,1.0
2001-08-07,0.61,0.64,0.58,0.6,0.2982,215991.0,0.0,1.0
2001-08-08,0.62,0.65,0.61,0.62,0.3082,184430.0,0.0,1.0
2001-08-09,0.61,0.62,0.6,0.61,0.3032,98619.0,0.0,1.0
2001-08-10,0.6,0.6,0.59,0.6,0.2982,129450.0,0.0,1.0
2001-08-13,0.6,0.6,0.58,0.58,0.3008,96500.0,0.0,1.0
2001-08-14,0.58,0.59,0.58,0.59,0.306,6800.0,0.0,1.0
2001-08-15,0.59,0.6,0.59,0.6,0.3112,7131.0,0.0,1.0
2001-08-16,0.6,0.6,0.58,0.58,0.3008,10060.0,0.0,1.0
2001-08-17,0.58,0.58,0.57,0.57,0.2956,22050.0,0.0,1.0
2001-08-20,0.55,0.56,0.55,0.55,0.2853,33500.0,0.0,1.0
2001-08-21,0.55,0.55,0.55,0.55,0.2853,1400.0,0.0,1.0
2001-08-22,0.541,0.541,0.53,0.53,0.2749,43600.0,0.0,1.0
2001-08-23,0.55,0.55,0.53,0.53,0.2749,0.0,0.0,1.0
2001-08-24,0.55,0.55,0.54,0.54,0.2801,34500.0,0.0,1.0
2001-08-27,0.53,0.53,0.52,0.53,0.2749,42190.0,0.0,1.0
2001-08-28,0.54,0.54,0.53,0.53,0.2749,0.0,0.0,1.0
2001-08-29,0.53,0.53,0.53,0.53,0.2749,13000.0,0.0,1.0
2001-08-30,0.54,0.54,0.54,0.54,0.2801,23750.0,0.0,1.0
2001-08-31,0.54,0.54,0.54,0.54,0.2801,4200.0,0.0,1.0
2001-09-03,0.54,0.54,0.54,0.54,0.2801,2500.0,0.0,1.0
