date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2004-05-19,0.2754,0.2754,0.2754,0.2754,0.0278,0.0,0.0,1.0
2004-05-20,0.4076,0.4131,0.3856,0.4076,0.0411,4656262.0,0.0,1.0
2004-05-21,0.4214,0.4545,0.4187,0.4187,0.0422,2277480.0,0.0,1.0
2004-05-24,0.4242,0.4242,0.4049,0.4104,0.0414,1515443.0,0.0,1.0
2004-05-25,0.4104,0.4104,0.3911,0.4021,0.0406,626305.0,0.0,1.0
2004-05-26,0.4049,0.4049,0.3994,0.3994,0.0403,219297.0,0.0,1.0
2004-05-27,0.4021,0.4076,0.3966,0.4021,0.0406,366270.0,0.0,1.0
2004-05-28,0.4049,0.4049,0.3994,0.4021,0.0406,100231.0,0.0,1.0
2004-05-31,0.4021,0.4021,0.3856,0.3856,0.0389,269670.0,0.0,1.0
2004-06-01,0.3856,0.4049,0.3828,0.4049,0.0408,210035.0,0.0,1.0
2004-06-02,0.4076,0.4131,0.4076,0.4076,0.0411,244168.0,0.0,1.0
2004-06-03,0.4104,0.4104,0.4104,0.4104,0.0414,88953.0,0.0,1.0
2004-06-04,0.4076,0.4076,0.3939,0.3939,0.0397,184155.0,0.0,1.0
2004-06-07,0.3994,0.3994,0.3939,0.3994,0.0403,159208.0,0.0,1.0
2004-06-08,0.3966,0.4021,0.3966,0.4021,0.0406,80236.0,0.0,1.0
2004-06-09,0.3994,0.3994,0.3939,0.3994,0.0403,138408.0,0.0,1.0
2004-06-10,0.3911,0.3994,0.3911,0.3911,0.0394,92584.0,0.0,1.0
2004-06-11,0.3939,0.3994,0.3939,0.3994,0.0403,194594.0,0.0,1.0
2004-06-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2004-06-15,0.4021,0.4049,0.4021,0.4021,0.0406,138807.0,0.0,1.0
2004-06-16,0.3994,0.4021,0.3911,0.3939,0.0397,192430.0,0.0,1.0
2004-06-17,0.3994,0.4049,0.3994,0.4021,0.0406,59907.0,0.0,1.0
2004-06-18,0.3994,0.4021,0.3911,0.3939,0.0397,123446.0,0.0,1.0
