date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-04,2.34,2.34,2.32,2.34,0.7083,7228.0,0.0,1.0
2000-01-05,2.3,2.3,2.3,2.3,0.6962,7296.0,0.0,1.0
2000-01-06,2.34,2.35,2.3,2.3,0.6962,38557.0,0.0,1.0
2000-01-07,2.32,2.32,2.25,2.25,0.6811,6140.0,0.0,1.0
2000-01-10,2.25,2.26,2.25,2.26,0.6841,28696.0,0.0,1.0
2000-01-11,2.26,2.26,2.24,2.26,0.6841,123636.0,0.0,1.0
2000-01-12,2.25,2.25,2.2,2.2,0.6659,33723.0,0.0,1.0
2000-01-13,2.2,2.24,2.2,2.21,0.6689,38674.0,0.0,1.0
2000-01-14,2.21,2.21,2.2,2.2,0.6659,13500.0,0.0,1.0
2000-01-17,2.2,2.2,2.0,2.0,0.6054,4100.0,0.0,1.0
2000-01-18,2.025,2.11,2.025,2.11,0.6387,22140.0,0.0,1.0
2000-01-19,2.02,2.06,2.02,2.06,0.6235,18740.0,0.0,1.0
2000-01-20,2.06,2.1,2.05,2.06,0.6235,35454.0,0.0,1.0
2000-01-21,2.049,2.06,2.049,2.05,0.6205,24546.0,0.0,1.0
2000-01-24,2.03,2.03,2.03,2.03,0.6145,42500.0,0.0,1.0
2000-01-25,2.03,2.04,2.02,2.04,0.6175,99560.0,0.0,1.0
2000-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000-01-27,2.01,2.01,2.01,2.01,0.6084,7000.0,0.0,1.0
2000-01-28,2.03,2.03,2.02,2.02,0.6114,45208.0,0.0,1.0
2000-01-31,2.03,2.03,2.03,2.03,0.6145,8368.0,0.0,1.0
2000-02-01,2.03,2.05,2.02,2.02,0.6114,73080.0,0.0,1.0
2000-02-02,2.03,2.03,2.0,2.03,0.6145,35770.0,0.0,1.0
2000-02-03,2.01,2.03,2.0,2.02,0.6114,61280.0,0.0,1.0
2000-02-04,2.02,2.02,2.02,2.02,0.6114,0.0,0.0,1.0
2000-02-07,2.01,2.01,2.01,2.01,0.6084,17700.0,0.0,1.0
2000-02-08,2.01,2.01,2.0,2.0,0.6054,221992.0,0.0,1.0
2000-02-09,1.95,2.0,1.95,2.0,0.6054,12000.0,0.0,1.0
2000-02-10,1.99,2.0,1.99,2.0,0.6054,177860.0,0.0,1.0
2000-02-11,2.0,2.0,2.0,2.0,0.6054,1088.0,0.0,1.0
2000-02-14,1.95,1.95,1.95,1.95,0.5902,23804.0,0.0,1.0
2000-02-15,2.0,2.0,1.95,1.95,0.5902,4596.0,0.0,1.0
2000-02-16,1.95,1.95,1.95,1.95,0.5902,0.0,0.0,1.0
2000-02-17,1.95,1.95,1.95,1.95,0.5902,29400.0,0.0,1.0
2000-02-18,1.95,1.98,1.95,1.95,0.5902,91000.0,0.0,1.0
2000-02-21,1.919,1.93,1.919,1.93,0.5842,2052.0,0.0,1.0
2000-02-22,1.93,1.93,1.93,1.93,0.5842,21000.0,0.0,1.0
2000-02-23,1.93,1.93,1.9,1.9,0.5751,17218.0,0.0,1.0
2000-02-24,1.92,1.92,1.9,1.9,0.5751,10430.0,0.0,1.0
2000-02-25,1.85,1.88,1.85,1.85,0.56,21456.0,0.0,1.0
2000-02-28,1.85,1.85,1.81,1.81,0.5479,11544.0,0.0,1.0
2000-02-29,1.85,1.86,1.85,1.85,0.56,16648.0,0.0,1.0
2000-03-01,1.88,2.05,1.88,2.05,0.6205,23000.0,0.0,1.0
2000-03-02,2.05,2.05,2.0,2.0,0.6054,36767.0,0.0,1.0
2000-03-03,2.0,2.0,2.0,2.0,0.6054,18576.0,0.0,1.0
2000-03-06,2.0,2.0,1.95,1.95,0.5902,5437.0,0.0,1.0
2000-03-07,1.95,1.95,1.95,1.95,0.5902,0.0,0.0,1.0
2000-03-08,1.95,1.95,1.95,1.95,0.5902,2500.0,0.0,1.0
2000-03-09,1.95,1.95,1.9,1.9,0.5751,35056.0,0.0,1.0
2000-03-10,1.9,1.9,1.9,1.9,0.5751,2000.0,0.0,1.0
2000-03-13,1.91,1.91,1.9,1.9,0.5751,33165.0,0.0,1.0
2000-03-14,1.9,1.92,1.9,1.9,0.5751,20736.0,0.0,1.0
2000-03-15,1.91,1.92,1.91,1.92,0.5812,28413.0,0.0,1.0
2000-03-16,1.95,1.96,1.95,1.96,0.5933,149377.0,0.0,1.0
2000-03-17,1.95,1.95,1.95,1.95,0.5902,2280.0,0.0,1.0
2000-03-20,1.95,1.98,1.95,1.98,0.5993,10817.0,0.0,1.0
2000-03-21,1.98,1.98,1.96,1.96,0.5933,23412.0,0.0,1.0
2000-03-22,1.98,2.0,1.96,1.96,0.5933,26796.0,0.0,1.0
2000-03-23,1.96,1.96,1.95,1.95,0.5902,114003.0,0.0,1.0
2000-03-24,1.95,1.95,1.95,1.95,0.5902,5196.0,0.0,1.0
2000-03-27,1.94,1.94,1.91,1.91,0.5781,5140.0,0.0,1.0
2000-03-28,1.92,1.92,1.91,1.91,0.5781,92000.0,0.0,1.0
2000-03-29,1.91,1.91,1.91,1.91,0.5781,4180.0,0.0,1.0
2000-03-30,1.9,1.9,1.8,1.8,0.5448,17623.0,0.0,1.0
2000-03-31,1.86,1.89,1.86,1.89,0.5721,7500.0,0.0,1.0
2000-04-03,1.87,1.87,1.81,1.81,0.5479,5812.0,0.0,1.0
2000-04-04,1.85,1.85,1.81,1.81,0.5479,5130.0,0.0,1.0
2000-04-05,1.81,1.82,1.8,1.8,0.5448,8112.0,0.0,1.0
2000-04-06,1.85,1.85,1.85,1.85,0.56,9800.0,0.0,1.0
2000-04-07,1.85,1.85,1.85,1.85,0.56,21746.0,0.0,1.0
2000-04-10,1.901,1.901,1.85,1.85,0.56,4700.0,0.0,1.0
2000-04-11,1.859,1.9,1.859,1.9,0.5751,5250.0,0.0,1.0
2000-04-12,1.87,1.87,1.86,1.86,0.563,16254.0,0.0,1.0
2000-04-13,1.86,1.86,1.85,1.86,0.563,140467.0,0.0,1.0
2000-04-14,1.86,1.89,1.85,1.85,0.56,53123.0,0.0,1.0
2000-04-17,1.85,1.85,1.75,1.8,0.5448,63664.0,0.0,1.0
2000-04-18,1.8,1.85,1.8,1.85,0.56,51200.0,0.0,1.0
2000-04-19,1.85,1.85,1.85,1.85,0.56,4860.0,0.0,1.0
2000-04-20,1.85,1.85,1.85,1.85,0.56,4500.0,0.0,1.0
2000-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000-04-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000-04-26,1.85,1.85,1.85,1.85,0.56,2800.0,0.0,1.0
2000-04-27,1.88,1.9,1.86,1.86,0.563,189397.0,0.0,1.0
2000-04-28,1.86,1.86,1.86,1.86,0.563,64387.0,0.0,1.0
2000-05-01,1.86,1.9,1.8,1.82,0.5509,91349.0,0.0,1.0
2000-05-02,1.83,1.83,1.83,1.83,0.5539,2680.0,0.0,1.0
2000-05-03,1.85,1.85,1.85,1.85,0.56,7280.0,0.0,1.0
2000-05-04,1.84,1.84,1.84,1.84,0.5569,8580.0,0.0,1.0
2000-05-05,1.84,1.84,1.84,1.84,0.5569,2000.0,0.0,1.0
2000-05-08,1.82,1.82,1.8,1.81,0.5479,19101.0,0.0,1.0
2000-05-09,1.81,1.81,1.81,1.81,0.5479,9680.0,0.0,1.0
2000-05-10,1.81,1.82,1.81,1.82,0.5509,10126.0,0.0,1.0
2000-05-11,1.83,1.83,1.83,1.83,0.5539,2000.0,0.0,1.0
2000-05-12,1.83,1.83,1.83,1.83,0.5539,2500.0,0.0,1.0
2000-05-15,1.83,1.85,1.83,1.85,0.56,6228.0,0.0,1.0
2000-05-16,1.85,1.85,1.83,1.83,0.5539,9707.0,0.0,1.0
2000-05-17,1.82,1.82,1.8,1.82,0.5509,29413.0,0.0,1.0
2000-05-18,1.82,1.83,1.82,1.83,0.5539,7216.0,0.0,1.0
2000-05-19,1.83,1.83,1.83,1.83,0.5539,5928.0,0.0,1.0
2000-05-22,1.85,1.88,1.85,1.88,0.5691,9344.0,0.0,1.0
2000-05-23,1.88,1.9,1.88,1.9,0.5751,30699.0,0.0,1.0
2000-05-24,1.906,1.91,1.906,1.91,0.5781,53500.0,0.0,1.0
2000-05-25,1.95,1.95,1.91,1.91,0.5781,4237.0,0.0,1.0
2000-05-26,1.91,1.91,1.9,1.9,0.5751,46055.0,0.0,1.0
2000-05-29,1.9,1.9,1.9,1.9,0.5751,18256.0,0.0,1.0
2000-05-30,1.9,1.95,1.9,1.95,0.5902,17001.0,0.0,1.0
2000-05-31,1.95,1.95,1.9,1.9,0.5751,13586.0,0.0,1.0
2000-06-01,1.9,1.9,1.9,1.9,0.5751,862477.0,0.0,1.0
2000-06-02,1.9,1.9,1.86,1.86,0.563,17387.0,0.0,1.0
2000-06-05,1.86,1.86,1.85,1.85,0.56,32970.0,0.0,1.0
2000-06-06,1.85,1.85,1.85,1.85,0.56,6184.0,0.0,1.0
2000-06-07,1.85,1.89,1.85,1.89,0.5721,16440.0,0.0,1.0
2000-06-08,1.86,1.86,1.82,1.82,0.5509,22070.0,0.0,1.0
2000-06-09,1.83,1.83,1.83,1.83,0.5539,1596.0,0.0,1.0
2000-06-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000-06-13,1.85,1.85,1.83,1.83,0.5539,29580.0,0.0,1.0
2000-06-14,1.85,1.88,1.84,1.84,0.5569,34877.0,0.0,1.0
2000-06-15,1.84,1.84,1.84,1.84,0.5569,6560.0,0.0,1.0
2000-06-16,1.84,1.85,1.84,1.84,0.5569,27447.0,0.0,1.0
2000-06-19,1.84,1.85,1.84,1.84,0.5569,84804.0,0.0,1.0
2000-06-20,1.84,1.85,1.82,1.82,0.5509,96859.0,0.0,1.0
2000-06-21,1.83,1.83,1.82,1.83,0.5539,33732.0,0.0,1.0
2000-06-22,1.83,1.83,1.82,1.82,0.5509,33788.0,0.0,1.0
2000-06-23,1.84,1.85,1.84,1.85,0.56,98614.0,0.0,1.0
2000-06-26,1.81,1.81,1.8,1.81,0.5724,38755.0,0.0,1.0
2000-06-27,1.8,1.8,1.75,1.75,0.5534,79945.0,0.0,1.0
2000-06-28,1.76,1.77,1.75,1.75,0.5534,23674.0,0.0,1.0
2000-06-29,1.77,1.78,1.74,1.78,0.5629,119888.0,0.0,1.0
2000-06-30,1.81,1.83,1.81,1.81,0.5724,44100.0,0.0,1.0
2000-07-03,1.81,1.81,1.8,1.81,0.5724,26025.0,0.0,1.0
2000-07-04,1.81,1.81,1.81,1.81,0.5724,684.0,0.0,1.0
2000-07-05,1.821,1.821,1.81,1.82,0.5756,14500.0,0.0,1.0
2000-07-06,1.83,1.83,1.8,1.8,0.5692,33278.0,0.0,1.0
2000-07-07,1.8,1.8,1.8,1.8,0.5692,3000.0,0.0,1.0
2000-07-10,1.85,1.85,1.8,1.8,0.5692,5684.0,0.0,1.0
2000-07-11,1.8,1.8,1.8,1.8,0.5692,0.0,0.0,1.0
2000-07-12,1.85,1.9,1.85,1.9,0.6009,13758.0,0.0,1.0
2000-07-13,1.96,2.0,1.95,2.0,0.6325,8742.0,0.0,1.0
2000-07-14,1.95,2.0,1.95,2.0,0.6325,15677.0,0.0,1.0
2000-07-17,2.0,2.0,1.95,1.95,0.6167,23750.0,0.0,1.0
2000-07-18,1.95,1.95,1.9,1.95,0.6167,9560.0,0.0,1.0
2000-07-19,1.95,1.95,1.95,1.95,0.6167,10000.0,0.0,1.0
2000-07-20,1.95,1.95,1.95,1.95,0.6167,0.0,0.0,1.0
2000-07-21,1.95,1.95,1.91,1.91,0.604,7500.0,0.0,1.0
2000-07-24,1.91,1.91,1.9,1.9,0.6009,12000.0,0.0,1.0
2000-07-25,1.91,2.01,1.91,2.01,0.6357,12288.0,0.0,1.0
2000-07-26,2.02,2.05,2.02,2.02,0.6388,3780.0,0.0,1.0
2000-07-27,2.03,2.03,2.0,2.0,0.6325,6992.0,0.0,1.0
2000-07-28,2.0,2.0,2.0,2.0,0.6325,0.0,0.0,1.0
2000-07-31,2.0,2.0,2.0,2.0,0.6325,11420.0,0.0,1.0
2000-08-01,2.0,2.0,2.0,2.0,0.6325,0.0,0.0,1.0
2000-08-02,2.0,2.02,2.0,2.0,0.6325,7510.0,0.0,1.0
2000-08-03,1.95,1.95,1.95,1.95,0.6167,1770.0,0.0,1.0
2000-08-04,1.95,2.0,1.95,2.0,0.6325,5930.0,0.0,1.0
2000-08-07,1.9,1.9,1.9,1.9,0.6009,10000.0,0.0,1.0
2000-08-08,1.9,1.9,1.86,1.88,0.5945,24746.0,0.0,1.0
2000-08-09,1.9,1.91,1.9,1.91,0.604,12348.0,0.0,1.0
2000-08-10,1.95,1.95,1.94,1.94,0.6135,33964.0,0.0,1.0
2000-08-11,1.98,2.02,1.98,2.02,0.6388,15889.0,0.0,1.0
2000-08-14,1.98,2.0,1.98,2.0,0.6325,15953.0,0.0,1.0
2000-08-15,1.99,2.01,1.99,2.0,0.6325,51017.0,0.0,1.0
2000-08-16,2.0,2.0,2.0,2.0,0.6325,5000.0,0.0,1.0
2000-08-17,2.0,2.0,1.99,1.99,0.6293,13198.0,0.0,1.0
2000-08-18,1.99,1.99,1.99,1.99,0.6293,0.0,0.0,1.0
2000-08-21,1.99,1.99,1.99,1.99,0.6293,912.0,0.0,1.0
2000-08-22,2.01,2.03,2.0,2.0,0.6325,19578.0,0.0,1.0
2000-08-23,2.03,2.03,2.01,2.01,0.6357,55161.0,0.0,1.0
