date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2015-07-24,2.0768,2.1047,2.0027,2.0027,1.8153,25000674.0,0.0,1.0
2015-07-27,2.0305,2.0305,2.0027,2.0027,1.8153,2607139.0,0.0,1.0
2015-07-28,1.9934,2.0027,1.8636,1.8914,1.7145,2566836.0,0.0,1.0
2015-07-29,1.9378,1.9841,1.9285,1.947,1.7649,2636988.0,0.0,1.0
2015-07-30,1.9656,1.9841,1.9378,1.9563,1.7733,2090554.0,0.0,1.0
2015-07-31,1.9656,1.9841,1.947,1.947,1.7649,2654129.0,0.0,1.0
2015-08-03,1.9656,1.9749,1.9192,1.9378,1.7565,840828.0,0.0,1.0
2015-08-04,1.947,1.961,1.9007,1.9192,1.7397,2614655.0,0.0,1.0
2015-08-05,1.9285,1.9285,1.9007,1.9192,1.7397,2026594.0,0.0,1.0
2015-08-06,1.91,1.9285,1.91,1.91,1.7313,613432.0,0.0,1.0
2015-08-07,1.91,1.9192,1.8821,1.8914,1.7145,1509615.0,0.0,1.0
2015-08-10,1.8914,1.9007,1.8914,1.9007,1.7229,657987.0,0.0,1.0
2015-08-11,1.91,1.9285,1.8914,1.9007,1.7229,464287.0,0.0,1.0
2015-08-12,1.8914,1.9007,1.8821,1.8821,1.7061,621043.0,0.0,1.0
2015-08-13,1.9192,1.9192,1.8729,1.9007,1.7229,482665.0,0.0,1.0
2015-08-14,1.8821,1.9007,1.8729,1.8729,1.6977,285156.0,0.0,1.0
2015-08-17,1.8821,1.9285,1.8729,1.9007,1.7229,179943.0,0.0,1.0
2015-08-18,1.9007,1.9192,1.8729,1.91,1.7313,163998.0,0.0,1.0
2015-08-19,1.9192,1.9192,1.8914,1.91,1.7313,1039009.0,0.0,1.0
2015-08-20,1.91,1.91,1.8729,1.91,1.7313,321021.0,0.0,1.0
2015-08-21,1.8729,1.947,1.8173,1.947,1.7649,3199551.0,0.0,1.0
2015-08-24,1.9192,1.9192,1.8265,1.8543,1.6808,1325509.0,0.0,1.0
2015-08-25,1.8358,1.8358,1.7524,1.8173,1.6472,487867.0,0.0,1.0
2015-08-26,1.8173,1.8173,1.7709,1.7848,1.6178,451375.0,0.0,1.0
2015-08-27,1.7894,1.8358,1.7802,1.8265,1.6556,3741734.0,0.0,1.0
2015-08-28,1.8543,1.8543,1.8173,1.8312,1.6598,425334.0,0.0,1.0
2015-08-31,1.8312,1.8358,1.7894,1.7987,1.6304,302633.0,0.0,1.0
2015-09-01,1.7941,1.7941,1.7709,1.7802,1.6136,164463.0,0.0,1.0
2015-09-02,1.7709,1.808,1.7616,1.7894,1.622,244288.0,0.0,1.0
2015-09-03,1.7987,1.7987,1.7245,1.7292,1.5674,1202330.0,0.0,1.0
2015-09-04,1.7292,1.7292,1.6411,1.7013,1.5422,576113.0,0.0,1.0
2015-09-07,1.757,1.7987,1.7013,1.7987,1.6304,792242.0,0.0,1.0
2015-09-08,1.7987,1.8404,1.7894,1.808,1.6388,2468101.0,0.0,1.0
2015-09-09,1.8451,1.8451,1.808,1.8358,1.664,1983691.0,0.0,1.0
2015-09-10,1.8358,1.947,1.8265,1.9285,1.7481,1229001.0,0.0,1.0
2015-09-11,1.9749,2.012,1.947,1.947,1.7649,1702682.0,0.0,1.0
2015-09-14,1.9934,2.012,1.9749,2.012,1.8237,682046.0,0.0,1.0
2015-09-15,2.0027,2.0212,1.9749,1.9934,1.8069,2925854.0,0.0,1.0
2015-09-16,1.9934,2.0212,1.9749,1.9841,1.7985,1146680.0,0.0,1.0
2015-09-17,1.9981,2.012,1.9841,1.9841,1.7985,1186503.0,0.0,1.0
2015-09-18,1.9749,2.0861,1.9749,2.0398,1.8489,1681479.0,0.0,1.0
2015-09-21,2.0212,2.0444,1.9934,2.0305,1.8405,277112.0,0.0,1.0
2015-09-22,2.0305,2.0583,2.0027,2.0212,1.8321,355501.0,0.0,1.0
2015-09-23,2.012,2.0398,1.9563,1.9563,1.7733,566986.0,0.0,1.0
2015-09-24,1.9563,2.0768,1.9563,2.0676,1.8741,682148.0,0.0,1.0
2015-09-25,2.0768,2.1325,2.0676,2.1139,1.9162,1925226.0,0.0,1.0
2015-09-28,2.1232,2.1696,2.0954,2.1232,1.9246,426749.0,0.0,1.0
2015-09-29,2.0954,2.1047,2.0212,2.0212,1.8321,284513.0,0.0,1.0
2015-09-30,2.0583,2.1232,2.049,2.1232,1.9246,822070.0,0.0,1.0
2015-10-01,2.1325,2.1325,2.0861,2.1232,1.9246,387549.0,0.0,1.0
2015-10-02,2.1232,2.1325,2.0676,2.0954,1.8994,81033.0,0.0,1.0
2015-10-05,2.1047,2.1232,2.0768,2.1232,1.9246,161958.0,0.0,1.0
2015-10-06,2.1139,2.1139,2.0583,2.0583,1.8657,256120.0,0.0,1.0
2015-10-07,2.1047,2.1232,2.0676,2.0954,1.8994,558418.0,0.0,1.0
2015-10-08,2.1047,2.1232,1.9795,2.0305,1.8405,1213421.0,0.0,1.0
2015-10-09,2.0398,2.1139,2.0398,2.0768,1.8825,320584.0,0.0,1.0
2015-10-12,2.0861,2.1139,2.0768,2.0954,1.8994,941461.0,0.0,1.0
2015-10-13,2.1047,2.1047,2.0676,2.0676,1.8741,252042.0,0.0,1.0
2015-10-14,2.0768,2.0861,2.0212,2.049,1.8573,363462.0,0.0,1.0
2015-10-15,2.049,2.1139,2.0212,2.1047,1.9078,650674.0,0.0,1.0
2015-10-16,2.0954,2.1603,2.0861,2.1325,1.933,1229644.0,0.0,1.0
2015-10-19,2.0583,2.1603,2.0583,2.1418,1.9414,1491003.0,0.0,1.0
2015-10-20,2.1418,2.2252,2.1047,2.1881,1.9834,1849114.0,0.0,1.0
2015-10-21,2.1881,2.2067,2.1232,2.1325,1.933,1230105.0,0.0,1.0
2015-10-22,2.1232,2.1325,2.0954,2.1325,1.933,340265.0,0.0,1.0
2015-10-23,2.151,2.151,2.1047,2.1325,1.933,243350.0,0.0,1.0
2015-10-26,2.1325,2.151,2.1047,2.1325,1.933,831553.0,0.0,1.0
2015-10-27,2.1418,2.1696,2.1047,2.1325,1.933,897119.0,0.0,1.0
2015-10-28,2.1325,2.1325,2.1139,2.1325,1.933,507281.0,0.0,1.0
2015-10-29,2.1325,2.1788,2.1232,2.151,1.9498,806359.0,0.0,1.0
2015-10-30,2.1696,2.1788,2.1325,2.1603,1.9582,690021.0,0.0,1.0
2015-11-02,2.1696,2.2252,2.1325,2.1974,1.9918,1095836.0,0.0,1.0
2015-11-03,2.2159,2.2252,2.1603,2.2067,2.0002,1269174.0,0.0,1.0
2015-11-04,2.2067,2.2159,2.1788,2.2067,2.0002,607663.0,0.0,1.0
2015-11-05,2.1881,2.2159,2.1788,2.1974,1.9918,672442.0,0.0,1.0
2015-11-06,2.2067,2.2159,2.1788,2.1974,1.9918,358998.0,0.0,1.0
2015-11-09,2.2067,2.2437,2.1974,2.1974,1.9918,1457372.0,0.0,1.0
2015-11-10,2.2067,2.2252,2.1603,2.1881,1.9834,524568.0,0.0,1.0
2015-11-11,2.2067,2.2067,2.1788,2.1881,1.9834,772379.0,0.0,1.0
2015-11-12,2.2067,2.2067,2.1603,2.1788,1.975,1872126.0,0.0,1.0
2015-11-13,2.1696,2.1974,2.151,2.1696,1.9666,975396.0,0.0,1.0
2015-11-16,2.1603,2.1788,2.1418,2.1696,1.9666,736292.0,0.0,1.0
2015-11-17,2.1788,2.2345,2.1696,2.2252,2.017,1209925.0,0.0,1.0
2015-11-18,2.2345,2.2901,2.2067,2.2437,2.0338,2330944.0,0.0,1.0
2015-11-19,2.2716,2.4106,2.2623,2.3457,2.1263,1599475.0,0.0,1.0
2015-11-20,2.3828,2.5126,2.3828,2.4385,2.2103,2463191.0,0.0,1.0
2015-11-23,2.4848,2.5312,2.4199,2.4477,2.2187,892893.0,0.0,1.0
2015-11-24,2.4477,2.4848,2.3735,2.4014,2.1767,1103025.0,0.0,1.0
2015-11-25,2.4292,2.4941,2.3457,2.4292,2.2019,3207823.0,0.0,1.0
2015-11-26,2.4385,2.4385,2.3828,2.3828,2.1599,1528221.0,0.0,1.0
2015-11-27,2.4106,2.4106,2.355,2.355,2.1347,672955.0,0.0,1.0
2015-11-30,2.3735,2.4477,2.355,2.3828,2.1599,7047255.0,0.0,1.0
2015-12-01,2.4292,2.4385,2.3921,2.4199,2.1935,1111936.0,0.0,1.0
2015-12-02,2.4106,2.4941,2.4106,2.457,2.2271,1398518.0,0.0,1.0
2015-12-03,2.457,2.5404,2.4292,2.5034,2.2691,1089941.0,0.0,1.0
2015-12-04,2.5312,2.5312,2.4106,2.4941,2.2607,1164536.0,0.0,1.0
2015-12-07,2.5034,2.5775,2.457,2.5219,2.286,1663471.0,0.0,1.0
2015-12-08,2.5775,2.5961,2.4894,2.559,2.3196,1687467.0,0.0,1.0
2015-12-09,2.559,2.5868,2.5126,2.5868,2.3448,1076165.0,0.0,1.0
2015-12-10,2.5868,2.5868,2.5126,2.5497,2.3112,1407436.0,0.0,1.0
2015-12-11,2.5219,2.5961,2.5126,2.5961,2.3532,862863.0,0.0,1.0
2015-12-14,2.5775,2.5961,2.4755,2.4848,2.2523,948426.0,0.0,1.0
2015-12-15,2.4663,2.5034,2.4106,2.4199,2.1935,1132326.0,0.0,1.0
2015-12-16,2.4385,2.4477,2.3643,2.4292,2.2019,1137667.0,0.0,1.0
2015-12-17,2.457,2.4941,2.3735,2.3735,2.1515,2153340.0,0.0,1.0
2015-12-18,2.3735,2.3921,2.2716,2.2901,2.0758,22492343.0,0.0,1.0
2015-12-21,2.3087,2.4848,2.3087,2.4292,2.2019,1709913.0,0.0,1.0
2015-12-22,2.4477,2.457,2.3735,2.4106,2.1851,1795982.0,0.0,1.0
2015-12-23,2.4292,2.4941,2.4014,2.4755,2.2439,1234813.0,0.0,1.0
2015-12-24,2.5034,2.5312,2.4477,2.4755,2.2439,316738.0,0.0,1.0
2015-12-28,2.4755,2.4755,2.4755,2.4755,2.2439,0.0,0.0,1.0
2015-12-29,2.5034,2.5404,2.4941,2.5404,2.3028,440248.0,0.0,1.0
2015-12-30,2.5497,2.5868,2.4941,2.5312,2.2944,458987.0,0.0,1.0
2015-12-31,2.5497,2.5497,2.4106,2.5219,2.286,795485.0,0.0,1.0
2016-01-04,2.5219,2.5497,2.4663,2.4755,2.2439,727762.0,0.0,1.0
2016-01-05,2.4477,2.457,2.4199,2.4199,2.1935,562292.0,0.0,1.0
2016-01-06,2.4106,2.4477,2.4106,2.4106,2.1851,718550.0,0.0,1.0
2016-01-07,2.4014,2.4385,2.3643,2.3735,2.1515,1328993.0,0.0,1.0
2016-01-08,2.355,2.3735,2.3179,2.3365,2.1179,903010.0,0.0,1.0
2016-01-11,2.3179,2.3179,2.2345,2.253,2.0422,1692850.0,0.0,1.0
2016-01-12,2.2623,2.3087,2.253,2.2901,2.0758,1178986.0,0.0,1.0
2016-01-13,2.2901,2.3179,2.2716,2.2994,2.0842,437858.0,0.0,1.0
2016-01-14,2.253,2.2994,2.2252,2.2808,2.0674,408355.0,0.0,1.0
2016-01-15,2.3179,2.3179,2.2623,2.2716,2.059,676385.0,0.0,1.0
2016-01-18,2.2345,2.2716,2.2252,2.2437,2.0338,564066.0,0.0,1.0
2016-01-19,2.2345,2.3272,2.2345,2.2808,2.0674,977089.0,0.0,1.0
2016-01-20,2.2901,2.3272,2.2808,2.2808,2.0674,585057.0,0.0,1.0
2016-01-21,2.2994,2.3457,2.2716,2.2901,2.0758,589292.0,0.0,1.0
2016-01-22,2.2994,2.3457,2.2716,2.3272,2.1095,519742.0,0.0,1.0
2016-01-25,2.3643,2.4106,2.3365,2.355,2.1347,438994.0,0.0,1.0
2016-01-27,2.3457,2.3643,2.2994,2.3087,2.0927,445423.0,0.0,1.0
2016-01-28,2.2994,2.3272,2.2716,2.2901,2.0758,661933.0,0.0,1.0
2016-01-29,2.3087,2.3457,2.2808,2.2808,2.0674,493577.0,0.0,1.0
2016-02-01,2.3735,2.3921,2.3179,2.3735,2.1515,559315.0,0.0,1.0
2016-02-02,2.3828,2.3967,2.3272,2.3828,2.1599,642642.0,0.0,1.0
2016-02-03,2.3457,2.4292,2.3457,2.3735,2.1515,669030.0,0.0,1.0
2016-02-04,2.4014,2.4014,2.3087,2.3643,2.1431,488933.0,0.0,1.0
2016-02-05,2.3643,2.4014,2.3457,2.4014,2.1767,489847.0,0.0,1.0
2016-02-08,2.3921,2.4199,2.3457,2.4106,2.1851,530792.0,0.0,1.0
2016-02-09,2.3828,2.3921,2.2716,2.2808,2.0674,1140881.0,0.0,1.0
2016-02-10,2.2994,2.2994,2.2159,2.2345,2.0254,879678.0,0.0,1.0
2016-02-11,2.2437,2.3643,2.2345,2.2901,2.0758,570540.0,0.0,1.0
2016-02-12,2.253,2.2762,2.2252,2.253,2.0422,449071.0,0.0,1.0
2016-02-15,2.2808,2.3179,2.2159,2.3087,2.0927,524979.0,0.0,1.0
2016-02-16,2.3272,2.3643,2.3179,2.3365,2.1179,572398.0,0.0,1.0
2016-02-17,2.3457,2.3643,2.2994,2.3365,2.1179,554953.0,0.0,1.0
2016-02-18,2.3365,2.3457,2.3179,2.3365,2.1179,480442.0,0.0,1.0
2016-02-19,2.3272,2.3643,2.3179,2.3272,2.1095,421131.0,0.0,1.0
2016-02-22,2.3272,2.4014,2.3179,2.3643,2.1431,437907.0,0.0,1.0
2016-02-23,2.3735,2.4106,2.3272,2.355,2.1347,389150.0,0.0,1.0
2016-02-24,2.3457,2.3643,2.2994,2.3365,2.1179,371383.0,0.0,1.0
2016-02-25,2.3457,2.457,2.1788,2.2437,2.0338,1671320.0,0.0,1.0
2016-02-26,2.3457,2.4106,2.2901,2.3921,2.1683,1952538.0,0.0,1.0
2016-02-29,2.4199,2.559,2.4199,2.559,2.3196,1597059.0,0.0,1.0
2016-03-01,2.5404,2.6332,2.4755,2.6053,2.3616,1683300.0,0.0,1.0
2016-03-02,2.6424,2.7259,2.6053,2.6332,2.3868,1664722.0,0.0,1.0
2016-03-03,2.6424,2.6424,2.5404,2.5961,2.3532,980474.0,0.0,1.0
2016-03-04,2.6053,2.6053,2.5126,2.5961,2.3532,1066854.0,0.0,1.0
2016-03-07,2.6146,2.6332,2.5497,2.5961,2.3532,836289.0,0.0,1.0
2016-03-08,2.6053,2.6146,2.5126,2.5219,2.286,932030.0,0.0,1.0
2016-03-09,2.559,2.5961,2.5219,2.5404,2.3028,1928125.0,0.0,1.0
2016-03-10,2.559,2.5868,2.5219,2.5404,2.3028,620928.0,0.0,1.0
2016-03-11,2.559,2.5961,2.5312,2.5775,2.3364,1384776.0,0.0,1.0
2016-03-14,2.5961,2.5961,2.559,2.5682,2.328,658885.0,0.0,1.0
2016-03-15,2.5775,2.5868,2.5219,2.5497,2.3112,926652.0,0.0,1.0
2016-03-16,2.5497,2.5775,2.5126,2.559,2.3196,605858.0,0.0,1.0
2016-03-17,2.5775,2.6332,2.5497,2.559,2.3196,1662094.0,0.0,1.0
2016-03-18,2.5868,2.7815,2.5775,2.7815,2.5213,4600150.0,0.0,1.0
2016-03-21,2.7815,2.7815,2.661,2.7351,2.5063,1428267.0,0.0,1.0
2016-03-22,2.7351,2.8001,2.7351,2.7815,2.5488,2580835.0,0.0,1.0
2016-03-23,2.7908,2.7908,2.7351,2.7722,2.5403,886511.0,0.0,1.0
2016-03-24,2.7444,2.7815,2.7073,2.7351,2.5063,1265058.0,0.0,1.0
2016-03-29,2.7351,2.7444,2.6332,2.6424,2.4213,798075.0,0.0,1.0
2016-03-30,2.661,2.6888,2.6239,2.6702,2.4468,881499.0,0.0,1.0
2016-03-31,2.6795,2.6981,2.6702,2.6888,2.4638,778411.0,0.0,1.0
2016-04-01,2.6702,2.6888,2.6332,2.6702,2.4468,384715.0,0.0,1.0
2016-04-04,2.6795,2.7351,2.6702,2.7166,2.4893,367843.0,0.0,1.0
2016-04-05,2.7073,2.7444,2.6424,2.6888,2.4638,654382.0,0.0,1.0
2016-04-06,2.6795,2.7351,2.661,2.7351,2.5063,751652.0,0.0,1.0
2016-04-07,2.7259,2.7259,2.7073,2.7073,2.4808,311719.0,0.0,1.0
2016-04-08,2.7166,2.7166,2.6517,2.661,2.4383,438501.0,0.0,1.0
2016-04-11,2.6517,2.7073,2.6424,2.6795,2.4553,361134.0,0.0,1.0
2016-04-12,2.6702,2.6888,2.5961,2.6702,2.4468,1434303.0,0.0,1.0
2016-04-13,2.6702,2.6888,2.6332,2.6517,2.4298,611285.0,0.0,1.0
2016-04-14,2.6517,2.6517,2.6239,2.6332,2.4128,518379.0,0.0,1.0
2016-04-15,2.6424,2.7073,2.6332,2.6888,2.4638,452502.0,0.0,1.0
2016-04-18,2.6981,2.6981,2.6702,2.6795,2.4553,1213856.0,0.0,1.0
2016-04-19,2.661,2.6702,2.6239,2.661,2.4383,894419.0,0.0,1.0
2016-04-20,2.661,2.6702,2.6332,2.661,2.4383,897271.0,0.0,1.0
2016-04-21,2.661,2.7351,2.6424,2.7259,2.4978,1985916.0,0.0,1.0
2016-04-22,2.7351,2.7444,2.7166,2.7351,2.5063,462507.0,0.0,1.0
2016-04-26,2.7259,2.763,2.7073,2.7444,2.5148,616135.0,0.0,1.0
2016-04-27,2.7537,2.7908,2.7259,2.7444,2.5148,647511.0,0.0,1.0
2016-04-28,2.7537,2.763,2.7305,2.7537,2.5233,778838.0,0.0,1.0
2016-04-29,2.7537,2.7537,2.7166,2.7537,2.5233,751950.0,0.0,1.0
2016-05-02,2.7444,2.8232,2.7351,2.8186,2.5827,846933.0,0.0,1.0
2016-05-03,2.8186,2.8928,2.8093,2.8742,2.6337,1555175.0,0.0,1.0
2016-05-04,2.8742,2.8928,2.8093,2.8186,2.5827,453481.0,0.0,1.0
2016-05-05,2.8279,2.8279,2.7073,2.7351,2.5063,576604.0,0.0,1.0
2016-05-06,2.7073,2.7537,2.6888,2.7073,2.4808,932635.0,0.0,1.0
2016-05-09,2.7351,2.8186,2.7259,2.8186,2.5827,713688.0,0.0,1.0
2016-05-10,2.8186,2.8464,2.8001,2.8186,2.5827,390170.0,0.0,1.0
2016-05-11,2.8186,2.8557,2.8093,2.8279,2.5912,434769.0,0.0,1.0
2016-05-12,2.8279,2.8279,2.7722,2.8279,2.5912,375065.0,0.0,1.0
2016-05-13,2.7815,2.8371,2.763,2.7722,2.5403,322888.0,0.0,1.0
2016-05-16,2.7722,2.814,2.7537,2.7815,2.5488,275262.0,0.0,1.0
2016-05-17,2.8001,2.8279,2.8001,2.8093,2.5743,321820.0,0.0,1.0
2016-05-18,2.8001,2.8093,2.7351,2.7444,2.5148,1277363.0,0.0,1.0
2016-05-19,2.763,2.763,2.6888,2.6888,2.4638,492981.0,0.0,1.0
2016-05-20,2.6981,2.7351,2.6795,2.7166,2.4893,370264.0,0.0,1.0
