date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2003-12-23,2.425,2.55,2.425,2.55,1.4409,1084433.0,0.0,1.0
2003-12-24,2.5,2.5,2.45,2.45,1.3843,370533.0,0.0,1.0
2003-12-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2003-12-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2003-12-29,2.475,2.5,2.475,2.475,1.3985,747132.0,0.0,1.0
2003-12-30,2.5,2.5,2.45,2.45,1.3843,268736.0,0.0,1.0
2003-12-31,2.45,2.475,2.425,2.425,1.3702,217545.0,0.0,1.0
2004-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2004-01-02,2.425,2.45,2.425,2.425,1.3702,172586.0,0.0,1.0
2004-01-05,2.425,2.425,2.375,2.375,1.342,785596.0,0.0,1.0
2004-01-06,2.4,2.45,2.4,2.425,1.3702,1096215.0,0.0,1.0
2004-01-07,2.425,2.45,2.4,2.425,1.3702,1100793.0,0.0,1.0
2004-01-08,2.425,2.45,2.4,2.4,1.3561,336770.0,0.0,1.0
2004-01-09,2.425,2.425,2.4,2.425,1.3702,315447.0,0.0,1.0
2004-01-12,2.425,2.45,2.4,2.4,1.3561,209084.0,0.0,1.0
2004-01-13,2.425,2.475,2.4,2.45,1.3843,1598746.0,0.0,1.0
2004-01-14,2.45,2.475,2.45,2.45,1.3843,629336.0,0.0,1.0
2004-01-15,2.45,2.5,2.45,2.5,1.4126,1661098.0,0.0,1.0
2004-01-16,2.475,2.55,2.45,2.55,1.4409,1088413.0,0.0,1.0
2004-01-19,2.55,2.6,2.475,2.5,1.4126,992933.0,0.0,1.0
2004-01-20,2.5,2.65,2.5,2.6,1.4691,735850.0,0.0,1.0
2004-01-21,2.65,2.65,2.6,2.65,1.4974,445137.0,0.0,1.0
2004-01-22,2.65,2.65,2.6,2.6,1.4691,409343.0,0.0,1.0
2004-01-23,2.6,2.65,2.6,2.65,1.4974,769482.0,0.0,1.0
2004-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2004-01-27,2.6,2.65,2.55,2.55,1.4409,913287.0,0.0,1.0
2004-01-28,2.55,2.6,2.55,2.55,1.4409,1150351.0,0.0,1.0
2004-01-29,2.55,2.55,2.475,2.475,1.3985,1021660.0,0.0,1.0
2004-01-30,2.475,2.55,2.475,2.5,1.4126,327205.0,0.0,1.0
2004-02-02,2.5,2.5,2.45,2.45,1.3843,1061208.0,0.0,1.0
2004-02-03,2.475,2.5,2.45,2.45,1.3843,2740911.0,0.0,1.0
2004-02-04,2.45,2.475,2.45,2.45,1.3843,368555.0,0.0,1.0
2004-02-05,2.475,2.5,2.425,2.425,1.3702,525474.0,0.0,1.0
2004-02-06,2.45,2.475,2.45,2.45,1.3843,280544.0,0.0,1.0
2004-02-09,2.475,2.475,2.45,2.45,1.3843,312616.0,0.0,1.0
2004-02-10,2.45,2.45,2.425,2.425,1.3702,624701.0,0.0,1.0
2004-02-11,2.425,2.45,2.425,2.425,1.3702,327009.0,0.0,1.0
2004-02-12,2.45,2.45,2.425,2.425,1.3702,284297.0,0.0,1.0
2004-02-13,2.425,2.45,2.425,2.425,1.3702,667639.0,0.0,1.0
2004-02-16,2.425,2.45,2.4,2.4,1.3561,808527.0,0.0,1.0
2004-02-17,2.425,2.475,2.425,2.475,1.3985,2847155.0,0.0,1.0
2004-02-18,2.5,2.6,2.5,2.6,1.4691,2429598.0,0.0,1.0
2004-02-19,2.6,2.65,2.55,2.65,1.4974,1667777.0,0.0,1.0
2004-02-20,2.65,2.65,2.6,2.6,1.4691,1198616.0,0.0,1.0
2004-02-23,2.65,2.7,2.45,2.65,1.4974,3845651.0,0.0,1.0
2004-02-24,2.65,2.7,2.55,2.55,1.4409,1614309.0,0.0,1.0
2004-02-25,2.55,2.6,2.475,2.475,1.3985,2241118.0,0.0,1.0
2004-02-26,2.475,2.55,2.475,2.5,1.4126,329941.0,0.0,1.0
2004-02-27,2.5,2.55,2.475,2.5,1.4126,327773.0,0.0,1.0
2004-03-01,2.5,2.55,2.475,2.55,1.4409,565016.0,0.0,1.0
2004-03-02,2.55,2.55,2.5,2.5,1.4126,666726.0,0.0,1.0
2004-03-03,2.5,2.55,2.5,2.55,1.4409,747206.0,0.0,1.0
2004-03-04,2.55,2.55,2.475,2.475,1.3985,898620.0,0.0,1.0
2004-03-05,2.5,2.55,2.475,2.475,1.3985,302268.0,0.0,1.0
2004-03-08,2.5,2.5,2.475,2.5,1.4126,360450.0,0.0,1.0
2004-03-09,2.5,2.5,2.475,2.475,1.3985,639336.0,0.0,1.0
2004-03-10,2.475,2.5,2.45,2.475,1.3985,1175739.0,0.0,1.0
2004-03-11,2.475,2.475,2.425,2.475,1.3985,430664.0,0.0,1.0
2004-03-12,2.475,2.475,2.4,2.425,1.3702,1451789.0,0.0,1.0
2004-03-15,2.45,2.475,2.425,2.475,1.3985,674883.0,0.0,1.0
2004-03-16,2.475,2.5,2.45,2.5,1.4126,879382.0,0.0,1.0
2004-03-17,2.5,2.55,2.475,2.55,1.4409,584947.0,0.0,1.0
2004-03-18,2.55,2.55,2.5,2.55,1.4409,1872785.0,0.0,1.0
2004-03-19,2.55,2.55,2.5,2.55,1.4409,3524220.0,0.0,1.0
2004-03-22,2.5,2.55,2.475,2.5,1.4126,623943.0,0.0,1.0
2004-03-23,2.475,2.5,2.45,2.475,1.3985,861071.0,0.0,1.0
2004-03-24,2.475,2.475,2.45,2.475,1.3985,1121812.0,0.0,1.0
2004-03-25,2.475,2.5,2.475,2.5,1.4126,423709.0,0.0,1.0
2004-03-26,2.5,2.55,2.475,2.5,1.4126,331933.0,0.0,1.0
2004-03-29,2.5,2.55,2.475,2.5,1.4126,2407755.0,0.0,1.0
2004-03-30,2.475,2.5,2.475,2.475,1.3985,304781.0,0.0,1.0
2004-03-31,2.475,2.5,2.475,2.475,1.3985,216843.0,0.0,1.0
2004-04-01,2.5,2.5,2.45,2.5,1.4126,237513.0,0.0,1.0
2004-04-02,2.5,2.5,2.45,2.45,1.3843,625215.0,0.0,1.0
2004-04-05,2.45,2.45,2.425,2.425,1.3702,538909.0,0.0,1.0
2004-04-06,2.425,2.45,2.425,2.425,1.3702,520157.0,0.0,1.0
2004-04-07,2.45,2.45,2.425,2.45,1.3843,680647.0,0.0,1.0
2004-04-08,2.425,2.55,2.425,2.5,1.4126,4629071.0,0.0,1.0
2004-04-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2004-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2004-04-13,2.55,2.55,2.475,2.475,1.3985,638200.0,0.0,1.0
2004-04-14,2.475,2.5,2.45,2.45,1.3843,271021.0,0.0,1.0
2004-04-15,2.45,2.475,2.425,2.425,1.3702,510746.0,0.0,1.0
2004-04-16,2.425,2.45,2.425,2.45,1.3843,325701.0,0.0,1.0
2004-04-19,2.45,2.5,2.45,2.475,1.3985,739982.0,0.0,1.0
2004-04-20,2.5,2.55,2.475,2.55,1.4409,1473090.0,0.0,1.0
2004-04-21,2.55,2.65,2.5,2.65,1.4974,2853815.0,0.0,1.0
2004-04-22,2.6,2.65,2.55,2.6,1.4691,1844176.0,0.0,1.0
2004-04-23,2.6,2.6,2.5,2.55,1.4409,696747.0,0.0,1.0
2004-04-26,2.55,2.55,2.5,2.5,1.4126,266552.0,0.0,1.0
2004-04-27,2.55,2.55,2.5,2.55,1.4409,958860.0,0.0,1.0
2004-04-28,2.55,2.55,2.475,2.5,1.4126,507541.0,0.0,1.0
2004-04-29,2.5,2.5,2.45,2.45,1.3843,1332944.0,0.0,1.0
2004-04-30,2.475,2.5,2.45,2.45,1.3843,978139.0,0.0,1.0
2004-05-03,2.475,2.5,2.425,2.425,1.3702,1171641.0,0.0,1.0
2004-05-04,2.45,2.45,2.425,2.425,1.3702,576861.0,0.0,1.0
2004-05-05,2.425,2.475,2.425,2.425,1.3702,386827.0,0.0,1.0
2004-05-06,2.45,2.45,2.4,2.45,1.3843,922929.0,0.0,1.0
2004-05-07,2.45,2.45,2.4,2.45,1.3843,344671.0,0.0,1.0
2004-05-10,2.45,2.45,2.4,2.4,1.3561,652740.0,0.0,1.0
2004-05-11,2.425,2.425,2.325,2.35,1.3278,1725743.0,0.0,1.0
2004-05-12,2.375,2.375,2.275,2.375,1.342,1987120.0,0.0,1.0
2004-05-13,2.375,2.4,2.3,2.3,1.2996,702432.0,0.0,1.0
2004-05-14,2.325,2.35,2.3,2.3,1.2996,494813.0,0.0,1.0
2004-05-17,2.325,2.325,2.275,2.3,1.2996,685859.0,0.0,1.0
2004-05-18,2.325,2.325,2.25,2.3,1.2996,639358.0,0.0,1.0
2004-05-19,2.3,2.35,2.3,2.325,1.3137,590197.0,0.0,1.0
2004-05-20,2.325,2.325,2.275,2.275,1.2855,695990.0,0.0,1.0
2004-05-21,2.275,2.3,2.25,2.3,1.2996,578296.0,0.0,1.0
2004-05-24,2.3,2.325,2.275,2.3,1.2996,388831.0,0.0,1.0
2004-05-25,2.3,2.325,2.25,2.25,1.2713,732855.0,0.0,1.0
