date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2014-11-13,2.39,2.39,2.25,2.25,2.0344,333741.0,0.0,1.0
2014-11-14,2.28,2.28,2.26,2.27,2.0524,167319.0,0.0,1.0
2014-11-17,2.26,2.27,2.26,2.27,2.0524,22029.0,0.0,1.0
2014-11-18,2.25,2.27,2.25,2.25,2.0344,667122.0,0.0,1.0
2014-11-19,2.24,2.25,2.24,2.25,2.0344,49509.0,0.0,1.0
2014-11-20,2.26,2.26,2.25,2.25,2.0344,6230.0,0.0,1.0
2014-11-21,2.25,2.25,2.24,2.24,2.0253,2017.0,0.0,1.0
2014-11-24,2.23,2.23,2.2,2.2,1.9892,236499.0,0.0,1.0
2014-11-25,2.2,2.2,2.15,2.2,1.9892,667001.0,0.0,1.0
2014-11-26,2.2,2.22,2.2,2.22,2.0072,20245.0,0.0,1.0
2014-11-27,2.22,2.22,2.22,2.22,2.0072,13200.0,0.0,1.0
2014-11-28,2.22,2.22,2.2,2.22,2.0072,12245.0,0.0,1.0
2014-12-01,2.2,2.22,2.2,2.22,2.0072,30050.0,0.0,1.0
2014-12-02,2.22,2.22,2.22,2.22,2.0072,0.0,0.0,1.0
2014-12-03,2.15,2.15,2.15,2.15,1.9439,25816.0,0.0,1.0
2014-12-04,2.15,2.15,2.15,2.15,1.9439,0.0,0.0,1.0
2014-12-05,2.15,2.15,2.15,2.15,1.9439,14000.0,0.0,1.0
2014-12-08,2.15,2.15,2.15,2.15,1.9439,0.0,0.0,1.0
2014-12-09,2.15,2.15,2.15,2.15,1.9439,0.0,0.0,1.0
2014-12-10,2.0,2.0,2.0,2.0,1.8083,5420.0,0.0,1.0
2014-12-11,2.0,2.0,2.0,2.0,1.8083,0.0,0.0,1.0
2014-12-12,2.0,2.0,2.0,2.0,1.8083,0.0,0.0,1.0
2014-12-15,2.0,2.0,2.0,2.0,1.8083,4580.0,0.0,1.0
2014-12-16,2.0,2.0,2.0,2.0,1.8083,0.0,0.0,1.0
2014-12-17,2.0,2.0,2.0,2.0,1.8083,0.0,0.0,1.0
2014-12-18,2.0,2.0,2.0,2.0,1.8083,0.0,0.0,1.0
2014-12-19,2.0,2.0,2.0,2.0,1.8083,0.0,0.0,1.0
2014-12-22,2.0,2.0,2.0,2.0,1.8083,0.0,0.0,1.0
2014-12-23,2.0,2.0,2.0,2.0,1.8083,0.0,0.0,1.0
2014-12-24,2.0,2.0,2.0,2.0,1.8083,0.0,0.0,1.0
2014-12-29,2.0,2.0,2.0,2.0,1.8083,45000.0,0.0,1.0
2014-12-30,2.0,2.05,2.0,2.0,1.8083,28142.0,0.0,1.0
2014-12-31,2.0,2.0,2.0,2.0,1.8083,0.0,0.0,1.0
2015-01-02,2.0,2.0,2.0,2.0,1.8083,22222.0,0.0,1.0
2015-01-05,2.0,2.0,2.0,2.0,1.8083,33674.0,0.0,1.0
2015-01-06,2.0,2.0,2.0,2.0,1.8083,4049.0,0.0,1.0
2015-01-07,2.0,2.0,2.0,2.0,1.8083,96472.0,0.0,1.0
2015-01-08,2.05,2.05,2.05,2.05,1.8535,10000.0,0.0,1.0
2015-01-09,2.0,2.05,2.0,2.05,1.8535,110111.0,0.0,1.0
2015-01-12,2.05,2.05,2.05,2.05,1.8535,0.0,0.0,1.0
2015-01-13,2.05,2.05,2.05,2.05,1.8535,0.0,0.0,1.0
2015-01-14,2.05,2.05,2.05,2.05,1.8535,0.0,0.0,1.0
2015-01-15,2.05,2.05,2.05,2.05,1.8535,0.0,0.0,1.0
2015-01-16,2.01,2.01,2.01,2.01,1.8174,5000.0,0.0,1.0
2015-01-19,2.01,2.01,2.01,2.01,1.8174,0.0,0.0,1.0
2015-01-20,2.01,2.01,2.01,2.01,1.8174,0.0,0.0,1.0
2015-01-21,2.01,2.01,2.01,2.01,1.8174,0.0,0.0,1.0
2015-01-22,2.01,2.01,2.01,2.01,1.8174,0.0,0.0,1.0
2015-01-23,2.01,2.01,2.01,2.01,1.8174,0.0,0.0,1.0
2015-01-27,2.03,2.03,2.03,2.03,1.8354,67.0,0.0,1.0
2015-01-28,2.03,2.03,2.03,2.03,1.8354,0.0,0.0,1.0
2015-01-29,2.08,2.1,2.08,2.1,1.8987,262845.0,0.0,1.0
2015-01-30,2.1,2.1,2.1,2.1,1.8987,0.0,0.0,1.0
2015-02-02,2.15,2.15,2.15,2.15,1.9439,169370.0,0.0,1.0
2015-02-03,2.15,2.15,2.15,2.15,1.9439,0.0,0.0,1.0
2015-02-04,2.15,2.15,2.15,2.15,1.9439,0.0,0.0,1.0
2015-02-05,2.15,2.15,2.15,2.15,1.9439,0.0,0.0,1.0
2015-02-06,2.2,2.2,2.18,2.18,1.9711,14056.0,0.0,1.0
2015-02-09,2.18,2.18,2.18,2.18,1.9711,0.0,0.0,1.0
2015-02-10,2.18,2.18,2.18,2.18,1.9711,4000.0,0.0,1.0
2015-02-11,2.18,2.18,2.18,2.18,1.9711,0.0,0.0,1.0
2015-02-12,2.2,2.2,2.2,2.2,1.9892,7580.0,0.0,1.0
2015-02-13,2.2,2.2,2.2,2.2,1.9892,7954.0,0.0,1.0
2015-02-16,2.2,2.2,2.2,2.2,1.9892,0.0,0.0,1.0
2015-02-17,2.2,2.2,2.2,2.2,1.9892,0.0,0.0,1.0
