date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2005-06-09,2.8592,2.8592,2.8592,2.8592,1.5154,0.0,0.0,1.0
2005-06-10,2.9736,2.9736,2.8973,2.9164,1.5457,1428876.0,0.0,1.0
2005-06-14,2.9355,3.0117,2.9355,2.9736,1.576,151395.0,0.0,1.0
2005-06-15,2.9545,2.9545,2.9355,2.9355,1.5558,1917483.0,0.0,1.0
2005-06-16,2.9355,2.9355,2.8783,2.8783,1.5255,168464.0,0.0,1.0
2005-06-17,2.8592,2.8783,2.8592,2.8783,1.5255,179359.0,0.0,1.0
2005-06-20,2.8973,2.8973,2.8783,2.8783,1.5255,28053.0,0.0,1.0
2005-06-21,2.8973,2.8973,2.8783,2.8783,1.5255,178878.0,0.0,1.0
2005-06-22,2.8592,2.8592,2.8592,2.8592,1.5154,38901.0,0.0,1.0
2005-06-23,2.8211,2.8592,2.783,2.783,1.4749,58154.0,0.0,1.0
2005-06-24,2.783,2.8402,2.783,2.783,1.4749,214846.0,0.0,1.0
2005-06-27,2.7639,2.783,2.6686,2.7067,1.4345,35412.0,0.0,1.0
2005-06-28,2.783,2.783,2.783,2.783,1.4749,15739.0,0.0,1.0
2005-06-29,2.802,2.8402,2.7639,2.8402,1.5053,35630.0,0.0,1.0
2005-06-30,2.8402,2.8402,2.8211,2.8402,1.5053,84771.0,0.0,1.0
2005-07-01,2.8402,2.8592,2.8211,2.8592,1.5154,67335.0,0.0,1.0
2005-07-04,2.8592,2.8783,2.8592,2.8592,1.5154,152664.0,0.0,1.0
2005-07-05,2.8592,2.8592,2.8211,2.8402,1.5053,110511.0,0.0,1.0
2005-07-06,2.8211,2.8592,2.8211,2.8592,1.5154,214512.0,0.0,1.0
2005-07-07,2.8592,2.8592,2.8402,2.8402,1.5053,257120.0,0.0,1.0
2005-07-08,2.8211,2.8402,2.783,2.8211,1.4951,123002.0,0.0,1.0
2005-07-11,2.8211,2.8402,2.8211,2.8402,1.5053,15686.0,0.0,1.0
2005-07-12,2.8402,2.8402,2.8211,2.8402,1.5053,85500.0,0.0,1.0
2005-07-13,2.8211,2.8211,2.802,2.802,1.485,13991.0,0.0,1.0
2005-07-14,2.8211,2.8211,2.8211,2.8211,1.4951,50248.0,0.0,1.0
