date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-04,5.7084,5.7268,5.5629,5.6014,2.4297,185817.0,0.0,1.0
2000-01-05,5.5764,5.6014,5.4279,5.5629,2.413,165619.0,0.0,1.0
2000-01-06,5.612,5.64,5.5436,5.5532,2.4088,137093.0,0.0,1.0
2000-01-07,5.5436,5.746,5.5436,5.746,2.4925,78310.0,0.0,1.0
2000-01-10,5.7364,5.746,5.6111,5.6111,2.4339,67918.0,0.0,1.0
2000-01-11,5.7364,5.7364,5.6111,5.6111,2.4339,392575.0,0.0,1.0
2000-01-12,5.6111,5.64,5.5918,5.5918,2.4255,188049.0,0.0,1.0
2000-01-13,5.5918,5.5918,5.4472,5.4472,2.3628,565736.0,0.0,1.0
2000-01-14,5.4954,5.4954,5.4472,5.4665,2.3712,511182.0,0.0,1.0
2000-01-17,5.4954,5.5436,5.4472,5.4607,2.3687,435444.0,0.0,1.0
2000-01-18,5.4472,5.4472,5.3315,5.3508,2.321,640092.0,0.0,1.0
2000-01-19,5.3324,5.3508,5.264,5.2833,2.2917,405042.0,0.0,1.0
2000-01-20,5.2707,5.2929,5.2543,5.2736,2.2875,1120357.0,0.0,1.0
2000-01-21,5.3026,5.3508,5.2833,5.3218,2.3085,730555.0,0.0,1.0
2000-01-24,5.3508,5.4375,5.3315,5.37,2.3294,928118.0,0.0,1.0
2000-01-25,5.3932,5.5966,5.3893,5.5966,2.4276,265174.0,0.0,1.0
2000-01-26,5.5966,5.5966,5.5966,5.5966,2.4276,0.0,0.0,1.0
2000-01-27,5.4954,5.5147,5.399,5.399,2.3419,172796.0,0.0,1.0
2000-01-28,5.4086,5.4472,5.399,5.399,2.3419,181210.0,0.0,1.0
2000-01-31,5.4809,5.4954,5.4279,5.4279,2.3545,131012.0,0.0,1.0
2000-02-01,5.4086,5.4279,5.3604,5.3604,2.3252,478684.0,0.0,1.0
2000-02-02,5.3604,5.3797,5.2061,5.2543,2.2792,612407.0,0.0,1.0
2000-02-03,5.2543,5.3026,5.2061,5.2351,2.2708,404172.0,0.0,1.0
2000-02-04,5.2543,5.2543,5.1965,5.2061,2.2583,199012.0,0.0,1.0
2000-02-07,5.264,5.264,5.1869,5.2543,2.2792,1295819.0,0.0,1.0
2000-02-08,5.2457,5.2543,5.1579,5.2061,2.2583,275962.0,0.0,1.0
2000-02-09,5.2042,5.4857,5.2042,5.3122,2.3043,1059375.0,0.0,1.0
2000-02-10,5.4472,5.4472,5.3026,5.3026,2.3001,106161.0,0.0,1.0
2000-02-11,5.2669,5.3026,5.2061,5.2543,2.2792,413423.0,0.0,1.0
2000-02-14,5.2572,5.3026,5.1579,5.1579,2.2374,205606.0,0.0,1.0
2000-02-15,5.3035,5.3035,4.7723,4.8301,2.0952,807595.0,0.0,1.0
2000-02-16,4.9651,4.9651,4.8109,4.8205,2.091,2582118.0,0.0,1.0
2000-02-17,4.7916,4.8494,4.7058,4.7058,2.0412,1655057.0,0.0,1.0
2000-02-18,4.7974,4.8012,4.6855,4.7241,2.0492,3001888.0,0.0,1.0
2000-02-21,4.7627,4.8205,4.7241,4.753,2.0617,179142.0,0.0,1.0
2000-02-22,4.7627,4.7627,4.7048,4.7048,2.0408,763683.0,0.0,1.0
2000-02-23,4.7241,4.7723,4.6277,4.6277,2.0073,780330.0,0.0,1.0
2000-02-24,4.6277,4.7241,4.6084,4.7173,2.0462,508932.0,0.0,1.0
2000-02-25,4.7241,4.7434,4.6759,4.6759,2.0283,428597.0,0.0,1.0
